States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1400,<1000 ,<1000 , 1700,1200 ,<1000 , 2000,1400 ,<1000 , 2300,1700 ,1000 , 2700,2000 ,1200 , 3000,2200 ,1300 , 3300,2500 ,1600 , 3600,2600 ,1700 , 3800,2400 ,1600 , 3500,2200 ,1500 , 3300,2400 ,1600 , 3500,2700 ,1700 , 4000,3100 ,2000 , 4600,3700 ,2400 , 5400,3700 ,2400 , 5400,3500 ,2300 , 5100,3300 ,2100 , 4900,3300 ,2000 , 4900,3500 ,2100 , 5300,3600 ,2100 , 5500
Cidade de Maputo,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1300,1100 ,<1000 , 1600,1400 ,<1000 , 2000,1600 ,1100 , 2300,1500 ,1000 , 2100,1600 ,1100 , 2200,1300 ,<1000 , 1800,1100 ,<1000 , 1600,1100 ,<1000 , 1500,1200 ,<1000 , 1600,1100 ,<1000 , 1600,1200 ,<1000 , 1600,1000 ,<1000 , 1400,<1000 ,<1000 , 1300,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100
Gaza,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1100,<1000 ,<200 , 1400,<1000 ,<500 , 1800,1200 ,<1000 , 2200,1600 ,<1000 , 2900,2200 ,1100 , 3500,2800 ,1600 , 4300,3300 ,2000 , 4800,3900 ,2500 , 5500,4400 ,3000 , 6100,4400 ,3200 , 6000,3700 ,2700 , 5000,3600 ,2600 , 4800,3800 ,2800 , 4900,3800 ,2800 , 4900,3800 ,2800 , 4700,3300 ,2600 , 4100,3200 ,2400 , 4000,3600 ,2800 , 4400,3500 ,2900 , 4400,3400 ,2800 , 4200,3200 ,2600 , 3900,3100 ,2400 , 3800
Inhambane,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<1000 , 1500,1100 ,<1000 , 1700,1200 ,<1000 , 1800,1400 ,<1000 , 2000,1500 ,1000 , 2100,1500 ,1000 , 2100,1200 ,<1000 , 1800,1200 ,<1000 , 1700,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 2000,1700 ,1000 , 2400,1700 ,1100 , 2400,1500 ,<1000 , 2100,1600 ,1100 , 2200,1600 ,1200 , 2200,1300 ,<1000 , 2000,1300 ,<1000 , 2000
Manica,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1400,1100 ,<1000 , 1800,1400 ,<1000 , 2200,1800 ,1100 , 2700,2200 ,1400 , 3200,2600 ,1700 , 3800,3000 ,2100 , 4200,3500 ,2500 , 4800,3800 ,2800 , 5200,4100 ,3000 , 5500,4200 ,3100 , 5600,4000 ,3000 , 5200,3400 ,2600 , 4500,3200 ,2400 , 4200,3500 ,2600 , 4600,3700 ,2700 , 4800,3800 ,2900 , 4900,3900 ,3000 , 5000,3700 ,2700 , 4600,2600 ,2000 , 3500,2200 ,1500 , 2900,2100 ,1400 , 2800,1900 ,1400 , 2700,1700 ,1200 , 2500
Maputo,<100 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<500 , 1400,<1000 ,<500 , 1900,1200 ,<1000 , 2400,1700 ,<1000 , 3000,2200 ,1100 , 3700,2800 ,1600 , 4400,3500 ,2100 , 5300,4300 ,2800 , 6300,5200 ,3400 , 7300,6000 ,4000 , 8200,6800 ,4700 , 9100,7600 ,5300 , 9900,8000 ,5800 , 10 000,7500 ,5700 , 9600,7400 ,5700 , 9400,7400 ,5700 , 9200,7500 ,5800 , 9400,7900 ,6100 , 9700,9000 ,7200 , 11 000,10 000 ,8200 , 12 000,9600 ,7800 , 12 000,9800 ,7800 , 12 000,9600 ,7800 , 11 000,9400 ,7500 , 11 000,9000 ,7200 , 11 000
Nampula,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<200 , 1100,<1000 ,<500 , 1400,<1000 ,<500 , 1600,1000 ,<500 , 1800,1200 ,<1000 , 2200,1500 ,<1000 , 2500,1700 ,<1000 , 2800,2000 ,1200 , 3200,2300 ,1400 , 3600,2600 ,1600 , 3900,2800 ,1700 , 4200,2800 ,1800 , 4300,2600 ,1700 , 4000,2600 ,1700 , 4000,2900 ,1900 , 4300,3200 ,2100 , 4600,3400 ,2200 , 4900,3900 ,2600 , 5500,3800 ,2600 , 5400,3800 ,2500 , 5500,3600 ,2500 , 5300,3500 ,2400 , 5100,3500 ,2300 , 5300,3600 ,2200 , 5400
Niassa,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1600,1000 ,<1000 , 1800,1100 ,<1000 , 1900,1300 ,<1000 , 2000,1300 ,<1000 , 2200,1400 ,<1000 , 2200,1400 ,<1000 , 2100,1300 ,<1000 , 1900,1200 ,<1000 , 1800,1200 ,<1000 , 1800,1200 ,<1000 , 1900,1200 ,<1000 , 1800,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,1100 ,<1000 , 1700,1300 ,<1000 , 2100,1500 ,<1000 , 2200,1500 ,<1000 , 2300,1400 ,<1000 , 2300
Sofala,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1600,1200 ,<1000 , 2000,1500 ,<1000 , 2400,1900 ,1000 , 2800,2300 ,1400 , 3400,2700 ,1700 , 4000,3200 ,2100 , 4600,3600 ,2500 , 5200,4100 ,2800 , 5700,4500 ,3300 , 6200,4800 ,3500 , 6500,4900 ,3500 , 6500,4500 ,3200 , 6100,3800 ,2700 , 5100,3500 ,2500 , 4700,3900 ,2800 , 5200,4100 ,3000 , 5400,4200 ,3000 , 5500,4000 ,2900 , 5200,3700 ,2700 , 4900,3500 ,2600 , 4600,3100 ,2300 , 4100,3100 ,2200 , 4000,3100 ,2200 , 4100,3200 ,2300 , 4400
Tete,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<500 , 1400,<1000 ,<500 , 1800,1100 ,<1000 , 2100,1400 ,<1000 , 2500,1700 ,<1000 , 3000,2100 ,1100 , 3400,2400 ,1300 , 3900,2700 ,1600 , 4200,3000 ,1800 , 4500,3300 ,2100 , 4700,3500 ,2300 , 4900,3700 ,2500 , 5100,3800 ,2700 , 5200,3800 ,2700 , 5100,3700 ,2600 , 4800,3200 ,2300 , 4200,2700 ,1900 , 3500,2400 ,1700 , 3200,2500 ,1700 , 3400,2400 ,1700 , 3300,2400 ,1700 , 3300,2600 ,1800 , 3500,2200 ,1600 , 2900,1500 ,1100 , 2000,1100 ,<1000 , 1700,1000 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1600
