States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,38.35 075 ,34.78 164 , 42.37 279,28.99 196 ,23.78 943 , 34.24 999,24.28 245 ,19.67 763 , 29.7 555,21.51 948 ,18.14 649 , 25.8 615,20.10 306 ,16.89 676 , 24.78 475,19.10 972 ,15.74 432 , 23.46 912,17.86 176 ,15.17 301 , 21.56 366,17.39 766 ,14.45 522 , 21.96 583,17.1 051 ,14.01 562 , 20.92 593,16.91 473 ,13.82 378 , 21.81 606
Cidade de Maputo,18.77 311 ,17.32 053 , 20.539,15.36 627 ,13.93 833 , 17.28 378,9.23 772 ,8.00 257 , 10.89 928,9.31 295 ,7.8 481 , 11.88 641,10.0 268 ,8.42 187 , 12.5 807,10.0 463 ,8.04 164 , 13.08 893,9.62 108 ,7.84 496 , 12.64 915,9.34 093 ,7.66 568 , 12.17 732,9.22 861 ,7.3 598 , 12.48 352,9.15 117 ,7.25 267 , 12.29 698
Gaza,28.39 545 ,26.5 498 , 30.66 499,19.00 641 ,16.05 535 , 22.31 415,14.6 146 ,12.87 228 , 17.12 813,13.16 827 ,11.58 858 , 15.43 355,13.29 886 ,11.78 641 , 14.97 953,12.55 498 ,11.14 003 , 14.66 226,12.27 356 ,10.46 409 , 15.59 708,10.47 947 ,8.5 571 , 12.28 532,9.9 196 ,7.92 729 , 12.3 599,9.37 154 ,7.82 665 , 12.17 658
Inhambane,30.75 371 ,27.79 876 , 33.83 131,23.8 578 ,20.80 842 , 28.1 005,19.14 846 ,16.48 387 , 22.98 279,15.07 645 ,13.08 505 , 17.76 412,16.25 687 ,13.84 506 , 19.42 206,16.82 517 ,14.14 357 , 20.90 739,16.05 985 ,13.26 397 , 20.70 662,12.28 161 ,9.8 425 , 15.25 059,13.19 045 ,10.38 723 , 18.02 204,13.5 745 ,10.31 022 , 20.48 371
Manica,34.13 423 ,31.6 197 , 36.67 276,32.1 875 ,29.73 129 , 35.03 661,25.86 805 ,22.4 024 , 29.34 604,21.34 724 ,16.98 578 , 25.81 823,16.5 966 ,14.13 773 , 20.46 899,14.20 088 ,11.97 161 , 17.49 273,13.53 313 ,11.31 703 , 16.96 495,12.79 676 ,10.47 035 , 15.81 674,11.87 958 ,9.07 082 , 15.27 541,11.6 276 ,8.90 799 , 14.77 964
Maputo,28.34 187 ,26.6 556 , 30.11 238,20.04 397 ,17.64 585 , 22.20 777,19.11 563 ,17.42 986 , 20.81 997,23.21 536 ,20.78 997 , 25.01 076,18.05 721 ,15.0 503 , 20.41 679,16.96 702 ,14.08 006 , 19.57 334,18.87 219 ,15.27 888 , 21.164,16.5 812 ,13.4 117 , 19.24 411,16.53 386 ,12.9 558 , 19.31 436,16.21 348 ,12.22 085 , 18.92 896
Nampula,30.86 556 ,27.94 881 , 34.38 287,20.38 664 ,18.17 102 , 24.00 652,20.16 257 ,17.15 607 , 24.45 039,22.86 491 ,18.90 897 , 27.35 179,21.12 907 ,17.46 634 , 25.86 248,19.57 591 ,16.37 357 , 23.9 635,21.81 098 ,17.62 866 , 26.26 364,18.09 057 ,14.58 767 , 22.99 761,16.65 673 ,13.38 259 , 22.05 661,16.17 367 ,12.94 557 , 22.0 262
Niassa,36.23 126 ,33.48 052 , 39.08 984,29.98 184 ,26.54 063 , 33.93 312,23.20 683 ,18.52 748 , 28.32 879,23.63 727 ,18.36 583 , 28.64 961,22.49 298 ,16.77 023 , 27.64 961,21.41 165 ,15.73 848 , 27.34 416,20.39 065 ,14.88 074 , 26.02 231,17.74 393 ,13.69 819 , 24.08 561,18.10 822 ,12.52 248 , 23.88 633,16.39 309 ,11.72 508 , 23.13 135
Sofala,34.48 416 ,31.61 371 , 37.06 469,31.77 996 ,29.16 754 , 34.69 496,17.50 255 ,15.00 017 , 20.21 203,16.20 877 ,13.9 423 , 18.87 652,16.70 506 ,14.6 831 , 19.39 059,15.7 209 ,13.71 208 , 18.15 729,14.98 921 ,12.79 958 , 18.27 701,14.3 922 ,12.28 089 , 17.30 704,14.10 411 ,11.67 198 , 17.54 715,13.93 107 ,11.4 861 , 17.75 362
Tete,31.89 471 ,29.93 004 , 33.68 594,30.9 771 ,29.09 244 , 32.96 375,19.6 706 ,16.01 046 , 23.06 861,19.34 259 ,14.40 949 , 22.8 166,12.99 727 ,10.90 722 , 17.55 223,11.73 434 ,10.02 037 , 16.03 633,12.89 428 ,9.75 937 , 16.98 675,11.68 936 ,8.64 662 , 16.62 343,11.16 145 ,7.22 696 , 15.93 603,9.59 065 ,6.76 907 , 14.59 191
