States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cabo Delgado,9251,10 987,11 421,18 880,26 910,36 971,43 769,46 848,54 777,68 097
Cidade de Maputo,45 891,55 641,56 872,87 491,81 688,102 393,117 726,116 137,127 824,135 918
Gaza,26 992,33 882,52 916,47 514,71 436,87 685,110 769,127 851,143 816,154 009
Inhambane,10 197,13 111,8065,24 107,28 068,37 707,53 444,59 092,70 050,77 344
Manica,14 119,17 132,20 421,25 860,47 644,54 988,66 137,86 528,86 787,99 396
Maputo,27 933,36 726,27 690,46 371,68 904,73 548,95 937,114 345,135 730,157 084
Nampula,10 311,14 185,15 955,30 031,37 088,53 311,67 389,84 214,98 709,105 082
Niassa,4506,5999,11 111,11 400,11 218,12 768,16 345,21 928,28 431,30 464
Sofala,19 999,24 791,33 411,43 271,54 878,76 234,85 617,99 861,108 625,107 100
Tete,12 775,15 034,11 126,26 880,29 609,38 337,45 929,53 189,57 723,63 281
Zambezia,19 622,23 020,33 699,55 222,79 347,102 562,134 346,170 725,213 170,245 245
National,201 596,250 508,282 687,417 027,536 790,676 504,837 408,980 718,1 125 642,1 243 020
