States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cabo Delgado,9731,11 689,12 421,20 688,29 037,39 927,47 607,51 177,59 766,74 092
Cidade de Maputo,50 606,61 410,61 108,93 770,87 069,109 333,125 460,123 795,135 700,146 466
Gaza,28 958,36 484,57 508,52 171,78 774,95 273,120 226,138 880,155 174,166 178
Inhambane,10 958,14 236,8819,26 348,32 265,41 180,58 010,64 120,75 849,83 762
Manica,15 094,18 391,22 106,28 332,51 430,60 234,71 548,92 933,92 868,105 695
Maputo,30 263,40 070,30 647,51 180,75 333,80 728,103 591,124 559,147 029,169 496
Nampula,11 492,15 785,17 529,32 909,40 406,58 072,73 163,91 212,107 316,114 047
Niassa,4914,6593,11 982,12 970,12 331,13 799,17 646,23 732,30 690,32 824
Sofala,21 799,27 388,36 993,47 624,61 960,83 781,93 860,108 906,117 858,116 050
Tete,13 898,16 408,12 050,28 707,31 994,41 402,49 262,56 688,61 302,67 048
Zambezia,21 278,25 107,37 414,60 153,91 769,111 658,145 553,183 930,229 010,262 442
National,218 991,273 561,308 577,454 852,592 368,735 387,905 926,1 059 932,1 212 562,1 338 100
