States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cabo Delgado,3690,4249,4221,6329,8420,10 958,12 531,15 187,19 296,22 149
Cidade de Maputo,16 508,19 908,18 764,27 869,31 130,33 819,36 342,35 963,40 449,40 226
Gaza,7705,9591,15 367,13 698,16 820,20 714,27 205,32 358,36 988,39 009
Inhambane,2778,3531,2040,5552,5262,7837,10 921,16 790,13 676,15 769
Manica,5129,6249,6978,9603,14 454,17 487,20 750,27 411,26 718,31 349
Maputo,9782,12 749,9045,12 914,19 069,22 474,28 154,33 979,40 525,47 595
Nampula,4295,5719,5916,11 432,11 074,16 336,21 130,27 446,32 962,34 106
Niassa,1755,2342,3991,3772,3069,3469,4182,6063,8303,9060
Sofala,6880,8678,11 127,14 870,16 670,21 924,23 463,28 969,31 099,31 153
Tete,4986,5856,4014,13 358,10 009,12 659,15 059,17 470,19 058,21 220
Zambezia,7351,8406,11 944,17 308,23 306,29 578,38 344,49 825,65 171,77 457
National,70 859,87 278,93 407,136 705,159 283,197 255,238 081,291 461,334 245,369 093
