States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,6 ,4 , 8,8 ,6 , 11,11 ,8 , 16,20 ,14 , 28,23 ,16 , 33,31 ,22 , 46,40 ,28 , 60,45 ,31 , 69,52 ,35 , 80,62 ,42 , 97
Cidade de Maputo,59 ,49 , 69,70 ,58 , 84,52 ,43 , 62,77 ,64 , 93,67 ,55 , 81,87 ,71 , 100,100 ,80 , 100,100 ,80 , 100,100 ,84 , 100,100 ,100 , 100
Gaza,12 ,10 , 14,15 ,13 , 19,28 ,23 , 34,29 ,23 , 35,46 ,38 , 56,49 ,40 , 61,64 ,52 , 79,77 ,63 , 97,84 ,68 , 100,94 ,76 , 100
Inhambane,12 ,9 , 15,16 ,13 , 21,11 ,8 , 14,32 ,25 , 42,59 ,47 , 78,47 ,37 , 63,60 ,46 , 81,66 ,51 , 89,76 ,60 , 100,83 ,65 , 100
Manica,7 ,5 , 9,8 ,7 , 11,11 ,9 , 15,17 ,13 , 22,26 ,21 , 35,38 ,31 , 50,41 ,32 , 54,50 ,40 , 66,50 ,39 , 66,54 ,41 , 73
Maputo,10 ,8 , 11,13 ,11 , 16,12 ,10 , 13,18 ,15 , 21,24 ,20 , 28,27 ,22 , 32,28 ,23 , 34,38 ,30 , 46,43 ,33 , 52,48 ,36 , 59
Nampula,12 ,8 , 16,15 ,11 , 21,14 ,10 , 20,25 ,18 , 33,27 ,19 , 37,37 ,27 , 51,42 ,30 , 59,49 ,35 , 70,59 ,42 , 85,59 ,42 , 87
Niassa,7 ,5 , 10,10 ,7 , 14,14 ,10 , 21,26 ,18 , 37,18 ,12 , 26,16 ,11 , 24,21 ,14 , 31,29 ,19 , 44,36 ,24 , 56,38 ,25 , 60
Sofala,10 ,8 , 13,14 ,11 , 18,20 ,16 , 26,25 ,20 , 32,41 ,33 , 53,44 ,36 , 57,49 ,39 , 63,54 ,44 , 69,56 ,45 , 73,55 ,44 , 73
Tete,8 ,6 , 11,10 ,8 , 13,7 ,5 , 9,15 ,11 , 19,21 ,15 , 27,28 ,21 , 38,32 ,24 , 44,36 ,26 , 49,39 ,28 , 55,44 ,31 , 63
Zambezia,5 ,4 , 7,7 ,5 , 9,12 ,9 , 16,16 ,12 , 21,40 ,31 , 53,29 ,23 , 39,36 ,27 , 49,43 ,33 , 59,53 ,40 , 74,59 ,44 , 83
National,11 ,8,15,14 ,11,20,16 ,12,22,24 ,18,32,35 ,26,48,37 ,28,51,43 ,32,60,51 ,38,70,57 ,43,78,63 ,47,87
