States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,... ,... , ...,... ,... , ...
Cidade de Maputo,... ,... , ...,99 ,84 , 100
Gaza,... ,... , ...,73 ,62 , 83
Inhambane,... ,... , ...,... ,... , ...
Manica,... ,... , ...,... ,... , ...
Maputo,... ,... , ...,42 ,35 , 47
Nampula,... ,... , ...,33 ,26 , 42
Niassa,... ,... , ...,... ,... , ...
Sofala,... ,... , ...,... ,... , ...
Tete,... ,... , ...,... ,... , ...
Zambezia,... ,... , ...,... ,... , ...
National,... ,...,...,53 ,43,64
