States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,... ,... , ...,... ,... , ...
Cidade de Maputo,... ,... , ...,76 ,65 , 90
Gaza,... ,... , ...,39 ,32 , 46
Inhambane,... ,... , ...,... ,... , ...
Manica,... ,... , ...,... ,... , ...
Maputo,... ,... , ...,31 ,26 , 36
Nampula,... ,... , ...,22 ,17 , 29
Niassa,... ,... , ...,... ,... , ...
Sofala,... ,... , ...,... ,... , ...
Tete,... ,... , ...,... ,... , ...
Zambezia,... ,... , ...,... ,... , ...
National,... ,...,...,35 ,28,44
