States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,55 ,41 , 71,62 ,45 , 81,68 ,49 , 89,72 ,51 , 94,76 ,53 , 100
Cidade de Maputo,90 ,78 , 100,100 ,89 , 100,100 ,87 , 100,100 ,93 , 100,100 ,100 , 100
Gaza,82 ,71 , 92,86 ,75 , 96,90 ,77 , 100,92 ,79 , 100,94 ,80 , 100
Inhambane,64 ,53 , 79,70 ,57 , 87,77 ,62 , 95,82 ,65 , 100,85 ,66 , 100
Manica,78 ,66 , 95,81 ,68 , 98,85 ,70 , 100,87 ,71 , 100,88 ,72 , 100
Maputo,74 ,64 , 80,77 ,67 , 85,80 ,70 , 89,83 ,71 , 92,85 ,72 , 95
Nampula,56 ,45 , 68,60 ,49 , 74,64 ,51 , 79,69 ,54 , 86,72 ,57 , 92
Niassa,74 ,55 , 98,75 ,56 , 100,77 ,57 , 100,79 ,57 , 100,80 ,57 , 100
Sofala,68 ,57 , 78,72 ,60 , 83,75 ,63 , 88,78 ,65 , 92,81 ,66 , 96
Tete,82 ,67 , 100,85 ,69 , 100,87 ,71 , 100,89 ,72 , 100,91 ,72 , 100
Zambezia,64 ,55 , 78,70 ,59 , 85,76 ,63 , 94,81 ,66 , 100,84 ,68 , 100
National,70 ,57,86,76 ,61,92,79 ,64,96,83 ,67,100,86 ,69,100
