States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,4900 ,3400 , 6800,5200 ,3600 , 7200,5400 ,3800 , 7700,5600 ,3900 , 8100,5900 ,4000 , 8300,6100 ,4100 , 8600,6300 ,4200 , 8900,6400 ,4300 , 9000,6500 ,4400 , 9300,6600 ,4300 , 9800
Cidade de Maputo,5900 ,4600 , 7100,6000 ,4600 , 7000,6100 ,4600 , 7200,6000 ,4600 , 7200,5900 ,4400 , 7100,5700 ,4300 , 7000,5500 ,4100 , 6900,5300 ,3900 , 6600,5100 ,3700 , 6400,4800 ,3500 , 6100
Gaza,11 000 ,8300 , 13 000,11 000 ,8100 , 13 000,10 000 ,8200 , 13 000,10 000 ,7800 , 13 000,10 000 ,7800 , 12 000,10 000 ,7400 , 12 000,9700 ,7200 , 12 000,9400 ,6900 , 12 000,9000 ,6600 , 11 000,8500 ,6100 , 11 000
Inhambane,4800 ,3700 , 6300,5100 ,3800 , 6500,5400 ,4200 , 6900,5600 ,4100 , 7200,5800 ,4300 , 7600,6100 ,4400 , 7800,6200 ,4500 , 8300,6400 ,4500 , 8500,6400 ,4500 , 8400,6300 ,4300 , 8700
Manica,7300 ,5500 , 9500,7300 ,5300 , 9300,7300 ,5500 , 9500,7300 ,5500 , 9400,7300 ,5400 , 9500,7400 ,5500 , 9600,7400 ,5600 , 9500,7400 ,5300 , 9700,7300 ,5400 , 9800,7200 ,5300 , 9900
Maputo,17 000 ,14 000 , 20 000,18 000 ,14 000 , 20 000,18 000 ,14 000 , 21 000,18 000 ,14 000 , 21 000,18 000 ,14 000 , 21 000,18 000 ,14 000 , 21 000,18 000 ,14 000 , 21 000,18 000 ,13 000 , 21 000,18 000 ,13 000 , 21 000,17 000 ,13 000 , 21 000
Nampula,8000 ,5800 , 11 000,8600 ,6200 , 11 000,9300 ,6800 , 12 000,10 000 ,7200 , 13 000,11 000 ,8000 , 14 000,12 000 ,8300 , 15 000,13 000 ,8800 , 16 000,13 000 ,9300 , 18 000,14 000 ,9800 , 19 000,15 000 ,11 000 , 20 000
Niassa,3200 ,2400 , 4600,3300 ,2400 , 4800,3500 ,2600 , 5000,3700 ,2700 , 5200,3800 ,2800 , 5500,4000 ,2900 , 5600,4100 ,2900 , 5800,4300 ,3000 , 6300,4500 ,3000 , 6200,4600 ,3200 , 6900
Sofala,9600 ,7200 , 12 000,9900 ,7300 , 12 000,10 000 ,7600 , 13 000,10 000 ,7600 , 13 000,11 000 ,7700 , 13 000,11 000 ,8000 , 14 000,11 000 ,8400 , 14 000,11 000 ,8600 , 14 000,12 000 ,8500 , 14 000,12 000 ,8700 , 15 000
Tete,6700 ,4900 , 8700,6600 ,4700 , 8400,6500 ,4800 , 8400,6400 ,4500 , 8400,6300 ,4300 , 8200,6300 ,4400 , 8200,6200 ,4300 , 8300,6200 ,4200 , 8200,6000 ,4100 , 8200,5800 ,3800 , 7800
Zambezia,17 000 ,12 000 , 22 000,17 000 ,12 000 , 22 000,17 000 ,13 000 , 23 000,18 000 ,13 000 , 23 000,18 000 ,14 000 , 24 000,19 000 ,14 000 , 25 000,19 000 ,15 000 , 26 000,20 000 ,14 000 , 27 000,20 000 ,14 000 , 28 000,20 000 ,15 000 , 28 000
National,95 000 ,68 000,130 000,97 000 ,70 000,130 000,99 000 ,71 000,130 000,100 000 ,72 000,140 000,100 000 ,74 000,140 000,110 000 ,75 000,140 000,110 000 ,76 000,140 000,110 000 ,77 000,140 000,110 000 ,77 000,140 000,110 000 ,77 000,140 000
