States,2019,2019_lower, 2019_upper
Alto Molócuè,5.07 ,3.13 , <0.01
Ancuabe,6.14 ,3.68 , <0.01
Angoche,7.58 ,4.57 , 0.01
Angónia,0.70 ,0.40 , <0.01
Balama,5.73 ,3.34 , <0.01
Beira,10.55 ,8.60 , 0.01
Bilene,9.64 ,7.58 , 0.01
Boane,18.81 ,13.25 , 0.03
Báruè,6.01 ,4.23 , <0.01
Búzi,7.61 ,5.14 , 0.01
Cahora Bassa,1.57 ,1.03 , <0.01
Caia,6.24 ,3.85 , <0.01
Changara,1.82 ,1.20 , <0.01
Chemba,6.99 ,4.36 , 0.01
Cheringoma,6.59 ,3.80 , 0.01
Chibabava,6.22 ,4.03 , <0.01
Chibuto,8.98 ,7.48 , 0.01
Chicualacuala,6.28 ,3.63 , 0.01
Chifunde,0.53 ,0.29 , <0.01
Chigubo,7.19 ,4.80 , <0.01
Chimbunila,3.06 ,1.84 , <0.01
Chimoio,6.78 ,5.48 , <0.01
Chinde,13.38 ,8.25 , 0.02
Chiúre,5.27 ,3.48 , <0.01
Chiúta,0.96 ,0.61 , <0.01
Chongoene,8.41 ,6.48 , 0.01
Chókwé,9.44 ,7.82 , 0.01
Cuamba,4.26 ,2.95 , <0.01
Derre,7.31 ,4.13 , 0.01
Dondo,11.31 ,7.44 , 0.02
Dôa,1.16 ,0.66 , <0.01
Eráti,7.69 ,4.69 , 0.01
Funhalouro,7.09 ,4.70 , 0.01
Gilé,6.41 ,4.08 , <0.01
Gondola,5.27 ,3.64 , <0.01
Gorongosa,6.88 ,4.44 , 0.01
Govuro,10.47 ,7.43 , 0.01
Guijá,8.53 ,6.33 , 0.01
Guro,4.18 ,2.65 , <0.01
Guruè,4.77 ,3.05 , <0.01
Homoíne,6.33 ,4.26 , <0.01
Ibo,7.43 ,3.88 , 0.01
Ile,6.30 ,4.15 , <0.01
Ilha de Moçambique,8.02 ,4.12 , 0.01
Inhambane,9.05 ,6.04 , 0.01
Inharrime,7.46 ,5.03 , 0.01
Inhassoro,9.88 ,7.35 , 0.01
