States,2019,2019_lower, 2019_upper
Alto Molócuè,1.83 ,1.13 , <0.01
Ancuabe,1.27 ,0.76 , <0.01
Angoche,2.25 ,1.36 , <0.01
Angónia,0.40 ,0.23 , <0.01
Balama,1.20 ,0.70 , <0.01
Beira,4.17 ,3.39 , <0.01
Bilene,1.51 ,1.17 , <0.01
Boane,8.61 ,6.02 , 0.01
Báruè,2.41 ,1.69 , <0.01
Búzi,3.10 ,2.08 , <0.01
Cahora Bassa,0.94 ,0.61 , <0.01
Caia,2.49 ,1.53 , <0.01
Changara,1.12 ,0.74 , <0.01
Chemba,2.70 ,1.68 , <0.01
Cheringoma,2.73 ,1.57 , <0.01
Chibabava,2.57 ,1.66 , <0.01
Chibuto,1.41 ,1.17 , <0.01
Chicualacuala,0.97 ,0.55 , <0.01
Chifunde,0.29 ,0.16 , <0.01
Chigubo,1.08 ,0.71 , <0.01
Chimbunila,1.36 ,0.82 , <0.01
Chimoio,2.91 ,2.33 , <0.01
Chinde,4.64 ,2.85 , <0.01
Chiúre,1.11 ,0.73 , <0.01
Chiúta,0.54 ,0.34 , <0.01
Chongoene,1.31 ,0.99 , <0.01
Chókwé,1.52 ,1.24 , <0.01
Cuamba,2.06 ,1.43 , <0.01
Derre,2.53 ,1.43 , <0.01
Dondo,4.42 ,2.89 , <0.01
Dôa,0.70 ,0.40 , <0.01
Eráti,2.40 ,1.46 , <0.01
Funhalouro,1.52 ,0.99 , <0.01
Gilé,2.31 ,1.46 , <0.01
Gondola,2.18 ,1.49 , <0.01
Gorongosa,2.72 ,1.75 , <0.01
Govuro,2.24 ,1.55 , <0.01
Guijá,1.38 ,1.00 , <0.01
Guro,1.65 ,1.04 , <0.01
Guruè,1.68 ,1.08 , <0.01
Homoíne,1.40 ,0.93 , <0.01
Ibo,1.52 ,0.79 , <0.01
Ile,2.26 ,1.48 , <0.01
Ilha de Moçambique,2.36 ,1.22 , <0.01
Inhambane,2.06 ,1.37 , <0.01
Inharrime,1.69 ,1.13 , <0.01
Inhassoro,2.05 ,1.50 , <0.01
Inhassunge,4.26 ,2.98 , <0.01
Jangamo,1.20 ,0.74 , <0.01
KaMavota,1.65 ,1.24 , <0.01
KaMaxakeni,2.83 ,2.32 , <0.01
KaMpfumu,1.36 ,1.08 , <0.01
KaMubukwana,1.58 ,1.22 , <0.01
KaNyaka,1.35 ,0.69 , <0.01
KaTembe,2.12 ,1.09 , <0.01
Lago,1.93 ,1.13 , <0.01
Lalaua,1.72 ,1.02 , <0.01
