States,2019,2019_lower, 2019_upper
Alto Molócuè,<500 ,<500 , <1000
Ancuabe,<500 ,<200 , <500
Angoche,<1000 ,<500 , <1000
Angónia,<200 ,<100 , <200
Balama,<500 ,<200 , <500
Beira,2000 ,1700 , 2400
Bilene,<500 ,<500 , <500
Boane,1100 ,<1000 , 1400
Báruè,<500 ,<500 , <500
Búzi,<500 ,<500 , <500
Cahora Bassa,<100 ,<100 , <100
Caia,<500 ,<200 , <500
Changara,<100 ,<100 , <100
Chemba,<200 ,<100 , <200
Cheringoma,<100 ,<100 , <200
Chibabava,<200 ,<200 , <500
Chibuto,<500 ,<500 , <500
Chicualacuala,<100 ,<100 , <100
Chifunde,<100 ,<100 , <100
Chigubo,<100 ,<100 , <100
Chimbunila,<100 ,<100 , <100
Chimoio,<1000 ,<1000 , <1000
Chinde,<500 ,<200 , <500
Chiúre,<500 ,<500 , <1000
Chiúta,<100 ,<100 , <100
Chongoene,<500 ,<200 , <500
Chókwé,<500 ,<500 , <500
Cuamba,<500 ,<500 , <500
Derre,<200 ,<200 , <500
Dondo,<1000 ,<500 , <1000
Dôa,<100 ,<100 , <100
Eráti,<1000 ,<500 , 1000
Funhalouro,<100 ,<100 , <100
Gilé,<500 ,<500 , <1000
Gondola,<500 ,<200 , <500
Gorongosa,<500 ,<200 , <500
Govuro,<100 ,<100 , <200
Guijá,<200 ,<200 , <200
Guro,<100 ,<100 , <200
Guruè,<1000 ,<500 , <1000
Homoíne,<200 ,<200 , <500
Ibo,<100 ,<100 , <100
Ile,<500 ,<200 , <500
Ilha de Moçambique,<200 ,<100 , <500
Inhambane,<500 ,<200 , <500
Inharrime,<200 ,<200 , <500
Inhassoro,<200 ,<200 , <200
Inhassunge,<500 ,<200 , <500
Jangamo,<200 ,<100 , <200
KaMavota,<500 ,<500 , <500
KaMaxakeni,<500 ,<500 , <500
KaMpfumu,<100 ,<100 , <100
KaMubukwana,<500 ,<500 , <500
KaNyaka,<100 ,<100 , <100
KaTembe,<100 ,<100 , <100
Lago,<200 ,<100 , <200
Lalaua,<200 ,<100 , <500
Larde,<500 ,<200 , <500
Lichinga,<500 ,<500 , <1000
Limpopo,<500 ,<500 , <500
Liúpo,<200 ,<100 , <200
Luabo,<200 ,<100 , <500
Lugela,<500 ,<200 , <500
Mabalane,<100 ,<100 , <100
Mabote,<100 ,<100 , <200
Macanga,<100 ,<100 , <100
Macate,<100 ,<100 , <200
Machanga,<200 ,<100 , <200
Machaze,<200 ,<100 , <200
Macomia,<500 ,<500 , <500
Macossa,<100 ,<100 , <100
Maganja da Costa,<500 ,<500 , <500
Magude,<500 ,<200 , <500
Majune,<100 ,<100 , <100
Malema,<500 ,<200 , <500
Mandimba,<500 ,<200 , <500
Mandlakazi,<500 ,<200 , <500
Manhiça,<1000 ,<1000 , <1000
Manica,<500 ,<500 , <500
Mapai,<100 ,<100 , <100
Marara,<100 ,<100 , <100
Marracuene,<1000 ,<1000 , <1000
Marromeu,<500 ,<500 , <1000
Marrupa,<100 ,<100 , <200
Marávia,<100 ,<100 , <100
Maríngué,<200 ,<100 , <200
Massangena,<100 ,<100 , <100
Massinga,<1000 ,<500 , <1000
Massingir,<100 ,<100 , <200
Matola,2900 ,2500 , 3500
Matutuíne,<500 ,<200 , <500
Mavago,<100 ,<100 , <100
Maxixe,<500 ,<500 , <500
Maúa,<100 ,<100 , <200
Mecanhelas,<500 ,<200 , <500
Meconta,<1000 ,<500 , <1000
Mecubúri,<500 ,<200 , <500
Mecufi,<100 ,<100 , <200
Mecula,<100 ,<100 , <100
Meluco,<100 ,<100 , <200
Memba,<500 ,<500 , <1000
Metarica,<100 ,<100 , <100
Metuge,<200 ,<100 , <500
Milange,<1000 ,<1000 , 1200
Moamba,<500 ,<500 , <1000
Moatize,<200 ,<200 , <200
Mocuba,<1000 ,<1000 , 1200
Mocubela,<500 ,<500 , <500
Mocímboa da Praia,<500 ,<500 , <500
Mogincual,<200 ,<100 , <200
Mogovolas,<1000 ,<500 , <1000
Molumbo,<500 ,<500 , <1000
Moma,<1000 ,<500 , 1000
Monapo,<1000 ,<1000 , 1200
Montepuez,<1000 ,<500 , <1000
Mopeia,<500 ,<500 , <500
Morrumbala,<1000 ,<500 , <1000
Morrumbene,<500 ,<200 , <500
Morrupula,<500 ,<200 , <500
Mossuril,<500 ,<200 , <500
Mossurize,<200 ,<100 , <200
Muanza,<100 ,<100 , <100
Muecate,<500 ,<200 , <500
Mueda,<500 ,<500 , <1000
Muembe,<100 ,<100 , <100
Muidumbe,<500 ,<500 , <1000
Mulevala,<200 ,<200 , <500
Mutarara,<100 ,<100 , <100
Mágoè,<100 ,<100 , <100
Nacala,<1000 ,<1000 , 1200
Nacala-a-Velha,<500 ,<200 , <500
Nacarôa,<500 ,<200 , <500
Namaacha,<200 ,<200 , <500
Namacurra,<1000 ,<1000 , <1000
Namarói,<200 ,<100 , <200
Nampula,1900 ,1500 , 2400
Namuno,<1000 ,<500 , <1000
Nangade,<200 ,<200 , <500
Ngaúma,<100 ,<100 , <200
Nhamatanda,<1000 ,<500 , <1000
Nhlamankulu,<200 ,<200 , <200
Nicoadala,<1000 ,<500 , <1000
Nipepe,<100 ,<100 , <100
Palma,<200 ,<100 , <500
Panda,<100 ,<100 , <100
Pebane,<500 ,<500 , <1000
Pemba,<500 ,<500 , <1000
Quelimane,1300 ,1100 , 1500
Quissanga,<200 ,<100 , <200
Rapale,<500 ,<200 , <500
Ribáuè,<1000 ,<500 , <1000
Sanga,<100 ,<100 , <200
Sussendenga,<200 ,<200 , <500
Tambara,<100 ,<100 , <100
Tete,<500 ,<500 , <500
Tsangano,<100 ,<100 , <100
Vanduzi,<200 ,<200 , <500
Vilankulo,<500 ,<500 , <500
Xai-Xai,<500 ,<500 , <500
Zavala,<500 ,<200 , <500
Zumbu,<100 ,<100 , <100
National,57 000 ,36 000,91 000
