States,2019,2019_lower, 2019_upper
Alto Molócuè,<1000 ,<500 , <1000
Ancuabe,<500 ,<500 , <1000
Angoche,<1000 ,<500 , 1100
Angónia,<1000 ,<500 , 1100
Balama,<500 ,<200 , <500
Beira,3900 ,3200 , 4800
Bilene,<1000 ,<1000 , 1100
Boane,2300 ,1600 , 3100
Báruè,<1000 ,<1000 , 1200
Búzi,1100 ,<1000 , 1600
Cahora Bassa,<500 ,<500 , <1000
Caia,<1000 ,<500 , <1000
Changara,<500 ,<500 , <1000
Chemba,<500 ,<200 , <500
Cheringoma,<200 ,<200 , <500
Chibabava,<1000 ,<500 , <1000
Chibuto,1100 ,<1000 , 1500
Chicualacuala,<200 ,<100 , <200
Chifunde,<200 ,<100 , <500
Chigubo,<200 ,<100 , <200
Chimbunila,<200 ,<100 , <200
Chimoio,2300 ,1800 , 3000
Chinde,<1000 ,<500 , <1000
Chiúre,<1000 ,<500 , <1000
Chiúta,<200 ,<200 , <500
Chongoene,<1000 ,<1000 , <1000
Chókwé,1400 ,1100 , 1900
Cuamba,<1000 ,<500 , <1000
Derre,<500 ,<200 , <500
Dondo,1200 ,<1000 , 1700
Dôa,<200 ,<200 , <500
Eráti,<1000 ,<1000 , 1400
Funhalouro,<200 ,<100 , <200
Gilé,<1000 ,<500 , <1000
Gondola,<1000 ,<1000 , 1300
Gorongosa,<1000 ,<500 , <1000
Govuro,<200 ,<200 , <500
Guijá,<1000 ,<500 , <1000
Guro,<500 ,<200 , <500
Guruè,<1000 ,<1000 , 1100
Homoíne,<500 ,<200 , <500
Ibo,<100 ,<100 , <100
Ile,<1000 ,<500 , <1000
Ilha de Moçambique,<200 ,<100 , <500
Inhambane,<500 ,<200 , <500
Inharrime,<500 ,<200 , <500
Inhassoro,<500 ,<500 , <500
Inhassunge,<1000 ,<500 , <1000
Jangamo,<500 ,<200 , <500
KaMavota,2700 ,1900 , 3600
KaMaxakeni,2900 ,2300 , 3700
KaMpfumu,1700 ,1400 , 2000
KaMubukwana,2200 ,1600 , 3000
KaNyaka,<100 ,<100 , <100
KaTembe,<500 ,<200 , <500
Lago,<500 ,<200 , <500
Lalaua,<200 ,<100 , <500
Larde,<500 ,<200 , <500
Lichinga,<1000 ,<1000 , 1300
Limpopo,<1000 ,<1000 , 1100
Liúpo,<200 ,<100 , <200
Luabo,<500 ,<200 , <500
Lugela,<1000 ,<500 , <1000
Mabalane,<500 ,<200 , <500
Mabote,<500 ,<200 , <500
Macanga,<200 ,<100 , <500
Macate,<500 ,<500 , <1000
Machanga,<500 ,<500 , <1000
Machaze,<1000 ,<500 , <1000
Macomia,<500 ,<500 , <1000
Macossa,<200 ,<100 , <200
Maganja da Costa,<1000 ,<1000 , 1200
Magude,<1000 ,<1000 , 1100
Majune,<100 ,<100 , <200
Malema,<500 ,<200 , <500
Mandimba,<500 ,<500 , <1000
Mandlakazi,<1000 ,<500 , <1000
Manhiça,2500 ,1900 , 3300
Manica,1000 ,<1000 , 1500
Mapai,<200 ,<200 , <500
Marara,<500 ,<200 , <500
Marracuene,1600 ,1100 , 2200
Marromeu,1000 ,<1000 , 1400
Marrupa,<200 ,<100 , <200
Marávia,<500 ,<200 , <500
Maríngué,<500 ,<200 , <500
Massangena,<100 ,<100 , <200
Massinga,<1000 ,<1000 , 1300
Massingir,<200 ,<200 , <500
Matola,7500 ,5900 , 9400
Matutuíne,<1000 ,<500 , 1100
Mavago,<100 ,<100 , <100
Maxixe,<500 ,<200 , <500
Maúa,<200 ,<200 , <500
Mecanhelas,<500 ,<500 , <1000
Meconta,<500 ,<500 , <1000
Mecubúri,<500 ,<200 , <500
Mecufi,<100 ,<100 , <200
Mecula,<100 ,<100 , <200
Meluco,<100 ,<100 , <200
Memba,<500 ,<500 , <1000
Metarica,<100 ,<100 , <100
Metuge,<200 ,<200 , <500
Milange,1200 ,<1000 , 1800
Moamba,1100 ,<1000 , 1500
Moatize,<1000 ,<1000 , 1200
Mocuba,1500 ,1100 , 2100
Mocubela,<1000 ,<1000 , 1100
Mocímboa da Praia,<500 ,<500 , <1000
Mogincual,<200 ,<100 , <200
Mogovolas,<1000 ,<500 , 1000
Molumbo,<500 ,<500 , <1000
Moma,<1000 ,<1000 , 1300
Monapo,<1000 ,<500 , 1100
Montepuez,<1000 ,<500 , <1000
Mopeia,<1000 ,<500 , <1000
Morrumbala,1100 ,<1000 , 1500
Morrumbene,<500 ,<500 , <1000
Morrupula,<500 ,<200 , <500
Mossuril,<500 ,<200 , <500
Mossurize,<1000 ,<500 , <1000
Muanza,<200 ,<100 , <200
Muecate,<500 ,<200 , <500
Mueda,<1000 ,<1000 , 1100
Muembe,<100 ,<100 , <200
Muidumbe,<1000 ,<500 , <1000
Mulevala,<500 ,<500 , <1000
Mutarara,<500 ,<500 , <1000
Mágoè,<500 ,<200 , <500
Nacala,<1000 ,<1000 , 1200
Nacala-a-Velha,<500 ,<200 , <500
Nacarôa,<500 ,<200 , <500
Namaacha,<1000 ,<500 , <1000
Namacurra,1500 ,1100 , 2000
Namarói,<500 ,<200 , <500
Nampula,1800 ,1400 , 2300
Namuno,<1000 ,<500 , <1000
Nangade,<500 ,<200 , <500
Ngaúma,<200 ,<100 , <500
Nhamatanda,1500 ,1000 , 2000
Nhlamankulu,1200 ,<1000 , 1700
Nicoadala,1200 ,<1000 , 1600
Nipepe,<100 ,<100 , <200
Palma,<200 ,<200 , <500
Panda,<200 ,<100 , <200
Pebane,1400 ,1100 , 1900
Pemba,<1000 ,<500 , <1000
Quelimane,2900 ,2300 , 3700
Quissanga,<200 ,<100 , <200
Rapale,<500 ,<200 , <500
Ribáuè,<500 ,<500 , <1000
Sanga,<200 ,<100 , <500
Sussendenga,<1000 ,<500 , <1000
Tambara,<200 ,<100 , <500
Tete,2400 ,1900 , 3000
Tsangano,<500 ,<200 , <500
Vanduzi,<1000 ,<500 , <1000
Vilankulo,<1000 ,<500 , <1000
Xai-Xai,<1000 ,<1000 , 1200
Zavala,<500 ,<500 , <1000
Zumbu,<200 ,<100 , <500
National,100 000 ,53 000,230 000
