States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,2.40 ,0.74 , 4.53,3.02 ,1.10 , 5.56,3.64 ,1.47 , 6.61,4.43 ,2.11 , 7.45,5.23 ,2.89 , 8.80,6.14 ,3.57 , 9.77,6.93 ,4.35 , 10.47,7.63 ,4.96 , 11.36,8.39 ,5.71 , 12.59,8.88 ,6.26 , 12.67,9.63 ,6.78 , 14.01,9.76 ,6.81 , 14.17,10.45 ,7.51 , 14.30,10.70 ,7.81 , 14.97,11.07 ,8.15 , 15.70,11.01 ,7.92 , 14.86,11.74 ,8.63 , 16.13,12.09 ,8.72 , 16.66,11.96 ,8.71 , 16.43,11.80 ,8.54 , 16.24,11.86 ,8.42 , 16.51,11.82 ,7.86 , 16.41,11.77 ,7.72 , 16.70,11.56 ,7.34 , 16.94,11.11 ,7.06 , 16.80,10.62 ,6.28 , 16.13,10.03 ,5.68 , 15.81,9.62 ,5.30 , 15.27,9.43 ,5.06 , 15.48,9.20 ,4.79 , 15.82
Cidade de Maputo,1.86 ,1.11 , 2.96,2.59 ,1.57 , 4.13,3.48 ,2.18 , 5.38,4.65 ,2.98 , 6.99,5.99 ,3.99 , 8.96,7.63 ,5.32 , 10.65,9.31 ,6.42 , 12.28,10.91 ,7.82 , 14.04,12.65 ,9.21 , 16.65,13.81 ,10.01 , 17.95,14.70 ,11.28 , 19.21,15.34 ,11.73 , 19.22,15.04 ,11.67 , 18.66,14.28 ,11.74 , 17.25,13.58 ,11.17 , 16.21,13.15 ,10.55 , 15.50,12.55 ,10.19 , 14.96,11.89 ,9.43 , 14.25,11.45 ,9.33 , 13.68,11.48 ,9.13 , 13.86,10.94 ,8.34 , 13.17,9.71 ,7.35 , 12.10,8.68 ,6.27 , 11.05,8.18 ,5.85 , 10.70,6.47 ,4.42 , 8.72,5.90 ,3.92 , 8.03,5.15 ,3.34 , 7.27,4.48 ,3.04 , 6.73,4.29 ,2.87 , 6.52,4.06 ,2.69 , 6.30
Gaza,1.70 ,0.24 , 8.05,2.61 ,0.50 , 10.79,3.99 ,0.97 , 13.69,6.13 ,1.81 , 18.04,9.41 ,3.60 , 21.02,13.29 ,6.14 , 25.59,18.77 ,10.02 , 28.98,24.39 ,14.86 , 35.83,31.12 ,22.19 , 43.94,35.42 ,26.31 , 49.23,38.46 ,27.87 , 52.29,40.15 ,29.16 , 55.59,37.87 ,28.64 , 49.38,34.78 ,26.85 , 44.20,31.39 ,25.62 , 38.70,29.48 ,24.11 , 35.83,27.50 ,22.57 , 34.14,26.84 ,21.87 , 32.99,25.88 ,21.41 , 31.97,24.59 ,19.95 , 30.67,23.17 ,18.73 , 29.16,21.52 ,17.36 , 28.19,19.78 ,15.75 , 25.70,17.61 ,13.38 , 23.62,16.84 ,12.68 , 22.88,15.07 ,10.72 , 20.45,13.23 ,9.17 , 18.75,11.27 ,7.17 , 16.61,9.68 ,5.95 , 15.28,8.49 ,4.87 , 14.20
Inhambane,2.09 ,0.69 , 3.82,2.55 ,1.04 , 4.57,3.12 ,1.47 , 5.17,3.69 ,1.81 , 5.87,4.38 ,2.32 , 6.56,4.84 ,2.67 , 7.30,5.49 ,3.28 , 7.85,5.97 ,3.79 , 8.13,6.58 ,4.35 , 9.06,7.08 ,4.96 , 9.63,7.62 ,5.51 , 10.41,7.74 ,5.71 , 10.19,8.24 ,6.26 , 10.85,8.36 ,6.36 , 11.16,8.95 ,6.95 , 11.81,8.78 ,6.73 , 11.09,9.34 ,7.38 , 12.02,9.56 ,7.42 , 12.13,9.87 ,7.76 , 12.44,10.30 ,8.01 , 13.01,10.72 ,8.21 , 13.68,10.71 ,8.35 , 14.05,10.68 ,8.04 , 14.31,10.96 ,8.08 , 15.23,10.40 ,7.48 , 14.95,10.05 ,7.11 , 14.30,9.47 ,6.21 , 14.15,8.45 ,4.91 , 13.29,8.01 ,4.41 , 13.12,7.36 ,3.97 , 12.84
Manica,6.45 ,2.78 , 10.69,8.76 ,4.61 , 13.89,11.33 ,6.99 , 16.90,13.88 ,8.98 , 19.59,16.76 ,11.94 , 22.78,18.48 ,13.43 , 25.51,19.72 ,14.78 , 27.00,19.94 ,15.00 , 27.60,20.53 ,15.13 , 27.39,19.73 ,14.85 , 25.94,19.27 ,14.39 , 25.10,17.62 ,13.24 , 23.24,16.96 ,12.29 , 21.68,15.61 ,11.73 , 20.10,14.89 ,11.15 , 19.34,13.66 ,9.81 , 17.08,13.19 ,9.98 , 17.06,12.58 ,9.68 , 16.15,12.29 ,9.33 , 15.80,12.00 ,8.94 , 15.67,11.59 ,8.76 , 15.23,11.08 ,8.04 , 14.78,10.56 ,7.64 , 14.39,10.05 ,6.97 , 14.20,9.46 ,6.55 , 13.46,8.23 ,5.80 , 12.14,7.63 ,5.18 , 12.02,7.02 ,4.59 , 11.55,6.10 ,3.69 , 10.60,5.90 ,3.49 , 10.60
Maputo,3.73 ,1.71 , 8.15,4.96 ,2.44 , 9.64,6.84 ,3.58 , 12.76,8.75 ,5.04 , 14.14,11.07 ,6.92 , 16.91,13.17 ,9.05 , 18.69,15.46 ,11.27 , 20.41,17.82 ,13.30 , 23.55,19.30 ,14.56 , 24.77,20.34 ,16.14 , 25.82,21.16 ,16.63 , 26.12,21.07 ,17.00 , 26.35,21.55 ,17.28 , 26.15,21.22 ,17.68 , 25.51,20.91 ,17.55 , 25.45,20.59 ,17.42 , 24.44,20.25 ,17.08 , 24.32,20.30 ,16.80 , 24.22,19.95 ,17.10 , 23.53,19.22 ,16.27 , 23.12,19.01 ,15.64 , 22.21,18.12 ,14.75 , 21.53,17.20 ,13.62 , 20.33,16.59 ,13.22 , 19.72,15.63 ,11.92 , 19.05,14.55 ,11.14 , 18.11,13.83 ,10.58 , 17.83,12.86 ,9.39 , 16.24,11.89 ,8.45 , 15.56,10.99 ,7.77 , 14.70
Nampula,1.03 ,0.33 , 1.90,1.27 ,0.47 , 2.28,1.55 ,0.63 , 2.57,1.79 ,0.86 , 2.84,1.99 ,1.07 , 3.08,2.32 ,1.41 , 3.59,2.56 ,1.57 , 3.92,2.84 ,1.86 , 4.23,3.12 ,2.11 , 4.65,3.34 ,2.31 , 4.98,3.53 ,2.54 , 5.10,3.81 ,2.67 , 5.45,3.93 ,2.88 , 5.68,4.13 ,3.05 , 5.70,4.30 ,3.18 , 5.89,4.46 ,3.19 , 5.85,4.68 ,3.46 , 6.14,4.87 ,3.70 , 6.39,5.12 ,3.97 , 6.71,5.38 ,4.16 , 7.07,5.78 ,4.32 , 7.64,6.09 ,4.59 , 7.73,6.38 ,4.88 , 8.15,6.66 ,5.00 , 8.94,6.76 ,4.85 , 8.83,6.96 ,5.05 , 9.39,7.01 ,5.02 , 9.90,7.09 ,4.88 , 10.43,7.13 ,4.68 , 10.75,7.20 ,4.48 , 11.50
Niassa,2.84 ,0.85 , 6.94,3.33 ,1.15 , 7.58,4.09 ,1.66 , 8.47,4.61 ,2.11 , 9.01,5.26 ,2.78 , 9.32,5.33 ,3.14 , 8.73,5.66 ,3.51 , 8.66,5.60 ,3.42 , 8.63,5.51 ,3.66 , 8.60,5.91 ,3.87 , 8.68,5.76 ,3.86 , 8.52,5.83 ,3.90 , 8.51,5.49 ,3.85 , 8.04,5.33 ,3.79 , 7.68,5.04 ,3.55 , 7.20,5.01 ,3.54 , 7.11,5.04 ,3.51 , 7.23,4.89 ,3.41 , 6.74,4.82 ,3.51 , 6.74,4.87 ,3.60 , 6.86,4.85 ,3.50 , 6.91,4.94 ,3.43 , 7.10,4.98 ,3.35 , 7.51,4.83 ,3.07 , 7.63,4.94 ,3.18 , 8.03,5.08 ,3.15 , 7.90,5.18 ,3.16 , 8.23,5.04 ,2.84 , 7.93,4.79 ,2.53 , 8.09,4.49 ,2.28 , 8.13
Sofala,6.93 ,3.74 , 10.10,8.86 ,5.21 , 12.62,10.89 ,7.00 , 15.10,12.34 ,8.05 , 16.81,13.95 ,10.01 , 19.36,14.92 ,10.99 , 19.91,15.97 ,11.56 , 22.21,16.55 ,11.99 , 22.03,16.93 ,12.98 , 23.12,17.39 ,13.23 , 23.07,17.33 ,13.18 , 22.60,16.99 ,13.02 , 22.34,16.04 ,11.59 , 20.53,15.79 ,12.15 , 20.79,15.40 ,12.02 , 19.76,14.95 ,11.13 , 18.65,14.83 ,11.32 , 18.41,14.35 ,11.28 , 18.13,14.14 ,10.91 , 17.81,14.21 ,11.19 , 17.92,14.37 ,11.27 , 17.78,14.30 ,11.11 , 18.06,14.09 ,10.60 , 17.62,13.77 ,10.27 , 17.30,13.38 ,9.90 , 17.20,12.98 ,9.50 , 17.04,12.08 ,8.46 , 16.75,11.65 ,7.88 , 16.26,11.09 ,7.45 , 16.25,10.86 ,7.11 , 16.43
Tete,8.00 ,4.62 , 13.72,9.29 ,5.73 , 14.67,9.73 ,6.24 , 14.38,9.83 ,6.58 , 14.05,9.64 ,6.75 , 13.86,9.59 ,6.67 , 13.72,8.96 ,6.18 , 12.72,8.23 ,5.65 , 11.61,7.27 ,5.20 , 10.26,6.77 ,4.98 , 9.30,6.56 ,4.83 , 8.84,6.06 ,4.57 , 8.05,5.89 ,4.55 , 7.74,5.39 ,4.24 , 6.95,4.97 ,3.77 , 6.47,4.72 ,3.64 , 6.06,4.46 ,3.37 , 5.76,4.20 ,3.15 , 5.41,3.95 ,2.97 , 5.18,3.80 ,2.87 , 5.05,3.63 ,2.73 , 4.94,3.43 ,2.53 , 4.55,3.26 ,2.32 , 4.51,3.13 ,2.20 , 4.48,2.72 ,1.83 , 4.09,2.43 ,1.61 , 3.64,2.21 ,1.45 , 3.42,1.96 ,1.18 , 3.13,1.72 ,0.97 , 2.81,1.55 ,0.88 , 2.76
