States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,1.17 ,0.34 , 2.18,1.49 ,0.54 , 2.78,1.82 ,0.74 , 3.29,2.26 ,1.03 , 3.84,2.69 ,1.45 , 4.42,3.18 ,1.88 , 5.18,3.60 ,2.19 , 5.48,3.97 ,2.59 , 5.84,4.37 ,2.99 , 6.52,4.62 ,3.28 , 6.68,4.99 ,3.52 , 7.23,5.07 ,3.62 , 7.31,5.39 ,3.90 , 7.58,5.52 ,4.01 , 7.67,5.69 ,4.11 , 7.86,5.67 ,4.09 , 7.73,6.01 ,4.37 , 8.20,6.10 ,4.47 , 8.48,6.07 ,4.46 , 8.32,5.89 ,4.20 , 8.18,6.07 ,4.21 , 8.42,5.84 ,3.83 , 8.12,5.71 ,3.74 , 8.11,5.58 ,3.62 , 8.23,5.37 ,3.45 , 8.27,5.16 ,3.18 , 8.03,4.89 ,2.93 , 7.81,4.72 ,2.66 , 7.61,4.64 ,2.63 , 7.61,4.55 ,2.45 , 7.87
Cidade de Maputo,1.04 ,0.58 , 1.72,1.46 ,0.85 , 2.40,1.99 ,1.21 , 3.29,2.70 ,1.70 , 4.39,3.53 ,2.30 , 5.68,4.54 ,3.08 , 6.95,5.57 ,3.75 , 7.80,6.57 ,4.71 , 9.27,7.64 ,5.65 , 10.22,8.41 ,6.14 , 11.24,9.05 ,6.92 , 11.89,9.55 ,7.19 , 12.14,9.53 ,7.46 , 12.19,9.23 ,7.49 , 11.24,8.93 ,7.25 , 11.01,8.72 ,7.02 , 10.82,8.35 ,6.80 , 10.24,7.49 ,5.99 , 9.38,7.34 ,6.02 , 9.10,7.38 ,5.90 , 9.29,7.17 ,5.63 , 9.05,6.32 ,4.78 , 8.04,5.37 ,3.96 , 6.94,5.12 ,3.67 , 6.92,4.23 ,2.96 , 5.77,3.91 ,2.66 , 5.73,3.46 ,2.30 , 5.06,3.05 ,2.01 , 4.55,2.92 ,1.92 , 4.50,2.76 ,1.78 , 4.27
Gaza,0.70 ,0.09 , 3.41,1.12 ,0.21 , 4.71,1.77 ,0.39 , 5.88,2.82 ,0.79 , 8.01,4.43 ,1.69 , 9.94,6.39 ,2.77 , 11.82,9.09 ,4.71 , 14.13,11.88 ,7.33 , 17.20,15.18 ,10.69 , 21.06,17.36 ,13.13 , 23.76,18.99 ,14.38 , 25.65,19.95 ,14.56 , 26.87,19.12 ,14.95 , 24.52,17.92 ,14.17 , 22.35,16.55 ,13.75 , 20.01,15.80 ,13.07 , 19.07,15.00 ,12.53 , 18.13,13.83 ,11.19 , 16.74,13.57 ,11.31 , 16.63,12.87 ,10.66 , 16.10,12.84 ,10.49 , 15.87,11.24 ,9.02 , 14.17,10.11 ,8.11 , 13.14,9.06 ,7.00 , 12.30,8.76 ,6.68 , 11.57,7.91 ,5.86 , 10.52,7.05 ,4.96 , 9.95,6.00 ,4.00 , 8.56,5.22 ,3.29 , 8.00,4.61 ,2.77 , 7.45
Inhambane,1.01 ,0.34 , 1.93,1.27 ,0.54 , 2.37,1.61 ,0.76 , 2.85,1.97 ,0.99 , 3.23,2.39 ,1.24 , 3.76,2.71 ,1.49 , 4.26,3.10 ,1.77 , 4.70,3.41 ,2.13 , 4.86,3.78 ,2.52 , 5.43,4.09 ,2.85 , 5.73,4.43 ,3.26 , 6.11,4.56 ,3.40 , 6.31,4.86 ,3.75 , 6.55,4.97 ,3.85 , 6.71,5.31 ,4.19 , 7.11,5.26 ,4.20 , 6.70,5.57 ,4.47 , 7.25,5.45 ,4.29 , 6.94,5.69 ,4.44 , 7.25,5.93 ,4.56 , 7.52,6.40 ,4.90 , 8.14,6.20 ,4.74 , 8.07,6.04 ,4.57 , 8.08,6.06 ,4.53 , 8.44,5.88 ,4.33 , 8.30,5.78 ,4.10 , 8.23,5.50 ,3.59 , 8.31,4.84 ,2.93 , 7.57,4.68 ,2.57 , 7.72,4.37 ,2.40 , 7.56
Manica,3.13 ,1.31 , 5.26,4.32 ,2.21 , 6.98,5.72 ,3.50 , 8.57,7.16 ,4.68 , 10.49,8.79 ,6.25 , 12.23,9.84 ,7.26 , 13.81,10.61 ,8.14 , 14.89,10.84 ,8.12 , 14.87,11.22 ,8.35 , 15.16,10.91 ,8.19 , 14.31,10.73 ,8.12 , 13.98,9.97 ,7.65 , 12.75,9.65 ,7.14 , 12.49,8.98 ,6.90 , 11.58,8.58 ,6.57 , 11.08,7.96 ,6.02 , 10.10,7.66 ,5.90 , 9.84,7.20 ,5.51 , 9.41,7.02 ,5.42 , 9.02,6.76 ,4.99 , 8.86,6.73 ,5.06 , 8.65,6.40 ,4.71 , 8.45,5.86 ,4.20 , 7.83,5.41 ,3.80 , 7.62,4.93 ,3.47 , 7.03,4.30 ,3.06 , 6.23,4.01 ,2.78 , 6.21,3.70 ,2.40 , 5.92,3.24 ,2.08 , 5.47,3.14 ,1.96 , 5.51
Maputo,1.93 ,0.85 , 4.36,2.60 ,1.26 , 5.47,3.64 ,1.88 , 7.10,4.72 ,2.70 , 7.90,6.05 ,3.73 , 9.51,7.28 ,4.98 , 10.70,8.61 ,6.08 , 11.98,9.97 ,7.55 , 13.59,10.88 ,8.59 , 14.43,11.56 ,9.19 , 15.13,12.15 ,9.74 , 15.30,12.27 ,10.12 , 15.76,12.66 ,10.28 , 15.58,12.64 ,10.57 , 15.48,12.61 ,10.62 , 15.71,12.57 ,10.38 , 15.32,12.51 ,10.63 , 15.23,11.82 ,9.62 , 14.47,11.77 ,9.85 , 14.30,11.24 ,9.52 , 13.43,11.88 ,9.73 , 13.99,10.80 ,8.88 , 12.93,10.32 ,8.30 , 12.38,10.41 ,8.36 , 12.43,9.50 ,7.36 , 11.92,8.86 ,6.76 , 11.24,8.66 ,6.51 , 10.98,7.97 ,5.77 , 10.25,7.45 ,5.34 , 9.74,6.95 ,4.99 , 9.22
Nampula,0.57 ,0.17 , 1.07,0.71 ,0.25 , 1.31,0.87 ,0.34 , 1.53,1.02 ,0.47 , 1.69,1.15 ,0.59 , 1.79,1.34 ,0.79 , 2.10,1.49 ,0.93 , 2.32,1.65 ,1.09 , 2.46,1.81 ,1.21 , 2.66,1.94 ,1.33 , 2.85,2.04 ,1.49 , 2.91,2.19 ,1.56 , 3.13,2.26 ,1.64 , 3.20,2.37 ,1.73 , 3.30,2.46 ,1.82 , 3.45,2.54 ,1.84 , 3.47,2.66 ,1.97 , 3.62,2.64 ,1.96 , 3.55,2.79 ,2.13 , 3.68,2.79 ,2.10 , 3.69,3.13 ,2.33 , 4.10,3.13 ,2.38 , 4.21,3.28 ,2.50 , 4.40,3.50 ,2.58 , 4.79,3.54 ,2.54 , 4.90,3.62 ,2.64 , 5.15,3.73 ,2.59 , 5.29,3.71 ,2.50 , 5.41,3.71 ,2.45 , 5.57,3.75 ,2.37 , 6.18
Niassa,1.51 ,0.44 , 3.68,1.80 ,0.59 , 4.10,2.25 ,0.87 , 4.64,2.59 ,1.14 , 5.09,3.00 ,1.51 , 5.30,3.12 ,1.75 , 5.25,3.34 ,2.05 , 5.27,3.36 ,2.06 , 5.27,3.35 ,2.10 , 5.19,3.57 ,2.34 , 5.27,3.50 ,2.32 , 5.23,3.53 ,2.40 , 5.16,3.37 ,2.32 , 4.84,3.27 ,2.20 , 4.71,3.11 ,2.15 , 4.45,3.07 ,2.13 , 4.34,3.06 ,2.15 , 4.32,2.97 ,2.04 , 4.09,2.93 ,2.12 , 4.06,2.93 ,2.14 , 4.13,2.95 ,2.06 , 4.24,2.86 ,1.94 , 4.11,2.74 ,1.80 , 4.12,2.71 ,1.70 , 4.18,2.75 ,1.71 , 4.38,2.80 ,1.71 , 4.55,2.84 ,1.69 , 4.55,2.72 ,1.55 , 4.32,2.63 ,1.38 , 4.41,2.46 ,1.27 , 4.49
Sofala,3.63 ,1.90 , 5.31,4.70 ,2.69 , 6.72,5.89 ,3.61 , 8.10,6.81 ,4.49 , 9.43,7.81 ,5.54 , 10.85,8.47 ,6.05 , 11.40,9.12 ,6.62 , 12.64,9.51 ,6.94 , 12.71,9.76 ,7.45 , 13.28,10.03 ,7.58 , 13.37,10.02 ,7.65 , 13.35,9.86 ,7.48 , 12.84,9.38 ,7.07 , 12.12,9.23 ,7.00 , 12.02,8.97 ,6.95 , 11.60,8.72 ,6.58 , 10.89,8.59 ,6.66 , 10.86,8.25 ,6.44 , 10.34,8.09 ,6.32 , 10.18,7.96 ,6.29 , 9.94,8.26 ,6.55 , 10.24,8.11 ,6.20 , 10.09,7.21 ,5.47 , 9.07,7.03 ,5.29 , 8.90,6.92 ,5.13 , 8.80,6.72 ,4.89 , 8.74,6.30 ,4.42 , 8.66,6.08 ,4.11 , 8.51,5.82 ,3.95 , 8.48,5.71 ,3.76 , 8.72
Tete,4.65 ,2.75 , 8.07,5.50 ,3.39 , 9.10,5.95 ,3.86 , 9.06,6.21 ,4.16 , 8.96,6.29 ,4.26 , 8.98,6.40 ,4.46 , 8.98,6.15 ,4.24 , 8.66,5.82 ,4.09 , 8.03,5.33 ,3.75 , 7.21,5.05 ,3.71 , 6.72,4.90 ,3.60 , 6.47,4.58 ,3.44 , 5.99,4.42 ,3.34 , 5.79,4.09 ,3.16 , 5.36,3.79 ,2.89 , 5.01,3.57 ,2.73 , 4.59,3.35 ,2.59 , 4.31,3.13 ,2.38 , 4.07,2.94 ,2.22 , 3.81,2.76 ,2.08 , 3.58,2.70 ,2.02 , 3.57,2.55 ,1.92 , 3.34,2.11 ,1.46 , 2.86,2.02 ,1.38 , 2.86,1.64 ,1.10 , 2.44,1.46 ,0.96 , 2.23,1.38 ,0.87 , 2.21,1.22 ,0.72 , 1.97,1.09 ,0.60 , 1.82,0.96 ,0.54 , 1.77
