States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,1200 ,<500 , 2200,1600 ,<1000 , 2900,2000 ,<1000 , 3500,2700 ,1200 , 4400,3300 ,1800 , 5400,4100 ,2400 , 6400,4900 ,3100 , 7300,5600 ,3700 , 8300,6300 ,4400 , 9100,6900 ,4900 , 10 000,7700 ,5500 , 11 000,8000 ,5900 , 11 000,8800 ,6400 , 12 000,9300 ,6800 , 13 000,9900 ,7300 , 13 000,10 000 ,7500 , 13 000,11 000 ,8200 , 15 000,12 000 ,8600 , 15 000,12 000 ,8700 , 16 000,12 000 ,8600 , 16 000,13 000 ,8900 , 17 000,12 000 ,8600 , 17 000,13 000 ,8500 , 17 000,13 000 ,8500 , 18 000,13 000 ,8100 , 19 000,12 000 ,7800 , 18 000,12 000 ,7300 , 18 000,12 000 ,7000 , 18 000,12 000 ,7000 , 19 000,12 000 ,6700 , 20 000
Cidade de Maputo,<1000 ,<500 , 1300,1100 ,<1000 , 1800,1600 ,1000 , 2500,2300 ,1500 , 3400,3100 ,2000 , 4600,4100 ,2800 , 5900,5200 ,3700 , 7200,6300 ,4600 , 8300,7500 ,5600 , 9600,8400 ,6400 , 11 000,9100 ,7000 , 12 000,9800 ,7700 , 12 000,9800 ,7900 , 12 000,9600 ,7900 , 11 000,9400 ,7800 , 11 000,9300 ,7700 , 11 000,9000 ,7500 , 10 000,8300 ,6800 , 9700,8200 ,6700 , 9700,8400 ,6700 , 10 000,8300 ,6700 , 10 000,7400 ,5800 , 9200,6500 ,4900 , 8200,6300 ,4600 , 8200,5200 ,3800 , 6900,4900 ,3400 , 6700,4400 ,2900 , 6100,3900 ,2700 , 5500,3800 ,2600 , 5600,3700 ,2400 , 5400
Gaza,<1000 ,<100 , 2600,<1000 ,<200 , 3500,1400 ,<500 , 4900,2400 ,<1000 , 6800,4000 ,1500 , 8900,6000 ,2800 , 11 000,8800 ,4700 , 13 000,12 000 ,7400 , 16 000,15 000 ,11 000 , 21 000,18 000 ,13 000 , 23 000,20 000 ,14 000 , 27 000,21 000 ,15 000 , 27 000,20 000 ,16 000 , 25 000,19 000 ,15 000 , 23 000,17 000 ,15 000 , 20 000,17 000 ,14 000 , 19 000,16 000 ,14 000 , 19 000,15 000 ,13 000 , 18 000,15 000 ,13 000 , 18 000,15 000 ,13 000 , 18 000,15 000 ,13 000 , 18 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 15 000,11 000 ,9200 , 14 000,11 000 ,8900 , 14 000,10 000 ,8000 , 14 000,9600 ,6800 , 13 000,8400 ,5800 , 12 000,7500 ,4900 , 11 000,6800 ,4400 , 10 000
Inhambane,<1000 ,<500 , 1500,1100 ,<500 , 1900,1400 ,<1000 , 2300,1800 ,<1000 , 2800,2300 ,1200 , 3500,2700 ,1500 , 4000,3200 ,1900 , 4600,3700 ,2400 , 5100,4200 ,2800 , 5500,4600 ,3300 , 6200,5100 ,3800 , 6900,5400 ,4000 , 7200,5900 ,4500 , 7700,6100 ,4800 , 7900,6700 ,5400 , 8600,6800 ,5400 , 8500,7300 ,6000 , 9000,7400 ,5900 , 9200,7900 ,6100 , 9800,8400 ,6600 , 11 000,9200 ,7200 , 12 000,9200 ,7000 , 12 000,9200 ,7000 , 12 000,9400 ,7200 , 13 000,9300 ,6800 , 13 000,9300 ,6600 , 13 000,9000 ,5900 , 13 000,8100 ,5000 , 12 000,8000 ,4700 , 13 000,7600 ,4200 , 13 000
Manica,2500 ,1100 , 4100,3600 ,1900 , 5700,5100 ,3000 , 7500,6700 ,4500 , 9500,8600 ,6100 , 12 000,10 000 ,7500 , 14 000,11 000 ,8500 , 15 000,12 000 ,9000 , 15 000,12 000 ,9500 , 16 000,12 000 ,9400 , 16 000,12 000 ,9800 , 16 000,12 000 ,9300 , 15 000,12 000 ,9300 , 15 000,11 000 ,9100 , 14 000,11 000 ,8800 , 13 000,11 000 ,8500 , 13 000,11 000 ,8400 , 13 000,10 000 ,7900 , 13 000,10 000 ,8200 , 13 000,10 000 ,8000 , 13 000,11 000 ,8100 , 13 000,10 000 ,7900 , 13 000,9800 ,7400 , 13 000,9400 ,6700 , 12 000,8900 ,6500 , 12 000,8100 ,5800 , 11 000,7800 ,5500 , 11 000,7400 ,5200 , 12 000,6700 ,4400 , 11 000,6800 ,4300 , 12 000
Maputo,2800 ,1300 , 5900,3900 ,1900 , 7700,5700 ,3100 , 10 000,7700 ,4500 , 13 000,10 000 ,6600 , 16 000,13 000 ,9100 , 18 000,16 000 ,12 000 , 21 000,19 000 ,14 000 , 25 000,21 000 ,17 000 , 27 000,23 000 ,19 000 , 28 000,25 000 ,21 000 , 30 000,25 000 ,21 000 , 30 000,27 000 ,23 000 , 32 000,27 000 ,23 000 , 32 000,28 000 ,24 000 , 32 000,28 000 ,24 000 , 32 000,28 000 ,25 000 , 33 000,28 000 ,24 000 , 32 000,28 000 ,24 000 , 32 000,27 000 ,24 000 , 31 000,29 000 ,25 000 , 33 000,27 000 ,23 000 , 32 000,27 000 ,22 000 , 31 000,27 000 ,22 000 , 32 000,26 000 ,21 000 , 31 000,24 000 ,19 000 , 29 000,24 000 ,19 000 , 29 000,23 000 ,17 000 , 28 000,21 000 ,16 000 , 27 000,20 000 ,15 000 , 26 000
Nampula,1800 ,<1000 , 3400,2300 ,<1000 , 4100,2900 ,1100 , 5000,3600 ,1600 , 5800,4200 ,2200 , 6500,5100 ,3000 , 7900,5800 ,3700 , 8800,6700 ,4300 , 9600,7500 ,5100 , 11 000,8200 ,5500 , 12 000,8900 ,6500 , 13 000,9700 ,7200 , 14 000,10 000 ,7600 , 14 000,11 000 ,8100 , 15 000,12 000 ,8800 , 16 000,12 000 ,9300 , 16 000,13 000 ,9900 , 17 000,14 000 ,10 000 , 17 000,15 000 ,11 000 , 19 000,15 000 ,12 000 , 20 000,17 000 ,13 000 , 23 000,18 000 ,14 000 , 23 000,19 000 ,14 000 , 25 000,21 000 ,15 000 , 28 000,22 000 ,16 000 , 29 000,23 000 ,16 000 , 30 000,24 000 ,17 000 , 33 000,24 000 ,17 000 , 35 000,25 000 ,17 000 , 38 000,26 000 ,16 000 , 41 000
Niassa,1100 ,<500 , 2800,1400 ,<500 , 3200,1900 ,<1000 , 3800,2300 ,1000 , 4400,2800 ,1400 , 4900,3000 ,1800 , 4900,3400 ,2100 , 5200,3500 ,2200 , 5300,3600 ,2300 , 5400,4000 ,2700 , 6000,4100 ,2800 , 5900,4300 ,3000 , 6000,4200 ,3000 , 5900,4200 ,2900 , 5900,4200 ,2900 , 5700,4300 ,3100 , 5800,4400 ,3100 , 6000,4400 ,3100 , 6000,4500 ,3300 , 6100,4700 ,3500 , 6400,4900 ,3500 , 6800,4900 ,3500 , 7100,4900 ,3400 , 7400,5100 ,3300 , 7800,5300 ,3400 , 8300,5600 ,3500 , 8800,5900 ,3600 , 9300,5900 ,3500 , 9300,5900 ,3200 , 9600,5700 ,2900 , 9900
Sofala,3900 ,2000 , 5800,5200 ,3100 , 7400,6800 ,4300 , 9300,8300 ,5500 , 11 000,9900 ,7000 , 13 000,11 000 ,8200 , 15 000,12 000 ,9200 , 16 000,13 000 ,10 000 , 18 000,14 000 ,11 000 , 18 000,15 000 ,11 000 , 19 000,15 000 ,11 000 , 19 000,15 000 ,12 000 , 19 000,15 000 ,11 000 , 18 000,15 000 ,11 000 , 18 000,15 000 ,11 000 , 17 000,14 000 ,12 000 , 17 000,15 000 ,12 000 , 17 000,14 000 ,12 000 , 17 000,14 000 ,12 000 , 17 000,15 000 ,12 000 , 18 000,16 000 ,13 000 , 19 000,16 000 ,13 000 , 19 000,15 000 ,12 000 , 18 000,15 000 ,12 000 , 18 000,15 000 ,11 000 , 18 000,15 000 ,11 000 , 19 000,14 000 ,10 000 , 19 000,14 000 ,10 000 , 19 000,14 000 ,9600 , 19 000,14 000 ,9600 , 20 000
Tete,6300 ,3800 , 11 000,7700 ,4900 , 12 000,8700 ,5800 , 13 000,9400 ,6300 , 13 000,9900 ,6900 , 14 000,10 000 ,7300 , 14 000,10 000 ,7300 , 14 000,9900 ,7000 , 13 000,9300 ,6700 , 12 000,9000 ,6600 , 12 000,8900 ,6700 , 12 000,8600 ,6600 , 11 000,8500 ,6700 , 11 000,8100 ,6400 , 10 000,7700 ,6100 , 9700,7400 ,5900 , 9200,7200 ,5700 , 9000,6900 ,5400 , 8700,6600 ,5100 , 8500,6500 ,4900 , 8400,6500 ,5000 , 8300,6300 ,4900 , 8100,5500 ,3900 , 7400,5400 ,3800 , 7500,4600 ,3200 , 6500,4200 ,2900 , 6300,4100 ,2600 , 6200,3700 ,2300 , 5900,3400 ,1900 , 5600,3100 ,1800 , 5500
