States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<500 ,<200 , 1000,<1000 ,<200 , 1300,<1000 ,<500 , 1500,1100 ,<500 , 1800,1300 ,<1000 , 2200,1700 ,<1000 , 2700,1900 ,<1000 , 3000,2200 ,1100 , 3400,2400 ,1300 , 3800,2600 ,1400 , 4000,2800 ,1600 , 4300,2900 ,1600 , 4400,3200 ,1700 , 4700,3300 ,1800 , 4900,3600 ,1900 , 5200,3700 ,2000 , 5200,4100 ,2200 , 5800,4400 ,2200 , 6100,4500 ,2300 , 6300,4700 ,2300 , 6600,4900 ,2500 , 7100,5200 ,2700 , 7500,5400 ,2900 , 8100,5500 ,3000 , 8500,5500 ,3100 , 8400,5500 ,3000 , 8400,5400 ,2900 , 8400,5300 ,2900 , 8600,5400 ,2800 , 8900,5400 ,2800 , 9000
Cidade de Maputo,<500 ,<200 , <500,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1200,1000 ,<1000 , 1600,1400 ,<1000 , 2100,1700 ,<1000 , 2400,2000 ,1100 , 2900,2400 ,1300 , 3400,2600 ,1400 , 3700,2800 ,1500 , 3900,2900 ,1600 , 4000,2900 ,1600 , 3800,2800 ,1600 , 3600,2700 ,1500 , 3500,2700 ,1500 , 3400,2700 ,1500 , 3400,2600 ,1500 , 3400,2600 ,1500 , 3500,2800 ,1600 , 3600,2700 ,1500 , 3600,2500 ,1400 , 3300,2300 ,1300 , 3100,2300 ,1300 , 3000,1800 ,1000 , 2600,1700 ,<1000 , 2400,1500 ,<1000 , 2200,1300 ,<1000 , 2000,1200 ,<1000 , 2000,1200 ,<1000 , 1900
Gaza,<500 ,<100 , 1200,<500 ,<100 , 1600,<1000 ,<200 , 2200,1000 ,<500 , 3000,1700 ,<1000 , 3900,2600 ,1100 , 5100,3700 ,1700 , 6200,4900 ,2700 , 7300,6200 ,3700 , 9000,6900 ,4300 , 9600,7400 ,4800 , 11 000,7700 ,5000 , 11 000,7300 ,4700 , 9800,6700 ,4300 , 8500,6200 ,3900 , 7700,6000 ,3500 , 7400,5800 ,3400 , 7300,5900 ,3400 , 7400,5900 ,3400 , 7600,5900 ,3400 , 7600,5900 ,3300 , 7700,5700 ,3100 , 7400,5500 ,3000 , 7200,5100 ,2800 , 6900,5000 ,2800 , 6900,4600 ,2500 , 6400,4100 ,2200 , 6000,3600 ,1900 , 5400,3100 ,1600 , 5000,2800 ,1400 , 4700
Inhambane,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1400,1000 ,<1000 , 1600,1200 ,<1000 , 1800,1300 ,<1000 , 2000,1400 ,<1000 , 2100,1600 ,<1000 , 2300,1700 ,<1000 , 2500,1700 ,<1000 , 2500,1800 ,1000 , 2600,1900 ,1100 , 2600,2100 ,1200 , 2800,2100 ,1200 , 2700,2200 ,1200 , 3000,2400 ,1300 , 3300,2500 ,1300 , 3600,2800 ,1400 , 3800,3000 ,1500 , 4100,3100 ,1600 , 4400,3200 ,1800 , 4600,3500 ,1900 , 5000,3400 ,1800 , 5000,3300 ,1800 , 5100,3200 ,1700 , 5200,2900 ,1500 , 4900,2800 ,1400 , 4800,2600 ,1200 , 4600
Manica,<1000 ,<500 , 1700,1400 ,<1000 , 2300,2000 ,<1000 , 3100,2600 ,1300 , 3800,3300 ,1800 , 4800,3800 ,2100 , 5600,4100 ,2300 , 6000,4200 ,2400 , 5900,4400 ,2600 , 6100,4300 ,2500 , 5900,4200 ,2500 , 5900,3900 ,2300 , 5300,3900 ,2200 , 5200,3700 ,2100 , 4900,3600 ,2100 , 4900,3400 ,1900 , 4700,3500 ,1900 , 4700,3500 ,1900 , 4700,3500 ,2000 , 4800,3600 ,2000 , 4900,3700 ,1900 , 5000,3700 ,2000 , 5000,3800 ,2100 , 5100,3700 ,2100 , 5100,3700 ,2100 , 5200,3300 ,1800 , 4900,3200 ,1700 , 5000,3000 ,1600 , 5100,2700 ,1400 , 4900,2700 ,1400 , 4900
Maputo,<1000 ,<500 , 2400,1400 ,<1000 , 3000,2000 ,<1000 , 4000,2800 ,1400 , 5100,3800 ,2100 , 6200,4800 ,2600 , 7200,5800 ,3200 , 8500,6800 ,3700 , 9700,7500 ,4100 , 10 000,8000 ,4400 , 10 000,8400 ,4600 , 11 000,8500 ,4600 , 11 000,8900 ,4900 , 11 000,9000 ,5000 , 11 000,9100 ,5300 , 11 000,9300 ,5300 , 12 000,9500 ,5600 , 12 000,10 000 ,5900 , 12 000,10 000 ,5900 , 12 000,10 000 ,6100 , 13 000,11 000 ,6500 , 13 000,11 000 ,6500 , 13 000,11 000 ,6500 , 13 000,11 000 ,6300 , 13 000,10 000 ,6100 , 13 000,9600 ,5700 , 12 000,9400 ,5400 , 12 000,8800 ,4900 , 12 000,8100 ,4500 , 11 000,7600 ,4100 , 11 000
Nampula,<1000 ,<500 , 1400,<1000 ,<500 , 1700,1100 ,<500 , 2000,1300 ,<1000 , 2400,1500 ,<1000 , 2500,1800 ,<1000 , 2900,2000 ,1000 , 3200,2300 ,1200 , 3500,2500 ,1300 , 3900,2700 ,1400 , 4100,2900 ,1500 , 4300,3100 ,1500 , 4600,3300 ,1600 , 4800,3500 ,1700 , 5100,3700 ,1800 , 5300,3900 ,1900 , 5600,4200 ,2000 , 6100,4600 ,2100 , 6500,5000 ,2300 , 7000,5500 ,2500 , 7700,6200 ,2800 , 8500,6800 ,3100 , 9100,7400 ,3800 , 10 000,8000 ,4200 , 11 000,8400 ,4500 , 12 000,8900 ,4800 , 13 000,9200 ,5000 , 14 000,9600 ,5300 , 15 000,9800 ,5400 , 16 000,10 000 ,5600 , 17 000
Niassa,<500 ,<200 , 1000,<1000 ,<200 , 1200,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1900,1100 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 1800,1200 ,<1000 , 1900,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1200 ,<1000 , 1900,1300 ,<1000 , 2000,1400 ,<1000 , 2100,1400 ,<1000 , 2100,1400 ,<1000 , 2100,1500 ,<1000 , 2300,1600 ,<1000 , 2500,1700 ,<1000 , 2700,1800 ,<1000 , 3000,1900 ,<1000 , 3100,2000 ,1000 , 3400,2200 ,1100 , 3500,2300 ,1100 , 3700,2300 ,1100 , 3900,2300 ,<1000 , 3900,2200 ,<1000 , 4000
Sofala,1500 ,<1000 , 2200,2000 ,<1000 , 3000,2600 ,1400 , 3800,3100 ,1700 , 4400,3700 ,2000 , 5200,4100 ,2300 , 5800,4500 ,2600 , 6300,4700 ,2700 , 6700,4800 ,2800 , 6800,5000 ,2900 , 7000,5000 ,2800 , 6900,4900 ,2800 , 6800,4700 ,2600 , 6400,4700 ,2600 , 6300,4700 ,2600 , 6300,4700 ,2500 , 6300,4800 ,2600 , 6400,4900 ,2600 , 6400,5000 ,2600 , 6600,5300 ,2800 , 7000,5600 ,3000 , 7400,5800 ,3200 , 7700,6000 ,3400 , 8000,6100 ,3600 , 8100,6200 ,3600 , 8300,6200 ,3700 , 8500,6000 ,3300 , 8400,5900 ,3400 , 8600,5800 ,3400 , 8800,5800 ,3500 , 8900
Tete,2100 ,<1000 , 3800,2600 ,1200 , 4400,2900 ,1400 , 4600,3100 ,1700 , 4600,3200 ,1800 , 4600,3300 ,1800 , 4700,3100 ,1700 , 4400,2900 ,1600 , 4100,2600 ,1400 , 3600,2400 ,1300 , 3400,2400 ,1300 , 3300,2200 ,1200 , 3100,2200 ,1200 , 3000,2000 ,1100 , 2800,1900 ,1000 , 2700,1900 ,1000 , 2600,1800 ,1000 , 2600,1800 ,<1000 , 2600,1800 ,<1000 , 2500,1800 ,<1000 , 2500,1800 ,<1000 , 2500,1800 ,<1000 , 2600,1800 ,<1000 , 2600,1800 ,<1000 , 2700,1600 ,<1000 , 2400,1500 ,<1000 , 2300,1400 ,<1000 , 2200,1300 ,<1000 , 2100,1100 ,<1000 , 2000,1000 ,<500 , 1900
