States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<1000 ,<200 , 1100,<1000 ,<500 , 1400,1000 ,<500 , 1800,1300 ,<1000 , 2200,1700 ,<1000 , 2700,2100 ,1300 , 3200,2400 ,1600 , 3700,2700 ,1900 , 4100,3100 ,2200 , 4400,3300 ,2400 , 4800,3700 ,2700 , 5300,3800 ,2800 , 5200,4200 ,3000 , 5700,4400 ,3200 , 5700,4600 ,3400 , 6000,4700 ,3600 , 6200,5100 ,3700 , 6700,5400 ,4000 , 7100,5500 ,4000 , 7300,5600 ,4000 , 7400,5800 ,4000 , 7700,6000 ,4300 , 8100,6100 ,4300 , 8600,6200 ,4200 , 9000,6200 ,4000 , 9000,6100 ,3800 , 8800,5900 ,3600 , 8700,5900 ,3400 , 8800,6000 ,3400 , 9200,6000 ,3300 , 9200
Cidade de Maputo,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1300,1200 ,<1000 , 1800,1600 ,1100 , 2400,2200 ,1500 , 3000,2700 ,2000 , 3700,3300 ,2400 , 4300,3900 ,2900 , 5000,4400 ,3300 , 5600,4700 ,3600 , 5900,5000 ,4000 , 6100,5000 ,4100 , 5900,4800 ,4000 , 5600,4600 ,3900 , 5300,4600 ,3900 , 5200,4500 ,3700 , 5100,4300 ,3600 , 5000,4300 ,3400 , 5100,4400 ,3500 , 5300,4300 ,3400 , 5300,3900 ,3100 , 4700,3600 ,2700 , 4500,3500 ,2500 , 4400,2800 ,2000 , 3700,2600 ,1800 , 3500,2300 ,1600 , 3300,2100 ,1400 , 2900,2000 ,1400 , 3000,1900 ,1300 , 2800
Gaza,<500 ,<100 , 1400,<500 ,<100 , 2000,<1000 ,<200 , 2700,1300 ,<500 , 3700,2200 ,<1000 , 4800,3300 ,1500 , 5700,4700 ,2600 , 7000,6300 ,4000 , 8600,8100 ,6000 , 11 000,9100 ,6700 , 12 000,9800 ,7100 , 14 000,10 000 ,7500 , 13 000,9500 ,7300 , 12 000,8600 ,7100 , 10 000,7800 ,6500 , 9100,7400 ,6200 , 8600,7000 ,5800 , 8100,7000 ,5900 , 8200,6900 ,5900 , 8300,6700 ,5700 , 8000,6500 ,5400 , 7800,6200 ,5100 , 7400,5900 ,4800 , 7200,5400 ,4300 , 6800,5300 ,4200 , 6800,4900 ,3700 , 6500,4500 ,3300 , 6100,3900 ,2700 , 5500,3500 ,2300 , 5200,3200 ,2000 , 4700
Inhambane,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1500,1200 ,<1000 , 1800,1400 ,<1000 , 2100,1700 ,1000 , 2400,1900 ,1200 , 2600,2100 ,1500 , 2800,2300 ,1700 , 3100,2600 ,1900 , 3400,2700 ,2000 , 3500,2900 ,2200 , 3800,3000 ,2400 , 3800,3300 ,2600 , 4100,3300 ,2600 , 4100,3500 ,2900 , 4400,3700 ,3000 , 4500,3900 ,3100 , 4800,4200 ,3300 , 5200,4500 ,3500 , 5700,4600 ,3600 , 6000,4700 ,3600 , 6200,4900 ,3700 , 6700,4800 ,3400 , 6600,4700 ,3200 , 6600,4500 ,2900 , 6400,4100 ,2600 , 6300,4000 ,2400 , 6300,3800 ,2100 , 6100
Manica,1300 ,<1000 , 2100,1900 ,1000 , 2900,2600 ,1600 , 3800,3400 ,2300 , 4800,4400 ,3100 , 5900,5000 ,3800 , 6800,5500 ,4100 , 7300,5700 ,4300 , 7400,5900 ,4500 , 7500,5700 ,4400 , 7200,5700 ,4400 , 7100,5300 ,4000 , 6500,5100 ,4000 , 6200,4800 ,3800 , 5800,4700 ,3600 , 5600,4400 ,3500 , 5400,4400 ,3400 , 5300,4400 ,3400 , 5400,4400 ,3400 , 5500,4500 ,3500 , 5600,4500 ,3400 , 5600,4500 ,3400 , 5700,4400 ,3400 , 5700,4400 ,3200 , 5700,4300 ,3200 , 5900,3900 ,2700 , 5600,3700 ,2600 , 5600,3600 ,2400 , 5600,3200 ,2100 , 5400,3300 ,2000 , 5600
Maputo,1400 ,<1000 , 2900,1900 ,<1000 , 3600,2800 ,1500 , 4900,3800 ,2200 , 6200,5100 ,3400 , 7700,6400 ,4600 , 9000,7900 ,5800 , 10 000,9400 ,7000 , 12 000,10 000 ,8300 , 13 000,11 000 ,9300 , 14 000,12 000 ,10 000 , 15 000,12 000 ,10 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,12 000 , 15 000,13 000 ,12 000 , 15 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,11 000 , 16 000,14 000 ,11 000 , 16 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 15 000,12 000 ,9500 , 15 000,12 000 ,9100 , 14 000,11 000 ,8200 , 14 000,10 000 ,7300 , 13 000
Nampula,<1000 ,<500 , 1500,1000 ,<500 , 1800,1300 ,<1000 , 2200,1600 ,<1000 , 2700,1900 ,1000 , 3000,2300 ,1400 , 3600,2600 ,1700 , 3900,3000 ,2000 , 4400,3300 ,2200 , 4900,3600 ,2600 , 5200,3900 ,2800 , 5600,4300 ,3100 , 6100,4500 ,3300 , 6100,4800 ,3600 , 6400,5100 ,3800 , 6700,5400 ,4100 , 7000,5700 ,4400 , 7300,6100 ,4700 , 7800,6600 ,5000 , 8400,7100 ,5500 , 9200,7800 ,6200 , 10 000,8400 ,6600 , 11 000,9000 ,6800 , 12 000,9700 ,7200 , 13 000,10 000 ,7500 , 13 000,11 000 ,7700 , 14 000,11 000 ,7800 , 15 000,11 000 ,7900 , 16 000,12 000 ,7800 , 18 000,12 000 ,7700 , 19 000
Niassa,<1000 ,<200 , 1300,<1000 ,<500 , 1600,<1000 ,<500 , 1900,1100 ,<1000 , 2100,1400 ,<1000 , 2400,1500 ,<1000 , 2300,1600 ,1000 , 2500,1700 ,1000 , 2500,1700 ,1100 , 2500,1800 ,1300 , 2700,1800 ,1300 , 2600,1900 ,1400 , 2700,1900 ,1300 , 2600,1900 ,1300 , 2600,1800 ,1300 , 2500,1900 ,1300 , 2500,1900 ,1400 , 2600,1900 ,1400 , 2700,2000 ,1500 , 2700,2100 ,1500 , 2800,2200 ,1600 , 3000,2300 ,1700 , 3300,2400 ,1700 , 3500,2400 ,1600 , 3600,2600 ,1700 , 3900,2800 ,1800 , 4200,2900 ,1800 , 4500,3000 ,1800 , 4600,2900 ,1600 , 4800,2800 ,1400 , 4900
Sofala,1900 ,1000 , 2800,2600 ,1500 , 3600,3400 ,2200 , 4600,4100 ,2900 , 5500,4900 ,3600 , 6500,5500 ,4100 , 7400,6000 ,4500 , 8100,6300 ,5000 , 8500,6500 ,5000 , 8500,6800 ,5200 , 8500,6800 ,5400 , 8500,6700 ,5200 , 8200,6400 ,5100 , 7800,6400 ,5100 , 7600,6300 ,4900 , 7400,6200 ,5100 , 7400,6300 ,5100 , 7500,6300 ,5100 , 7400,6400 ,5200 , 7600,6600 ,5400 , 7800,6800 ,5600 , 8100,7000 ,5700 , 8500,7100 ,5700 , 8500,7200 ,5700 , 8800,7200 ,5600 , 8900,7200 ,5400 , 9200,6900 ,5200 , 8900,6900 ,5000 , 9300,6700 ,4700 , 9300,6800 ,4700 , 9600
Tete,3000 ,1800 , 4900,3600 ,2300 , 5600,4000 ,2600 , 5800,4300 ,2900 , 6100,4400 ,3100 , 6100,4600 ,3200 , 6300,4400 ,3100 , 6100,4100 ,2900 , 5600,3700 ,2700 , 4900,3500 ,2700 , 4600,3500 ,2700 , 4500,3300 ,2500 , 4100,3200 ,2500 , 4000,3000 ,2400 , 3800,2800 ,2300 , 3500,2800 ,2200 , 3500,2700 ,2100 , 3300,2600 ,2000 , 3300,2500 ,1900 , 3200,2500 ,1900 , 3300,2500 ,1900 , 3200,2400 ,1800 , 3200,2400 ,1800 , 3300,2400 ,1700 , 3300,2100 ,1500 , 3100,2000 ,1300 , 2900,1800 ,1200 , 2800,1700 ,1100 , 2600,1500 ,<1000 , 2500,1400 ,<1000 , 2500
