States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<1000 ,<200 , 1300,<1000 ,<500 , 1700,1200 ,<500 , 2100,1600 ,<1000 , 2700,2000 ,1000 , 3200,2500 ,1500 , 3800,2900 ,1900 , 4400,3300 ,2200 , 4900,3700 ,2600 , 5500,4100 ,2900 , 6000,4500 ,3300 , 6400,4700 ,3400 , 6500,5100 ,3700 , 7000,5400 ,3900 , 7300,5700 ,4200 , 7400,5900 ,4400 , 7700,6400 ,4600 , 8500,6700 ,4900 , 8800,6800 ,4900 , 9000,6800 ,4900 , 9100,7200 ,5100 , 9600,7200 ,5000 , 9800,7200 ,4900 , 10 000,7300 ,4900 , 10 000,7200 ,4600 , 10 000,7100 ,4400 , 10 000,6900 ,4100 , 10 000,6800 ,4000 , 10 000,6900 ,3900 , 11 000,7000 ,3800 , 11 000
Cidade de Maputo,<500 ,<500 , <1000,<1000 ,<500 , 1100,1000 ,<1000 , 1600,1400 ,<1000 , 2200,2000 ,1300 , 2900,2600 ,1800 , 3700,3300 ,2400 , 4500,4000 ,2800 , 5200,4700 ,3400 , 6000,5200 ,3900 , 6700,5700 ,4500 , 7200,6100 ,4900 , 7500,6100 ,5000 , 7400,6000 ,5000 , 7000,5800 ,4900 , 6700,5700 ,4800 , 6600,5600 ,4700 , 6500,5200 ,4200 , 6000,5200 ,4200 , 6200,5300 ,4300 , 6400,5200 ,4200 , 6300,4700 ,3700 , 5700,4200 ,3100 , 5100,4000 ,2900 , 5100,3300 ,2400 , 4400,3100 ,2100 , 4200,2800 ,1900 , 3900,2500 ,1700 , 3500,2400 ,1600 , 3500,2300 ,1500 , 3300
Gaza,<500 ,<100 , 1700,<1000 ,<200 , 2300,<1000 ,<500 , 3200,1500 ,<500 , 4300,2500 ,<1000 , 5700,3800 ,1700 , 6700,5500 ,2900 , 8300,7300 ,4700 , 10 000,9400 ,6900 , 13 000,11 000 ,7900 , 15 000,12 000 ,8500 , 16 000,12 000 ,9100 , 16 000,12 000 ,9000 , 15 000,11 000 ,8900 , 13 000,10 000 ,8300 , 12 000,9600 ,8100 , 11 000,9200 ,7800 , 10 000,8700 ,7400 , 10 000,8600 ,7500 , 10 000,8300 ,7100 , 9800,8300 ,6900 , 10 000,7500 ,6100 , 9000,6900 ,5600 , 8600,6300 ,5100 , 7900,6200 ,4900 , 7900,5700 ,4400 , 7500,5200 ,3900 , 7100,4600 ,3200 , 6300,4100 ,2700 , 6000,3700 ,2400 , 5500
Inhambane,<1000 ,<200 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1500,1200 ,<1000 , 1800,1500 ,<1000 , 2200,1700 ,<1000 , 2500,2100 ,1200 , 2900,2300 ,1500 , 3200,2600 ,1800 , 3500,2900 ,2100 , 3800,3200 ,2400 , 4200,3300 ,2500 , 4400,3600 ,2700 , 4700,3700 ,3000 , 4800,4100 ,3200 , 5200,4100 ,3300 , 5200,4400 ,3600 , 5400,4500 ,3500 , 5500,4800 ,3700 , 5900,5000 ,3900 , 6300,5500 ,4200 , 6900,5500 ,4200 , 7100,5500 ,4200 , 7300,5600 ,4200 , 7600,5500 ,3900 , 7700,5500 ,3700 , 7800,5300 ,3500 , 7600,4800 ,3000 , 7200,4700 ,2800 , 7400,4400 ,2400 , 7300
Manica,1500 ,<1000 , 2500,2200 ,1200 , 3400,3100 ,1900 , 4400,4000 ,2700 , 5700,5200 ,3600 , 7000,6000 ,4500 , 8200,6700 ,5100 , 8800,7000 ,5300 , 9000,7400 ,5700 , 9300,7300 ,5500 , 9100,7300 ,5700 , 9100,6900 ,5400 , 8400,6800 ,5400 , 8300,6500 ,5200 , 7900,6300 ,4900 , 7600,6000 ,4900 , 7300,6000 ,4700 , 7200,5800 ,4500 , 7100,5800 ,4600 , 7300,5800 ,4600 , 7200,5900 ,4600 , 7400,5800 ,4500 , 7400,5500 ,4100 , 7100,5300 ,3900 , 7000,5000 ,3800 , 6900,4500 ,3200 , 6400,4400 ,3100 , 6400,4200 ,2800 , 6400,3800 ,2500 , 6400,3800 ,2400 , 6500
Maputo,1600 ,<1000 , 3400,2200 ,1100 , 4300,3300 ,1700 , 5700,4500 ,2600 , 7300,6000 ,3800 , 9000,7500 ,5300 , 11 000,9300 ,6700 , 12 000,11 000 ,8400 , 14 000,12 000 ,9700 , 16 000,14 000 ,11 000 , 17 000,15 000 ,12 000 , 18 000,15 000 ,13 000 , 18 000,16 000 ,13 000 , 19 000,16 000 ,14 000 , 19 000,16 000 ,14 000 , 19 000,17 000 ,15 000 , 19 000,17 000 ,15 000 , 19 000,17 000 ,14 000 , 19 000,17 000 ,14 000 , 19 000,17 000 ,14 000 , 19 000,17 000 ,15 000 , 20 000,17 000 ,14 000 , 19 000,16 000 ,13 000 , 19 000,16 000 ,14 000 , 20 000,16 000 ,13 000 , 18 000,15 000 ,12 000 , 18 000,15 000 ,11 000 , 18 000,14 000 ,11 000 , 17 000,13 000 ,9400 , 16 000,12 000 ,8700 , 15 000
Nampula,<1000 ,<500 , 1800,1300 ,<500 , 2300,1600 ,<1000 , 2700,2000 ,<1000 , 3300,2400 ,1200 , 3700,2900 ,1700 , 4600,3300 ,2100 , 4900,3800 ,2500 , 5400,4200 ,2800 , 6000,4600 ,3200 , 6500,5000 ,3500 , 7200,5500 ,4000 , 7700,5800 ,4200 , 7900,6200 ,4500 , 8400,6600 ,4900 , 8700,6900 ,5300 , 9300,7400 ,5600 , 9500,7600 ,5800 , 9800,8200 ,6300 , 11 000,8500 ,6500 , 11 000,9700 ,7600 , 13 000,10 000 ,7800 , 13 000,11 000 ,8000 , 14 000,12 000 ,8600 , 15 000,12 000 ,8800 , 16 000,13 000 ,9100 , 17 000,13 000 ,9400 , 18 000,13 000 ,9500 , 19 000,14 000 ,9200 , 21 000,14 000 ,9100 , 23 000
Niassa,<1000 ,<500 , 1600,<1000 ,<500 , 1900,1100 ,<500 , 2300,1400 ,<1000 , 2600,1700 ,<1000 , 3000,1800 ,1100 , 2900,2000 ,1300 , 3200,2100 ,1300 , 3100,2200 ,1400 , 3200,2400 ,1600 , 3500,2400 ,1700 , 3400,2500 ,1800 , 3500,2500 ,1800 , 3400,2500 ,1800 , 3400,2400 ,1700 , 3300,2500 ,1800 , 3400,2600 ,1900 , 3500,2600 ,1800 , 3600,2600 ,1900 , 3600,2700 ,2000 , 3700,2800 ,2100 , 3900,2900 ,2000 , 4100,2900 ,2000 , 4300,3000 ,2000 , 4500,3100 ,2000 , 4700,3300 ,2100 , 5100,3400 ,2100 , 5400,3400 ,2000 , 5500,3400 ,1900 , 5600,3300 ,1700 , 5800
Sofala,2300 ,1200 , 3400,3100 ,1800 , 4300,4100 ,2600 , 5500,5000 ,3400 , 6700,6000 ,4200 , 7900,6700 ,5000 , 8900,7400 ,5700 , 9800,7900 ,6200 , 10 000,8200 ,6300 , 11 000,8600 ,6500 , 11 000,8700 ,6700 , 11 000,8700 ,6700 , 11 000,8400 ,6800 , 10 000,8400 ,6700 , 10 000,8300 ,6500 , 9800,8300 ,6700 , 9800,8300 ,6800 , 9900,8200 ,6700 , 9900,8200 ,6800 , 10 000,8300 ,6800 , 10 000,8800 ,7200 , 11 000,8900 ,7200 , 11 000,8300 ,6600 , 10 000,8300 ,6500 , 10 000,8400 ,6500 , 11 000,8400 ,6300 , 11 000,8000 ,6100 , 11 000,8000 ,5800 , 11 000,7800 ,5500 , 11 000,7900 ,5500 , 11 000
Tete,3700 ,2200 , 6100,4500 ,2900 , 7100,5100 ,3300 , 7400,5500 ,3700 , 7800,5800 ,4000 , 8000,6100 ,4300 , 8300,6000 ,4300 , 8100,5700 ,4100 , 7700,5300 ,3900 , 7100,5100 ,3800 , 6700,5100 ,3900 , 6600,4900 ,3800 , 6200,4800 ,3800 , 6000,4600 ,3600 , 5700,4300 ,3500 , 5400,4200 ,3300 , 5200,4000 ,3200 , 5000,3900 ,3100 , 4800,3800 ,2900 , 4700,3600 ,2800 , 4700,3600 ,2800 , 4700,3500 ,2800 , 4600,3100 ,2300 , 4200,3100 ,2200 , 4200,2600 ,1900 , 3800,2400 ,1700 , 3600,2300 ,1500 , 3500,2100 ,1400 , 3400,1900 ,1100 , 3200,1800 ,1000 , 3100
