States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<500 ,<200 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1500,1100 ,<500 , 1800,1300 ,<1000 , 2200,1700 ,<1000 , 2700,2000 ,1200 , 3000,2300 ,1500 , 3300,2600 ,1800 , 3800,2800 ,2000 , 4100,3200 ,2200 , 4500,3300 ,2400 , 4700,3700 ,2700 , 5100,3900 ,2800 , 5300,4100 ,3000 , 5600,4200 ,3100 , 5700,4600 ,3400 , 6200,4900 ,3600 , 6600,5000 ,3700 , 6800,5000 ,3600 , 6800,5300 ,3800 , 7300,5300 ,3500 , 7300,5400 ,3600 , 7600,5400 ,3500 , 7800,5400 ,3500 , 8200,5300 ,3400 , 8100,5200 ,3200 , 8200,5200 ,3000 , 8000,5300 ,3000 , 8400,5300 ,2900 , 8800
Cidade de Maputo,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<1000 , 1400,1200 ,<1000 , 1900,1600 ,1100 , 2400,2000 ,1300 , 2700,2400 ,1700 , 3300,2800 ,2100 , 3700,3100 ,2300 , 4100,3400 ,2700 , 4500,3700 ,2800 , 4600,3700 ,2900 , 4700,3600 ,3000 , 4400,3600 ,2900 , 4300,3500 ,2800 , 4300,3400 ,2800 , 4100,3100 ,2500 , 3800,3100 ,2500 , 3800,3100 ,2500 , 3900,3100 ,2400 , 3800,2800 ,2100 , 3500,2400 ,1800 , 3000,2300 ,1700 , 3100,1900 ,1400 , 2600,1800 ,1200 , 2600,1600 ,1100 , 2300,1500 ,<1000 , 2100,1400 ,<1000 , 2200,1400 ,<1000 , 2100
Gaza,<200 ,<100 , <1000,<500 ,<100 , 1300,<1000 ,<200 , 1700,<1000 ,<500 , 2500,1500 ,<1000 , 3200,2200 ,<1000 , 4000,3300 ,1700 , 5000,4500 ,2800 , 6400,5900 ,4200 , 8100,6900 ,5200 , 9400,7800 ,5800 , 11 000,8400 ,6200 , 11 000,8200 ,6400 , 10 000,7800 ,6300 , 9600,7400 ,6300 , 8800,7200 ,6100 , 8500,7000 ,6000 , 8300,6600 ,5500 , 7900,6700 ,5600 , 7900,6500 ,5500 , 7900,6700 ,5600 , 8000,6000 ,4900 , 7400,5500 ,4600 , 7000,5100 ,4000 , 6700,5100 ,4000 , 6600,4700 ,3600 , 6100,4300 ,3100 , 5900,3800 ,2500 , 5300,3400 ,2200 , 5200,3100 ,1900 , 4800
Inhambane,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<1000 , 1500,1200 ,<1000 , 1800,1300 ,<1000 , 1900,1500 ,1000 , 2200,1700 ,1200 , 2400,1900 ,1400 , 2600,2100 ,1500 , 2800,2300 ,1700 , 3000,2400 ,1800 , 3200,2600 ,2100 , 3400,2700 ,2100 , 3400,2900 ,2400 , 3700,2900 ,2300 , 3700,3100 ,2500 , 3900,3400 ,2600 , 4200,3700 ,2900 , 4700,3700 ,2800 , 4800,3700 ,2900 , 4900,3800 ,2900 , 5200,3800 ,2800 , 5300,3800 ,2800 , 5400,3700 ,2500 , 5500,3400 ,2000 , 5200,3300 ,1900 , 5400,3200 ,1800 , 5400
Manica,1000 ,<500 , 1700,1400 ,<1000 , 2300,2000 ,1200 , 3000,2600 ,1700 , 3800,3400 ,2400 , 4700,4000 ,3000 , 5500,4500 ,3400 , 6100,4700 ,3600 , 6400,5100 ,3800 , 6900,5100 ,3900 , 6600,5200 ,4000 , 6600,5000 ,3900 , 6300,5000 ,3800 , 6300,4800 ,3800 , 6100,4800 ,3800 , 6000,4600 ,3600 , 5700,4600 ,3600 , 5700,4500 ,3500 , 5600,4500 ,3500 , 5600,4500 ,3400 , 5600,4600 ,3600 , 5800,4600 ,3400 , 5800,4300 ,3200 , 5700,4100 ,2900 , 5600,3900 ,2800 , 5400,3500 ,2500 , 4900,3400 ,2400 , 5100,3300 ,2200 , 5100,3000 ,1900 , 4900,3000 ,1900 , 5100
Maputo,1200 ,<1000 , 2700,1700 ,<1000 , 3500,2400 ,1300 , 4700,3300 ,1900 , 5400,4400 ,2700 , 6700,5400 ,3700 , 7800,6600 ,4700 , 9000,7800 ,5900 , 11 000,8700 ,7000 , 11 000,9400 ,7600 , 12 000,10 000 ,8200 , 13 000,10 000 ,8700 , 13 000,11 000 ,9000 , 13 000,11 000 ,9500 , 13 000,11 000 ,9500 , 14 000,11 000 ,9500 , 13 000,12 000 ,10 000 , 14 000,11 000 ,9000 , 13 000,11 000 ,9500 , 13 000,11 000 ,9200 , 13 000,12 000 ,9700 , 14 000,11 000 ,9000 , 13 000,11 000 ,8500 , 13 000,11 000 ,8800 , 13 000,10 000 ,8000 , 13 000,9600 ,7400 , 12 000,9500 ,7400 , 12 000,8900 ,6700 , 11 000,8500 ,6300 , 11 000,8100 ,5900 , 11 000
Nampula,<1000 ,<500 , 1500,1000 ,<500 , 1900,1300 ,<1000 , 2300,1600 ,<1000 , 2600,1800 ,<1000 , 2800,2200 ,1300 , 3500,2500 ,1600 , 3900,2900 ,1900 , 4300,3300 ,2200 , 4800,3600 ,2500 , 5200,3900 ,2800 , 5500,4300 ,3100 , 6100,4500 ,3300 , 6300,4800 ,3600 , 6700,5200 ,3800 , 7200,5500 ,4000 , 7400,5900 ,4400 , 7900,6000 ,4500 , 7900,6500 ,5000 , 8500,6600 ,5000 , 8700,7600 ,5700 , 9900,7800 ,6000 , 10 000,8400 ,6400 , 11 000,9200 ,6800 , 12 000,9500 ,6900 , 13 000,10 000 ,7300 , 14 000,11 000 ,7400 , 15 000,11 000 ,7300 , 16 000,11 000 ,7400 , 16 000,11 000 ,7300 , 18 000
Niassa,<500 ,<200 , 1100,<1000 ,<200 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1800,1100 ,<1000 , 1900,1200 ,<1000 , 2000,1400 ,<1000 , 2100,1400 ,<1000 , 2200,1500 ,<1000 , 2300,1600 ,1100 , 2400,1700 ,1100 , 2500,1800 ,1200 , 2500,1700 ,1200 , 2500,1800 ,1200 , 2500,1700 ,1200 , 2500,1800 ,1300 , 2500,1800 ,1300 , 2600,1900 ,1300 , 2500,1900 ,1400 , 2600,2000 ,1400 , 2700,2100 ,1500 , 2900,2100 ,1400 , 2900,2000 ,1400 , 3000,2100 ,1300 , 3200,2200 ,1400 , 3500,2300 ,1400 , 3700,2400 ,1500 , 3800,2400 ,1400 , 3800,2400 ,1300 , 4000,2400 ,1200 , 4200
Sofala,1600 ,<1000 , 2300,2100 ,1200 , 3000,2700 ,1700 , 3800,3300 ,2200 , 4600,4000 ,2900 , 5500,4500 ,3200 , 5900,5000 ,3700 , 6800,5400 ,4000 , 7100,5700 ,4400 , 7600,6000 ,4600 , 7900,6200 ,4800 , 8100,6300 ,4900 , 8000,6100 ,4700 , 7700,6200 ,4800 , 7900,6200 ,4800 , 7700,6200 ,4800 , 7400,6300 ,5000 , 7700,6200 ,4900 , 7400,6200 ,5000 , 7600,6300 ,5000 , 7600,6700 ,5500 , 8100,6800 ,5400 , 8300,6200 ,4800 , 7600,6300 ,4800 , 7700,6300 ,4800 , 7900,6300 ,4700 , 8100,6100 ,4500 , 8300,6100 ,4300 , 8400,6000 ,4200 , 8600,6100 ,4100 , 8900
Tete,2700 ,1600 , 4500,3200 ,2000 , 5200,3600 ,2400 , 5400,3900 ,2600 , 5500,4100 ,2800 , 5800,4300 ,3100 , 6000,4300 ,3000 , 5900,4200 ,3000 , 5600,3900 ,2800 , 5200,3800 ,2900 , 5100,3800 ,2900 , 5000,3700 ,2800 , 4700,3700 ,2800 , 4800,3500 ,2700 , 4500,3300 ,2600 , 4300,3200 ,2500 , 4100,3100 ,2400 , 4000,3000 ,2300 , 3800,2900 ,2200 , 3700,2800 ,2100 , 3600,2800 ,2200 , 3700,2700 ,2100 , 3500,2300 ,1600 , 3100,2300 ,1600 , 3300,1900 ,1300 , 2900,1800 ,1200 , 2700,1700 ,1100 , 2700,1600 ,<1000 , 2500,1400 ,<1000 , 2400,1300 ,<1000 , 2300
