States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<200 , 1000,<1000 ,<500 , 1300,<1000 ,<500 , 1500,1100 ,<1000 , 1800,1200 ,<1000 , 2000,1400 ,<1000 , 2200,1500 ,<1000 , 2400,1600 ,<1000 , 2500,1800 ,1000 , 2700,1900 ,1000 , 2800,2000 ,1100 , 3000,2100 ,1200 , 3000,2300 ,1200 , 3200,2300 ,1200 , 3300,2600 ,1300 , 3600,2800 ,1500 , 3900,2900 ,1500 , 4100,3000 ,1500 , 4300,3100 ,1700 , 4500,3200 ,1700 , 4800,3400 ,1900 , 5000,3500 ,1900 , 5300,3500 ,1900 , 5300,3400 ,1900 , 5200,3300 ,1900 , 5200,3300 ,1900 , 5300,3300 ,1800 , 5500,3400 ,1700 , 5400
Cidade de Maputo,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1200,1000 ,<1000 , 1500,1300 ,<1000 , 1800,1500 ,<1000 , 2100,1700 ,<1000 , 2400,1900 ,1000 , 2700,2000 ,1100 , 2700,2100 ,1200 , 2900,2100 ,1200 , 2800,2000 ,1100 , 2700,2000 ,1100 , 2600,2000 ,1100 , 2600,2000 ,1100 , 2600,1900 ,1100 , 2600,2000 ,1200 , 2600,2100 ,1200 , 2800,2000 ,1200 , 2700,1900 ,1200 , 2500,1700 ,1100 , 2400,1700 ,1000 , 2300,1400 ,<1000 , 2000,1300 ,<1000 , 1900,1100 ,<1000 , 1700,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400
Gaza,<200 ,<100 , <1000,<500 ,<100 , 1300,<500 ,<200 , 1700,<1000 ,<500 , 2300,1200 ,<500 , 3000,1800 ,<1000 , 3500,2600 ,1400 , 4400,3400 ,1900 , 5100,4300 ,2600 , 6300,4800 ,2800 , 6700,5100 ,2900 , 7200,5200 ,3100 , 7400,4900 ,3000 , 6700,4500 ,2900 , 5800,4200 ,2700 , 5300,4000 ,2600 , 5100,3900 ,2500 , 5000,4000 ,2700 , 5100,4000 ,2700 , 5300,4000 ,2500 , 5300,4000 ,2600 , 5100,3900 ,2600 , 5100,3700 ,2500 , 5000,3400 ,2200 , 4700,3400 ,2300 , 4700,3100 ,2000 , 4400,2800 ,1800 , 4100,2400 ,1500 , 3700,2100 ,1200 , 3400,1900 ,1100 , 3100
Inhambane,<500 ,<100 , <500,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,1000 ,<1000 , 1500,1100 ,<1000 , 1600,1200 ,<1000 , 1700,1200 ,<1000 , 1700,1300 ,<1000 , 1800,1300 ,<1000 , 1900,1400 ,<1000 , 2000,1400 ,<1000 , 2000,1600 ,<1000 , 2200,1700 ,<1000 , 2300,1800 ,<1000 , 2500,2000 ,1000 , 2700,2100 ,1200 , 3000,2200 ,1200 , 3100,2300 ,1300 , 3200,2400 ,1400 , 3500,2400 ,1400 , 3500,2300 ,1400 , 3600,2200 ,1300 , 3500,2000 ,1200 , 3400,2000 ,1100 , 3300,1800 ,<1000 , 3200
Manica,<1000 ,<500 , 1300,1000 ,<500 , 1800,1400 ,<1000 , 2200,1900 ,<1000 , 2800,2400 ,1300 , 3400,2700 ,1500 , 4000,2900 ,1600 , 4200,3000 ,1700 , 4200,3100 ,1800 , 4300,3000 ,1800 , 4100,2900 ,1800 , 4100,2700 ,1700 , 3700,2700 ,1600 , 3700,2500 ,1500 , 3400,2500 ,1500 , 3400,2400 ,1400 , 3200,2400 ,1400 , 3200,2400 ,1400 , 3300,2500 ,1400 , 3500,2500 ,1500 , 3500,2600 ,1600 , 3500,2600 ,1600 , 3500,2600 ,1600 , 3600,2600 ,1600 , 3600,2500 ,1500 , 3600,2300 ,1400 , 3400,2200 ,1300 , 3400,2100 ,1200 , 3500,1900 ,1100 , 3400,1900 ,1000 , 3400
Maputo,<1000 ,<500 , 1700,<1000 ,<500 , 2300,1500 ,<1000 , 3000,2000 ,1100 , 3700,2700 ,1500 , 4500,3300 ,2000 , 5100,4000 ,2300 , 6100,4700 ,2700 , 6900,5200 ,2900 , 7300,5600 ,3200 , 7500,5900 ,3500 , 7900,6000 ,3500 , 7900,6300 ,3800 , 8200,6400 ,3900 , 8100,6600 ,4000 , 8400,6700 ,4100 , 8400,6900 ,4200 , 8700,7300 ,4600 , 9000,7500 ,4500 , 9400,7600 ,4700 , 9500,7900 ,4900 , 9800,7900 ,4800 , 9800,7800 ,4900 , 9900,7800 ,5000 , 9900,7600 ,4800 , 9700,7100 ,4700 , 9300,7000 ,4400 , 9100,6500 ,4100 , 8800,6100 ,3700 , 8300,5700 ,3400 , 8000
Nampula,<500 ,<200 , <1000,<1000 ,<200 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1500,<1000 ,<500 , 1500,1100 ,<1000 , 1900,1300 ,<1000 , 2000,1400 ,<1000 , 2200,1600 ,<1000 , 2400,1700 ,<1000 , 2600,1800 ,<1000 , 2700,1900 ,1100 , 2900,2000 ,1100 , 2900,2100 ,1200 , 3100,2300 ,1200 , 3300,2400 ,1300 , 3400,2600 ,1400 , 3600,2800 ,1500 , 4000,3100 ,1600 , 4400,3400 ,1700 , 4800,3800 ,2000 , 5300,4200 ,2100 , 5800,4500 ,2300 , 6500,4900 ,2600 , 7100,5100 ,2800 , 7400,5400 ,3000 , 8100,5600 ,3100 , 8500,5800 ,3200 , 9400,6000 ,3300 , 9800,6100 ,3300 , 11 000
Niassa,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<200 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,1000 ,<1000 , 1500,1000 ,<1000 , 1600,1100 ,<1000 , 1700,1200 ,<1000 , 1800,1200 ,<1000 , 1900,1300 ,<1000 , 2100,1400 ,<1000 , 2200,1400 ,<1000 , 2300,1500 ,<1000 , 2500,1600 ,<1000 , 2600,1600 ,<1000 , 2700,1600 ,<1000 , 2800,1600 ,<1000 , 2800
Sofala,1100 ,<1000 , 1700,1400 ,<1000 , 2200,1900 ,1100 , 2900,2300 ,1300 , 3300,2700 ,1600 , 3900,3000 ,1800 , 4300,3200 ,1900 , 4600,3400 ,2100 , 4800,3400 ,2100 , 4800,3500 ,2200 , 5000,3500 ,2200 , 4900,3400 ,2100 , 4700,3300 ,2000 , 4600,3300 ,2000 , 4400,3300 ,2000 , 4400,3300 ,1900 , 4400,3400 ,2000 , 4500,3400 ,2000 , 4600,3500 ,2100 , 4900,3700 ,2100 , 5000,3900 ,2400 , 5200,4100 ,2500 , 5500,4200 ,2600 , 5600,4300 ,2700 , 5700,4300 ,2700 , 5900,4300 ,2700 , 6000,4100 ,2600 , 5900,4100 ,2600 , 6000,4000 ,2500 , 6100,4000 ,2600 , 6100
Tete,1600 ,<1000 , 2800,1900 ,<1000 , 3200,2100 ,1200 , 3400,2300 ,1300 , 3400,2300 ,1400 , 3400,2400 ,1400 , 3500,2300 ,1400 , 3300,2100 ,1200 , 3000,1900 ,1100 , 2600,1700 ,<1000 , 2500,1700 ,<1000 , 2400,1600 ,<1000 , 2300,1600 ,<1000 , 2200,1500 ,<1000 , 2000,1400 ,<1000 , 1900,1400 ,<1000 , 1800,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1800,1300 ,<1000 , 1900,1300 ,<1000 , 1800,1300 ,<1000 , 1800,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1100 ,<1000 , 1800,1000 ,<1000 , 1700,<1000 ,<1000 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400
