States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1300,<1000 ,<200 , 1600,<1000 ,<500 , 2000,<1000 ,<500 , 2600,1200 ,<500 , 3200,1500 ,<1000 , 3800,1800 ,<1000 , 4500,2200 ,<1000 , 5300,2500 ,1000 , 6100,2900 ,1200 , 6900,3400 ,1400 , 7700,3800 ,1600 , 8500,4200 ,1800 , 9400,4700 ,2000 , 10 000,5200 ,2300 , 11 000,5700 ,2600 , 12 000,6400 ,2900 , 13 000,7100 ,3200 , 15 000,8000 ,3600 , 16 000,8800 ,4100 , 18 000,9700 ,4500 , 19 000,11 000 ,5100 , 21 000,11 000 ,5700 , 22 000,12 000 ,6200 , 24 000,13 000 ,6800 , 25 000,15 000 ,7600 , 28 000,16 000 ,8300 , 31 000,17 000 ,9100 , 34 000
Cidade de Maputo,<500 ,<200 , <1000,<500 ,<200 , 1000,<1000 ,<500 , 1500,<1000 ,<500 , 1900,1000 ,<500 , 2600,1400 ,<1000 , 3300,1800 ,<1000 , 4200,2400 ,<1000 , 5500,3000 ,1300 , 6700,3700 ,1600 , 8200,4400 ,2000 , 9400,5200 ,2300 , 11 000,5900 ,2700 , 13 000,6600 ,3100 , 14 000,7400 ,3500 , 15 000,8200 ,3900 , 16 000,9200 ,4400 , 17 000,10 000 ,5000 , 19 000,11 000 ,5600 , 20 000,13 000 ,6300 , 22 000,14 000 ,7000 , 23 000,15 000 ,7700 , 25 000,16 000 ,8500 , 27 000,18 000 ,9400 , 29 000,19 000 ,10 000 , 31 000,21 000 ,11 000 , 33 000,22 000 ,12 000 , 36 000,24 000 ,13 000 , 38 000,25 000 ,15 000 , 41 000,27 000 ,16 000 , 43 000
Gaza,<100 ,<100 , <500,<200 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , 1300,<500 ,<200 , 1800,<1000 ,<200 , 2600,1100 ,<500 , 3400,1600 ,<500 , 4300,2300 ,<1000 , 5400,3100 ,1100 , 6700,3900 ,1600 , 8300,4900 ,2100 , 10 000,5700 ,2500 , 12 000,6600 ,3000 , 13 000,7300 ,3300 , 14 000,8000 ,3600 , 15 000,8600 ,4000 , 16 000,9300 ,4300 , 16 000,10 000 ,4800 , 18 000,11 000 ,5400 , 19 000,12 000 ,6000 , 20 000,13 000 ,6600 , 21 000,14 000 ,7300 , 22 000,15 000 ,8000 , 24 000,17 000 ,8700 , 26 000,18 000 ,9500 , 28 000,19 000 ,10 000 , 29 000,20 000 ,11 000 , 31 000,22 000 ,12 000 , 33 000,24 000 ,14 000 , 36 000
Inhambane,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , 1100,<500 ,<200 , 1500,<1000 ,<200 , 1700,<1000 ,<500 , 2000,<1000 ,<500 , 2500,1100 ,<500 , 2900,1300 ,<1000 , 3300,1500 ,<1000 , 4000,1700 ,<1000 , 4400,2000 ,<1000 , 4700,2200 ,<1000 , 5200,2500 ,1000 , 5600,2800 ,1100 , 6000,3100 ,1300 , 6700,3400 ,1400 , 7200,3700 ,1600 , 7800,4200 ,1800 , 8700,4800 ,2200 , 9500,5400 ,2500 , 10 000,6100 ,2800 , 11 000,6800 ,3200 , 12 000,7600 ,3700 , 14 000,8500 ,4100 , 15 000,9400 ,4500 , 17 000,10 000 ,5000 , 19 000,11 000 ,5400 , 22 000,13 000 ,6000 , 24 000,14 000 ,6700 , 26 000
Manica,<500 ,<200 , 1300,<1000 ,<500 , 1700,<1000 ,<500 , 2200,1300 ,<500 , 3000,1800 ,<1000 , 4200,2300 ,1000 , 5100,2900 ,1300 , 6000,3400 ,1500 , 6900,4000 ,1800 , 8200,4600 ,2100 , 9600,5200 ,2300 , 11 000,5700 ,2600 , 12 000,6100 ,2800 , 12 000,6500 ,2900 , 13 000,6800 ,3100 , 13 000,7100 ,3200 , 13 000,7400 ,3300 , 14 000,7800 ,3500 , 15 000,8300 ,3900 , 15 000,8900 ,4100 , 16 000,9500 ,4400 , 17 000,10 000 ,4800 , 18 000,11 000 ,5200 , 19 000,11 000 ,5500 , 20 000,12 000 ,5900 , 22 000,13 000 ,6400 , 23 000,14 000 ,7100 , 25 000,15 000 ,7900 , 27 000,17 000 ,8900 , 29 000,18 000 ,10 000 , 31 000
Maputo,<1000 ,<200 , 1800,<1000 ,<500 , 2500,1200 ,<500 , 3400,1700 ,<1000 , 4600,2400 ,<1000 , 6100,3100 ,1200 , 7600,4100 ,1600 , 9400,5200 ,2000 , 12 000,6500 ,2600 , 14 000,7800 ,3200 , 16 000,9200 ,3900 , 19 000,11 000 ,4500 , 22 000,12 000 ,5200 , 24 000,13 000 ,6000 , 27 000,15 000 ,6600 , 28 000,16 000 ,7300 , 30 000,17 000 ,8100 , 32 000,19 000 ,8900 , 35 000,20 000 ,9600 , 37 000,22 000 ,11 000 , 39 000,24 000 ,12 000 , 42 000,26 000 ,13 000 , 46 000,28 000 ,14 000 , 48 000,30 000 ,15 000 , 51 000,32 000 ,16 000 , 52 000,34 000 ,17 000 , 55 000,36 000 ,18 000 , 58 000,38 000 ,19 000 , 61 000,40 000 ,21 000 , 64 000,42 000 ,22 000 , 68 000
Nampula,<500 ,<100 , 1600,<1000 ,<200 , 2000,<1000 ,<200 , 2400,<1000 ,<500 , 2800,1200 ,<500 , 3300,1500 ,<500 , 3900,1900 ,<1000 , 4600,2200 ,<1000 , 5200,2600 ,<1000 , 6000,3100 ,1100 , 6800,3500 ,1400 , 7800,4000 ,1500 , 8900,4600 ,1800 , 10 000,5100 ,2100 , 11 000,5700 ,2300 , 12 000,6300 ,2600 , 13 000,7000 ,2900 , 14 000,7700 ,3300 , 16 000,8700 ,3700 , 18 000,9700 ,4200 , 19 000,11 000 ,4900 , 22 000,12 000 ,5700 , 25 000,14 000 ,6400 , 28 000,15 000 ,7400 , 31 000,17 000 ,8400 , 34 000,19 000 ,9300 , 38 000,21 000 ,10 000 , 42 000,24 000 ,12 000 , 46 000,26 000 ,13 000 , 51 000,29 000 ,15 000 , 56 000
Niassa,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1200,<500 ,<200 , 1500,<1000 ,<200 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2200,<1000 ,<500 , 2600,1100 ,<500 , 2900,1300 ,<500 , 3200,1400 ,<1000 , 3300,1600 ,<1000 , 3500,1700 ,<1000 , 3700,1900 ,<1000 , 3900,2000 ,<1000 , 4100,2100 ,<1000 , 4300,2300 ,<1000 , 4600,2400 ,<1000 , 4900,2600 ,1000 , 5300,2900 ,1200 , 5800,3200 ,1400 , 6300,3500 ,1500 , 6900,3800 ,1700 , 7500,4300 ,2000 , 8300,4800 ,2200 , 9200,5300 ,2500 , 10 000,5800 ,2700 , 11 000,6400 ,3000 , 12 000,6900 ,3300 , 13 000,7600 ,3600 , 14 000
Sofala,<1000 ,<500 , 2100,1200 ,<500 , 2700,1600 ,<1000 , 3500,2000 ,<1000 , 4500,2600 ,<1000 , 5700,3200 ,1200 , 7000,3800 ,1400 , 8200,4400 ,1800 , 9500,5100 ,2100 , 11 000,5800 ,2500 , 12 000,6400 ,2700 , 13 000,7000 ,3000 , 14 000,7600 ,3300 , 15 000,8100 ,3600 , 16 000,8600 ,4000 , 17 000,9100 ,4200 , 18 000,9600 ,4500 , 18 000,10 000 ,4700 , 19 000,11 000 ,5200 , 20 000,12 000 ,5900 , 22 000,13 000 ,6400 , 23 000,14 000 ,7000 , 25 000,15 000 ,7600 , 27 000,16 000 ,8100 , 29 000,18 000 ,8800 , 31 000,19 000 ,9700 , 33 000,21 000 ,11 000 , 36 000,23 000 ,12 000 , 39 000,24 000 ,13 000 , 42 000,27 000 ,15 000 , 45 000
Tete,1600 ,<1000 , 4300,2100 ,<1000 , 5200,2600 ,1000 , 6200,3100 ,1200 , 7100,3600 ,1400 , 8100,4100 ,1600 , 9000,4500 ,1900 , 9800,4900 ,2100 , 11 000,5200 ,2200 , 11 000,5400 ,2200 , 11 000,5700 ,2200 , 11 000,5800 ,2300 , 11 000,6000 ,2400 , 11 000,6100 ,2500 , 12 000,6100 ,2600 , 12 000,6200 ,2600 , 12 000,6300 ,2700 , 12 000,6500 ,2800 , 12 000,6800 ,3000 , 13 000,7200 ,3200 , 14 000,7700 ,3400 , 15 000,8200 ,3700 , 16 000,8700 ,4100 , 17 000,9200 ,4500 , 18 000,9800 ,4900 , 19 000,11 000 ,5300 , 21 000,11 000 ,5800 , 22 000,12 000 ,6200 , 23 000,13 000 ,7000 , 25 000,15 000 ,7800 , 27 000
