States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,1300 ,<500 , 2900,1700 ,<500 , 3700,2400 ,<1000 , 4800,3100 ,<1000 , 6000,4000 ,1400 , 7500,5100 ,2000 , 9000,6100 ,2500 , 11 000,7300 ,3100 , 12 000,8400 ,3800 , 14 000,9500 ,4300 , 16 000,11 000 ,4800 , 18 000,12 000 ,5200 , 20 000,13 000 ,5700 , 22 000,14 000 ,6100 , 23 000,15 000 ,6500 , 25 000,16 000 ,6900 , 26 000,17 000 ,7500 , 28 000,18 000 ,8100 , 30 000,19 000 ,8300 , 31 000,20 000 ,8900 , 33 000,22 000 ,9300 , 35 000,23 000 ,9800 , 37 000,25 000 ,11 000 , 39 000,26 000 ,12 000 , 42 000,27 000 ,12 000 , 44 000,28 000 ,12 000 , 45 000,28 000 ,13 000 , 47 000,29 000 ,13 000 , 47 000,29 000 ,13 000 , 47 000,29 000 ,13 000 , 48 000
Cidade de Maputo,<1000 ,<500 , 1100,<1000 ,<500 , 1600,1300 ,<1000 , 2300,1900 ,<1000 , 3300,2700 ,1300 , 4400,3700 ,1800 , 6000,4800 ,2400 , 7600,5900 ,2900 , 9500,7200 ,3500 , 11 000,8400 ,4100 , 14 000,9500 ,4600 , 15 000,11 000 ,5100 , 16 000,11 000 ,5500 , 17 000,12 000 ,5600 , 18 000,12 000 ,5500 , 19 000,12 000 ,5600 , 19 000,13 000 ,5700 , 20 000,13 000 ,5900 , 20 000,13 000 ,5900 , 20 000,13 000 ,6000 , 20 000,13 000 ,6300 , 20 000,13 000 ,6400 , 20 000,13 000 ,6400 , 20 000,13 000 ,6500 , 20 000,12 000 ,6200 , 19 000,12 000 ,5900 , 17 000,11 000 ,5700 , 16 000,11 000 ,5500 , 16 000,10 000 ,5500 , 16 000,9900 ,5600 , 15 000
Gaza,<500 ,<100 , 2800,<1000 ,<200 , 4100,1300 ,<500 , 5800,2200 ,<500 , 8000,3700 ,1000 , 11 000,5800 ,1900 , 15 000,8600 ,3500 , 19 000,12 000 ,5100 , 22 000,16 000 ,7800 , 27 000,20 000 ,10 000 , 31 000,24 000 ,12 000 , 36 000,27 000 ,13 000 , 39 000,30 000 ,14 000 , 42 000,31 000 ,15 000 , 45 000,31 000 ,15 000 , 45 000,31 000 ,15 000 , 45 000,30 000 ,15 000 , 45 000,30 000 ,14 000 , 44 000,30 000 ,14 000 , 44 000,30 000 ,14 000 , 44 000,30 000 ,13 000 , 43 000,30 000 ,13 000 , 44 000,30 000 ,13 000 , 43 000,29 000 ,13 000 , 43 000,29 000 ,13 000 , 44 000,29 000 ,13 000 , 44 000,28 000 ,13 000 , 42 000,27 000 ,13 000 , 40 000,25 000 ,12 000 , 38 000,24 000 ,12 000 , 37 000
Inhambane,<1000 ,<200 , 1700,1100 ,<500 , 2200,1400 ,<500 , 2800,1900 ,<1000 , 3600,2500 ,<1000 , 4400,3200 ,1300 , 5300,3800 ,1700 , 6300,4300 ,2000 , 7400,4900 ,2200 , 8300,5500 ,2500 , 9000,6100 ,2800 , 9700,6500 ,3100 , 10 000,7000 ,3300 , 11 000,7400 ,3500 , 12 000,7900 ,3700 , 13 000,8400 ,3800 , 13 000,8900 ,4000 , 14 000,9500 ,4200 , 15 000,10 000 ,4400 , 15 000,11 000 ,4800 , 17 000,12 000 ,5300 , 19 000,13 000 ,5700 , 20 000,14 000 ,6200 , 22 000,15 000 ,6600 , 23 000,16 000 ,6900 , 24 000,16 000 ,7500 , 25 000,17 000 ,7900 , 25 000,16 000 ,7900 , 26 000,16 000 ,7800 , 26 000,16 000 ,7400 , 26 000
Manica,2300 ,<1000 , 4700,3400 ,1100 , 6300,4900 ,1700 , 8600,6900 ,2700 , 11 000,9200 ,3900 , 14 000,12 000 ,5100 , 18 000,14 000 ,6600 , 21 000,16 000 ,7300 , 24 000,17 000 ,8200 , 26 000,18 000 ,8900 , 28 000,19 000 ,9200 , 30 000,19 000 ,9000 , 30 000,19 000 ,9000 , 30 000,19 000 ,8900 , 29 000,18 000 ,8800 , 29 000,18 000 ,8600 , 29 000,18 000 ,8200 , 28 000,17 000 ,8000 , 28 000,17 000 ,7800 , 28 000,18 000 ,8000 , 28 000,18 000 ,8300 , 30 000,19 000 ,8700 , 30 000,20 000 ,9400 , 31 000,20 000 ,10 000 , 32 000,21 000 ,11 000 , 33 000,21 000 ,11 000 , 32 000,21 000 ,11 000 , 32 000,21 000 ,11 000 , 32 000,20 000 ,11 000 , 31 000,20 000 ,11 000 , 31 000
Maputo,2100 ,<1000 , 6100,3200 ,1300 , 8400,4800 ,2000 , 11 000,6900 ,3000 , 15 000,9700 ,4400 , 19 000,13 000 ,6100 , 24 000,16 000 ,8000 , 28 000,20 000 ,9900 , 33 000,24 000 ,12 000 , 38 000,27 000 ,13 000 , 41 000,30 000 ,14 000 , 45 000,33 000 ,15 000 , 49 000,35 000 ,16 000 , 52 000,37 000 ,16 000 , 55 000,38 000 ,17 000 , 56 000,40 000 ,18 000 , 58 000,41 000 ,19 000 , 59 000,43 000 ,20 000 , 62 000,44 000 ,21 000 , 65 000,46 000 ,23 000 , 68 000,48 000 ,24 000 , 71 000,50 000 ,25 000 , 73 000,51 000 ,26 000 , 75 000,53 000 ,27 000 , 76 000,53 000 ,27 000 , 77 000,53 000 ,27 000 , 77 000,53 000 ,27 000 , 76 000,51 000 ,27 000 , 74 000,50 000 ,26 000 , 74 000,48 000 ,26 000 , 72 000
Nampula,1800 ,<1000 , 4400,2400 ,<1000 , 5800,3100 ,<1000 , 7000,3900 ,1300 , 8200,4800 ,1800 , 9500,5800 ,2300 , 11 000,6800 ,2800 , 13 000,7900 ,3400 , 14 000,8900 ,4100 , 15 000,9900 ,4600 , 17 000,11 000 ,5000 , 19 000,12 000 ,5300 , 21 000,13 000 ,5500 , 22 000,14 000 ,5800 , 23 000,15 000 ,6200 , 25 000,16 000 ,6500 , 26 000,17 000 ,7100 , 28 000,18 000 ,7600 , 30 000,20 000 ,8200 , 32 000,22 000 ,9000 , 35 000,24 000 ,10 000 , 39 000,27 000 ,11 000 , 42 000,30 000 ,13 000 , 45 000,33 000 ,14 000 , 50 000,36 000 ,15 000 , 53 000,39 000 ,17 000 , 58 000,41 000 ,18 000 , 62 000,44 000 ,19 000 , 67 000,46 000 ,20 000 , 71 000,48 000 ,21 000 , 76 000
Niassa,1100 ,<500 , 3000,1500 ,<500 , 3700,1900 ,<1000 , 4700,2500 ,<1000 , 5600,3100 ,1100 , 6500,3600 ,1400 , 7300,4100 ,1700 , 7900,4500 ,2000 , 8500,4900 ,2200 , 8600,5200 ,2300 , 8800,5400 ,2300 , 9300,5600 ,2500 , 9500,5800 ,2600 , 9800,5800 ,2700 , 9600,5900 ,2700 , 9800,6000 ,2800 , 10 000,6100 ,2900 , 10 000,6300 ,3000 , 11 000,6500 ,3100 , 11 000,6900 ,3300 , 11 000,7300 ,3600 , 12 000,7800 ,3900 , 13 000,8400 ,4100 , 14 000,9000 ,4400 , 15 000,9600 ,4700 , 16 000,10 000 ,4900 , 17 000,11 000 ,5200 , 18 000,11 000 ,5400 , 19 000,12 000 ,5500 , 20 000,12 000 ,5500 , 21 000
Sofala,3800 ,1500 , 6800,5200 ,2200 , 9000,7100 ,3200 , 12 000,9300 ,4300 , 15 000,12 000 ,5500 , 19 000,14 000 ,6500 , 21 000,16 000 ,7500 , 25 000,18 000 ,8500 , 27 000,19 000 ,9000 , 30 000,20 000 ,9400 , 32 000,21 000 ,9600 , 33 000,22 000 ,9800 , 34 000,22 000 ,9500 , 34 000,22 000 ,9600 , 35 000,22 000 ,9700 , 35 000,23 000 ,9900 , 35 000,23 000 ,10 000 , 35 000,23 000 ,11 000 , 36 000,24 000 ,11 000 , 37 000,25 000 ,12 000 , 38 000,26 000 ,12 000 , 40 000,27 000 ,13 000 , 42 000,29 000 ,14 000 , 44 000,31 000 ,15 000 , 46 000,32 000 ,16 000 , 48 000,33 000 ,17 000 , 50 000,34 000 ,18 000 , 51 000,34 000 ,18 000 , 52 000,34 000 ,17 000 , 53 000,35 000 ,17 000 , 53 000
Tete,6100 ,2300 , 12 000,7800 ,3100 , 15 000,9500 ,4000 , 18 000,11 000 ,4700 , 19 000,12 000 ,5300 , 21 000,14 000 ,6000 , 22 000,14 000 ,6300 , 22 000,14 000 ,6500 , 22 000,14 000 ,6500 , 22 000,13 000 ,6100 , 21 000,12 000 ,5600 , 20 000,12 000 ,5200 , 19 000,11 000 ,5000 , 18 000,11 000 ,4700 , 17 000,10 000 ,4600 , 17 000,10 000 ,4500 , 17 000,10 000 ,4500 , 16 000,10 000 ,4600 , 16 000,10 000 ,4800 , 16 000,10 000 ,5000 , 16 000,11 000 ,5300 , 16 000,11 000 ,5600 , 17 000,11 000 ,5900 , 17 000,12 000 ,6300 , 18 000,12 000 ,6400 , 18 000,12 000 ,6500 , 18 000,12 000 ,6600 , 19 000,12 000 ,6500 , 18 000,12 000 ,6400 , 18 000,11 000 ,6300 , 18 000
