States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,1900 ,<500 , 4000,2600 ,<1000 , 5100,3600 ,1100 , 6700,4900 ,1800 , 8800,6500 ,2700 , 11 000,8300 ,4000 , 14 000,10 000 ,5500 , 17 000,13 000 ,7500 , 20 000,15 000 ,9500 , 23 000,18 000 ,12 000 , 26 000,21 000 ,15 000 , 30 000,24 000 ,17 000 , 34 000,27 000 ,19 000 , 38 000,30 000 ,22 000 , 41 000,33 000 ,24 000 , 45 000,36 000 ,27 000 , 48 000,39 000 ,30 000 , 51 000,42 000 ,33 000 , 54 000,46 000 ,36 000 , 58 000,50 000 ,38 000 , 63 000,53 000 ,41 000 , 69 000,57 000 ,44 000 , 75 000,61 000 ,46 000 , 78 000,64 000 ,48 000 , 83 000,67 000 ,51 000 , 88 000,70 000 ,53 000 , 93 000,74 000 ,54 000 , 98 000,77 000 ,55 000 , 100 000,80 000 ,57 000 , 110 000,83 000 ,58 000 , 110 000
Cidade de Maputo,1200 ,<1000 , 2000,1800 ,1100 , 2800,2700 ,1600 , 4100,3800 ,2400 , 5800,5400 ,3400 , 8000,7500 ,4800 , 11 000,10 000 ,6600 , 14 000,13 000 ,9000 , 17 000,16 000 ,12 000 , 21 000,20 000 ,15 000 , 25 000,24 000 ,18 000 , 29 000,28 000 ,21 000 , 34 000,32 000 ,25 000 , 38 000,35 000 ,28 000 , 41 000,38 000 ,32 000 , 44 000,41 000 ,35 000 , 47 000,44 000 ,38 000 , 50 000,47 000 ,41 000 , 53 000,50 000 ,44 000 , 56 000,53 000 ,47 000 , 59 000,56 000 ,50 000 , 61 000,58 000 ,51 000 , 64 000,60 000 ,53 000 , 67 000,62 000 ,54 000 , 69 000,63 000 ,55 000 , 71 000,64 000 ,56 000 , 73 000,65 000 ,56 000 , 74 000,65 000 ,56 000 , 74 000,65 000 ,56 000 , 75 000,65 000 ,56 000 , 76 000
Gaza,<1000 ,<100 , 3900,1200 ,<200 , 5500,2000 ,<500 , 8400,3300 ,<1000 , 12 000,5500 ,1600 , 17 000,8600 ,3200 , 21 000,13 000 ,6000 , 27 000,19 000 ,10 000 , 32 000,27 000 ,17 000 , 40 000,35 000 ,25 000 , 48 000,44 000 ,34 000 , 57 000,52 000 ,42 000 , 66 000,60 000 ,48 000 , 73 000,66 000 ,54 000 , 80 000,71 000 ,58 000 , 84 000,75 000 ,63 000 , 88 000,78 000 ,66 000 , 90 000,81 000 ,71 000 , 93 000,85 000 ,75 000 , 97 000,88 000 ,78 000 , 100 000,92 000 ,81 000 , 100 000,95 000 ,84 000 , 110 000,98 000 ,86 000 , 110 000,100 000 ,87 000 , 110 000,100 000 ,89 000 , 120 000,100 000 ,90 000 , 120 000,110 000 ,92 000 , 120 000,110 000 ,92 000 , 120 000,110 000 ,91 000 , 120 000,110 000 ,90 000 , 120 000
Inhambane,1500 ,<500 , 3100,2000 ,<1000 , 3900,2800 ,<1000 , 5200,3700 ,1600 , 6700,4900 ,2300 , 8100,6100 ,3100 , 9900,7600 ,4100 , 12 000,9200 ,5100 , 14 000,11 000 ,6200 , 16 000,13 000 ,7600 , 18 000,15 000 ,9600 , 20 000,17 000 ,12 000 , 22 000,19 000 ,13 000 , 24 000,21 000 ,15 000 , 26 000,23 000 ,17 000 , 29 000,25 000 ,19 000 , 31 000,27 000 ,21 000 , 33 000,30 000 ,24 000 , 36 000,32 000 ,26 000 , 39 000,35 000 ,29 000 , 43 000,39 000 ,32 000 , 46 000,42 000 ,35 000 , 50 000,45 000 ,38 000 , 54 000,49 000 ,42 000 , 58 000,52 000 ,43 000 , 63 000,55 000 ,46 000 , 68 000,58 000 ,48 000 , 71 000,61 000 ,49 000 , 76 000,63 000 ,50 000 , 80 000,65 000 ,51 000 , 84 000
Manica,3700 ,1100 , 6900,5600 ,2100 , 9300,8200 ,3900 , 13 000,12 000 ,6400 , 18 000,16 000 ,10 000 , 23 000,20 000 ,14 000 , 28 000,25 000 ,18 000 , 34 000,30 000 ,23 000 , 39 000,35 000 ,28 000 , 45 000,39 000 ,31 000 , 50 000,43 000 ,34 000 , 55 000,46 000 ,38 000 , 59 000,49 000 ,40 000 , 61 000,51 000 ,43 000 , 63 000,53 000 ,44 000 , 64 000,54 000 ,45 000 , 66 000,55 000 ,46 000 , 67 000,56 000 ,48 000 , 68 000,58 000 ,50 000 , 69 000,60 000 ,51 000 , 72 000,62 000 ,53 000 , 74 000,63 000 ,54 000 , 76 000,65 000 ,55 000 , 77 000,66 000 ,56 000 , 79 000,68 000 ,57 000 , 81 000,69 000 ,58 000 , 84 000,71 000 ,59 000 , 86 000,73 000 ,60 000 , 89 000,74 000 ,61 000 , 91 000,75 000 ,61 000 , 94 000
Maputo,3700 ,1600 , 9600,5500 ,2500 , 13 000,8300 ,4000 , 17 000,12 000 ,6300 , 23 000,17 000 ,9600 , 30 000,23 000 ,14 000 , 37 000,30 000 ,20 000 , 45 000,38 000 ,27 000 , 54 000,47 000 ,35 000 , 64 000,57 000 ,43 000 , 74 000,67 000 ,52 000 , 84 000,76 000 ,61 000 , 94 000,86 000 ,70 000 , 100 000,95 000 ,80 000 , 110 000,100 000 ,88 000 , 120 000,110 000 ,97 000 , 130 000,120 000 ,110 000 , 130 000,130 000 ,110 000 , 140 000,130 000 ,120 000 , 150 000,140 000 ,130 000 , 150 000,150 000 ,140 000 , 160 000,160 000 ,140 000 , 170 000,170 000 ,150 000 , 180 000,170 000 ,150 000 , 190 000,180 000 ,150 000 , 190 000,180 000 ,160 000 , 200 000,190 000 ,160 000 , 200 000,190 000 ,160 000 , 210 000,190 000 ,170 000 , 210 000,200 000 ,170 000 , 220 000
Nampula,2800 ,<1000 , 5500,3800 ,1100 , 7100,5000 ,1700 , 9100,6500 ,2400 , 12 000,8200 ,3300 , 14 000,10 000 ,4700 , 17 000,12 000 ,6200 , 19 000,15 000 ,8500 , 22 000,17 000 ,11 000 , 26 000,20 000 ,13 000 , 30 000,23 000 ,16 000 , 33 000,26 000 ,18 000 , 37 000,29 000 ,21 000 , 40 000,32 000 ,24 000 , 44 000,35 000 ,27 000 , 49 000,39 000 ,29 000 , 52 000,42 000 ,33 000 , 56 000,46 000 ,36 000 , 60 000,50 000 ,40 000 , 65 000,55 000 ,44 000 , 70 000,60 000 ,48 000 , 75 000,65 000 ,53 000 , 81 000,71 000 ,58 000 , 87 000,78 000 ,64 000 , 95 000,84 000 ,69 000 , 100 000,92 000 ,75 000 , 110 000,99 000 ,80 000 , 120 000,110 000 ,85 000 , 130 000,120 000 ,91 000 , 140 000,120 000 ,96 000 , 160 000
Niassa,1900 ,<500 , 4900,2600 ,<1000 , 6400,3500 ,1100 , 8100,4600 ,1600 , 9800,5800 ,2400 , 12 000,7100 ,3300 , 14 000,8500 ,4200 , 15 000,9800 ,5400 , 17 000,11 000 ,6800 , 18 000,12 000 ,8200 , 19 000,14 000 ,9000 , 20 000,15 000 ,10 000 , 21 000,16 000 ,11 000 , 23 000,17 000 ,12 000 , 24 000,18 000 ,12 000 , 25 000,18 000 ,13 000 , 26 000,19 000 ,14 000 , 26 000,20 000 ,15 000 , 27 000,21 000 ,16 000 , 28 000,22 000 ,17 000 , 29 000,23 000 ,18 000 , 31 000,25 000 ,19 000 , 32 000,26 000 ,20 000 , 34 000,28 000 ,21 000 , 36 000,29 000 ,22 000 , 38 000,31 000 ,23 000 , 41 000,33 000 ,25 000 , 44 000,34 000 ,26 000 , 47 000,36 000 ,27 000 , 50 000,38 000 ,27 000 , 52 000
Sofala,6300 ,2900 , 10 000,8900 ,4400 , 13 000,12 000 ,6400 , 18 000,16 000 ,9600 , 23 000,21 000 ,13 000 , 29 000,26 000 ,17 000 , 35 000,31 000 ,22 000 , 40 000,36 000 ,27 000 , 46 000,41 000 ,31 000 , 52 000,46 000 ,35 000 , 58 000,50 000 ,39 000 , 63 000,54 000 ,43 000 , 67 000,58 000 ,46 000 , 72 000,61 000 ,49 000 , 75 000,63 000 ,52 000 , 77 000,66 000 ,54 000 , 79 000,68 000 ,57 000 , 81 000,71 000 ,60 000 , 83 000,74 000 ,63 000 , 87 000,77 000 ,66 000 , 91 000,81 000 ,70 000 , 94 000,84 000 ,73 000 , 97 000,88 000 ,75 000 , 100 000,92 000 ,78 000 , 100 000,96 000 ,81 000 , 110 000,100 000 ,84 000 , 110 000,100 000 ,86 000 , 120 000,110 000 ,90 000 , 130 000,110 000 ,93 000 , 130 000,120 000 ,95 000 , 140 000
Tete,11 000 ,5600 , 20 000,14 000 ,8300 , 25 000,18 000 ,11 000 , 30 000,22 000 ,14 000 , 35 000,26 000 ,17 000 , 40 000,30 000 ,20 000 , 43 000,33 000 ,23 000 , 45 000,35 000 ,25 000 , 48 000,37 000 ,27 000 , 49 000,38 000 ,29 000 , 50 000,39 000 ,30 000 , 51 000,40 000 ,31 000 , 51 000,40 000 ,32 000 , 52 000,40 000 ,32 000 , 51 000,40 000 ,32 000 , 51 000,40 000 ,32 000 , 51 000,40 000 ,32 000 , 50 000,40 000 ,33 000 , 50 000,40 000 ,33 000 , 50 000,41 000 ,34 000 , 50 000,41 000 ,34 000 , 50 000,42 000 ,35 000 , 50 000,42 000 ,35 000 , 51 000,42 000 ,35 000 , 51 000,42 000 ,35 000 , 52 000,43 000 ,35 000 , 52 000,43 000 ,35 000 , 53 000,43 000 ,35 000 , 54 000,43 000 ,35 000 , 55 000,43 000 ,34 000 , 55 000
