States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,1400 ,<500 , 2900,1900 ,<1000 , 3800,2600 ,<1000 , 4900,3400 ,1300 , 6200,4400 ,1900 , 7700,5600 ,2700 , 9300,6900 ,3600 , 11 000,8400 ,4800 , 13 000,10 000 ,6300 , 15 000,12 000 ,7500 , 18 000,14 000 ,9200 , 20 000,16 000 ,11 000 , 22 000,18 000 ,13 000 , 25 000,20 000 ,15 000 , 28 000,22 000 ,16 000 , 31 000,24 000 ,18 000 , 33 000,26 000 ,20 000 , 36 000,28 000 ,22 000 , 38 000,31 000 ,24 000 , 41 000,34 000 ,26 000 , 45 000,37 000 ,28 000 , 48 000,39 000 ,30 000 , 52 000,42 000 ,32 000 , 55 000,44 000 ,33 000 , 58 000,47 000 ,34 000 , 61 000,49 000 ,36 000 , 64 000,51 000 ,37 000 , 67 000,53 000 ,38 000 , 71 000,55 000 ,39 000 , 75 000,57 000 ,39 000 , 79 000
Cidade de Maputo,<1000 ,<500 , 1200,1000 ,<1000 , 1700,1500 ,<1000 , 2300,2100 ,1300 , 3200,2900 ,1900 , 4400,3900 ,2600 , 5700,5200 ,3500 , 7300,6600 ,4600 , 9000,8300 ,6000 , 11 000,10 000 ,7600 , 13 000,12 000 ,9100 , 15 000,14 000 ,11 000 , 18 000,16 000 ,12 000 , 20 000,17 000 ,14 000 , 21 000,19 000 ,15 000 , 23 000,20 000 ,17 000 , 24 000,22 000 ,18 000 , 25 000,23 000 ,19 000 , 27 000,25 000 ,20 000 , 28 000,26 000 ,22 000 , 29 000,27 000 ,23 000 , 31 000,28 000 ,23 000 , 32 000,29 000 ,24 000 , 33 000,30 000 ,25 000 , 34 000,31 000 ,25 000 , 35 000,31 000 ,25 000 , 36 000,32 000 ,26 000 , 36 000,32 000 ,26 000 , 37 000,32 000 ,26 000 , 37 000,32 000 ,25 000 , 38 000
Gaza,<500 ,<100 , 1900,<1000 ,<100 , 2700,<1000 ,<200 , 4100,1700 ,<500 , 6100,2800 ,<1000 , 8700,4400 ,1700 , 11 000,6900 ,3100 , 14 000,10 000 ,5400 , 17 000,14 000 ,8900 , 22 000,19 000 ,13 000 , 26 000,24 000 ,19 000 , 32 000,29 000 ,23 000 , 37 000,34 000 ,27 000 , 42 000,38 000 ,30 000 , 47 000,42 000 ,33 000 , 50 000,44 000 ,37 000 , 53 000,47 000 ,39 000 , 55 000,50 000 ,42 000 , 58 000,52 000 ,45 000 , 61 000,55 000 ,47 000 , 64 000,57 000 ,49 000 , 66 000,59 000 ,51 000 , 68 000,61 000 ,53 000 , 70 000,63 000 ,54 000 , 72 000,65 000 ,55 000 , 74 000,66 000 ,55 000 , 75 000,67 000 ,56 000 , 77 000,67 000 ,56 000 , 78 000,67 000 ,55 000 , 79 000,67 000 ,55 000 , 80 000
Inhambane,<1000 ,<200 , 1400,<1000 ,<500 , 1800,1300 ,<500 , 2400,1800 ,<1000 , 3100,2300 ,1100 , 4000,2900 ,1400 , 4800,3600 ,1800 , 5500,4400 ,2300 , 6400,5200 ,3000 , 7400,6200 ,3800 , 8600,7200 ,4600 , 9800,8300 ,5600 , 11 000,9400 ,6600 , 12 000,11 000 ,7900 , 13 000,12 000 ,9000 , 15 000,13 000 ,9900 , 17 000,14 000 ,11 000 , 18 000,16 000 ,12 000 , 20 000,18 000 ,14 000 , 22 000,19 000 ,16 000 , 24 000,21 000 ,18 000 , 26 000,24 000 ,19 000 , 28 000,26 000 ,21 000 , 31 000,28 000 ,23 000 , 34 000,30 000 ,24 000 , 37 000,32 000 ,26 000 , 40 000,33 000 ,26 000 , 42 000,35 000 ,27 000 , 44 000,37 000 ,27 000 , 47 000,38 000 ,28 000 , 50 000
Manica,2300 ,<1000 , 4200,3400 ,1200 , 5700,4900 ,2300 , 7700,6800 ,3800 , 10 000,9300 ,5500 , 13 000,12 000 ,7900 , 16 000,15 000 ,10 000 , 19 000,17 000 ,13 000 , 23 000,20 000 ,16 000 , 27 000,22 000 ,18 000 , 30 000,25 000 ,20 000 , 32 000,27 000 ,21 000 , 34 000,28 000 ,23 000 , 35 000,30 000 ,24 000 , 37 000,31 000 ,25 000 , 39 000,32 000 ,26 000 , 40 000,32 000 ,27 000 , 41 000,33 000 ,27 000 , 41 000,35 000 ,28 000 , 42 000,36 000 ,29 000 , 44 000,37 000 ,30 000 , 45 000,38 000 ,31 000 , 47 000,39 000 ,32 000 , 48 000,40 000 ,32 000 , 49 000,42 000 ,32 000 , 50 000,43 000 ,33 000 , 52 000,44 000 ,33 000 , 54 000,45 000 ,35 000 , 56 000,46 000 ,35 000 , 58 000,47 000 ,36 000 , 60 000
Maputo,2700 ,1100 , 7300,4000 ,1800 , 9600,5800 ,2800 , 12 000,8300 ,4300 , 16 000,11 000 ,6300 , 20 000,15 000 ,9300 , 25 000,20 000 ,13 000 , 29 000,25 000 ,17 000 , 35 000,30 000 ,22 000 , 40 000,36 000 ,27 000 , 46 000,42 000 ,32 000 , 53 000,47 000 ,37 000 , 58 000,52 000 ,43 000 , 63 000,57 000 ,48 000 , 68 000,62 000 ,53 000 , 73 000,66 000 ,57 000 , 77 000,70 000 ,61 000 , 81 000,74 000 ,64 000 , 85 000,78 000 ,68 000 , 89 000,82 000 ,73 000 , 93 000,87 000 ,76 000 , 97 000,91 000 ,79 000 , 100 000,94 000 ,82 000 , 100 000,97 000 ,84 000 , 110 000,99 000 ,84 000 , 110 000,100 000 ,85 000 , 110 000,100 000 ,86 000 , 110 000,100 000 ,86 000 , 120 000,110 000 ,87 000 , 120 000,110 000 ,87 000 , 120 000
Nampula,2600 ,<1000 , 5000,3300 ,<1000 , 6300,4300 ,1500 , 8000,5400 ,2100 , 9700,6700 ,2800 , 12 000,8100 ,3800 , 14 000,9700 ,4900 , 15 000,11 000 ,6600 , 18 000,13 000 ,8100 , 20 000,15 000 ,10 000 , 23 000,17 000 ,12 000 , 25 000,20 000 ,14 000 , 28 000,22 000 ,16 000 , 31 000,24 000 ,18 000 , 34 000,26 000 ,20 000 , 37 000,29 000 ,22 000 , 40 000,31 000 ,24 000 , 43 000,34 000 ,26 000 , 45 000,38 000 ,29 000 , 49 000,41 000 ,32 000 , 53 000,45 000 ,36 000 , 57 000,50 000 ,39 000 , 62 000,54 000 ,43 000 , 67 000,59 000 ,47 000 , 72 000,64 000 ,51 000 , 79 000,69 000 ,55 000 , 86 000,75 000 ,59 000 , 94 000,80 000 ,63 000 , 100 000,86 000 ,67 000 , 110 000,92 000 ,70 000 , 120 000
Niassa,1300 ,<500 , 3400,1700 ,<500 , 4300,2200 ,<1000 , 5300,2800 ,<1000 , 6200,3500 ,1500 , 7400,4200 ,1900 , 8400,4900 ,2500 , 9100,5600 ,3200 , 9700,6300 ,3800 , 10 000,7000 ,4700 , 11 000,7600 ,5000 , 11 000,8300 ,5500 , 12 000,8800 ,5900 , 13 000,9400 ,6300 , 13 000,9800 ,6800 , 14 000,10 000 ,7400 , 15 000,11 000 ,7900 , 15 000,11 000 ,8300 , 16 000,12 000 ,8700 , 16 000,12 000 ,9400 , 17 000,13 000 ,10 000 , 18 000,14 000 ,11 000 , 19 000,15 000 ,11 000 , 20 000,16 000 ,12 000 , 21 000,17 000 ,12 000 , 23 000,18 000 ,13 000 , 25 000,19 000 ,14 000 , 26 000,20 000 ,14 000 , 28 000,21 000 ,14 000 , 30 000,22 000 ,15 000 , 31 000
Sofala,4200 ,1900 , 6500,5700 ,2800 , 8600,7700 ,4200 , 11 000,10 000 ,6000 , 14 000,13 000 ,8200 , 17 000,15 000 ,10 000 , 21 000,18 000 ,13 000 , 24 000,21 000 ,15 000 , 28 000,24 000 ,18 000 , 31 000,27 000 ,20 000 , 34 000,29 000 ,23 000 , 37 000,31 000 ,25 000 , 40 000,33 000 ,27 000 , 42 000,35 000 ,28 000 , 44 000,37 000 ,30 000 , 46 000,38 000 ,31 000 , 48 000,40 000 ,33 000 , 50 000,42 000 ,34 000 , 51 000,44 000 ,36 000 , 53 000,46 000 ,38 000 , 56 000,48 000 ,39 000 , 58 000,51 000 ,41 000 , 60 000,53 000 ,43 000 , 63 000,55 000 ,45 000 , 66 000,58 000 ,47 000 , 69 000,61 000 ,49 000 , 72 000,63 000 ,50 000 , 75 000,65 000 ,52 000 , 78 000,67 000 ,54 000 , 82 000,69 000 ,55 000 , 86 000
Tete,7600 ,4000 , 14 000,9700 ,5500 , 17 000,12 000 ,7000 , 20 000,14 000 ,8900 , 22 000,16 000 ,11 000 , 24 000,18 000 ,12 000 , 26 000,20 000 ,14 000 , 27 000,21 000 ,15 000 , 28 000,22 000 ,16 000 , 29 000,22 000 ,16 000 , 29 000,23 000 ,17 000 , 30 000,23 000 ,17 000 , 30 000,23 000 ,17 000 , 30 000,23 000 ,17 000 , 30 000,23 000 ,17 000 , 30 000,23 000 ,17 000 , 29 000,23 000 ,17 000 , 29 000,23 000 ,17 000 , 29 000,23 000 ,18 000 , 29 000,23 000 ,18 000 , 29 000,24 000 ,18 000 , 29 000,24 000 ,18 000 , 30 000,24 000 ,19 000 , 30 000,24 000 ,20 000 , 30 000,25 000 ,20 000 , 31 000,25 000 ,20 000 , 32 000,26 000 ,20 000 , 32 000,26 000 ,20 000 , 33 000,26 000 ,19 000 , 33 000,26 000 ,19 000 , 33 000
