States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<1000 ,<500 , 1900,1200 ,<500 , 2600,1600 ,<500 , 3400,2100 ,<1000 , 4300,2800 ,<1000 , 5300,3500 ,1300 , 6500,4200 ,1600 , 7600,5000 ,2100 , 9000,5700 ,2600 , 10 000,6500 ,2900 , 11 000,7200 ,3200 , 12 000,7900 ,3300 , 13 000,8600 ,3600 , 14 000,9300 ,3900 , 15 000,9900 ,4000 , 16 000,11 000 ,4300 , 17 000,11 000 ,4600 , 18 000,12 000 ,4900 , 19 000,13 000 ,5200 , 21 000,14 000 ,5400 , 22 000,15 000 ,5900 , 24 000,16 000 ,6200 , 25 000,17 000 ,6600 , 26 000,18 000 ,7000 , 28 000,18 000 ,7300 , 29 000,19 000 ,7500 , 30 000,19 000 ,7700 , 30 000,19 000 ,7600 , 30 000,19 000 ,7600 , 30 000,19 000 ,7900 , 31 000
Cidade de Maputo,<500 ,<200 , <1000,<1000 ,<500 , 1200,1000 ,<500 , 1800,1500 ,<1000 , 2600,2100 ,<1000 , 3500,2800 ,1300 , 4600,3600 ,1600 , 5800,4500 ,2100 , 7000,5500 ,2400 , 8400,6400 ,2800 , 9800,7200 ,3200 , 11 000,8000 ,3300 , 12 000,8600 ,3500 , 13 000,9000 ,3500 , 14 000,9300 ,3600 , 14 000,9500 ,3700 , 15 000,9700 ,3700 , 15 000,9900 ,3700 , 15 000,10 000 ,3800 , 15 000,10 000 ,3800 , 15 000,10 000 ,4000 , 16 000,10 000 ,4200 , 16 000,10 000 ,4200 , 15 000,10 000 ,4100 , 15 000,9600 ,4000 , 15 000,9100 ,3800 , 14 000,8600 ,3600 , 13 000,8000 ,3500 , 12 000,7500 ,3400 , 11 000,7100 ,3400 , 11 000
Gaza,<500 ,<100 , 2200,<1000 ,<100 , 3300,<1000 ,<200 , 4700,1700 ,<500 , 6500,2700 ,<1000 , 8900,4200 ,1500 , 11 000,6300 ,2600 , 14 000,8800 ,4100 , 17 000,12 000 ,5800 , 21 000,15 000 ,7300 , 23 000,18 000 ,8600 , 26 000,20 000 ,9500 , 29 000,22 000 ,10 000 , 32 000,23 000 ,11 000 , 34 000,23 000 ,11 000 , 34 000,23 000 ,10 000 , 34 000,23 000 ,9600 , 34 000,23 000 ,9500 , 34 000,23 000 ,9600 , 33 000,23 000 ,9700 , 33 000,23 000 ,9700 , 33 000,23 000 ,9600 , 33 000,22 000 ,9300 , 32 000,22 000 ,9100 , 32 000,22 000 ,9100 , 31 000,21 000 ,9100 , 31 000,21 000 ,9000 , 30 000,20 000 ,8600 , 29 000,18 000 ,8100 , 27 000,17 000 ,7700 , 26 000
Inhambane,<1000 ,<200 , 1400,<1000 ,<500 , 1800,1100 ,<500 , 2300,1500 ,<500 , 2800,1900 ,<1000 , 3500,2400 ,<1000 , 4100,2800 ,1100 , 4800,3200 ,1300 , 5500,3700 ,1500 , 6400,4100 ,1600 , 7100,4500 ,1700 , 7700,4900 ,1900 , 8100,5200 ,2100 , 8700,5600 ,2200 , 9000,6000 ,2400 , 9600,6300 ,2500 , 9900,6700 ,2600 , 10 000,7200 ,2800 , 11 000,7700 ,3000 , 11 000,8300 ,3300 , 12 000,9000 ,3700 , 13 000,9700 ,3900 , 14 000,10 000 ,4200 , 16 000,11 000 ,4500 , 17 000,12 000 ,4800 , 18 000,12 000 ,4900 , 18 000,12 000 ,5000 , 19 000,12 000 ,5100 , 20 000,12 000 ,4800 , 20 000,12 000 ,4600 , 20 000
Manica,1700 ,<1000 , 3600,2500 ,<1000 , 4900,3700 ,1500 , 6900,5200 ,2200 , 8500,6900 ,3000 , 11 000,8700 ,3900 , 14 000,10 000 ,4500 , 16 000,12 000 ,4900 , 18 000,13 000 ,5300 , 19 000,13 000 ,5500 , 21 000,14 000 ,5700 , 22 000,14 000 ,5800 , 22 000,14 000 ,5700 , 22 000,14 000 ,5500 , 22 000,14 000 ,5300 , 22 000,13 000 ,5100 , 21 000,13 000 ,5100 , 21 000,13 000 ,5000 , 21 000,13 000 ,5100 , 21 000,13 000 ,5100 , 21 000,13 000 ,5300 , 21 000,14 000 ,5600 , 22 000,14 000 ,6100 , 22 000,15 000 ,6500 , 22 000,15 000 ,7000 , 23 000,15 000 ,7000 , 23 000,15 000 ,6900 , 23 000,15 000 ,6900 , 23 000,14 000 ,6700 , 23 000,14 000 ,6600 , 23 000
Maputo,1600 ,<1000 , 4600,2400 ,<1000 , 6300,3600 ,1500 , 8900,5100 ,2300 , 12 000,7100 ,3400 , 15 000,9500 ,4700 , 18 000,12 000 ,6000 , 22 000,15 000 ,7000 , 25 000,18 000 ,8400 , 28 000,20 000 ,9300 , 32 000,23 000 ,10 000 , 35 000,25 000 ,11 000 , 38 000,27 000 ,11 000 , 40 000,28 000 ,12 000 , 42 000,30 000 ,13 000 , 45 000,31 000 ,13 000 , 46 000,32 000 ,14 000 , 47 000,34 000 ,14 000 , 49 000,35 000 ,15 000 , 51 000,37 000 ,15 000 , 52 000,39 000 ,16 000 , 55 000,40 000 ,17 000 , 57 000,41 000 ,17 000 , 58 000,42 000 ,17 000 , 59 000,42 000 ,18 000 , 60 000,42 000 ,18 000 , 60 000,42 000 ,18 000 , 59 000,41 000 ,17 000 , 57 000,39 000 ,17 000 , 56 000,38 000 ,16 000 , 54 000
Nampula,1100 ,<500 , 2700,1500 ,<500 , 3500,2000 ,<1000 , 4500,2600 ,<1000 , 5400,3200 ,1100 , 6400,3800 ,1500 , 7300,4500 ,1800 , 8200,5200 ,2100 , 9000,5900 ,2400 , 10 000,6600 ,2700 , 12 000,7200 ,2800 , 12 000,7800 ,3200 , 13 000,8400 ,3400 , 14 000,9100 ,3600 , 15 000,9700 ,3900 , 16 000,10 000 ,4000 , 17 000,11 000 ,4200 , 18 000,12 000 ,4600 , 19 000,13 000 ,4900 , 20 000,14 000 ,5300 , 22 000,16 000 ,6000 , 24 000,18 000 ,6700 , 27 000,20 000 ,7500 , 30 000,21 000 ,8200 , 33 000,23 000 ,9000 , 36 000,25 000 ,9800 , 38 000,27 000 ,11 000 , 40 000,28 000 ,12 000 , 44 000,30 000 ,12 000 , 48 000,31 000 ,13 000 , 50 000
Niassa,<1000 ,<200 , 2300,1100 ,<500 , 2900,1500 ,<500 , 3700,1900 ,<1000 , 4500,2400 ,<1000 , 5200,2800 ,1100 , 5700,3200 ,1300 , 6200,3500 ,1400 , 6400,3800 ,1400 , 6800,4000 ,1500 , 7000,4200 ,1600 , 6900,4300 ,1700 , 7200,4400 ,1700 , 7600,4500 ,1800 , 7700,4500 ,1800 , 7700,4600 ,1800 , 7800,4700 ,1900 , 7900,4900 ,1900 , 8000,5000 ,2000 , 8200,5300 ,2200 , 8500,5500 ,2300 , 8900,5900 ,2400 , 9600,6300 ,2600 , 10 000,6700 ,2800 , 11 000,7100 ,3000 , 12 000,7600 ,3300 , 13 000,8000 ,3500 , 13 000,8400 ,3700 , 14 000,8700 ,3800 , 15 000,8800 ,3800 , 15 000
Sofala,2800 ,1100 , 5100,4000 ,1700 , 6900,5500 ,2400 , 9000,7100 ,3300 , 12 000,9000 ,4300 , 14 000,11 000 ,5100 , 16 000,12 000 ,5600 , 19 000,14 000 ,6300 , 21 000,15 000 ,6700 , 23 000,16 000 ,6900 , 24 000,16 000 ,7000 , 25 000,17 000 ,6900 , 26 000,17 000 ,7100 , 27 000,17 000 ,7000 , 26 000,17 000 ,7100 , 26 000,17 000 ,6900 , 26 000,17 000 ,7000 , 26 000,18 000 ,7200 , 27 000,18 000 ,7300 , 28 000,19 000 ,7700 , 29 000,20 000 ,8300 , 30 000,21 000 ,8700 , 32 000,22 000 ,9300 , 33 000,23 000 ,9800 , 34 000,23 000 ,10 000 , 35 000,24 000 ,11 000 , 36 000,25 000 ,11 000 , 37 000,25 000 ,12 000 , 38 000,25 000 ,12 000 , 39 000,25 000 ,12 000 , 39 000
Tete,4500 ,1800 , 9500,5900 ,2300 , 11 000,7300 ,3000 , 13 000,8600 ,3600 , 15 000,9700 ,4200 , 16 000,11 000 ,4500 , 17 000,11 000 ,4400 , 17 000,11 000 ,4300 , 17 000,11 000 ,4000 , 17 000,10 000 ,3800 , 16 000,9700 ,3600 , 16 000,9200 ,3400 , 15 000,8800 ,3200 , 14 000,8400 ,3100 , 14 000,8100 ,3000 , 13 000,7800 ,3000 , 12 000,7600 ,3000 , 12 000,7600 ,3000 , 12 000,7600 ,3000 , 12 000,7600 ,3100 , 12 000,7800 ,3200 , 12 000,7900 ,3300 , 12 000,8100 ,3400 , 13 000,8300 ,3600 , 13 000,8300 ,3700 , 13 000,8300 ,3700 , 13 000,8100 ,3700 , 13 000,8000 ,3500 , 13 000,7700 ,3500 , 12 000,7400 ,3400 , 12 000
