States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<500 ,<100 , 1100,<1000 ,<100 , 1400,<1000 ,<100 , 1800,<1000 ,<200 , 2100,1300 ,<200 , 2600,1600 ,<500 , 3100,1900 ,<500 , 3900,2300 ,<500 , 4500,2700 ,<500 , 5100,3000 ,<500 , 5600,3400 ,<500 , 6200,3700 ,<1000 , 6700,4000 ,<1000 , 7400,4400 ,<1000 , 7800,4700 ,<1000 , 8300,4900 ,<1000 , 8800,5300 ,<1000 , 9300,5700 ,<1000 , 10 000,6100 ,1000 , 11 000,6500 ,1100 , 12 000,6900 ,1200 , 13 000,7400 ,1300 , 14 000,7900 ,1400 , 14 000,8400 ,1600 , 16 000,8800 ,1800 , 16 000,9100 ,1900 , 17 000,9200 ,2000 , 18 000,9400 ,2100 , 18 000,9500 ,2300 , 18 000,9600 ,2400 , 19 000
Cidade de Maputo,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<1000 ,<100 , 1200,<1000 ,<200 , 1600,1100 ,<200 , 2100,1400 ,<500 , 2500,1700 ,<500 , 3000,2000 ,<500 , 3400,2300 ,<500 , 3900,2500 ,<500 , 4200,2700 ,<500 , 4500,2800 ,<500 , 4600,2800 ,<500 , 4700,2800 ,<500 , 4900,2800 ,<500 , 4900,2800 ,<500 , 4800,2800 ,<500 , 4800,2800 ,<1000 , 4900,2900 ,<1000 , 4900,2900 ,<1000 , 4900,2900 ,<1000 , 4800,2900 ,<1000 , 4700,2900 ,<1000 , 4600,2800 ,<1000 , 4500,2800 ,1100 , 4300,2700 ,1200 , 4200,2800 ,1400 , 4200,2800 ,1500 , 4200
Gaza,<100 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , 1400,<1000 ,<100 , 2100,<1000 ,<200 , 2900,1600 ,<500 , 4100,2300 ,<500 , 5100,3200 ,<1000 , 5900,4300 ,<1000 , 7300,5400 ,1100 , 8900,6400 ,1300 , 10 000,7300 ,1500 , 12 000,7700 ,1700 , 13 000,7800 ,1700 , 13 000,7700 ,1600 , 13 000,7400 ,1500 , 12 000,7200 ,1400 , 12 000,7000 ,1400 , 12 000,6900 ,1400 , 12 000,6900 ,1400 , 11 000,6900 ,1400 , 11 000,7000 ,1500 , 11 000,7100 ,1600 , 12 000,7200 ,1700 , 12 000,7300 ,1800 , 12 000,7400 ,2000 , 12 000,7300 ,2200 , 12 000,7200 ,2400 , 12 000,7000 ,2600 , 11 000,6800 ,2700 , 11 000
Inhambane,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<1000 ,<100 , 1200,<1000 ,<200 , 1400,<1000 ,<200 , 1700,1100 ,<200 , 1900,1300 ,<500 , 2100,1400 ,<500 , 2400,1600 ,<500 , 2700,1700 ,<500 , 2900,1800 ,<500 , 3100,1900 ,<500 , 3200,2000 ,<500 , 3500,2100 ,<500 , 3700,2200 ,<500 , 3900,2300 ,<500 , 4100,2500 ,<500 , 4400,2700 ,<500 , 4800,2900 ,<1000 , 5300,3200 ,<1000 , 5800,3500 ,<1000 , 6100,3800 ,<1000 , 6600,4000 ,<1000 , 6900,4200 ,<1000 , 7200,4300 ,<1000 , 7500,4300 ,1000 , 7400,4200 ,1100 , 7400,4200 ,1100 , 7600
Manica,<1000 ,<100 , 1300,<1000 ,<200 , 1800,1200 ,<200 , 2400,1700 ,<500 , 3000,2300 ,<500 , 3900,3000 ,<500 , 5100,3500 ,<1000 , 6100,4000 ,<1000 , 6700,4400 ,<1000 , 7500,4700 ,<1000 , 8000,4800 ,<1000 , 8300,4900 ,<1000 , 8300,4800 ,<1000 , 8200,4700 ,<1000 , 8200,4600 ,<1000 , 8000,4500 ,<1000 , 7900,4400 ,<1000 , 7800,4400 ,<1000 , 7700,4500 ,<1000 , 7700,4600 ,<1000 , 7900,4800 ,1100 , 8300,5100 ,1200 , 8700,5400 ,1500 , 8900,5700 ,1700 , 9300,6000 ,1900 , 9600,6100 ,2100 , 9800,6200 ,2300 , 10 000,6300 ,2400 , 10 000,6200 ,2600 , 10 000,6200 ,2700 , 9900
Maputo,<1000 ,<100 , 1700,<1000 ,<200 , 2200,1200 ,<200 , 3000,1800 ,<500 , 4200,2500 ,<500 , 5700,3500 ,<1000 , 7300,4400 ,<1000 , 8300,5300 ,<1000 , 9400,6100 ,1000 , 10 000,6800 ,1200 , 11 000,7300 ,1300 , 12 000,7700 ,1300 , 13 000,8000 ,1400 , 13 000,8200 ,1500 , 14 000,8300 ,1500 , 13 000,8400 ,1500 , 14 000,8500 ,1500 , 14 000,8700 ,1600 , 14 000,8900 ,1600 , 14 000,9200 ,1700 , 14 000,9600 ,1800 , 15 000,10 000 ,2000 , 16 000,10 000 ,2100 , 16 000,11 000 ,2300 , 17 000,11 000 ,2600 , 17 000,11 000 ,2800 , 17 000,11 000 ,3000 , 17 000,11 000 ,3300 , 17 000,11 000 ,3500 , 18 000,11 000 ,3700 , 17 000
Nampula,<1000 ,<100 , 1800,<1000 ,<200 , 2200,1100 ,<200 , 2700,1400 ,<500 , 3300,1600 ,<500 , 3700,2000 ,<500 , 4100,2300 ,<500 , 4600,2700 ,<500 , 5200,3000 ,<500 , 5900,3400 ,<500 , 6500,3700 ,<1000 , 6900,4100 ,<1000 , 7600,4400 ,<1000 , 8100,4700 ,<1000 , 8700,5000 ,<1000 , 9000,5400 ,<1000 , 9700,5800 ,<1000 , 10 000,6200 ,<1000 , 11 000,6800 ,1000 , 12 000,7400 ,1100 , 13 000,8300 ,1300 , 15 000,9200 ,1500 , 16 000,10 000 ,1700 , 18 000,11 000 ,2000 , 20 000,12 000 ,2300 , 21 000,13 000 ,2600 , 23 000,14 000 ,2800 , 25 000,15 000 ,3100 , 26 000,16 000 ,3300 , 27 000,17 000 ,3500 , 29 000
Niassa,<500 ,<100 , <1000,<500 ,<100 , 1000,<500 ,<100 , 1300,<1000 ,<100 , 1500,<1000 ,<200 , 1700,<1000 ,<200 , 1800,<1000 ,<200 , 1900,1000 ,<200 , 2100,1100 ,<200 , 2200,1200 ,<200 , 2200,1200 ,<200 , 2300,1300 ,<200 , 2400,1300 ,<500 , 2400,1300 ,<500 , 2400,1300 ,<500 , 2400,1300 ,<500 , 2400,1400 ,<500 , 2500,1400 ,<500 , 2600,1500 ,<500 , 2700,1600 ,<500 , 2800,1700 ,<500 , 3100,1900 ,<500 , 3400,2100 ,<1000 , 3700,2300 ,<1000 , 4000,2500 ,<1000 , 4500,2700 ,<1000 , 4700,2900 ,<1000 , 5000,3000 ,<1000 , 5200,3200 ,<1000 , 5400,3200 ,1000 , 5600
Sofala,<1000 ,<200 , 1800,1300 ,<200 , 2400,1700 ,<500 , 3100,2100 ,<500 , 4000,2700 ,<500 , 4800,3200 ,<500 , 5700,3700 ,<500 , 6400,4100 ,<1000 , 6900,4500 ,<1000 , 7400,4800 ,<1000 , 7800,5000 ,<1000 , 8200,5200 ,<1000 , 8400,5200 ,<1000 , 8500,5300 ,<1000 , 8600,5300 ,<1000 , 8600,5300 ,<1000 , 8800,5400 ,<1000 , 9000,5500 ,1000 , 9300,5700 ,1100 , 9700,6000 ,1200 , 10 000,6400 ,1400 , 11 000,6900 ,1600 , 12 000,7400 ,1800 , 12 000,7900 ,2000 , 13 000,8400 ,2300 , 13 000,8800 ,2600 , 14 000,9100 ,2800 , 15 000,9300 ,3000 , 15 000,9500 ,3300 , 15 000,9600 ,3300 , 15 000
Tete,1500 ,<500 , 3300,1900 ,<500 , 3800,2200 ,<500 , 4100,2500 ,<500 , 4900,2800 ,<500 , 5300,3000 ,<500 , 5600,3100 ,<500 , 5700,3100 ,<500 , 5500,3000 ,<500 , 5200,2800 ,<500 , 5100,2700 ,<500 , 4900,2600 ,<500 , 4700,2500 ,<500 , 4600,2500 ,<500 , 4400,2400 ,<500 , 4300,2400 ,<500 , 4200,2400 ,<1000 , 4300,2500 ,<1000 , 4400,2600 ,<1000 , 4500,2800 ,<1000 , 4600,2900 ,1100 , 4900,3200 ,1300 , 5100,3400 ,1400 , 5400,3600 ,1600 , 5500,3700 ,1700 , 5700,3800 ,1900 , 5900,3900 ,1900 , 5900,3900 ,2100 , 5900,3800 ,2200 , 5800,3800 ,2200 , 5800
