States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,0.08 ,0.01 , 0.28,0.10 ,0.02 , 0.34,0.13 ,0.02 , 0.40,0.15 ,0.04 , 0.46,0.18 ,0.05 , 0.52,0.22 ,0.06 , 0.63,0.26 ,0.08 , 0.71,0.30 ,0.10 , 0.76,0.34 ,0.12 , 0.80,0.38 ,0.14 , 0.85,0.42 ,0.16 , 0.86,0.46 ,0.18 , 0.92,0.50 ,0.21 , 0.98,0.54 ,0.24 , 1.01,0.57 ,0.26 , 1.03,0.60 ,0.29 , 1.06,0.63 ,0.31 , 1.10,0.65 ,0.33 , 1.12,0.67 ,0.35 , 1.12,0.69 ,0.37 , 1.12,0.71 ,0.40 , 1.14,0.73 ,0.42 , 1.15,0.66 ,0.38 , 1.01,0.52 ,0.28 , 0.81,0.43 ,0.25 , 0.68,0.38 ,0.22 , 0.61,0.35 ,0.21 , 0.57,0.36 ,0.22 , 0.56,0.42 ,0.27 , 0.63,0.47 ,0.30 , 0.68
Adamawa,0.12 ,0.03 , 0.29,0.15 ,0.04 , 0.35,0.19 ,0.05 , 0.42,0.22 ,0.07 , 0.48,0.26 ,0.09 , 0.56,0.31 ,0.12 , 0.63,0.35 ,0.14 , 0.71,0.39 ,0.17 , 0.75,0.42 ,0.22 , 0.80,0.46 ,0.24 , 0.85,0.49 ,0.27 , 0.88,0.51 ,0.30 , 0.92,0.53 ,0.32 , 0.93,0.54 ,0.33 , 0.91,0.49 ,0.30 , 0.82,0.41 ,0.25 , 0.70,0.38 ,0.22 , 0.64,0.29 ,0.17 , 0.51,0.27 ,0.16 , 0.47,0.23 ,0.14 , 0.39,0.19 ,0.12 , 0.33,0.17 ,0.11 , 0.30,0.16 ,0.10 , 0.28,0.13 ,0.08 , 0.23,0.11 ,0.07 , 0.21,0.11 ,0.06 , 0.22,0.11 ,0.06 , 0.22,0.11 ,0.06 , 0.20,0.10 ,0.05 , 0.19,0.09 ,0.05 , 0.16
Akwa Ibom,0.37 ,0.12 , 0.94,0.48 ,0.16 , 1.15,0.60 ,0.23 , 1.38,0.74 ,0.30 , 1.62,0.89 ,0.38 , 1.84,1.04 ,0.46 , 2.03,1.18 ,0.56 , 2.21,1.33 ,0.67 , 2.39,1.47 ,0.79 , 2.52,1.59 ,0.92 , 2.72,1.70 ,1.02 , 2.78,1.80 ,1.12 , 2.85,1.87 ,1.19 , 2.90,1.91 ,1.24 , 2.89,1.82 ,1.19 , 2.68,1.65 ,1.09 , 2.46,1.57 ,1.04 , 2.30,1.32 ,0.86 , 1.93,1.30 ,0.85 , 1.86,1.05 ,0.69 , 1.50,0.97 ,0.63 , 1.37,0.95 ,0.62 , 1.36,0.91 ,0.61 , 1.30,0.81 ,0.54 , 1.16,0.84 ,0.55 , 1.20,0.99 ,0.65 , 1.39,1.18 ,0.82 , 1.61,1.17 ,0.87 , 1.55,1.17 ,0.88 , 1.53,1.28 ,0.96 , 1.63
Anambra,0.03 ,<0.01 , 0.10,0.04 ,0.01 , 0.13,0.06 ,0.02 , 0.15,0.07 ,0.03 , 0.19,0.09 ,0.04 , 0.22,0.12 ,0.05 , 0.25,0.14 ,0.07 , 0.29,0.17 ,0.09 , 0.33,0.20 ,0.11 , 0.39,0.24 ,0.13 , 0.44,0.27 ,0.16 , 0.50,0.31 ,0.18 , 0.55,0.34 ,0.21 , 0.60,0.38 ,0.24 , 0.65,0.39 ,0.25 , 0.66,0.40 ,0.25 , 0.66,0.41 ,0.27 , 0.67,0.40 ,0.26 , 0.63,0.43 ,0.28 , 0.66,0.40 ,0.26 , 0.61,0.41 ,0.27 , 0.62,0.45 ,0.30 , 0.67,0.48 ,0.32 , 0.71,0.45 ,0.29 , 0.70,0.34 ,0.21 , 0.53,0.26 ,0.16 , 0.43,0.25 ,0.15 , 0.40,0.29 ,0.19 , 0.46,0.32 ,0.21 , 0.50,0.35 ,0.23 , 0.54
Bauchi,0.10 ,0.02 , 0.34,0.13 ,0.02 , 0.39,0.16 ,0.03 , 0.45,0.19 ,0.04 , 0.51,0.22 ,0.05 , 0.58,0.24 ,0.07 , 0.64,0.27 ,0.09 , 0.66,0.29 ,0.11 , 0.68,0.30 ,0.13 , 0.71,0.32 ,0.14 , 0.69,0.33 ,0.15 , 0.68,0.34 ,0.17 , 0.69,0.34 ,0.18 , 0.67,0.33 ,0.18 , 0.64,0.31 ,0.17 , 0.59,0.27 ,0.14 , 0.52,0.24 ,0.12 , 0.48,0.19 ,0.09 , 0.40,0.18 ,0.08 , 0.38,0.14 ,0.06 , 0.30,0.12 ,0.05 , 0.26,0.10 ,0.04 , 0.24,0.09 ,0.04 , 0.21,0.08 ,0.03 , 0.18,0.07 ,0.03 , 0.15,0.06 ,0.02 , 0.13,0.05 ,0.02 , 0.11,0.04 ,0.02 , 0.11,0.05 ,0.02 , 0.12,0.05 ,0.02 , 0.12
Bayelsa,0.07 ,0.01 , 0.17,0.08 ,0.02 , 0.22,0.11 ,0.02 , 0.26,0.13 ,0.03 , 0.32,0.15 ,0.05 , 0.38,0.18 ,0.06 , 0.44,0.21 ,0.07 , 0.51,0.24 ,0.08 , 0.55,0.27 ,0.11 , 0.61,0.31 ,0.13 , 0.67,0.34 ,0.15 , 0.72,0.37 ,0.17 , 0.75,0.40 ,0.20 , 0.78,0.43 ,0.22 , 0.79,0.42 ,0.23 , 0.77,0.43 ,0.23 , 0.76,0.43 ,0.23 , 0.74,0.42 ,0.23 , 0.73,0.43 ,0.24 , 0.75,0.40 ,0.23 , 0.69,0.40 ,0.23 , 0.67,0.41 ,0.24 , 0.68,0.42 ,0.25 , 0.67,0.40 ,0.24 , 0.64,0.40 ,0.24 , 0.61,0.42 ,0.25 , 0.61,0.38 ,0.24 , 0.55,0.38 ,0.23 , 0.53,0.36 ,0.23 , 0.51,0.37 ,0.23 , 0.50
Benue,0.13 ,0.05 , 0.26,0.17 ,0.06 , 0.32,0.22 ,0.09 , 0.40,0.28 ,0.12 , 0.52,0.35 ,0.16 , 0.65,0.43 ,0.21 , 0.78,0.52 ,0.26 , 0.92,0.61 ,0.31 , 1.05,0.72 ,0.37 , 1.20,0.82 ,0.43 , 1.33,0.93 ,0.50 , 1.52,1.04 ,0.58 , 1.64,1.13 ,0.65 , 1.75,1.22 ,0.73 , 1.87,1.31 ,0.80 , 1.98,1.39 ,0.86 , 2.08,1.45 ,0.93 , 2.13,1.51 ,1.01 , 2.19,1.55 ,1.06 , 2.21,1.57 ,1.10 , 2.21,1.59 ,1.14 , 2.20,1.60 ,1.17 , 2.15,1.09 ,0.79 , 1.50,0.69 ,0.48 , 1.01,0.57 ,0.40 , 0.81,0.48 ,0.33 , 0.68,0.43 ,0.31 , 0.60,0.38 ,0.26 , 0.54,0.34 ,0.24 , 0.48,0.33 ,0.23 , 0.47
Borno,0.18 ,0.05 , 0.54,0.22 ,0.07 , 0.63,0.26 ,0.09 , 0.70,0.31 ,0.11 , 0.79,0.35 ,0.13 , 0.86,0.39 ,0.16 , 0.93,0.43 ,0.18 , 0.99,0.46 ,0.19 , 1.02,0.49 ,0.20 , 1.06,0.51 ,0.22 , 1.11,0.53 ,0.23 , 1.12,0.55 ,0.24 , 1.15,0.56 ,0.24 , 1.15,0.56 ,0.26 , 1.15,0.53 ,0.24 , 1.11,0.48 ,0.21 , 1.03,0.45 ,0.21 , 0.97,0.38 ,0.17 , 0.89,0.37 ,0.16 , 0.89,0.31 ,0.12 , 0.76,0.28 ,0.10 , 0.72,0.27 ,0.10 , 0.70,0.25 ,0.08 , 0.66,0.22 ,0.08 , 0.60,0.21 ,0.08 , 0.47,0.17 ,0.07 , 0.40,0.16 ,0.07 , 0.41,0.16 ,0.07 , 0.44,0.17 ,0.07 , 0.47,0.18 ,0.07 , 0.51
Cross River,0.04 ,<0.01 , 0.11,0.05 ,0.02 , 0.14,0.07 ,0.03 , 0.17,0.09 ,0.04 , 0.20,0.12 ,0.06 , 0.24,0.15 ,0.07 , 0.28,0.19 ,0.10 , 0.34,0.23 ,0.13 , 0.41,0.27 ,0.16 , 0.48,0.31 ,0.19 , 0.56,0.36 ,0.22 , 0.63,0.41 ,0.25 , 0.69,0.45 ,0.28 , 0.76,0.49 ,0.31 , 0.81,0.48 ,0.31 , 0.80,0.46 ,0.30 , 0.77,0.45 ,0.29 , 0.77,0.40 ,0.25 , 0.69,0.40 ,0.26 , 0.69,0.35 ,0.23 , 0.60,0.34 ,0.22 , 0.58,0.34 ,0.22 , 0.56,0.34 ,0.22 , 0.55,0.32 ,0.21 , 0.50,0.28 ,0.19 , 0.42,0.23 ,0.15 , 0.35,0.22 ,0.15 , 0.34,0.21 ,0.13 , 0.34,0.22 ,0.14 , 0.36,0.23 ,0.15 , 0.37
Delta,0.15 ,0.07 , 0.32,0.19 ,0.10 , 0.39,0.23 ,0.13 , 0.46,0.27 ,0.16 , 0.55,0.32 ,0.18 , 0.61,0.37 ,0.21 , 0.66,0.42 ,0.24 , 0.71,0.46 ,0.27 , 0.79,0.51 ,0.30 , 0.85,0.55 ,0.34 , 0.92,0.58 ,0.36 , 0.97,0.62 ,0.38 , 1.04,0.64 ,0.40 , 1.08,0.66 ,0.41 , 1.09,0.65 ,0.40 , 1.06,0.63 ,0.39 , 1.03,0.61 ,0.38 , 1.01,0.56 ,0.34 , 0.93,0.56 ,0.35 , 0.91,0.49 ,0.30 , 0.80,0.48 ,0.29 , 0.78,0.48 ,0.31 , 0.79,0.47 ,0.30 , 0.76,0.41 ,0.27 , 0.66,0.32 ,0.21 , 0.51,0.27 ,0.17 , 0.44,0.26 ,0.17 , 0.44,0.26 ,0.17 , 0.42,0.26 ,0.17 , 0.41,0.27 ,0.16 , 0.42
