States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<500 ,<100 , 1800,<1000 ,<100 , 2200,<1000 ,<200 , 2800,<1000 ,<200 , 3500,1200 ,<500 , 4300,1600 ,<500 , 5300,1900 ,<500 , 6500,2400 ,<1000 , 7300,2900 ,<1000 , 8400,3400 ,1000 , 9500,4000 ,1200 , 11 000,4700 ,1500 , 12 000,5400 ,1800 , 13 000,6200 ,2100 , 14 000,7000 ,2500 , 15 000,7800 ,3000 , 16 000,8600 ,3400 , 17 000,9400 ,3800 , 18 000,10 000 ,4200 , 20 000,11 000 ,4900 , 21 000,12 000 ,5600 , 21 000,13 000 ,6300 , 22 000,14 000 ,7200 , 23 000,14 000 ,7800 , 24 000,14 000 ,8100 , 24 000,14 000 ,8100 , 23 000,14 000 ,7900 , 23 000,14 000 ,8000 , 22 000,14 000 ,8100 , 21 000,15 000 ,8900 , 22 000
Adamawa,<1000 ,<200 , 2800,1200 ,<500 , 3500,1600 ,<500 , 4400,2100 ,<500 , 5500,2700 ,<1000 , 6600,3400 ,<1000 , 7800,4200 ,1100 , 9400,5100 ,1400 , 11 000,6100 ,1800 , 13 000,7200 ,2500 , 15 000,8300 ,3400 , 17 000,9500 ,4200 , 18 000,11 000 ,5200 , 20 000,12 000 ,6000 , 21 000,13 000 ,6800 , 23 000,13 000 ,7500 , 24 000,14 000 ,7900 , 25 000,14 000 ,8100 , 25 000,14 000 ,8100 , 24 000,14 000 ,7800 , 23 000,13 000 ,7400 , 22 000,12 000 ,6800 , 21 000,11 000 ,6200 , 19 000,10 000 ,5600 , 18 000,9200 ,5000 , 17 000,8400 ,4600 , 16 000,7900 ,4300 , 16 000,7500 ,4000 , 15 000,7100 ,3700 , 15 000,6700 ,3500 , 14 000
Akwa Ibom,2900 ,<1000 , 8900,4000 ,1100 , 12 000,5600 ,1600 , 16 000,7500 ,2200 , 20 000,9900 ,3000 , 24 000,13 000 ,4100 , 30 000,16 000 ,5500 , 36 000,20 000 ,7200 , 42 000,24 000 ,9200 , 47 000,28 000 ,11 000 , 55 000,32 000 ,15 000 , 62 000,36 000 ,18 000 , 66 000,40 000 ,21 000 , 70 000,44 000 ,24 000 , 76 000,47 000 ,27 000 , 79 000,50 000 ,30 000 , 81 000,53 000 ,32 000 , 82 000,55 000 ,35 000 , 83 000,57 000 ,37 000 , 85 000,58 000 ,38 000 , 84 000,58 000 ,38 000 , 84 000,59 000 ,39 000 , 85 000,59 000 ,40 000 , 85 000,60 000 ,39 000 , 85 000,60 000 ,40 000 , 85 000,63 000 ,42 000 , 89 000,68 000 ,47 000 , 94 000,73 000 ,51 000 , 99 000,76 000 ,55 000 , 100 000,80 000 ,58 000 , 110 000
Anambra,<500 ,<100 , 1500,<500 ,<100 , 1800,<1000 ,<100 , 2300,<1000 ,<200 , 2800,1000 ,<500 , 3400,1400 ,<500 , 4100,1800 ,<1000 , 5000,2400 ,<1000 , 6300,3000 ,1300 , 7600,3800 ,1700 , 8800,4700 ,2200 , 10 000,5800 ,2900 , 12 000,7000 ,3800 , 14 000,8300 ,4500 , 16 000,9700 ,5400 , 19 000,11 000 ,6400 , 21 000,13 000 ,7400 , 22 000,14 000 ,8500 , 25 000,16 000 ,9500 , 27 000,18 000 ,11 000 , 29 000,19 000 ,12 000 , 31 000,21 000 ,13 000 , 33 000,23 000 ,14 000 , 35 000,25 000 ,16 000 , 39 000,26 000 ,16 000 , 40 000,26 000 ,16 000 , 39 000,25 000 ,16 000 , 38 000,26 000 ,16 000 , 38 000,26 000 ,16 000 , 38 000,27 000 ,17 000 , 39 000
Bauchi,1300 ,<200 , 4900,1700 ,<500 , 6700,2300 ,<500 , 8600,3000 ,<500 , 10 000,3800 ,<1000 , 13 000,4700 ,<1000 , 16 000,5700 ,1200 , 18 000,6900 ,1600 , 20 000,8100 ,2100 , 23 000,9300 ,2700 , 26 000,11 000 ,3400 , 28 000,12 000 ,3900 , 29 000,13 000 ,4600 , 30 000,14 000 ,5400 , 32 000,15 000 ,6100 , 32 000,15 000 ,6800 , 32 000,16 000 ,7200 , 31 000,16 000 ,7600 , 31 000,16 000 ,8000 , 31 000,16 000 ,7900 , 30 000,15 000 ,7800 , 28 000,14 000 ,7300 , 27 000,13 000 ,6600 , 26 000,12 000 ,5800 , 24 000,12 000 ,5100 , 23 000,10 000 ,4600 , 22 000,9400 ,4000 , 20 000,8500 ,3500 , 19 000,7800 ,3200 , 18 000,7200 ,2900 , 18 000
Bayelsa,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1300,<1000 ,<100 , 1700,<1000 ,<200 , 2100,<1000 ,<200 , 2500,1200 ,<500 , 3200,1500 ,<500 , 3800,1800 ,<500 , 4600,2100 ,<1000 , 5300,2500 ,<1000 , 6200,3000 ,<1000 , 7000,3400 ,1200 , 7900,3900 ,1500 , 8600,4400 ,1800 , 9400,4900 ,2200 , 10 000,5500 ,2500 , 11 000,6000 ,2900 , 11 000,6500 ,3200 , 12 000,7000 ,3600 , 13 000,7600 ,3900 , 13 000,8100 ,4300 , 14 000,8800 ,4700 , 14 000,9400 ,5200 , 15 000,10 000 ,5700 , 16 000,11 000 ,6200 , 17 000,11 000 ,6600 , 17 000,12 000 ,7000 , 17 000,12 000 ,7400 , 18 000,12 000 ,7800 , 18 000
Benue,1100 ,<500 , 3100,1600 ,<500 , 4000,2200 ,<1000 , 5200,2900 ,<1000 , 6700,3900 ,1400 , 8400,5200 ,1900 , 11 000,6800 ,2600 , 14 000,8700 ,3500 , 17 000,11 000 ,4600 , 21 000,14 000 ,6100 , 25 000,17 000 ,7700 , 30 000,20 000 ,9600 , 36 000,24 000 ,12 000 , 42 000,28 000 ,14 000 , 48 000,32 000 ,17 000 , 53 000,36 000 ,20 000 , 59 000,41 000 ,23 000 , 65 000,45 000 ,26 000 , 71 000,50 000 ,29 000 , 77 000,54 000 ,32 000 , 81 000,59 000 ,36 000 , 85 000,63 000 ,40 000 , 91 000,68 000 ,44 000 , 95 000,69 000 ,46 000 , 96 000,69 000 ,47 000 , 96 000,67 000 ,46 000 , 93 000,64 000 ,44 000 , 89 000,61 000 ,43 000 , 84 000,57 000 ,40 000 , 79 000,54 000 ,38 000 , 74 000
Borno,1400 ,<500 , 4900,1900 ,<500 , 6400,2600 ,<1000 , 8500,3400 ,<1000 , 11 000,4400 ,1200 , 13 000,5500 ,1800 , 16 000,6900 ,2200 , 19 000,8400 ,2900 , 22 000,10 000 ,3700 , 25 000,12 000 ,4400 , 28 000,14 000 ,5300 , 31 000,16 000 ,6200 , 35 000,17 000 ,7400 , 39 000,19 000 ,8300 , 42 000,21 000 ,9200 , 46 000,22 000 ,9900 , 48 000,23 000 ,10 000 , 50 000,24 000 ,11 000 , 51 000,25 000 ,11 000 , 53 000,25 000 ,11 000 , 54 000,25 000 ,11 000 , 54 000,25 000 ,11 000 , 53 000,25 000 ,11 000 , 53 000,24 000 ,10 000 , 53 000,23 000 ,9400 , 51 000,21 000 ,8500 , 47 000,19 000 ,7400 , 44 000,18 000 ,6600 , 42 000,17 000 ,6000 , 42 000,16 000 ,5800 , 43 000
Cross River,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1200,<500 ,<200 , 1500,<1000 ,<200 , 1900,<1000 ,<500 , 2400,1200 ,<500 , 3000,1600 ,<1000 , 3700,2000 ,<1000 , 4400,2600 ,1200 , 5300,3200 ,1600 , 6400,4000 ,2100 , 7600,4800 ,2600 , 8700,5700 ,3100 , 10 000,6700 ,3700 , 12 000,7600 ,4300 , 14 000,8600 ,5000 , 15 000,9500 ,5500 , 16 000,10 000 ,6100 , 18 000,11 000 ,6500 , 19 000,11 000 ,6800 , 20 000,12 000 ,7000 , 20 000,12 000 ,7300 , 21 000,13 000 ,7600 , 21 000,13 000 ,7800 , 21 000,13 000 ,7500 , 20 000,12 000 ,7400 , 20 000,12 000 ,7100 , 19 000,12 000 ,6900 , 19 000,12 000 ,6700 , 19 000
Delta,1400 ,<500 , 3300,1900 ,<1000 , 4400,2500 ,<1000 , 5800,3200 ,1400 , 7200,4200 ,2000 , 8900,5200 ,2700 , 11 000,6500 ,3500 , 13 000,7900 ,4400 , 16 000,9500 ,5300 , 18 000,11 000 ,6300 , 21 000,13 000 ,7500 , 23 000,15 000 ,8900 , 26 000,17 000 ,10 000 , 30 000,19 000 ,12 000 , 32 000,21 000 ,13 000 , 36 000,23 000 ,14 000 , 37 000,24 000 ,15 000 , 40 000,26 000 ,16 000 , 42 000,28 000 ,17 000 , 45 000,29 000 ,18 000 , 47 000,31 000 ,19 000 , 49 000,33 000 ,20 000 , 51 000,34 000 ,22 000 , 54 000,36 000 ,23 000 , 56 000,37 000 ,23 000 , 56 000,36 000 ,23 000 , 55 000,35 000 ,23 000 , 54 000,35 000 ,22 000 , 54 000,35 000 ,23 000 , 54 000,36 000 ,23 000 , 55 000
