States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1000,<500 ,<200 , 1200,<500 ,<200 , 1400,<1000 ,<200 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 2100,1100 ,<500 , 2200,1200 ,<500 , 2400,1300 ,<1000 , 2600,1400 ,<1000 , 2700,1600 ,<1000 , 2800,1700 ,<1000 , 3000,1800 ,<1000 , 3100,1900 ,<1000 , 3300,2000 ,1000 , 3300,2100 ,1100 , 3400,2200 ,1200 , 3500,2300 ,1300 , 3600,2100 ,1200 , 3200,1700 ,<1000 , 2600,1400 ,<1000 , 2300,1300 ,<1000 , 2100,1200 ,<1000 , 1900,1300 ,<1000 , 2000,1500 ,<1000 , 2200,1700 ,1100 , 2400
Adamawa,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<200 , 1200,<1000 ,<500 , 1400,<1000 ,<500 , 1600,<1000 ,<500 , 1900,1000 ,<500 , 2000,1200 ,<1000 , 2200,1300 ,<1000 , 2400,1400 ,<1000 , 2500,1500 ,<1000 , 2700,1600 ,<1000 , 2800,1700 ,1000 , 2800,1500 ,<1000 , 2600,1300 ,<1000 , 2300,1200 ,<1000 , 2100,<1000 ,<1000 , 1700,<1000 ,<1000 , 1600,<1000 ,<500 , 1400,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Akwa Ibom,<1000 ,<500 , 2500,1300 ,<500 , 3100,1700 ,<1000 , 3900,2100 ,<1000 , 4700,2600 ,1100 , 5400,3100 ,1400 , 6200,3700 ,1700 , 6800,4200 ,2100 , 7600,4800 ,2600 , 8200,5300 ,3100 , 9100,5800 ,3500 , 9500,6300 ,3900 , 10 000,6700 ,4300 , 10 000,7000 ,4600 , 11 000,6900 ,4500 , 10 000,6400 ,4200 , 9500,6200 ,4200 , 9200,5400 ,3500 , 7900,5500 ,3600 , 7800,4600 ,3000 , 6500,4300 ,2800 , 6100,4300 ,2800 , 6200,4300 ,2900 , 6100,3900 ,2600 , 5600,4100 ,2700 , 6000,5100 ,3300 , 7100,6200 ,4300 , 8400,6300 ,4700 , 8300,6400 ,4800 , 8400,7200 ,5400 , 9200
Anambra,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1500,<1000 ,<1000 , 1700,1100 ,<1000 , 2000,1300 ,<1000 , 2300,1400 ,<1000 , 2500,1600 ,1000 , 2800,1700 ,1100 , 2900,1800 ,1100 , 2900,1900 ,1200 , 3000,1900 ,1200 , 2900,2000 ,1300 , 3200,1900 ,1300 , 3000,2000 ,1300 , 3100,2300 ,1500 , 3400,2500 ,1600 , 3700,2400 ,1600 , 3700,1800 ,1200 , 2900,1500 ,<1000 , 2400,1400 ,<1000 , 2300,1700 ,1100 , 2700,1900 ,1300 , 3000,2100 ,1400 , 3300
Bauchi,<500 ,<100 , 1100,<500 ,<100 , 1300,<1000 ,<200 , 1500,<1000 ,<200 , 1800,<1000 ,<200 , 2100,<1000 ,<500 , 2400,1000 ,<500 , 2500,1100 ,<500 , 2700,1200 ,<1000 , 2900,1300 ,<1000 , 2800,1400 ,<1000 , 2900,1500 ,<1000 , 3000,1500 ,<1000 , 2900,1500 ,<1000 , 2900,1400 ,<1000 , 2700,1300 ,<1000 , 2500,1200 ,<1000 , 2300,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<500 , 1600,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<500 ,<200 , 1100,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Bayelsa,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100
Benue,<500 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<500 , 1300,<1000 ,<500 , 1700,1200 ,<1000 , 2200,1500 ,<1000 , 2600,1800 ,<1000 , 3200,2200 ,1100 , 3700,2600 ,1300 , 4400,3100 ,1600 , 5000,3600 ,1900 , 5800,4100 ,2300 , 6400,4500 ,2600 , 7000,5000 ,3000 , 7700,5500 ,3400 , 8300,6000 ,3700 , 9000,6400 ,4100 , 9400,6800 ,4600 , 9900,7200 ,4900 , 10 000,7400 ,5200 , 10 000,7700 ,5600 , 11 000,8000 ,5800 , 11 000,5500 ,4000 , 7600,3600 ,2500 , 5300,3000 ,2200 , 4300,2600 ,1800 , 3700,2400 ,1700 , 3400,2200 ,1500 , 3100,2000 ,1400 , 2800,2000 ,1400 , 2800
Borno,<1000 ,<200 , 1500,<1000 ,<200 , 1800,<1000 ,<500 , 2100,<1000 ,<500 , 2400,1100 ,<500 , 2700,1300 ,<1000 , 3000,1400 ,<1000 , 3300,1600 ,<1000 , 3500,1700 ,<1000 , 3700,1800 ,<1000 , 4000,2000 ,<1000 , 4100,2100 ,<1000 , 4400,2200 ,<1000 , 4500,2200 ,1000 , 4600,2200 ,<1000 , 4600,2000 ,<1000 , 4300,1900 ,<1000 , 4200,1700 ,<1000 , 4000,1700 ,<1000 , 4000,1400 ,<1000 , 3500,1300 ,<500 , 3500,1300 ,<500 , 3500,1300 ,<500 , 3300,1200 ,<500 , 3100,1100 ,<500 , 2500,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2500,1000 ,<500 , 2800,1100 ,<500 , 3100
Cross River,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<1000 , 1500,1000 ,<1000 , 1700,1200 ,<1000 , 2000,1300 ,<1000 , 2100,1300 ,<1000 , 2200,1300 ,<1000 , 2100,1300 ,<1000 , 2200,1200 ,<1000 , 2000,1200 ,<1000 , 2000,1100 ,<1000 , 1800,1100 ,<1000 , 1800,1100 ,<1000 , 1800,1100 ,<1000 , 1800,1100 ,<1000 , 1700,<1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500
Delta,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1600,<1000 ,<1000 , 1800,1100 ,<1000 , 2000,1300 ,<1000 , 2200,1500 ,<1000 , 2500,1700 ,<1000 , 2800,1800 ,1100 , 3100,2000 ,1200 , 3400,2200 ,1400 , 3700,2300 ,1500 , 3900,2500 ,1500 , 4100,2500 ,1600 , 4100,2500 ,1500 , 4100,2500 ,1500 , 4100,2400 ,1500 , 3900,2400 ,1500 , 3900,2200 ,1300 , 3600,2200 ,1400 , 3600,2300 ,1500 , 3700,2300 ,1500 , 3700,2100 ,1300 , 3300,1600 ,1100 , 2700,1400 ,<1000 , 2300,1400 ,<1000 , 2400,1500 ,<1000 , 2400,1500 ,<1000 , 2400,1600 ,<1000 , 2500
