States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,29 ,18 , 45,37 ,24 , 53,38 ,26 , 53,24 ,16 , 32,38 ,26 , 49,39 ,27 , 52,61 ,43 , 80,66 ,47 , 91,16 ,11 , 23,29 ,20 , 41
Adamawa,41 ,26 , 60,49 ,32 , 71,52 ,33 , 73,53 ,35 , 78,80 ,52 , 100,99 ,63 , 100,78 ,50 , 100,100 ,67 , 100,75 ,46 , 100,85 ,52 , 100
Akwa Ibom,40 ,27 , 55,39 ,26 , 52,34 ,23 , 45,32 ,21 , 43,90 ,61 , 100,87 ,57 , 100,73 ,48 , 97,60 ,41 , 81,29 ,19 , 39,41 ,27 , 55
Anambra,27 ,19 , 40,27 ,18 , 40,23 ,17 , 34,47 ,33 , 68,60 ,42 , 86,56 ,39 , 80,43 ,31 , 60,35 ,25 , 50,32 ,22 , 45,26 ,18 , 38
Bauchi,21 ,12 , 37,18 ,11 , 31,38 ,22 , 63,41 ,23 , 71,39 ,22 , 67,71 ,38 , 100,67 ,35 , 100,51 ,26 , 87,47 ,25 , 87,50 ,26 , 94
Bayelsa,16 ,9 , 24,18 ,11 , 26,20 ,12 , 29,26 ,16 , 38,54 ,34 , 77,31 ,20 , 45,38 ,24 , 53,39 ,25 , 53,36 ,23 , 49,28 ,17 , 38
Benue,36 ,22 , 50,66 ,40 , 92,100 ,81 , 100,81 ,51 , 100,100 ,77 , 100,88 ,56 , 100,100 ,70 , 100,100 ,66 , 100,84 ,55 , 100,84 ,55 , 100
Borno,18 ,10 , 35,23 ,13 , 44,28 ,16 , 53,13 ,8 , 24,8 ,5 , 16,2 ,1 , 3,11 ,6 , 22,18 ,9 , 33,23 ,12 , 42,22 ,11 , 44
Cross River,28 ,18 , 41,33 ,21 , 47,19 ,12 , 26,43 ,29 , 60,51 ,34 , 70,60 ,40 , 83,38 ,25 , 54,33 ,22 , 47,34 ,22 , 48,32 ,21 , 45
Delta,21 ,14 , 32,26 ,17 , 39,26 ,17 , 37,96 ,65 , 100,30 ,20 , 40,35 ,24 , 48,48 ,33 , 65,72 ,50 , 98,46 ,31 , 63,46 ,31 , 63
