States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<1000 ,<200 , 3400,1200 ,<200 , 4400,1600 ,<500 , 5300,2100 ,<500 , 6400,2700 ,<1000 , 7800,3400 ,<1000 , 9100,4200 ,1300 , 11 000,5100 ,1700 , 12 000,6100 ,2100 , 14 000,7200 ,2600 , 16 000,8400 ,3200 , 19 000,9600 ,3600 , 22 000,11 000 ,4200 , 23 000,12 000 ,5100 , 25 000,14 000 ,5800 , 27 000,15 000 ,6400 , 29 000,17 000 ,7300 , 31 000,18 000 ,8500 , 33 000,20 000 ,9500 , 35 000,21 000 ,11 000 , 36 000,23 000 ,12 000 , 38 000,25 000 ,13 000 , 41 000,26 000 ,15 000 , 42 000,28 000 ,16 000 , 43 000,30 000 ,18 000 , 44 000,31 000 ,20 000 , 45 000,34 000 ,22 000 , 47 000,36 000 ,24 000 , 50 000,38 000 ,25 000 , 50 000,40 000 ,28 000 , 52 000
Adamawa,<1000 ,<500 , 2200,1100 ,<500 , 2800,1500 ,<500 , 3600,1900 ,<1000 , 4500,2400 ,<1000 , 5500,2900 ,1100 , 6500,3500 ,1400 , 7900,4100 ,1700 , 8900,4800 ,2100 , 9900,5400 ,2600 , 11 000,6100 ,3000 , 12 000,6700 ,3400 , 13 000,7300 ,3800 , 13 000,7900 ,4100 , 14 000,8400 ,4600 , 15 000,8900 ,4900 , 15 000,9400 ,5200 , 16 000,9800 ,5500 , 16 000,10 000 ,5800 , 16 000,10 000 ,6000 , 16 000,11 000 ,6200 , 16 000,11 000 ,6300 , 16 000,11 000 ,6500 , 16 000,11 000 ,6800 , 16 000,11 000 ,7100 , 16 000,12 000 ,7300 , 16 000,12 000 ,7600 , 16 000,12 000 ,7800 , 16 000,12 000 ,7900 , 16 000,12 000 ,8100 , 17 000
Akwa Ibom,2100 ,<1000 , 6000,3100 ,1000 , 7900,4300 ,1500 , 10 000,5700 ,2200 , 13 000,7300 ,2900 , 16 000,9100 ,3800 , 19 000,11 000 ,4800 , 22 000,13 000 ,6100 , 25 000,15 000 ,7100 , 28 000,17 000 ,8400 , 31 000,19 000 ,9600 , 33 000,21 000 ,11 000 , 36 000,24 000 ,13 000 , 39 000,26 000 ,14 000 , 42 000,28 000 ,15 000 , 44 000,30 000 ,17 000 , 47 000,31 000 ,18 000 , 48 000,33 000 ,19 000 , 51 000,35 000 ,21 000 , 52 000,36 000 ,22 000 , 54 000,38 000 ,23 000 , 55 000,39 000 ,24 000 , 56 000,41 000 ,25 000 , 57 000,42 000 ,26 000 , 58 000,43 000 ,28 000 , 59 000,45 000 ,30 000 , 61 000,47 000 ,32 000 , 63 000,49 000 ,33 000 , 64 000,50 000 ,34 000 , 66 000,52 000 ,35 000 , 67 000
Anambra,<500 ,<100 , 1000,<500 ,<100 , 1400,<1000 ,<200 , 1800,<1000 ,<500 , 2300,1200 ,<500 , 2800,1600 ,<1000 , 3400,2000 ,<1000 , 4200,2600 ,1200 , 5100,3200 ,1600 , 6300,4000 ,2000 , 7700,4800 ,2500 , 9000,5800 ,3000 , 11 000,6700 ,3700 , 12 000,7800 ,4300 , 14 000,8900 ,4800 , 15 000,10 000 ,5600 , 17 000,11 000 ,6400 , 19 000,13 000 ,7300 , 20 000,14 000 ,8200 , 22 000,15 000 ,9200 , 24 000,17 000 ,10 000 , 26 000,18 000 ,11 000 , 28 000,20 000 ,12 000 , 30 000,21 000 ,14 000 , 32 000,23 000 ,15 000 , 34 000,25 000 ,17 000 , 36 000,27 000 ,19 000 , 39 000,29 000 ,20 000 , 41 000,31 000 ,21 000 , 43 000,33 000 ,23 000 , 46 000
Bauchi,<1000 ,<200 , 3600,1400 ,<500 , 4700,1800 ,<500 , 6100,2400 ,<1000 , 7400,3000 ,<1000 , 9200,3600 ,1200 , 11 000,4300 ,1500 , 12 000,4900 ,1900 , 13 000,5500 ,2200 , 14 000,6000 ,2600 , 15 000,6600 ,2900 , 15 000,7100 ,3100 , 16 000,7600 ,3400 , 16 000,8000 ,3700 , 17 000,8400 ,4000 , 17 000,8600 ,4000 , 17 000,8900 ,4200 , 17 000,9000 ,4300 , 18 000,9000 ,4500 , 18 000,9000 ,4600 , 17 000,8900 ,4600 , 16 000,8800 ,4600 , 16 000,8800 ,4700 , 16 000,8900 ,4800 , 15 000,8900 ,4900 , 15 000,9000 ,5000 , 15 000,9000 ,5200 , 15 000,9000 ,5300 , 15 000,9000 ,5300 , 14 000,9000 ,5300 , 14 000
Bayelsa,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , 1200,<1000 ,<200 , 1600,<1000 ,<500 , 2000,<1000 ,<500 , 2400,1100 ,<500 , 2800,1300 ,<500 , 3300,1600 ,<1000 , 3800,1800 ,<1000 , 4400,2100 ,<1000 , 4800,2400 ,1100 , 5300,2700 ,1200 , 5800,3100 ,1500 , 6300,3500 ,1600 , 6600,3900 ,1800 , 7100,4200 ,2000 , 7500,4600 ,2300 , 8000,4900 ,2400 , 8300,5300 ,2700 , 8800,5600 ,2900 , 9200,5900 ,3100 , 9500,6100 ,3400 , 9900,6400 ,3600 , 10 000,6700 ,3900 , 10 000,7000 ,4200 , 10 000,7200 ,4400 , 10 000,7500 ,4600 , 11 000,7700 ,4800 , 11 000
Benue,<1000 ,<500 , 2000,1300 ,<500 , 2800,1800 ,<1000 , 3700,2500 ,<1000 , 4900,3400 ,1300 , 6600,4500 ,1800 , 8700,5900 ,2600 , 11 000,7400 ,3400 , 14 000,9200 ,4500 , 17 000,11 000 ,5800 , 20 000,14 000 ,7200 , 24 000,16 000 ,8400 , 28 000,18 000 ,9900 , 31 000,21 000 ,12 000 , 34 000,24 000 ,13 000 , 38 000,27 000 ,15 000 , 42 000,30 000 ,17 000 , 47 000,33 000 ,19 000 , 51 000,36 000 ,21 000 , 57 000,40 000 ,24 000 , 62 000,43 000 ,26 000 , 65 000,46 000 ,28 000 , 69 000,50 000 ,31 000 , 73 000,54 000 ,33 000 , 77 000,58 000 ,35 000 , 80 000,62 000 ,38 000 , 83 000,66 000 ,41 000 , 88 000,70 000 ,44 000 , 91 000,73 000 ,47 000 , 95 000,77 000 ,50 000 , 98 000
Borno,3200 ,<1000 , 9900,4200 ,1400 , 13 000,5500 ,1900 , 16 000,6800 ,2400 , 19 000,8200 ,3000 , 22 000,9800 ,3500 , 26 000,11 000 ,4200 , 28 000,13 000 ,5000 , 32 000,14 000 ,5800 , 35 000,16 000 ,6500 , 38 000,17 000 ,7500 , 41 000,19 000 ,8200 , 44 000,20 000 ,8900 , 46 000,21 000 ,9400 , 47 000,22 000 ,10 000 , 48 000,22 000 ,11 000 , 50 000,23 000 ,11 000 , 50 000,23 000 ,11 000 , 50 000,24 000 ,12 000 , 49 000,24 000 ,12 000 , 49 000,24 000 ,13 000 , 49 000,24 000 ,13 000 , 49 000,24 000 ,14 000 , 48 000,25 000 ,14 000 , 48 000,25 000 ,14 000 , 47 000,25 000 ,14 000 , 47 000,25 000 ,14 000 , 47 000,25 000 ,15 000 , 46 000,26 000 ,15 000 , 46 000,26 000 ,15 000 , 47 000
Cross River,<500 ,<100 , 1000,<500 ,<200 , 1300,<1000 ,<500 , 1700,<1000 ,<500 , 2200,1300 ,<500 , 2900,1700 ,<1000 , 3700,2300 ,<1000 , 4700,2900 ,1200 , 5700,3700 ,1500 , 7000,4600 ,2100 , 8200,5500 ,2700 , 9700,6500 ,3300 , 11 000,7600 ,3900 , 13 000,8700 ,4600 , 15 000,9900 ,5300 , 17 000,11 000 ,6100 , 19 000,12 000 ,7000 , 21 000,14 000 ,7800 , 22 000,15 000 ,8500 , 25 000,16 000 ,9300 , 26 000,18 000 ,10 000 , 28 000,19 000 ,11 000 , 29 000,20 000 ,12 000 , 31 000,21 000 ,13 000 , 32 000,23 000 ,14 000 , 33 000,24 000 ,15 000 , 35 000,25 000 ,16 000 , 36 000,26 000 ,17 000 , 37 000,27 000 ,18 000 , 38 000,28 000 ,19 000 , 39 000
Delta,1200 ,<500 , 2700,1600 ,<1000 , 3500,2100 ,1100 , 4800,2800 ,1600 , 6000,3500 ,2000 , 7200,4300 ,2500 , 8400,5300 ,3000 , 9600,6300 ,3700 , 11 000,7300 ,4300 , 13 000,8500 ,4900 , 15 000,9600 ,5700 , 17 000,11 000 ,6400 , 19 000,12 000 ,6900 , 20 000,13 000 ,7700 , 22 000,14 000 ,8300 , 24 000,16 000 ,8900 , 25 000,17 000 ,9600 , 27 000,18 000 ,10 000 , 28 000,19 000 ,11 000 , 30 000,20 000 ,12 000 , 31 000,21 000 ,12 000 , 32 000,22 000 ,13 000 , 33 000,22 000 ,14 000 , 34 000,24 000 ,14 000 , 35 000,24 000 ,15 000 , 36 000,25 000 ,16 000 , 36 000,27 000 ,17 000 , 37 000,28 000 ,19 000 , 38 000,29 000 ,20 000 , 39 000,30 000 ,21 000 , 40 000
