States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,28.26 597 ,25.02 152 , 32.17 607,26.29 851 ,23.0 474 , 30.93 538,24.72 505 ,22.02 225 , 29.27 351,26.13 965 ,22.28 214 , 29.43 509,21.8 837 ,18.33 436 , 26.64 863,22.21 101 ,18.52 838 , 26.7 774,18.20 337 ,15.8 412 , 21.80 636,17.2 001 ,14.96 346 , 20.99 806,27.1 952 ,23.98 882 , 30.65 164,24.67 119 ,18.18 657 , 30.53 033
Adamawa,27.38 588 ,23.4 119 , 31.10 593,24.93 169 ,20.02 292 , 29.08 347,22.69 411 ,17.36 129 , 27.58 332,18.60 569 ,13.13 735 , 24.27 881,13.43 271 ,7.87 659 , 19.73 338,9.45 232 ,5.83 877 , 15.77 603,11.57 942 ,5.84 717 , 18.32 216,10.66 884 ,7.99 429 , 18.04 957,14.05 078 ,9.0 339 , 21.47 141,12.08 976 ,7.69 664 , 17.74 835
Akwa Ibom,30.16 211 ,27.86 334 , 32.73 193,29.74 556 ,27.4 155 , 32.32 062,30.22 287 ,27.8 932 , 32.83 972,28.59 833 ,26.0 897 , 31.30 867,19.31 356 ,16.3 871 , 22.43 015,18.18 333 ,14.82 695 , 21.7 275,19.30 471 ,14.08 132 , 22.67 467,22.81 501 ,19.03 652 , 25.42 897,29.3 935 ,27.45 784 , 31.80 024,27.44 552 ,24.77 632 , 29.92 706
Anambra,32.62 567 ,29.75 651 , 35.45 264,32.33 783 ,29.54 886 , 35.2 854,32.43 866 ,29.74 427 , 35.60 455,25.98 248 ,22.57 587 , 29.14 693,20.74 951 ,16.2 497 , 24.78 653,20.1 598 ,15.18 833 , 24.21 857,21.55 972 ,16.74 932 , 25.36 188,26.11 842 ,22.91 821 , 29.33 107,26.97 378 ,23.52 159 , 30.12 384,28.34 049 ,24.92 856 , 31.60 501
Bauchi,28.9 506 ,22.55 344 , 32.9 191,28.86 907 ,20.72 704 , 33.09 109,24.12 801 ,15.85 543 , 29.92 702,18.35 966 ,10.98 678 , 26.57 032,18.34 779 ,11.01 676 , 27.40 866,13.56 189 ,5.72 649 , 23.69 197,13.33 498 ,5.02 721 , 23.15 109,18.88 177 ,11.4 792 , 30.05 467,18.38 202 ,11.85 168 , 29.19 993,17.50 242 ,10.83 679 , 28.25 011
Bayelsa,35.44 448 ,32.63 624 , 38.40 828,34.92 143 ,32.27 356 , 37.84 522,33.47 275 ,30.83 442 , 36.17 979,29.99 095 ,27.12 076 , 32.51 608,25.66 229 ,22.1 187 , 28.2 573,28.93 832 ,26.12 112 , 31.46 047,26.78 948 ,23.37 758 , 29.53 602,28.12 208 ,25.2 407 , 30.68 754,28.49 595 ,25.31 434 , 31.20 739,30.2 795 ,27.37 624 , 33.19 734
Benue,31.52 294 ,29.30 605 , 33.99 269,25.99 946 ,22.11 762 , 29.26 807,14.95 687 ,12.91 151 , 18.25 385,17.74 934 ,15.46 593 , 20.99 571,13.18 985 ,11.66 132 , 15.22 446,11.00 915 ,7.7 496 , 15.44 272,8.75 549 ,7.02 914 , 11.84 727,11.70 953 ,9.28 834 , 15.00 556,14.27 723 ,10.84 398 , 17.97 377,14.08 256 ,10.43 749 , 17.93 796
Borno,29.92 136 ,23.45 549 , 34.80 227,28.82 236 ,21.44 677 , 34.70 401,27.12 935 ,17.93 878 , 33.90 121,25.92 096 ,20.16 553 , 33.55 257,24.99 537 ,22.53 741 , 31.74 638,27.01 883 ,22.46 066 , 32.41 794,26.05 749 ,19.99 667 , 32.74 571,26.10 501 ,18.72 164 , 33.02 331,25.85 875 ,16.03 508 , 33.14 578,26.63 401 ,16.56 251 , 33.37 515
Cross River,29.20 414 ,27.26 214 , 31.62 636,27.11 822 ,24.88 052 , 29.84 603,29.62 615 ,27.33 103 , 31.99 355,22.51 978 ,19.68 256 , 25.91 303,20.06 786 ,17.83 395 , 22.66 098,18.89 228 ,15.12 753 , 21.961,19.08 684 ,14.91 686 , 23.01 776,21.47 956 ,17.12 707 , 25.53 645,20.88 494 ,17.17 957 , 25.8 791,20.22 755 ,17.68 142 , 25.61 956
Delta,32.68 985 ,30.12 888 , 35.24 206,31.11 236 ,28.65 946 , 33.80 728,30.42 293 ,27.83 947 , 33.21 444,16.70 663 ,14.51 399 , 19.63 397,24.96 254 ,21.5 735 , 28.5 688,22.89 605 ,18.61 694 , 26.65 134,20.12 221 ,15.2 369 , 24.16 546,17.79 391 ,12.26 754 , 22.31 945,22.35 985 ,17.13 031 , 26.12 201,22.72 259 ,17.22 297 , 26.60 184
