States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<1000 ,<500 , 2100,<1000 ,<500 , 2100,1000 ,<500 , 2400,1100 ,<500 , 2400,1300 ,<500 , 2600,1400 ,<1000 , 2600,1500 ,<1000 , 2700,1600 ,<1000 , 2800,1700 ,<1000 , 2900,1700 ,<1000 , 3000,1800 ,<1000 , 3000,1800 ,<1000 , 2900,1900 ,1000 , 2900,1900 ,1100 , 2900,2000 ,1200 , 3000,2100 ,1300 , 3000,2300 ,1500 , 3100,2400 ,1600 , 3300,2500 ,1800 , 3400,2800 ,2100 , 3700,2900 ,2200 , 3600,3000 ,2400 , 3700,3100 ,2400 , 3900,3200 ,2400 , 4100,3300 ,2500 , 4300,3200 ,2300 , 4300,3200 ,2100 , 4700,3400 ,2000 , 5200,3500 ,1800 , 5900,3600 ,1800 , 6500
Adamawa,1400 ,<1000 , 2900,1700 ,<1000 , 3300,1800 ,<1000 , 3400,2000 ,1200 , 3600,2100 ,1300 , 3500,2100 ,1300 , 3400,2000 ,1200 , 3100,2000 ,1300 , 3200,2000 ,1300 , 3000,1900 ,1300 , 2900,1700 ,1200 , 2600,1700 ,1200 , 2600,1600 ,1200 , 2400,1600 ,1100 , 2300,1500 ,1100 , 2200,1400 ,1100 , 2100,1400 ,1000 , 2100,1400 ,<1000 , 2000,1400 ,<1000 , 1900,1300 ,<1000 , 1900,1200 ,<1000 , 1800,1200 ,<1000 , 1800,1100 ,<1000 , 1700,1000 ,<1000 , 1600,1000 ,<1000 , 1600,1000 ,<1000 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200
Akwa Ibom,6700 ,3200 , 13 000,7200 ,4200 , 13 000,7900 ,5000 , 14 000,8300 ,5300 , 14 000,8300 ,5500 , 13 000,7000 ,4700 , 11 000,7500 ,5300 , 11 000,8300 ,6100 , 12 000,7900 ,5900 , 11 000,7700 ,5700 , 10 000,7700 ,5700 , 10 000,7200 ,5400 , 9200,7200 ,5500 , 9200,7000 ,5500 , 8900,7300 ,5600 , 9100,7500 ,5800 , 9300,7500 ,5800 , 9200,7600 ,5800 , 9300,8300 ,6300 , 9900,7800 ,6100 , 9400,8000 ,6300 , 9600,8100 ,6300 , 9600,8200 ,6300 , 9800,8300 ,6200 , 10 000,8700 ,6600 , 11 000,9100 ,7200 , 12 000,9200 ,7400 , 12 000,8800 ,6900 , 12 000,8900 ,7000 , 13 000,9200 ,7100 , 13 000
Anambra,<1000 ,<500 , 1500,<1000 ,<500 , 1800,1100 ,<1000 , 2100,1400 ,<1000 , 2600,1600 ,1000 , 2900,1800 ,1200 , 3300,2100 ,1300 , 3600,2400 ,1600 , 4100,2600 ,1700 , 4400,2800 ,1800 , 4500,2900 ,1900 , 4400,3000 ,1900 , 4400,3000 ,2100 , 4500,3200 ,2200 , 4600,3300 ,2300 , 4900,3500 ,2400 , 5000,3600 ,2500 , 5000,3800 ,2800 , 5300,3900 ,2900 , 5500,4200 ,3200 , 5800,4300 ,3400 , 6000,4600 ,3600 , 6100,4800 ,3700 , 6300,5000 ,3700 , 6800,4900 ,3500 , 6800,4700 ,3300 , 7000,4900 ,3300 , 7400,5100 ,3200 , 7900,5300 ,3100 , 8600,5600 ,3000 , 9300
Bauchi,1700 ,<500 , 4200,1900 ,<1000 , 4800,1800 ,<1000 , 4300,1900 ,<1000 , 4000,1800 ,<1000 , 3600,1700 ,<1000 , 3300,1700 ,<1000 , 3200,1500 ,<1000 , 2700,1400 ,<1000 , 2600,1300 ,<1000 , 2400,1200 ,<1000 , 2100,1100 ,<1000 , 1900,1100 ,<1000 , 1900,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<1000 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<200 , 1200,<500 ,<200 , 1200,<500 ,<200 , 1200,<500 ,<200 , 1100,<500 ,<200 , <1000
Bayelsa,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1600,<1000 ,<1000 , 1500,1000 ,<1000 , 1500,<1000 ,<1000 , 1500,1000 ,<1000 , 1500,1000 ,<1000 , 1500,1100 ,<1000 , 1500,1200 ,<1000 , 1600,1300 ,<1000 , 1700,1200 ,<1000 , 1500,1200 ,<1000 , 1500,1200 ,<1000 , 1600,1300 ,<1000 , 1600,1300 ,<1000 , 1700,1300 ,<1000 , 1800,1300 ,<1000 , 1800,1400 ,<1000 , 2000,1400 ,<1000 , 2100,1400 ,<1000 , 2300
Benue,2600 ,1100 , 4600,3300 ,1600 , 5600,4000 ,2000 , 6700,4800 ,2500 , 7800,5400 ,2800 , 8800,6200 ,3300 , 9700,6600 ,3700 , 10 000,7200 ,4300 , 11 000,7600 ,4800 , 11 000,7900 ,5300 , 11 000,7800 ,5500 , 11 000,7800 ,5600 , 11 000,8100 ,5900 , 11 000,7900 ,5800 , 11 000,8600 ,6600 , 11 000,9500 ,7600 , 12 000,9600 ,7700 , 12 000,9800 ,7800 , 12 000,10 000 ,8000 , 12 000,9900 ,8000 , 12 000,9900 ,8000 , 12 000,9900 ,7900 , 12 000,9800 ,7600 , 12 000,8700 ,6500 , 11 000,8200 ,6100 , 10 000,7900 ,5800 , 10 000,7500 ,5500 , 10 000,7400 ,5200 , 11 000,7400 ,4900 , 11 000,7300 ,4700 , 12 000
Borno,2400 ,1000 , 5500,2500 ,1000 , 5600,2600 ,1000 , 5800,2600 ,1000 , 5600,2600 ,1100 , 5700,2500 ,1100 , 5600,2100 ,<1000 , 4400,1900 ,<1000 , 4000,1900 ,<1000 , 3900,1800 ,<1000 , 3800,1800 ,<1000 , 3700,1600 ,<1000 , 3500,1700 ,<1000 , 3500,1600 ,<1000 , 3300,1600 ,<1000 , 3200,1500 ,<1000 , 2800,1600 ,<1000 , 3000,1600 ,<1000 , 3100,1600 ,<1000 , 3100,1500 ,<1000 , 2900,1500 ,<1000 , 3000,1500 ,<1000 , 3000,1500 ,<1000 , 3000,1400 ,<1000 , 2900,1200 ,<500 , 2800,1100 ,<500 , 2800,1200 ,<500 , 2900,1300 ,<1000 , 3200,1300 ,<1000 , 3300,1300 ,<1000 , 3400
Cross River,<500 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1400,1000 ,<1000 , 1800,1200 ,<1000 , 2100,1400 ,<1000 , 2600,1600 ,<1000 , 2900,1800 ,1100 , 3300,1900 ,1200 , 3300,1900 ,1300 , 3300,1900 ,1300 , 3000,1900 ,1300 , 3000,1900 ,1400 , 2900,1800 ,1400 , 2700,1800 ,1400 , 2600,1800 ,1400 , 2500,1800 ,1400 , 2400,1800 ,1400 , 2400,1900 ,1500 , 2600,1900 ,1400 , 2500,1900 ,1500 , 2600,2000 ,1500 , 2600,2000 ,1500 , 2700,2000 ,1400 , 2700,1700 ,1100 , 2400,1600 ,<1000 , 2400,1500 ,<1000 , 2300,1500 ,<1000 , 2400,1500 ,<1000 , 2500,1300 ,<1000 , 2500
Delta,2100 ,1300 , 3800,2500 ,1500 , 4300,2700 ,1600 , 4600,2700 ,1600 , 4600,2800 ,1600 , 4800,2900 ,1700 , 4900,2800 ,1700 , 4800,2800 ,1700 , 4700,2800 ,1700 , 4500,2900 ,1800 , 4600,2800 ,1800 , 4400,2800 ,1900 , 4300,2700 ,1900 , 4000,2700 ,1900 , 4000,2700 ,2000 , 4000,2700 ,2000 , 4000,2700 ,2000 , 4000,2800 ,2000 , 4100,2800 ,2100 , 4000,2800 ,2100 , 4000,2900 ,2200 , 4000,2900 ,2200 , 3900,3000 ,2100 , 3900,3000 ,2100 , 4000,2800 ,1800 , 3800,2700 ,1700 , 3800,2600 ,1600 , 3900,2700 ,1600 , 4000,2700 ,1500 , 4200,2700 ,1500 , 4500
