States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<1000 ,<500 , 2700,1100 ,<500 , 2900,1400 ,<500 , 3300,1500 ,<1000 , 3400,1800 ,<1000 , 3600,2000 ,<1000 , 3800,2200 ,<1000 , 4000,2300 ,1100 , 4100,2500 ,1200 , 4200,2600 ,1300 , 4400,2700 ,1500 , 4600,2800 ,1500 , 4500,2900 ,1600 , 4600,3000 ,1700 , 4600,3100 ,1900 , 4700,3300 ,2100 , 4800,3500 ,2200 , 4900,3600 ,2400 , 5100,3800 ,2600 , 5200,4100 ,2800 , 5500,4200 ,3100 , 5500,4300 ,3400 , 5500,4300 ,3400 , 5400,4600 ,3500 , 5900,4600 ,3400 , 6000,4500 ,3200 , 6000,4400 ,2900 , 6300,4500 ,2800 , 6800,5200 ,3000 , 8400,5300 ,2700 , 9300
Adamawa,1800 ,<1000 , 3700,2100 ,<1000 , 4100,2300 ,1100 , 4400,2600 ,1400 , 4800,2700 ,1700 , 4700,2800 ,1700 , 4600,2700 ,1700 , 4300,2700 ,1700 , 4300,2700 ,1800 , 4200,2600 ,1800 , 4100,2400 ,1700 , 3600,2400 ,1700 , 3600,2300 ,1600 , 3400,2200 ,1600 , 3300,2100 ,1600 , 3200,2100 ,1500 , 3000,2000 ,1400 , 2900,1900 ,1400 , 2800,1800 ,1300 , 2700,1700 ,1200 , 2600,1700 ,1200 , 2500,1600 ,1000 , 2400,1500 ,<1000 , 2200,1300 ,<1000 , 2100,1300 ,<1000 , 2000,1200 ,<1000 , 1900,1100 ,<1000 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1600
Akwa Ibom,8100 ,3600 , 15 000,8900 ,4900 , 16 000,9700 ,6000 , 17 000,10 000 ,6600 , 17 000,10 000 ,6900 , 16 000,9000 ,6100 , 14 000,9700 ,6800 , 14 000,11 000 ,7700 , 15 000,10 000 ,7500 , 14 000,10 000 ,7400 , 14 000,10 000 ,7600 , 13 000,9600 ,7200 , 12 000,9600 ,7300 , 12 000,9400 ,7300 , 12 000,9700 ,7700 , 12 000,10 000 ,7900 , 12 000,9800 ,7600 , 12 000,9900 ,7700 , 12 000,11 000 ,8200 , 13 000,10 000 ,7800 , 12 000,10 000 ,8000 , 13 000,10 000 ,8200 , 13 000,11 000 ,8200 , 13 000,11 000 ,8100 , 13 000,11 000 ,8100 , 13 000,11 000 ,8500 , 14 000,11 000 ,8800 , 15 000,11 000 ,8600 , 15 000,12 000 ,9100 , 16 000,12 000 ,9200 , 17 000
Anambra,<1000 ,<500 , 1900,1100 ,<1000 , 2200,1400 ,<1000 , 2800,1800 ,1000 , 3300,2100 ,1300 , 3700,2300 ,1500 , 4000,2700 ,1700 , 4700,3100 ,2000 , 5200,3400 ,2200 , 5500,3600 ,2400 , 5900,3800 ,2500 , 6100,3900 ,2600 , 6200,4100 ,2700 , 6100,4200 ,2900 , 6400,4500 ,3100 , 6600,4600 ,3300 , 6600,4800 ,3400 , 6900,5100 ,3700 , 7000,5200 ,3800 , 7200,5400 ,4100 , 7600,5700 ,4400 , 7900,6000 ,4600 , 8000,6300 ,4900 , 8300,6300 ,4700 , 8500,6000 ,4300 , 8500,5900 ,4100 , 8900,6200 ,4200 , 9400,6700 ,4300 , 10 000,7000 ,4200 , 11 000,7400 ,4200 , 12 000
Bauchi,2200 ,<1000 , 5200,2400 ,<1000 , 5800,2400 ,<1000 , 5500,2400 ,1100 , 5300,2400 ,1300 , 4800,2300 ,1300 , 4600,2400 ,1300 , 4500,2000 ,1100 , 3600,1900 ,1100 , 3500,1800 ,1000 , 3200,1700 ,<1000 , 3100,1600 ,<1000 , 2800,1500 ,<1000 , 2700,1400 ,<1000 , 2500,1300 ,<1000 , 2400,1400 ,<1000 , 2500,1300 ,<1000 , 2300,1200 ,<1000 , 2100,1200 ,<1000 , 2000,1200 ,<1000 , 2000,1100 ,<1000 , 2000,1100 ,<1000 , 2000,<1000 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1500
Bayelsa,<500 ,<200 , 1100,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1700,1000 ,<1000 , 1900,1000 ,<1000 , 1800,1200 ,<1000 , 2100,1200 ,<1000 , 2000,1200 ,<1000 , 2000,1300 ,<1000 , 2200,1300 ,<1000 , 2100,1400 ,<1000 , 2200,1300 ,<1000 , 2000,1400 ,<1000 , 2100,1400 ,<1000 , 2100,1500 ,1000 , 2100,1600 ,1100 , 2200,1700 ,1200 , 2300,1600 ,1200 , 2100,1600 ,1100 , 2100,1600 ,1200 , 2100,1600 ,1200 , 2100,1600 ,1100 , 2100,1700 ,1200 , 2200,1700 ,1200 , 2300,1700 ,1200 , 2500,1800 ,1200 , 2800,1800 ,1200 , 2900
Benue,3200 ,1500 , 5600,4000 ,2000 , 6800,4900 ,2400 , 8200,5900 ,3000 , 9700,6800 ,3500 , 11 000,7800 ,4200 , 12 000,8400 ,4700 , 13 000,9300 ,5400 , 14 000,9900 ,6400 , 15 000,10 000 ,6900 , 15 000,10 000 ,7200 , 15 000,11 000 ,7500 , 15 000,11 000 ,8000 , 16 000,11 000 ,8000 , 15 000,12 000 ,9000 , 16 000,13 000 ,9900 , 17 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,13 000 ,9800 , 15 000,12 000 ,9100 , 15 000,11 000 ,8100 , 14 000,9900 ,7400 , 13 000,9400 ,6900 , 13 000,8800 ,6400 , 12 000,8900 ,6300 , 13 000,9100 ,6100 , 14 000,9100 ,5900 , 15 000
Borno,3100 ,1300 , 7000,3300 ,1300 , 7600,3400 ,1400 , 7600,3600 ,1400 , 7600,3600 ,1500 , 7500,3600 ,1700 , 7900,3200 ,1500 , 6600,3000 ,1500 , 6200,3000 ,1500 , 6000,2900 ,1500 , 6000,2900 ,1500 , 5800,2700 ,1400 , 5600,2800 ,1400 , 5700,2600 ,1400 , 5500,2600 ,1400 , 5400,2400 ,1300 , 4900,2500 ,1300 , 5000,2500 ,1300 , 4900,2500 ,1300 , 5000,2400 ,1200 , 4700,2400 ,1200 , 4900,2400 ,1200 , 4800,2300 ,1100 , 4700,2200 ,1000 , 4700,1900 ,<1000 , 4500,1900 ,<1000 , 4500,2000 ,<1000 , 4700,2000 ,<1000 , 4800,2100 ,<1000 , 5100,2100 ,<1000 , 5400
Cross River,<1000 ,<500 , 1300,<1000 ,<500 , 1600,1000 ,<1000 , 1900,1300 ,<1000 , 2400,1600 ,<1000 , 2800,1900 ,1200 , 3200,2100 ,1400 , 3800,2400 ,1600 , 4200,2600 ,1700 , 4400,2700 ,1800 , 4600,2700 ,1800 , 4400,2800 ,2000 , 4400,2800 ,2000 , 4300,2800 ,2100 , 4200,2800 ,2100 , 4000,2800 ,2100 , 3900,2700 ,2100 , 3700,2600 ,2000 , 3700,2800 ,2200 , 3800,2800 ,2100 , 3700,2900 ,2200 , 3900,2900 ,2200 , 3900,3100 ,2300 , 3900,2800 ,2100 , 3800,2400 ,1700 , 3400,2400 ,1500 , 3500,2300 ,1300 , 3500,2300 ,1300 , 3700,2300 ,1200 , 3800,2100 ,1200 , 3600
Delta,2600 ,1600 , 4400,3000 ,1800 , 5200,3300 ,2000 , 5700,3400 ,2000 , 5800,3600 ,2100 , 6100,3700 ,2200 , 6300,3700 ,2200 , 6200,3700 ,2200 , 6100,3700 ,2300 , 6100,3900 ,2500 , 6300,3800 ,2500 , 6000,3900 ,2600 , 6000,3800 ,2600 , 5600,3800 ,2700 , 5700,3800 ,2700 , 5700,3800 ,2800 , 5600,3800 ,2700 , 5600,3800 ,2700 , 5600,3800 ,2800 , 5600,3800 ,2800 , 5500,4000 ,3000 , 5500,4000 ,3000 , 5500,4100 ,3000 , 5600,3700 ,2600 , 5100,3800 ,2600 , 5200,3600 ,2400 , 5200,3500 ,2200 , 5200,3500 ,2100 , 5300,3700 ,2200 , 5600,3700 ,2200 , 6100
