States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,1000 ,<500 , 1400,1000 ,<1000 , 1500,1100 ,<1000 , 1600,1000 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1900,1100 ,<1000 , 2100,1200 ,<1000 , 2400
Adamawa,<500 ,<200 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<100 , <500
Akwa Ibom,2300 ,<1000 , 4700,2500 ,1100 , 4800,2700 ,1300 , 5100,2900 ,1500 , 5100,2900 ,1600 , 4900,2500 ,1400 , 4000,2700 ,1400 , 4200,3000 ,1500 , 4500,2800 ,1400 , 4200,2700 ,1400 , 4000,2700 ,1500 , 3900,2500 ,1400 , 3600,2500 ,1300 , 3500,2400 ,1200 , 3400,2500 ,1300 , 3400,2500 ,1300 , 3600,2500 ,1200 , 3500,2500 ,1200 , 3600,2700 ,1300 , 3800,2600 ,1200 , 3600,2600 ,1200 , 3600,2600 ,1200 , 3600,2700 ,1200 , 3700,2700 ,1200 , 3800,2800 ,1300 , 3900,2900 ,1400 , 4100,2900 ,1400 , 4100,2800 ,1400 , 4100,2800 ,1400 , 4200,2900 ,1500 , 4500
Anambra,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1700,1000 ,<1000 , 2000,1100 ,<1000 , 2000,1100 ,<1000 , 2000,1200 ,<1000 , 2000,1200 ,<1000 , 2000,1200 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2100,1400 ,<1000 , 2100,1400 ,<1000 , 2200,1500 ,<1000 , 2300,1500 ,<1000 , 2400,1600 ,<1000 , 2500,1700 ,<1000 , 2500,1800 ,<1000 , 2600,1900 ,<1000 , 2700,1900 ,<1000 , 2700,1900 ,<1000 , 2800,1800 ,<1000 , 2800,1900 ,<1000 , 3000,2000 ,<1000 , 3200,2000 ,<1000 , 3600,2100 ,<1000 , 3900
Bauchi,<1000 ,<200 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Bayelsa,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Benue,<1000 ,<500 , 1600,1100 ,<500 , 2000,1400 ,<1000 , 2400,1600 ,<1000 , 2900,1900 ,<1000 , 3400,2200 ,1100 , 3900,2300 ,1200 , 4000,2500 ,1300 , 4400,2700 ,1400 , 4500,2800 ,1500 , 4500,2800 ,1500 , 4400,2800 ,1500 , 4400,2900 ,1500 , 4400,2800 ,1500 , 4200,3000 ,1500 , 4400,3300 ,1700 , 4800,3400 ,1700 , 4700,3500 ,1700 , 4800,3600 ,1800 , 4900,3500 ,1700 , 4700,3500 ,1700 , 4700,3500 ,1700 , 4700,3500 ,1700 , 4800,3100 ,1500 , 4200,2900 ,1400 , 4000,2800 ,1400 , 4000,2600 ,1400 , 4000,2600 ,1300 , 4200,2600 ,1300 , 4200,2600 ,1300 , 4300
Borno,1800 ,<1000 , 4900,1900 ,<1000 , 4900,2000 ,<1000 , 4900,2000 ,<1000 , 4800,2000 ,<1000 , 5000,2000 ,<1000 , 4700,1600 ,<1000 , 3800,1500 ,<1000 , 3500,1400 ,<1000 , 3200,1400 ,<1000 , 3100,1400 ,<1000 , 3100,1200 ,<1000 , 2900,1300 ,<1000 , 2800,1200 ,<1000 , 2500,1200 ,<1000 , 2500,1100 ,<1000 , 2300,1200 ,<1000 , 2400,1200 ,<1000 , 2500,1200 ,<1000 , 2500,1100 ,<500 , 2400,1100 ,<500 , 2400,1100 ,<500 , 2400,1100 ,<500 , 2300,1100 ,<500 , 2300,<1000 ,<500 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2400,<1000 ,<500 , 2500
Cross River,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Delta,<1000 ,<500 , 1800,1100 ,<1000 , 2000,1200 ,<1000 , 2200,1200 ,<1000 , 2200,1200 ,<1000 , 2200,1300 ,<1000 , 2200,1300 ,<1000 , 2200,1200 ,<1000 , 2200,1200 ,<1000 , 2100,1300 ,<1000 , 2200,1200 ,<1000 , 2100,1300 ,<1000 , 2100,1200 ,<1000 , 2000,1200 ,<1000 , 2000,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 2000,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 2000,1200 ,<1000 , 2000,1200 ,<1000 , 2100,1200 ,<1000 , 2100
