States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<500 ,<200 , 1300,<1000 ,<200 , 1400,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1900,1000 ,<500 , 2000,1200 ,<500 , 2100,1300 ,<1000 , 2200,1300 ,<1000 , 2300,1400 ,<1000 , 2400,1500 ,<1000 , 2500,1500 ,<1000 , 2400,1600 ,<1000 , 2500,1600 ,<1000 , 2400,1700 ,1000 , 2500,1800 ,1100 , 2600,1900 ,1200 , 2700,2000 ,1300 , 2800,2000 ,1400 , 2800,2200 ,1500 , 3000,2300 ,1700 , 3000,2400 ,1900 , 3000,2400 ,1900 , 3000,2500 ,1900 , 3200,2500 ,1900 , 3300,2400 ,1800 , 3300,2400 ,1600 , 3400,2500 ,1500 , 3800,2800 ,1600 , 4600,2900 ,1500 , 5000
Adamawa,<1000 ,<500 , 2000,1100 ,<500 , 2300,1300 ,<1000 , 2500,1400 ,<1000 , 2600,1500 ,<1000 , 2600,1500 ,<1000 , 2500,1500 ,<1000 , 2400,1500 ,<1000 , 2400,1500 ,<1000 , 2300,1500 ,<1000 , 2200,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1200 ,<1000 , 1800,1200 ,<1000 , 1800,1200 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1600,1000 ,<1000 , 1500,1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000
Akwa Ibom,4000 ,1800 , 7500,4500 ,2500 , 8000,5000 ,3200 , 8800,5400 ,3500 , 9200,5500 ,3700 , 9100,4800 ,3300 , 7500,5200 ,3600 , 7900,5900 ,4300 , 8400,5700 ,4100 , 7900,5600 ,4000 , 7500,5600 ,4200 , 7500,5300 ,3900 , 6800,5300 ,4000 , 6900,5200 ,4000 , 6800,5400 ,4200 , 6700,5500 ,4300 , 6900,5400 ,4200 , 6700,5500 ,4200 , 6700,5800 ,4500 , 7200,5600 ,4200 , 6700,5600 ,4400 , 7000,5700 ,4500 , 7000,5800 ,4500 , 7000,5800 ,4400 , 7000,5800 ,4400 , 7100,6100 ,4700 , 7800,6100 ,4900 , 8200,6000 ,4800 , 8100,6300 ,5000 , 8700,6400 ,5000 , 9300
Anambra,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1400,<1000 ,<1000 , 1700,1100 ,<1000 , 2000,1300 ,<1000 , 2200,1500 ,<1000 , 2500,1700 ,1100 , 2900,1900 ,1200 , 3000,2000 ,1300 , 3200,2100 ,1300 , 3200,2200 ,1400 , 3300,2300 ,1500 , 3400,2400 ,1600 , 3500,2500 ,1700 , 3500,2600 ,1800 , 3600,2700 ,1900 , 3800,2800 ,2000 , 4100,2900 ,2100 , 4100,3000 ,2200 , 4100,3100 ,2500 , 4400,3300 ,2600 , 4500,3500 ,2700 , 4700,3500 ,2700 , 4800,3400 ,2400 , 4800,3300 ,2300 , 4800,3500 ,2300 , 5300,3700 ,2300 , 5700,3900 ,2300 , 6200,4100 ,2300 , 6700
Bauchi,1100 ,<500 , 2500,1200 ,<500 , 2900,1200 ,<500 , 2800,1300 ,<1000 , 2700,1300 ,<1000 , 2600,1300 ,<1000 , 2400,1300 ,<1000 , 2400,1100 ,<1000 , 2000,1000 ,<1000 , 1900,<1000 ,<1000 , 1800,<1000 ,<1000 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Bayelsa,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<1000 , 1200,<1000 ,<500 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,1000 ,<1000 , 1600
Benue,1600 ,<1000 , 2800,2000 ,1000 , 3500,2500 ,1300 , 4200,3100 ,1600 , 5200,3600 ,1900 , 6000,4200 ,2300 , 6600,4600 ,2600 , 7100,5000 ,3100 , 7700,5400 ,3500 , 7900,5700 ,3800 , 8300,5700 ,3900 , 8200,5800 ,4100 , 8200,6000 ,4400 , 8400,6000 ,4300 , 8000,6400 ,5000 , 8500,7000 ,5500 , 9200,7000 ,5500 , 8900,7100 ,5600 , 8900,7300 ,5700 , 9000,7100 ,5600 , 8600,7200 ,5700 , 8700,6900 ,5400 , 8300,6500 ,5000 , 8000,5900 ,4500 , 7500,5500 ,4200 , 7000,5200 ,3800 , 7000,4900 ,3500 , 6800,4900 ,3500 , 7100,5000 ,3400 , 7400,5000 ,3200 , 7800
Borno,1500 ,<1000 , 3500,1700 ,<1000 , 3900,1800 ,<1000 , 3900,1900 ,<1000 , 4100,1900 ,<1000 , 4000,1900 ,<1000 , 4200,1700 ,<1000 , 3600,1600 ,<1000 , 3400,1600 ,<1000 , 3300,1600 ,<1000 , 3200,1600 ,<1000 , 3300,1500 ,<1000 , 3000,1500 ,<1000 , 3100,1400 ,<1000 , 3000,1400 ,<1000 , 2900,1300 ,<1000 , 2700,1400 ,<1000 , 2700,1400 ,<1000 , 2700,1400 ,<1000 , 2700,1300 ,<1000 , 2500,1300 ,<1000 , 2600,1300 ,<1000 , 2600,1300 ,<1000 , 2600,1200 ,<1000 , 2500,1000 ,<500 , 2300,1000 ,<500 , 2500,1100 ,<500 , 2500,1100 ,<500 , 2600,1100 ,<500 , 2800,1200 ,<500 , 2900
Cross River,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1200,<1000 ,<1000 , 1500,<1000 ,<1000 , 1800,1100 ,<1000 , 2100,1300 ,<1000 , 2300,1400 ,<1000 , 2500,1500 ,1000 , 2500,1500 ,1000 , 2400,1500 ,1100 , 2400,1500 ,1100 , 2300,1500 ,1100 , 2200,1500 ,1100 , 2200,1500 ,1200 , 2100,1500 ,1100 , 2000,1400 ,1100 , 2000,1500 ,1200 , 2000,1500 ,1100 , 2000,1600 ,1200 , 2100,1600 ,1200 , 2100,1700 ,1200 , 2100,1600 ,1100 , 2100,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1200 ,<1000 , 1900,1300 ,<1000 , 2000,1200 ,<1000 , 2000,1100 ,<1000 , 2000
Delta,1200 ,<1000 , 2100,1500 ,<1000 , 2600,1600 ,<1000 , 2900,1700 ,<1000 , 2900,1800 ,1100 , 3200,1900 ,1100 , 3400,2000 ,1100 , 3300,2000 ,1200 , 3300,2000 ,1200 , 3300,2100 ,1300 , 3400,2000 ,1300 , 3200,2100 ,1400 , 3300,2000 ,1400 , 3100,2000 ,1400 , 3100,2000 ,1500 , 3100,2000 ,1500 , 3100,2000 ,1500 , 3000,2000 ,1500 , 3000,2100 ,1500 , 3000,2100 ,1500 , 2900,2100 ,1600 , 3000,2200 ,1600 , 2900,2200 ,1600 , 2900,2000 ,1400 , 2700,2000 ,1400 , 2700,2000 ,1300 , 2700,1900 ,1200 , 2700,1900 ,1100 , 2800,2000 ,1100 , 2900,2000 ,1100 , 3100
