States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<500 ,<200 , 1400,<1000 ,<200 , 1400,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1800,1000 ,<500 , 1900,1100 ,<500 , 1900,1100 ,<1000 , 2000,1200 ,<1000 , 2100,1300 ,<1000 , 2100,1300 ,<1000 , 2100,1300 ,<1000 , 2100,1400 ,<1000 , 2100,1400 ,<1000 , 2200,1500 ,<1000 , 2200,1600 ,<1000 , 2300,1700 ,1100 , 2400,1700 ,1100 , 2400,1800 ,1300 , 2600,1900 ,1400 , 2500,2000 ,1500 , 2600,2000 ,1500 , 2600,2100 ,1600 , 2700,2100 ,1500 , 2800,2000 ,1400 , 2900,2000 ,1300 , 2900,2000 ,1300 , 3200,2400 ,1400 , 4000,2400 ,1300 , 4300
Adamawa,<1000 ,<500 , 1700,<1000 ,<500 , 1900,1000 ,<1000 , 1900,1200 ,<1000 , 2200,1200 ,<1000 , 2100,1200 ,<1000 , 2100,1200 ,<1000 , 2000,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 1800,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1000 ,<1000 , 1600,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000
Akwa Ibom,4100 ,1900 , 7700,4400 ,2400 , 7900,4700 ,3000 , 8300,5000 ,3200 , 8400,4900 ,3200 , 7700,4200 ,2800 , 6400,4400 ,3100 , 6700,4900 ,3500 , 7100,4700 ,3400 , 6600,4500 ,3300 , 6400,4600 ,3400 , 6200,4300 ,3200 , 5700,4300 ,3300 , 5600,4200 ,3300 , 5600,4400 ,3400 , 5800,4500 ,3400 , 5800,4400 ,3400 , 5600,4400 ,3500 , 5600,4700 ,3700 , 6000,4500 ,3500 , 5700,4600 ,3600 , 5800,4700 ,3700 , 5900,4800 ,3700 , 5900,4800 ,3700 , 6000,4700 ,3600 , 6100,4900 ,3800 , 6500,5000 ,3900 , 6600,4900 ,3900 , 6600,5200 ,4100 , 7400,5300 ,4100 , 7600
Anambra,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1600,<1000 ,<1000 , 1700,1100 ,<1000 , 1900,1200 ,<1000 , 2200,1400 ,<1000 , 2400,1500 ,<1000 , 2600,1600 ,1100 , 2700,1700 ,1100 , 2900,1800 ,1200 , 2700,1800 ,1200 , 2800,1900 ,1300 , 2900,2000 ,1400 , 3100,2100 ,1400 , 3100,2100 ,1500 , 3200,2300 ,1600 , 3400,2300 ,1600 , 3400,2400 ,1800 , 3400,2500 ,1900 , 3500,2600 ,2000 , 3500,2800 ,2100 , 3700,2800 ,2100 , 3700,2700 ,1900 , 3700,2600 ,1800 , 3900,2800 ,1800 , 4100,3000 ,1900 , 4600,3100 ,1900 , 4900,3300 ,1900 , 5400
Bauchi,1100 ,<500 , 2600,1200 ,<500 , 2900,1200 ,<500 , 2700,1200 ,<1000 , 2500,1100 ,<1000 , 2200,1100 ,<1000 , 2100,1100 ,<1000 , 2100,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000
Bayelsa,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300
Benue,1600 ,<1000 , 2800,2000 ,<1000 , 3400,2400 ,1200 , 3900,2800 ,1400 , 4700,3200 ,1700 , 5100,3600 ,2000 , 5900,3900 ,2200 , 6000,4200 ,2500 , 6400,4500 ,2800 , 7100,4700 ,3000 , 7100,4700 ,3200 , 7100,4800 ,3300 , 7000,4900 ,3500 , 7100,4900 ,3600 , 7000,5300 ,4100 , 7300,5800 ,4400 , 7700,5700 ,4400 , 7400,5800 ,4500 , 7400,5900 ,4600 , 7500,5800 ,4500 , 7100,5900 ,4500 , 7200,5600 ,4400 , 7100,5200 ,4000 , 6600,4800 ,3600 , 6300,4400 ,3200 , 6000,4200 ,3000 , 5800,3900 ,2800 , 5600,4000 ,2800 , 6000,4100 ,2700 , 6400,4100 ,2600 , 6600
Borno,1600 ,<1000 , 3600,1600 ,<1000 , 3700,1700 ,<1000 , 3700,1700 ,<1000 , 3600,1700 ,<1000 , 3600,1700 ,<1000 , 3600,1500 ,<1000 , 3000,1400 ,<1000 , 2900,1400 ,<1000 , 2800,1300 ,<1000 , 2600,1300 ,<1000 , 2700,1300 ,<1000 , 2500,1300 ,<1000 , 2600,1200 ,<1000 , 2500,1200 ,<1000 , 2500,1100 ,<1000 , 2200,1200 ,<1000 , 2300,1200 ,<1000 , 2300,1200 ,<1000 , 2300,1100 ,<1000 , 2200,1100 ,<1000 , 2200,1100 ,<1000 , 2200,1100 ,<1000 , 2200,1000 ,<500 , 2200,<1000 ,<500 , 2100,<1000 ,<500 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2500
Cross River,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<1000 , 1500,<1000 ,<1000 , 1700,1100 ,<1000 , 2000,1200 ,<1000 , 2100,1200 ,<1000 , 2100,1200 ,<1000 , 2000,1300 ,<1000 , 2100,1300 ,<1000 , 2000,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1200 ,<1000 , 1700,1300 ,<1000 , 1800,1300 ,<1000 , 1700,1300 ,1000 , 1800,1300 ,<1000 , 1800,1400 ,1100 , 1900,1300 ,<1000 , 1800,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1000 ,<1000 , 1600,1100 ,<1000 , 1700,1000 ,<1000 , 1700,<1000 ,<1000 , 1700
Delta,1300 ,<1000 , 2300,1500 ,<1000 , 2700,1700 ,1000 , 2800,1700 ,<1000 , 2900,1700 ,1000 , 3000,1800 ,1100 , 3000,1800 ,1100 , 3000,1800 ,1100 , 2900,1800 ,1100 , 2800,1800 ,1200 , 3000,1800 ,1200 , 2800,1800 ,1200 , 2800,1800 ,1200 , 2600,1800 ,1200 , 2600,1800 ,1300 , 2600,1800 ,1300 , 2600,1800 ,1300 , 2600,1800 ,1200 , 2600,1800 ,1300 , 2600,1800 ,1300 , 2600,1900 ,1400 , 2700,1900 ,1300 , 2600,1900 ,1400 , 2600,1700 ,1200 , 2400,1800 ,1200 , 2500,1700 ,1100 , 2400,1600 ,1000 , 2400,1600 ,<1000 , 2400,1700 ,1000 , 2600,1700 ,1000 , 2900
