States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abia,4065,4747,5413,6004,12 118,13 047,14 364,15 682,16 999,16 781
Adamawa,11 173,13 045,14 302,14 863,16 160,18 956,21 752,24 547,27 343,30 139
Akwa Ibom,28 968,33 823,38 138,18 277,24 421,34 457,46 023,39 704,41 510,73 525
Anambra,4500,4998,6296,13 530,20 764,21 950,25 094,26 995,28 896,31 309
Bauchi,5857,6839,8016,11 444,11 230,11 694,12 753,14 904,17 420,17 862
Bayelsa,1422,1661,1923,2388,2600,3582,4017,4980,5452,5858
Benue,77 637,87 448,97 259,100 646,109 846,119 045,124 451,129 856,135 261,169 624
Borno,7384,8621,9677,19 729,9758,8531,9964,11 172,11 545,12 630
Cross River,6157,7189,8162,17 219,16 494,21 545,22 105,24 217,27 367,37 132
Delta,4736,5531,6490,13 416,16 862,19 848,21 243,22 638,24 033,26 697
Ebonyi,1382,1613,2570,6127,6040,5321,6618,8226,7791,7510
Edo,10 096,11 459,12 822,14 186,15 549,16 912,18 275,19 639,21 002,23 576
Ekiti,1097,1231,1533,2065,2418,2878,3145,3397,3437,3881
Enugu,0,0,14 119,12 106,19 933,20 482,21 030,21 579,22 127,24 689
FCT Abuja,17 158,20 034,22 743,34 369,38 182,42 859,53 006,54 397,59 006,53 081
Gombe,445,519,585,15 451,17 982,22 384,22 580,22 777,22 973,25 276
Imo,2296,2680,3063,9871,14 932,15 559,16 186,16 812,17 439,25 688
Jigawa,2008,2345,2611,4398,4859,4934,5805,6985,7567,8115
Kaduna,30 733,35 885,41 189,36 563,37 512,40 265,42 363,47 946,42 484,54 583
Kano,11 250,13 135,14 573,21 459,24 188,25 500,28 217,31 405,33 196,34 075
Katsina,4659,5440,6029,8274,9780,11 459,12 431,9814,9303,9821
Kebbi,6708,7832,8609,4982,5961,7130,8150,9359,6479,7522
Kogi,5005,5844,7971,10 098,12 225,14 351,16 478,18 605,20 732,23 231
Kwara,3359,3733,4107,4481,4855,5295,5735,6175,6175,8276
Lagos,21 125,24 672,36 594,41 047,44 067,44 842,55 357,64 136,74 306,85 588
Nassarawa,4754,5551,6315,13 990,14 812,22 134,43 659,48 895,49 137,49 379
Niger,0,0,0,17 730,18 207,18 684,19 162,19 639,20 116,20 593
Ogun,3976,4643,6209,7559,10 142,11 741,13 163,16 118,16 118,18 760
Ondo,5132,5620,6108,6596,7084,7572,8061,8549,9037,10 296
Osun,2279,2903,3447,3991,4535,5080,5624,6168,6712,7281
Oyo,8054,9134,11 649,13 270,14 491,15 460,16 215,19 162,20 305,21 529
Plateau,2926,3518,36 692,28 685,30 946,33 207,35 467,37 728,39 989,40 466
Rivers,6740,7870,8942,13 151,19 525,25 119,30 712,36 306,41 899,47 493
Sokoto,2641,3084,3531,8902,9109,8547,8973,6333,6070,7579
Taraba,14 612,17 062,19 471,26 984,33 491,35 477,37 464,39 450,43 423,36 545
Yobe,2316,2704,2969,2483,2278,4549,5218,5888,6158,6762
Zamfara,1390,1623,1739,2084,5187,3278,3590,3707,3628,4384
National,324 040,374 036,481 866,588 418,668 543,743 674,844 450,903 890,952 435,1 087 536
