States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abia,4152,4904,5548,6337,12 649,13 720,15 091,16 459,18 002,17 588
Adamawa,11 514,13 659,14 830,15 486,16 874,20 208,23 160,26 354,28 987,31 503
Akwa Ibom,31 081,37 625,41 406,19 564,25 382,36 178,48 865,41 636,43 538,76 459
Anambra,4716,5257,6598,14 286,21 973,22 909,26 163,28 272,30 211,32 668
Bauchi,6192,7442,8534,12 014,11 756,13 256,13 503,15 664,18 267,18 695
Bayelsa,1482,1769,2072,2496,2722,3771,4228,5208,5734,6124
Benue,81 479,92 012,102 545,106 655,116 577,126 498,132 627,138 754,144 881,180 503
Borno,7689,9170,10 149,20 329,10 385,8947,10 335,11 788,12 093,13 201
Cross River,6361,7557,8478,18 228,17 383,22 979,23 251,25 432,28 647,38 535
Delta,4967,5946,6847,14 236,17 746,20 860,22 605,24 149,25 452,28 084
Ebonyi,1501,1827,2814,6482,6484,5906,7010,8693,8282,7991
Edo,10 789,12 206,13 623,15 040,16 455,17 873,19 290,20 707,22 124,24 882
Ekiti,1151,1328,1642,2187,2552,3024,3303,3568,3618,4094
Enugu,0,0,14 119,12 810,21 263,21 980,22 868,22 697,23 285,25 875
FCT, Abuja,18 001,21 022,23 876,35 647,39 605,44 427,54 719,56 255,61 009,55 213
Gombe,460,546,608,16 140,19 160,23 620,23 945,23 768,23 957,26 370
Imo,2372,2816,3180,10 406,15 855,16 370,17 168,18 362,18 205,26 845
Jigawa,2252,2785,2989,4518,5085,5141,6018,7260,7857,8399
Kaduna,32 307,37 300,43 624,38 542,39 329,42 980,45 023,50 633,44 512,56 927
Kano,11 821,14 162,15 456,22 695,25 883,26 819,29 474,32 580,34 413,35 500
Katsina,4659,5440,6320,8741,10 352,12 048,13 131,10 258,9783,10 363
Kebbi,6856,7994,9426,5174,6194,7413,8518,9765,6765,7838
Kogi,5348,6325,8589,10 854,13 119,15 382,17 647,19 911,22 176,24 867
Kwara,3360,3733,4306,4714,5122,5596,6071,6546,6580,8781
Lagos,22 705,26 507,38 683,43 391,46 665,47 695,58 464,67 498,77 922,89 022
Nassarawa,6989,7850,8677,16 416,17 302,24 687,46 276,51 575,51 880,52 195
Niger,0,0,186,18 069,18 699,19 330,19 961,20 591,21 220,21 849
Ogun,3976,4643,6209,7559,10 142,11 741,13 899,16 999,17 055,19 816
Ondo,5132,5620,6805,6989,7523,8058,8592,9126,9660,10 877
Osun,2454,3107,3679,4251,4824,5398,5970,6542,7115,7732
Oyo,8685,9855,12 459,14 170,15 480,16 539,17 384,20 420,21 653,22 821
Plateau,3240,4024,39 942,30 802,32 963,34 823,37 129,39 261,41 446,41 799
Rivers,6990,8319,9328,13 673,20 298,26 165,32 290,37 700,43 491,49 447
Sokoto,2694,3179,3613,9302,9550,9124,9208,6587,6331,7858
Taraba,15 337,18 366,20 592,28 633,35 598,37 718,40 499,42 515,46 155,38 654
Yobe,2453,2951,3181,3545,2468,4991,5792,6243,6479,7063
Zamfara,1417,1657,1781,2157,5367,3367,3710,3837,3825,4626
National,342 582,398 903,512 714,622 538,706 784,787 541,893 187,953 613,1 002 610,1 141 064
