States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abia,2202,2572,3633,3227,8302,8636,9172,9708,10 244,11 531
Adamawa,5226,6104,8621,8956,10 222,12 228,14 234,16 241,18 247,20 253
Akwa Ibom,15 069,17 600,24 860,12 357,16 481,25 711,36 470,29 345,30 344,50 541
Anambra,2570,3002,4234,9268,14 302,15 090,17 175,18 512,19 849,21 298
Bauchi,3486,4072,5751,7040,7947,8487,8798,10 314,11 776,12 246
Bayelsa,812,949,1340,1625,1828,2572,2808,3509,3887,4137
Benue,69 085,77 720,86 356,88 567,90 778,92 989,95 201,97 412,99 623,124 493
Borno,3778,4412,6232,13 025,6986,5702,6953,7980,8171,8361
Cross River,3284,3835,5417,12 521,11 419,15 054,15 442,16 882,18 966,24 518
Delta,2830,3306,4669,9383,12 046,14 718,15 644,16 571,17 497,18 981
Ebonyi,724,845,1671,4058,4137,3620,4628,5668,5506,5254
Edo,5715,6896,8077,9258,10 438,11 619,12 800,13 981,15 162,16 575
Ekiti,533,622,879,1366,1674,2090,2312,2519,2514,2826
Enugu,0,0,8474,8663,14 353,14 704,15 056,15 407,15 758,15 823
FCT Abuja,9146,10 683,15 089,22 488,25 725,29 468,35 933,36 631,40 414,36 203
Gombe,230,269,380,10 449,11 791,15 569,15 716,15 864,16 011,17 296
Imo,1253,1463,2067,6678,10 330,10 717,11 105,11 492,11 879,17 065
Jigawa,997,1165,1645,2980,3276,3303,3951,4667,5055,5454
Kaduna,17 034,19 896,28 102,22 600,23 840,27 166,27 931,32 880,28 441,37 479
Kano,5510,6436,9090,13 659,15 420,16 375,18 159,20 508,21 585,22 685
Katsina,2272,2654,3749,5147,5890,7068,7732,6887,6468,6799
Kebbi,3169,3701,5228,3210,3927,4609,5300,6012,4276,4962
Kogi,3013,3519,5152,6786,8419,10 052,11 685,13 319,14 952,16 665
Kwara,2286,2552,2819,3085,3352,3732,4113,4494,4494,6092
Lagos,18 990,22 180,31 329,33 009,33 256,31 258,39 000,45 006,52 403,56 797
Nassarawa,2553,2982,4212,8548,9050,14 556,30 025,34 169,34 234,34 300
Niger,0,0,0,12 676,12 967,13 257,13 548,13 839,14 129,14 420
Ogun,2439,2849,4024,4983,7175,8383,9414,11 978,11 978,13 932
Ondo,3443,3861,4279,4697,5115,5534,5952,6370,6788,7682
Osun,1292,1751,2210,2669,3128,3587,4046,4505,4964,5462
Oyo,4574,5342,7546,8856,9765,10 422,10 866,13 502,14 333,15 697
Plateau,2263,2715,26 254,20 412,21 999,23 586,25 173,26 760,28 347,28 641
Rivers,3604,4210,5946,8866,13 336,16 741,20 146,23 551,26 956,30 361
Sokoto,1452,1696,2395,5674,5972,5171,5303,4196,4076,5079
Taraba,7936,9270,13 093,17 792,22 119,23 845,25 570,27 296,30 747,23 485
Yobe,1090,1273,1798,1600,1396,2897,3470,4043,4217,4231
Zamfara,592,692,977,1198,3137,2005,2371,2542,2517,2971
National,210 452,243 094,347 598,417 376,471 298,522 521,593 202,634 560,666 808,750 595
