States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abia,1863,2175,1780,2777,3816,4411,5192,5974,6755,5250
Adamawa,5947,6941,5681,5907,5938,6728,7517,8307,9096,9886
Akwa Ibom,13 899,16 223,13 278,5920,7940,8746,9553,10 359,11 166,22 984
Anambra,1930,1996,2062,4262,6462,6860,7919,8483,9047,10 011
Bauchi,2371,2767,2265,4404,3283,3207,3955,4590,5644,5616
Bayelsa,610,712,583,763,772,1010,1209,1471,1565,1721
Benue,8552,9728,10 903,12 079,19 068,26 056,29 250,32 444,35 638,45 131
Borno,3606,4209,3445,6704,2772,2829,3011,3192,3374,4269
Cross River,2873,3354,2745,4698,5075,6491,6663,7335,8401,12 614
Delta,1906,2225,1821,4033,4816,5130,5599,6067,6536,7716
Ebonyi,658,768,899,2069,1903,1701,1990,2558,2285,2256
Edo,4381,4563,4746,4928,5110,5293,5475,5658,5840,7001
Ekiti,564,609,654,699,744,788,833,878,923,1055
Enugu,0,0,5645,3443,5580,5777,5974,6172,6369,8866
FCT Abuja,8012,9351,7654,11 881,12 457,13 391,17 073,17 766,18 592,16 878
Gombe,215,250,205,5002,6191,6815,6864,6913,6962,7980
Imo,1043,1217,996,3193,4602,4842,5081,5320,5560,8623
Jigawa,1011,1180,966,1418,1583,1631,1854,2318,2512,2661
Kaduna,13 699,15 989,13 087,13 963,13 672,13 099,14 432,15 066,14 043,17 104
Kano,5740,6699,5483,7800,8768,9125,10 058,10 897,11 611,11 390
Katsina,2387,2786,2280,3127,3890,4391,4699,2927,2835,3022
Kebbi,3539,4131,3381,1772,2034,2521,2850,3347,2203,2560
Kogi,1992,2325,2819,3312,3806,4299,4793,5286,5780,6566
Kwara,1074,1181,1288,1396,1503,1562,1622,1682,1682,2184
Lagos,2135,2492,5265,8038,10 811,13 584,16 357,19 130,21 903,28 791
Nassarawa,2201,2569,2103,5442,5762,7578,13 634,14 726,14 902,15 079
Niger,0,0,0,5054,5240,5427,5614,5800,5986,6173
Ogun,1537,1794,2185,2576,2967,3358,3749,4140,4140,4828
Ondo,1689,1759,1829,1899,1969,2039,2109,2179,2249,2614
Osun,987,1152,1237,1322,1407,1493,1578,1663,1748,1819
Oyo,3480,3792,4103,4414,4726,5038,5349,5660,5972,5832
Plateau,663,803,10 438,8273,8947,9621,10 294,10 968,11 642,11 825
Rivers,3136,3660,2996,4285,6189,8378,10 566,12 755,14 943,17 132
Sokoto,1189,1388,1136,3228,3137,3376,3670,2137,1994,2500
Taraba,6676,7792,6378,9192,11 372,11 633,11 894,12 154,12 676,13 061
Yobe,1226,1431,1171,883,882,1652,1748,1845,1941,2531
Zamfara,798,931,762,886,2050,1273,1219,1165,1111,1413
National,113 589,130 942,134 269,171 042,197 244,221 153,251 247,269 332,285 626,336 942
