States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,15 ,10 , 22,17 ,12 , 24,18 ,13 , 25,19 ,14 , 24,35 ,27 , 44,35 ,28 , 43,36 ,29 , 44,36 ,29 , 44,37 ,30 , 46,34 ,27 , 43
Adamawa,45 ,34 , 63,51 ,39 , 71,54 ,42 , 76,55 ,42 , 76,59 ,45 , 81,67 ,50 , 93,76 ,56 , 100,85 ,63 , 100,93 ,68 , 100,100 ,74 , 100
Akwa Ibom,24 ,19 , 30,27 ,22 , 33,29 ,23 , 35,13 ,11 , 16,17 ,14 , 20,23 ,19 , 27,29 ,25 , 34,25 ,21 , 29,25 ,21 , 29,43 ,36 , 50
Anambra,10 ,8 , 15,11 ,8 , 15,13 ,10 , 17,25 ,20 , 34,37 ,29 , 48,36 ,29 , 48,39 ,30 , 50,39 ,30 , 51,40 ,31 , 53,41 ,31 , 55
Bauchi,35 ,20 , 58,40 ,24 , 66,46 ,27 , 76,64 ,38 , 100,62 ,37 , 100,64 ,38 , 100,69 ,41 , 100,80 ,47 , 100,93 ,55 , 100,95 ,57 , 100
Bayelsa,11 ,8 , 15,12 ,9 , 16,13 ,10 , 17,15 ,12 , 20,16 ,12 , 20,21 ,16 , 26,23 ,18 , 28,27 ,21 , 33,28 ,22 , 35,29 ,22 , 38
Benue,73 ,58 , 91,80 ,64 , 98,85 ,69 , 100,83 ,68 , 99,87 ,71 , 100,90 ,73 , 100,90 ,72 , 100,91 ,73 , 100,91 ,73 , 100,100 ,88 , 100
Borno,26 ,15 , 48,29 ,17 , 52,32 ,18 , 55,63 ,36 , 100,30 ,18 , 54,26 ,15 , 47,30 ,17 , 53,32 ,19 , 58,33 ,19 , 58,35 ,20 , 62
Cross River,24 ,19 , 32,27 ,22 , 35,29 ,23 , 37,58 ,47 , 72,53 ,43 , 66,67 ,53 , 84,66 ,53 , 83,71 ,56 , 89,77 ,60 , 98,100 ,80 , 100
Delta,12 ,9 , 18,14 ,11 , 20,16 ,12 , 22,31 ,25 , 42,38 ,30 , 50,43 ,33 , 56,44 ,34 , 57,45 ,35 , 58,47 ,36 , 60,50 ,39 , 66
Ebonyi,13 ,10 , 17,15 ,11 , 20,24 ,18 , 33,56 ,42 , 76,54 ,42 , 72,47 ,36 , 61,57 ,44 , 75,70 ,54 , 92,65 ,51 , 85,62 ,48 , 80
Edo,40 ,29 , 55,43 ,31 , 59,47 ,34 , 62,49 ,37 , 66,52 ,39 , 68,54 ,41 , 71,56 ,44 , 73,58 ,45 , 75,60 ,47 , 77,66 ,51 , 83
Ekiti,15 ,10 , 24,16 ,11 , 26,19 ,13 , 30,25 ,18 , 38,27 ,20 , 41,31 ,23 , 46,33 ,24 , 48,34 ,24 , 49,33 ,23 , 48,36 ,25 , 53
Enugu,0 ,0 , 0,0 ,0 , 0,36 ,28 , 47,30 ,23 , 38,48 ,37 , 60,47 ,37 , 60,47 ,37 , 60,47 ,36 , 59,46 ,35 , 59,50 ,38 , 63
FCT Abuja,87 ,59 , 100,94 ,65 , 100,98 ,67 , 100,100 ,91 , 100,100 ,91 , 100,100 ,93 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,87 , 100
Gombe,3 ,2 , 4,4 ,2 , 5,4 ,3 , 6,100 ,74 , 100,100 ,85 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Imo,9 ,6 , 12,9 ,7 , 13,10 ,8 , 13,30 ,23 , 40,43 ,33 , 56,42 ,32 , 54,40 ,30 , 51,39 ,29 , 50,38 ,27 , 48,52 ,36 , 66
Jigawa,23 ,14 , 41,27 ,16 , 46,29 ,18 , 49,48 ,29 , 77,52 ,31 , 86,52 ,31 , 86,60 ,35 , 98,71 ,41 , 100,76 ,44 , 100,81 ,47 , 100
Kaduna,80 ,58 , 100,96 ,69 , 100,100 ,80 , 100,97 ,71 , 100,98 ,72 , 100,100 ,75 , 100,100 ,76 , 100,100 ,83 , 100,100 ,71 , 100,100 ,88 , 100
Kano,29 ,19 , 47,33 ,22 , 53,36 ,24 , 57,52 ,34 , 82,58 ,38 , 92,60 ,39 , 97,66 ,42 , 100,72 ,46 , 100,76 ,49 , 100,77 ,50 , 100
Katsina,34 ,17 , 72,39 ,20 , 80,42 ,21 , 85,56 ,29 , 100,65 ,33 , 100,76 ,38 , 100,81 ,41 , 100,64 ,33 , 100,60 ,31 , 100,63 ,32 , 100
Kebbi,44 ,30 , 72,51 ,34 , 81,55 ,37 , 88,32 ,21 , 50,37 ,24 , 60,44 ,28 , 70,50 ,32 , 78,57 ,36 , 89,39 ,25 , 62,46 ,29 , 72
Kogi,18 ,13 , 28,21 ,15 , 33,28 ,20 , 43,35 ,25 , 53,42 ,30 , 63,49 ,35 , 72,56 ,40 , 83,62 ,44 , 94,69 ,49 , 100,78 ,55 , 100
Kwara,35 ,22 , 55,39 ,24 , 61,42 ,26 , 63,44 ,27 , 65,46 ,29 , 67,47 ,30 , 69,49 ,31 , 70,50 ,32 , 69,48 ,31 , 66,61 ,40 , 87
Lagos,25 ,20 , 34,28 ,23 , 38,41 ,33 , 54,44 ,36 , 58,46 ,37 , 59,45 ,36 , 58,54 ,43 , 69,61 ,48 , 78,68 ,54 , 88,77 ,61 , 99
Nassarawa,11 ,8 , 14,12 ,9 , 16,14 ,11 , 18,30 ,23 , 39,31 ,24 , 40,45 ,35 , 57,87 ,67 , 100,97 ,74 , 100,96 ,74 , 100,95 ,73 , 100
Niger,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,96 ,63 , 100,97 ,64 , 100,97 ,65 , 100,98 ,66 , 100,99 ,66 , 100,99 ,66 , 100,100 ,66 , 100
Ogun,18 ,12 , 26,20 ,14 , 29,26 ,19 , 37,30 ,22 , 42,38 ,28 , 53,42 ,31 , 58,46 ,32 , 62,54 ,38 , 74,52 ,36 , 73,59 ,40 , 83
Ondo,19 ,13 , 30,21 ,14 , 33,23 ,16 , 36,25 ,18 , 38,27 ,19 , 41,29 ,21 , 43,31 ,23 , 45,34 ,25 , 48,36 ,27 , 51,41 ,31 , 59
Osun,12 ,8 , 19,14 ,10 , 23,17 ,11 , 26,19 ,13 , 29,21 ,14 , 31,22 ,16 , 33,24 ,17 , 35,26 ,18 , 37,27 ,19 , 40,29 ,20 , 43
