States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,... ,... , ...,... ,... , ...
Adamawa,72 ,53 , 100,77 ,56 , 100
Akwa Ibom,18 ,15 , 21,33 ,27 , 38
Anambra,31 ,24 , 41,32 ,24 , 43
Bauchi,69 ,39 , 100,74 ,43 , 100
Bayelsa,22 ,17 , 27,23 ,18 , 29
Benue,78 ,62 , 94,84 ,66 , 100
Borno,24 ,13 , 43,26 ,15 , 46
Cross River,57 ,44 , 74,80 ,61 , 100
Delta,35 ,27 , 45,38 ,29 , 49
Ebonyi,47 ,36 , 61,44 ,34 , 58
Edo,44 ,34 , 57,45 ,34 , 57
Ekiti,27 ,19 , 40,25 ,17 , 37
Enugu,35 ,26 , 44,38 ,29 , 49
FCT, Abuja,100 ,85 , 100,100 ,74 , 100
Gombe,100 ,80 , 100,100 ,80 , 100
Imo,28 ,20 , 36,38 ,27 , 49
Jigawa,56 ,33 , 93,58 ,33 , 94
Kaduna,73 ,52 , 100,75 ,52 , 100
Kano,58 ,37 , 96,61 ,38 , 100
Katsina,42 ,21 , 87,41 ,20 , 83
Kebbi,21 ,13 , 33,28 ,18 , 45
Kogi,52 ,37 , 80,52 ,37 , 83
Kwara,33 ,21 , 47,49 ,31 , 70
Lagos,56 ,44 , 73,55 ,44 , 72
Nassarawa,72 ,55 , 94,64 ,49 , 84
Niger,50 ,33 , 74,71 ,46 , 100
Ogun,42 ,28 , 59,46 ,31 , 66
Ondo,29 ,21 , 42,35 ,25 , 50
Osun,23 ,16 , 34,23 ,16 , 34
Oyo,38 ,26 , 53,39 ,27 , 54
Plateau,100 ,89 , 100,100 ,100 , 100
Rivers,19 ,16 , 24,21 ,17 , 27
Sokoto,42 ,20 , 84,64 ,30 , 100
Taraba,... ,... , ...,... ,... , ...
Yobe,56 ,28 , 100,74 ,37 , 100
Zamfara,16 ,8 , 29,... ,... , ...
National,46 ,35,62,... ,...,...
