States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,... ,... , ...,... ,... , ...
Adamawa,86 ,63 , 100,93 ,67 , 100
Akwa Ibom,23 ,19 , 27,39 ,33 , 45
Anambra,37 ,29 , 50,38 ,30 , 51
Bauchi,84 ,49 , 100,91 ,53 , 100
Bayelsa,28 ,22 , 35,29 ,23 , 36
Benue,100 ,82 , 100,100 ,90 , 100
Borno,33 ,19 , 59,33 ,19 , 59
Cross River,75 ,58 , 96,99 ,76 , 100
Delta,47 ,36 , 60,49 ,38 , 63
Ebonyi,87 ,65 , 100,82 ,61 , 100
Edo,61 ,47 , 77,61 ,47 , 78
Ekiti,35 ,25 , 51,32 ,22 , 46
Enugu,45 ,35 , 57,44 ,33 , 56
FCT Abuja,100 ,100 , 100,100 ,89 , 100
Gombe,100 ,100 , 100,100 ,100 , 100
Imo,35 ,25 , 45,46 ,32 , 58
Jigawa,69 ,39 , 100,68 ,38 , 100
Kaduna,100 ,77 , 100,100 ,76 , 100
Kano,71 ,45 , 100,75 ,47 , 100
Katsina,55 ,29 , 100,53 ,28 , 100
Kebbi,34 ,21 , 54,38 ,23 , 60
Kogi,79 ,55 , 100,77 ,54 , 100
Kwara,42 ,26 , 58,65 ,41 , 91
Lagos,66 ,53 , 85,64 ,50 , 81
Nassarawa,93 ,71 , 100,82 ,62 , 100
Niger,74 ,48 , 100,100 ,64 , 100
Ogun,54 ,38 , 76,59 ,40 , 85
Ondo,37 ,27 , 51,44 ,33 , 61
Osun,32 ,23 , 46,31 ,23 , 46
Oyo,46 ,32 , 64,48 ,34 , 66
Plateau,100 ,100 , 100,100 ,100 , 100
Rivers,23 ,19 , 29,25 ,20 , 31
Sokoto,51 ,24 , 99,76 ,36 , 100
Taraba,... ,... , ...,... ,... , ...
Yobe,66 ,33 , 100,78 ,39 , 100
Zamfara,18 ,9 , 31,... ,... , ...
National,59 ,45,79,... ,...,...
