States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,3000 ,<1000 , 10 000,3700 ,<1000 , 11 000,4500 ,1300 , 13 000,5400 ,1600 , 14 000,6400 ,2200 , 16 000,7400 ,2900 , 18 000,8500 ,3400 , 19 000,9600 ,3900 , 21 000,11 000 ,4500 , 22 000,12 000 ,5100 , 23 000,13 000 ,6200 , 24 000,14 000 ,7000 , 25 000,15 000 ,7800 , 26 000,16 000 ,8600 , 27 000,17 000 ,9200 , 28 000,18 000 ,10 000 , 29 000,19 000 ,11 000 , 30 000,20 000 ,12 000 , 31 000,21 000 ,13 000 , 32 000,22 000 ,14 000 , 33 000,23 000 ,15 000 , 34 000,25 000 ,17 000 , 35 000,26 000 ,19 000 , 36 000,28 000 ,21 000 , 37 000,31 000 ,24 000 , 39 000,33 000 ,26 000 , 41 000,35 000 ,28 000 , 43 000,37 000 ,30 000 , 46 000,39 000 ,31 000 , 49 000,41 000 ,33 000 , 53 000
Adamawa,5900 ,2000 , 14 000,7300 ,2600 , 17 000,8700 ,3600 , 19 000,10 000 ,4700 , 21 000,12 000 ,5700 , 23 000,13 000 ,6900 , 24 000,14 000 ,8300 , 26 000,16 000 ,9800 , 27 000,17 000 ,10 000 , 28 000,17 000 ,12 000 , 29 000,18 000 ,12 000 , 29 000,18 000 ,12 000 , 29 000,19 000 ,13 000 , 29 000,19 000 ,13 000 , 29 000,19 000 ,14 000 , 28 000,19 000 ,14 000 , 29 000,20 000 ,14 000 , 29 000,20 000 ,15 000 , 29 000,20 000 ,16 000 , 30 000,21 000 ,16 000 , 30 000,21 000 ,17 000 , 31 000,22 000 ,17 000 , 31 000,22 000 ,17 000 , 32 000,22 000 ,17 000 , 32 000,23 000 ,17 000 , 32 000,23 000 ,17 000 , 32 000,23 000 ,17 000 , 32 000,23 000 ,17 000 , 31 000,22 000 ,16 000 , 31 000,22 000 ,16 000 , 30 000
Akwa Ibom,26 000 ,9800 , 54 000,32 000 ,14 000 , 64 000,39 000 ,18 000 , 72 000,45 000 ,25 000 , 79 000,51 000 ,31 000 , 88 000,56 000 ,35 000 , 93 000,60 000 ,38 000 , 99 000,65 000 ,41 000 , 100 000,69 000 ,47 000 , 100 000,72 000 ,51 000 , 110 000,76 000 ,55 000 , 110 000,78 000 ,59 000 , 110 000,80 000 ,62 000 , 110 000,81 000 ,63 000 , 110 000,83 000 ,64 000 , 110 000,85 000 ,67 000 , 110 000,88 000 ,69 000 , 120 000,91 000 ,73 000 , 120 000,95 000 ,76 000 , 120 000,99 000 ,79 000 , 130 000,100 000 ,82 000 , 130 000,110 000 ,87 000 , 130 000,110 000 ,90 000 , 140 000,120 000 ,93 000 , 140 000,120 000 ,97 000 , 150 000,120 000 ,99 000 , 150 000,130 000 ,100 000 , 150 000,130 000 ,100 000 , 150 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000
Anambra,2500 ,<1000 , 6000,3300 ,1100 , 7200,4300 ,1800 , 8700,5500 ,2700 , 11 000,6900 ,3700 , 13 000,8400 ,4900 , 16 000,10 000 ,6100 , 18 000,12 000 ,7300 , 21 000,14 000 ,8800 , 24 000,16 000 ,10 000 , 26 000,18 000 ,12 000 , 29 000,20 000 ,13 000 , 32 000,22 000 ,14 000 , 34 000,24 000 ,16 000 , 36 000,26 000 ,17 000 , 38 000,28 000 ,19 000 , 41 000,30 000 ,21 000 , 43 000,32 000 ,23 000 , 45 000,34 000 ,24 000 , 48 000,37 000 ,26 000 , 51 000,39 000 ,29 000 , 55 000,42 000 ,31 000 , 58 000,44 000 ,34 000 , 60 000,47 000 ,38 000 , 64 000,50 000 ,40 000 , 68 000,53 000 ,42 000 , 71 000,57 000 ,44 000 , 74 000,60 000 ,46 000 , 79 000,63 000 ,48 000 , 83 000,66 000 ,50 000 , 89 000
Bauchi,7600 ,1600 , 23 000,9100 ,2200 , 25 000,10 000 ,2700 , 26 000,12 000 ,3600 , 28 000,13 000 ,4800 , 30 000,14 000 ,6000 , 31 000,15 000 ,6700 , 31 000,15 000 ,7800 , 32 000,16 000 ,8500 , 32 000,16 000 ,8800 , 31 000,16 000 ,8700 , 31 000,15 000 ,8700 , 29 000,15 000 ,8600 , 28 000,15 000 ,8500 , 27 000,14 000 ,8500 , 27 000,14 000 ,8400 , 26 000,14 000 ,8200 , 25 000,14 000 ,8300 , 25 000,14 000 ,8300 , 25 000,14 000 ,8400 , 25 000,14 000 ,8500 , 24 000,15 000 ,8700 , 24 000,15 000 ,8800 , 24 000,15 000 ,8700 , 24 000,15 000 ,8600 , 24 000,15 000 ,8500 , 24 000,14 000 ,8400 , 24 000,14 000 ,8300 , 23 000,14 000 ,8100 , 23 000,14 000 ,7900 , 23 000
Bayelsa,1500 ,<500 , 4100,1900 ,<1000 , 4900,2300 ,<1000 , 5700,2800 ,1100 , 6800,3300 ,1300 , 7600,3800 ,1600 , 8700,4400 ,1900 , 9500,4900 ,2300 , 10 000,5500 ,2600 , 11 000,6100 ,3100 , 12 000,6600 ,3600 , 12 000,7200 ,4000 , 13 000,7700 ,4400 , 13 000,8200 ,4900 , 13 000,8600 ,5500 , 14 000,9100 ,6000 , 14 000,9600 ,6400 , 15 000,10 000 ,6900 , 15 000,11 000 ,7400 , 16 000,11 000 ,8000 , 16 000,12 000 ,8600 , 17 000,12 000 ,9200 , 17 000,13 000 ,9900 , 17 000,14 000 ,10 000 , 17 000,14 000 ,11 000 , 18 000,15 000 ,11 000 , 18 000,15 000 ,12 000 , 19 000,16 000 ,12 000 , 20 000,16 000 ,13 000 , 21 000,17 000 ,13 000 , 22 000
Benue,9400 ,3900 , 18 000,12 000 ,5200 , 22 000,16 000 ,6900 , 27 000,20 000 ,9700 , 33 000,24 000 ,12 000 , 39 000,29 000 ,15 000 , 46 000,34 000 ,18 000 , 54 000,39 000 ,22 000 , 62 000,45 000 ,25 000 , 70 000,50 000 ,29 000 , 75 000,55 000 ,32 000 , 80 000,59 000 ,36 000 , 86 000,64 000 ,41 000 , 90 000,67 000 ,45 000 , 94 000,71 000 ,50 000 , 98 000,76 000 ,56 000 , 100 000,80 000 ,61 000 , 110 000,84 000 ,65 000 , 110 000,88 000 ,69 000 , 120 000,92 000 ,72 000 , 120 000,95 000 ,75 000 , 120 000,98 000 ,79 000 , 120 000,100 000 ,83 000 , 130 000,110 000 ,87 000 , 130 000,110 000 ,91 000 , 140 000,120 000 ,93 000 , 140 000,120 000 ,95 000 , 140 000,120 000 ,97 000 , 150 000,130 000 ,100 000 , 160 000,130 000 ,100 000 , 160 000
Borno,12 000 ,4400 , 31 000,14 000 ,5600 , 34 000,16 000 ,7000 , 39 000,18 000 ,8100 , 41 000,20 000 ,8900 , 44 000,21 000 ,9600 , 48 000,22 000 ,10 000 , 50 000,23 000 ,11 000 , 51 000,24 000 ,12 000 , 50 000,24 000 ,12 000 , 50 000,25 000 ,13 000 , 52 000,25 000 ,13 000 , 52 000,25 000 ,13 000 , 52 000,25 000 ,13 000 , 52 000,25 000 ,13 000 , 51 000,25 000 ,13 000 , 51 000,25 000 ,13 000 , 51 000,26 000 ,14 000 , 52 000,26 000 ,15 000 , 53 000,27 000 ,15 000 , 53 000,28 000 ,16 000 , 53 000,29 000 ,16 000 , 53 000,29 000 ,17 000 , 53 000,30 000 ,17 000 , 54 000,31 000 ,17 000 , 55 000,31 000 ,18 000 , 57 000,32 000 ,18 000 , 59 000,32 000 ,18 000 , 59 000,33 000 ,18 000 , 60 000,33 000 ,18 000 , 61 000
Cross River,1700 ,<1000 , 4100,2200 ,<1000 , 4900,2900 ,1400 , 6000,3800 ,2000 , 7400,4800 ,2800 , 8900,6000 ,3700 , 11 000,7300 ,4700 , 12 000,8700 ,5600 , 15 000,10 000 ,6700 , 18 000,12 000 ,7800 , 20 000,13 000 ,8800 , 21 000,14 000 ,9800 , 23 000,15 000 ,11 000 , 24 000,16 000 ,11 000 , 26 000,17 000 ,12 000 , 26 000,18 000 ,13 000 , 26 000,18 000 ,14 000 , 27 000,19 000 ,15 000 , 27 000,20 000 ,16 000 , 28 000,21 000 ,17 000 , 29 000,22 000 ,18 000 , 30 000,23 000 ,19 000 , 31 000,24 000 ,20 000 , 32 000,25 000 ,21 000 , 33 000,26 000 ,21 000 , 34 000,27 000 ,21 000 , 35 000,28 000 ,21 000 , 36 000,28 000 ,22 000 , 36 000,29 000 ,22 000 , 37 000,29 000 ,22 000 , 38 000
Delta,9600 ,5600 , 19 000,12 000 ,7300 , 22 000,14 000 ,8600 , 25 000,16 000 ,9900 , 27 000,18 000 ,11 000 , 29 000,20 000 ,13 000 , 33 000,21 000 ,14 000 , 36 000,23 000 ,15 000 , 38 000,24 000 ,16 000 , 41 000,26 000 ,17 000 , 44 000,27 000 ,17 000 , 45 000,28 000 ,18 000 , 46 000,29 000 ,19 000 , 47 000,29 000 ,20 000 , 47 000,30 000 ,20 000 , 47 000,31 000 ,21 000 , 47 000,31 000 ,22 000 , 47 000,32 000 ,23 000 , 48 000,33 000 ,24 000 , 49 000,34 000 ,25 000 , 50 000,35 000 ,26 000 , 50 000,36 000 ,28 000 , 52 000,37 000 ,29 000 , 52 000,38 000 ,30 000 , 53 000,40 000 ,31 000 , 54 000,41 000 ,31 000 , 55 000,42 000 ,32 000 , 56 000,43 000 ,32 000 , 56 000,44 000 ,32 000 , 58 000,45 000 ,33 000 , 60 000
