States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<500 ,<100 , 1500,<500 ,<100 , 1700,<500 ,<200 , 1900,<1000 ,<200 , 2000,<1000 ,<200 , 2300,<1000 ,<500 , 2500,<1000 ,<500 , 2600,1000 ,<500 , 2900,1200 ,<500 , 3200,1300 ,<500 , 3400,1400 ,<500 , 3700,1600 ,<1000 , 4000,1700 ,<1000 , 4200,1800 ,<1000 , 4400,1900 ,<1000 , 4800,2000 ,<1000 , 5000,2200 ,<1000 , 5100,2300 ,1000 , 5400,2500 ,1100 , 5600,2600 ,1200 , 5800,2800 ,1300 , 5900,3000 ,1300 , 6100,3200 ,1500 , 6500,3600 ,1700 , 7000,4100 ,1900 , 7700,4700 ,2200 , 8600,5300 ,2600 , 9900,5900 ,2900 , 11 000,6700 ,3300 , 12 000,7400 ,3700 , 14 000
Adamawa,<1000 ,<200 , 1700,<1000 ,<200 , 2000,<1000 ,<500 , 2300,1100 ,<500 , 2600,1200 ,<500 , 3000,1400 ,<1000 , 3200,1500 ,<1000 , 3500,1700 ,<1000 , 4200,1800 ,<1000 , 4500,1900 ,<1000 , 4600,2000 ,<1000 , 4900,2000 ,<1000 , 5200,2100 ,<1000 , 5300,2100 ,<1000 , 5400,2200 ,<1000 , 5400,2300 ,1000 , 5600,2500 ,1100 , 5800,2700 ,1300 , 6200,2900 ,1400 , 6500,3200 ,1600 , 7000,3500 ,1700 , 7500,3800 ,1900 , 8100,4200 ,2100 , 8800,4600 ,2300 , 9600,5000 ,2600 , 10 000,5400 ,2900 , 11 000,5900 ,3200 , 12 000,6400 ,3600 , 13 000,6800 ,4000 , 14 000,7300 ,4300 , 14 000
Akwa Ibom,2600 ,<1000 , 7800,3300 ,1100 , 8900,4000 ,1400 , 10 000,4800 ,1700 , 12 000,5500 ,2000 , 13 000,6100 ,2300 , 14 000,6700 ,2800 , 15 000,7400 ,3200 , 17 000,7900 ,3600 , 18 000,8400 ,3800 , 19 000,8900 ,4200 , 20 000,9300 ,4400 , 20 000,9600 ,4500 , 21 000,9900 ,4600 , 21 000,10 000 ,4800 , 21 000,11 000 ,5100 , 22 000,12 000 ,5400 , 23 000,13 000 ,5900 , 25 000,14 000 ,6700 , 27 000,15 000 ,7700 , 29 000,17 000 ,8700 , 32 000,18 000 ,9700 , 34 000,20 000 ,11 000 , 37 000,22 000 ,12 000 , 40 000,25 000 ,13 000 , 43 000,27 000 ,14 000 , 47 000,29 000 ,16 000 , 49 000,31 000 ,17 000 , 53 000,34 000 ,19 000 , 56 000,36 000 ,21 000 , 60 000
Anambra,<500 ,<100 , <1000,<500 ,<200 , 1100,<500 ,<200 , 1300,<1000 ,<200 , 1700,<1000 ,<500 , 1900,<1000 ,<500 , 2300,<1000 ,<500 , 2700,1200 ,<500 , 3200,1400 ,<1000 , 3500,1600 ,<1000 , 4000,1800 ,<1000 , 4500,2000 ,<1000 , 5000,2100 ,<1000 , 5300,2300 ,<1000 , 5700,2500 ,1000 , 6000,2800 ,1100 , 6500,3000 ,1300 , 7000,3300 ,1400 , 7400,3700 ,1600 , 7800,4100 ,1800 , 8500,4500 ,2000 , 9200,4900 ,2200 , 10 000,5400 ,2400 , 11 000,5900 ,2500 , 11 000,6500 ,2900 , 12 000,7300 ,3300 , 14 000,8100 ,3600 , 15 000,9000 ,4000 , 17 000,9900 ,4600 , 19 000,11 000 ,5100 , 21 000
Bauchi,<1000 ,<200 , 3000,<1000 ,<200 , 3400,1100 ,<500 , 3800,1300 ,<500 , 4100,1400 ,<500 , 4300,1500 ,<500 , 4400,1600 ,<1000 , 4400,1700 ,<1000 , 4700,1800 ,<1000 , 4700,1800 ,<1000 , 4900,1800 ,<1000 , 4900,1800 ,<1000 , 4900,1800 ,<1000 , 5000,1800 ,<1000 , 4700,1800 ,<1000 , 4600,1800 ,<1000 , 4600,1900 ,<1000 , 4800,2000 ,<1000 , 4900,2100 ,<1000 , 5200,2300 ,1000 , 5700,2500 ,1200 , 6100,2700 ,1300 , 6600,2900 ,1400 , 7100,3100 ,1500 , 7400,3400 ,1700 , 7600,3700 ,1900 , 7900,4000 ,2100 , 8300,4300 ,2300 , 8600,4600 ,2500 , 8800,4900 ,2600 , 9100
Bayelsa,<200 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , 1100,<500 ,<200 , 1200,<500 ,<200 , 1400,<1000 ,<200 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2300,1000 ,<500 , 2500,1100 ,<500 , 2600,1200 ,<1000 , 2800,1300 ,<1000 , 3000,1400 ,<1000 , 3200,1500 ,<1000 , 3300,1700 ,<1000 , 3500,1800 ,<1000 , 3700,1900 ,<1000 , 3900,2100 ,1000 , 4200,2200 ,1100 , 4400,2400 ,1200 , 4700,2600 ,1400 , 5100,2800 ,1500 , 5600,3100 ,1700 , 6000
Benue,<1000 ,<500 , 2500,1200 ,<500 , 3000,1600 ,<1000 , 3900,2000 ,<1000 , 4700,2500 ,<1000 , 5900,3000 ,1100 , 7300,3600 ,1300 , 8600,4200 ,1600 , 9700,4800 ,1800 , 11 000,5400 ,2100 , 12 000,6000 ,2400 , 14 000,6500 ,2600 , 15 000,7000 ,2800 , 15 000,7500 ,3000 , 17 000,8000 ,3300 , 18 000,8600 ,3600 , 19 000,9100 ,3900 , 20 000,9600 ,4300 , 20 000,10 000 ,4600 , 21 000,11 000 ,4900 , 21 000,11 000 ,5200 , 22 000,12 000 ,5500 , 23 000,12 000 ,6000 , 24 000,14 000 ,6600 , 26 000,15 000 ,7400 , 29 000,17 000 ,8200 , 32 000,19 000 ,9200 , 35 000,21 000 ,10 000 , 39 000,23 000 ,11 000 , 43 000,25 000 ,13 000 , 47 000
Borno,<500 ,<100 , <1000,<500 ,<100 , 1000,<500 ,<200 , 1100,<500 ,<200 , 1300,<500 ,<200 , 1400,<500 ,<200 , 1400,<1000 ,<200 , 1500,<1000 ,<200 , 1600,<1000 ,<200 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<500 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2400,1000 ,<500 , 2600,1100 ,<1000 , 2900,1300 ,<1000 , 3100,1400 ,<1000 , 3300,1600 ,<1000 , 3500,1800 ,<1000 , 4000,2000 ,<1000 , 4400,2300 ,1100 , 4900,2600 ,1300 , 5500,2900 ,1500 , 6000
Cross River,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<500 ,<200 , 1400,<1000 ,<500 , 1800,<1000 ,<500 , 2100,<1000 ,<500 , 2600,1100 ,<500 , 3000,1200 ,<500 , 3400,1400 ,<1000 , 3700,1500 ,<1000 , 4100,1600 ,<1000 , 4300,1800 ,<1000 , 4400,1900 ,<1000 , 4400,2100 ,<1000 , 4700,2200 ,<1000 , 4800,2400 ,1100 , 4900,2700 ,1200 , 5300,3000 ,1400 , 5800,3300 ,1500 , 6500,3600 ,1700 , 7200,4000 ,2000 , 7800,4400 ,2200 , 8500,4800 ,2400 , 9000,5300 ,2700 , 9600,5700 ,3000 , 10 000,6300 ,3400 , 11 000,6800 ,3800 , 12 000,7400 ,4200 , 13 000
Delta,<1000 ,<500 , 2100,<1000 ,<500 , 2700,1000 ,<500 , 3200,1200 ,<500 , 3500,1400 ,<1000 , 3900,1600 ,<1000 , 4300,1700 ,<1000 , 4600,1900 ,<1000 , 4900,2000 ,<1000 , 5000,2200 ,<1000 , 5200,2300 ,<1000 , 5400,2400 ,<1000 , 5500,2500 ,<1000 , 5700,2600 ,1000 , 5900,2700 ,1100 , 6100,2800 ,1200 , 6400,2900 ,1300 , 6700,3100 ,1300 , 7100,3300 ,1500 , 7200,3600 ,1700 , 7300,3800 ,1800 , 7700,4100 ,2000 , 8100,4400 ,2200 , 8600,4800 ,2400 , 9200,5200 ,2700 , 10 000,5700 ,3000 , 11 000,6300 ,3400 , 12 000,6900 ,3700 , 13 000,7500 ,4100 , 14 000,8200 ,4600 , 15 000
