States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,3700 ,<1000 , 12 000,4500 ,1100 , 13 000,5600 ,1500 , 16 000,6700 ,2000 , 18 000,7900 ,2700 , 20 000,9300 ,3500 , 22 000,11 000 ,4400 , 24 000,12 000 ,5000 , 26 000,14 000 ,5800 , 29 000,15 000 ,6600 , 30 000,17 000 ,8100 , 31 000,18 000 ,9300 , 33 000,20 000 ,10 000 , 34 000,21 000 ,11 000 , 35 000,22 000 ,12 000 , 37 000,24 000 ,13 000 , 38 000,25 000 ,15 000 , 40 000,26 000 ,16 000 , 42 000,28 000 ,17 000 , 43 000,30 000 ,19 000 , 44 000,31 000 ,20 000 , 46 000,33 000 ,22 000 , 47 000,35 000 ,26 000 , 48 000,37 000 ,28 000 , 49 000,40 000 ,31 000 , 51 000,43 000 ,34 000 , 53 000,46 000 ,37 000 , 56 000,49 000 ,39 000 , 60 000,52 000 ,42 000 , 64 000,55 000 ,43 000 , 68 000
Adamawa,7000 ,2300 , 16 000,8700 ,3000 , 20 000,10 000 ,4100 , 23 000,12 000 ,5400 , 25 000,14 000 ,6700 , 27 000,16 000 ,8200 , 30 000,18 000 ,9900 , 32 000,19 000 ,11 000 , 33 000,20 000 ,13 000 , 35 000,21 000 ,14 000 , 36 000,22 000 ,14 000 , 36 000,23 000 ,15 000 , 37 000,23 000 ,16 000 , 37 000,24 000 ,16 000 , 36 000,24 000 ,17 000 , 36 000,24 000 ,17 000 , 36 000,25 000 ,18 000 , 37 000,25 000 ,19 000 , 37 000,26 000 ,20 000 , 38 000,27 000 ,20 000 , 38 000,27 000 ,21 000 , 39 000,28 000 ,21 000 , 39 000,29 000 ,22 000 , 40 000,29 000 ,22 000 , 41 000,30 000 ,22 000 , 41 000,30 000 ,23 000 , 42 000,30 000 ,23 000 , 42 000,31 000 ,23 000 , 42 000,31 000 ,23 000 , 43 000,31 000 ,22 000 , 43 000
Akwa Ibom,30 000 ,12 000 , 62 000,37 000 ,15 000 , 73 000,45 000 ,21 000 , 86 000,53 000 ,28 000 , 92 000,61 000 ,36 000 , 100 000,66 000 ,41 000 , 110 000,72 000 ,46 000 , 120 000,78 000 ,50 000 , 120 000,83 000 ,55 000 , 120 000,88 000 ,61 000 , 130 000,92 000 ,66 000 , 130 000,95 000 ,70 000 , 130 000,98 000 ,74 000 , 130 000,100 000 ,77 000 , 140 000,100 000 ,80 000 , 140 000,110 000 ,83 000 , 140 000,110 000 ,86 000 , 140 000,110 000 ,91 000 , 150 000,120 000 ,95 000 , 150 000,120 000 ,99 000 , 160 000,130 000 ,100 000 , 160 000,140 000 ,110 000 , 170 000,140 000 ,110 000 , 170 000,150 000 ,120 000 , 180 000,160 000 ,130 000 , 190 000,160 000 ,130 000 , 190 000,170 000 ,140 000 , 200 000,170 000 ,140 000 , 200 000,180 000 ,150 000 , 200 000,180 000 ,150 000 , 210 000
Anambra,2900 ,<1000 , 7300,3800 ,1300 , 8900,5000 ,2100 , 11 000,6500 ,3100 , 13 000,8200 ,4400 , 16 000,10 000 ,5900 , 19 000,12 000 ,7400 , 22 000,14 000 ,9000 , 25 000,17 000 ,11 000 , 29 000,19 000 ,12 000 , 32 000,22 000 ,14 000 , 36 000,24 000 ,16 000 , 39 000,27 000 ,17 000 , 41 000,29 000 ,19 000 , 44 000,31 000 ,21 000 , 48 000,34 000 ,23 000 , 50 000,37 000 ,25 000 , 53 000,39 000 ,27 000 , 57 000,42 000 ,30 000 , 61 000,45 000 ,32 000 , 65 000,48 000 ,35 000 , 69 000,52 000 ,39 000 , 72 000,55 000 ,41 000 , 75 000,58 000 ,45 000 , 77 000,62 000 ,48 000 , 83 000,66 000 ,52 000 , 88 000,70 000 ,55 000 , 92 000,74 000 ,58 000 , 97 000,79 000 ,61 000 , 110 000,83 000 ,64 000 , 110 000
Bauchi,8900 ,1800 , 26 000,11 000 ,2500 , 30 000,12 000 ,3200 , 32 000,14 000 ,4100 , 33 000,15 000 ,5600 , 35 000,17 000 ,7000 , 38 000,18 000 ,8200 , 39 000,19 000 ,9000 , 39 000,19 000 ,9900 , 39 000,19 000 ,11 000 , 38 000,19 000 ,11 000 , 37 000,19 000 ,11 000 , 37 000,19 000 ,11 000 , 36 000,19 000 ,11 000 , 35 000,18 000 ,11 000 , 34 000,18 000 ,11 000 , 33 000,18 000 ,11 000 , 33 000,18 000 ,11 000 , 32 000,18 000 ,11 000 , 32 000,18 000 ,11 000 , 31 000,19 000 ,11 000 , 32 000,19 000 ,11 000 , 32 000,19 000 ,11 000 , 32 000,20 000 ,11 000 , 32 000,20 000 ,11 000 , 32 000,20 000 ,11 000 , 33 000,20 000 ,12 000 , 33 000,20 000 ,12 000 , 34 000,20 000 ,11 000 , 34 000,20 000 ,12 000 , 35 000
Bayelsa,1800 ,<500 , 4800,2300 ,<1000 , 5600,2800 ,<1000 , 6600,3300 ,1200 , 8000,3900 ,1500 , 9100,4600 ,1800 , 10 000,5300 ,2300 , 11 000,5900 ,2700 , 12 000,6700 ,3200 , 13 000,7400 ,3800 , 14 000,8100 ,4400 , 15 000,8800 ,4900 , 16 000,9400 ,5500 , 16 000,10 000 ,6200 , 17 000,11 000 ,6800 , 17 000,11 000 ,7500 , 18 000,12 000 ,8000 , 19 000,13 000 ,8500 , 19 000,13 000 ,9200 , 20 000,14 000 ,9900 , 20 000,15 000 ,11 000 , 21 000,16 000 ,11 000 , 22 000,16 000 ,12 000 , 22 000,17 000 ,13 000 , 22 000,18 000 ,14 000 , 23 000,18 000 ,14 000 , 23 000,19 000 ,15 000 , 24 000,20 000 ,15 000 , 25 000,21 000 ,16 000 , 26 000,22 000 ,17 000 , 27 000
Benue,11 000 ,4600 , 20 000,14 000 ,6100 , 26 000,18 000 ,8900 , 32 000,23 000 ,12 000 , 39 000,29 000 ,14 000 , 46 000,35 000 ,18 000 , 55 000,41 000 ,22 000 , 65 000,47 000 ,26 000 , 74 000,54 000 ,30 000 , 83 000,61 000 ,34 000 , 91 000,67 000 ,39 000 , 98 000,73 000 ,45 000 , 110 000,78 000 ,50 000 , 110 000,83 000 ,56 000 , 120 000,88 000 ,61 000 , 120 000,94 000 ,68 000 , 130 000,99 000 ,75 000 , 140 000,100 000 ,80 000 , 140 000,110 000 ,86 000 , 150 000,110 000 ,89 000 , 150 000,120 000 ,94 000 , 150 000,120 000 ,97 000 , 150 000,130 000 ,100 000 , 150 000,130 000 ,110 000 , 160 000,140 000 ,110 000 , 170 000,140 000 ,120 000 , 170 000,150 000 ,120 000 , 180 000,150 000 ,120 000 , 180 000,160 000 ,130 000 , 190 000,170 000 ,130 000 , 200 000
Borno,13 000 ,4800 , 35 000,16 000 ,6100 , 40 000,18 000 ,7800 , 44 000,21 000 ,9400 , 48 000,23 000 ,10 000 , 50 000,25 000 ,11 000 , 54 000,26 000 ,12 000 , 58 000,28 000 ,12 000 , 58 000,29 000 ,13 000 , 59 000,29 000 ,14 000 , 60 000,30 000 ,15 000 , 61 000,30 000 ,16 000 , 61 000,31 000 ,16 000 , 62 000,31 000 ,16 000 , 62 000,31 000 ,16 000 , 61 000,31 000 ,16 000 , 62 000,31 000 ,17 000 , 63 000,32 000 ,18 000 , 63 000,33 000 ,18 000 , 64 000,33 000 ,19 000 , 64 000,34 000 ,19 000 , 65 000,35 000 ,20 000 , 65 000,36 000 ,21 000 , 65 000,36 000 ,21 000 , 65 000,37 000 ,21 000 , 66 000,38 000 ,22 000 , 69 000,38 000 ,22 000 , 71 000,39 000 ,23 000 , 72 000,40 000 ,23 000 , 73 000,41 000 ,23 000 , 73 000
Cross River,2000 ,<1000 , 5000,2600 ,1100 , 5900,3500 ,1600 , 7200,4600 ,2400 , 8900,5900 ,3400 , 11 000,7300 ,4400 , 13 000,9000 ,5600 , 15 000,11 000 ,6800 , 18 000,13 000 ,8100 , 21 000,14 000 ,9500 , 24 000,16 000 ,11 000 , 27 000,18 000 ,12 000 , 28 000,19 000 ,13 000 , 30 000,20 000 ,14 000 , 32 000,22 000 ,16 000 , 34 000,23 000 ,17 000 , 35 000,24 000 ,18 000 , 36 000,25 000 ,19 000 , 37 000,27 000 ,21 000 , 38 000,28 000 ,22 000 , 38 000,30 000 ,24 000 , 40 000,31 000 ,25 000 , 41 000,33 000 ,27 000 , 42 000,34 000 ,28 000 , 43 000,35 000 ,29 000 , 45 000,36 000 ,29 000 , 47 000,38 000 ,29 000 , 48 000,39 000 ,30 000 , 49 000,40 000 ,31 000 , 51 000,41 000 ,31 000 , 53 000
Delta,11 000 ,6300 , 21 000,13 000 ,8200 , 24 000,16 000 ,9700 , 27 000,18 000 ,11 000 , 31 000,21 000 ,13 000 , 34 000,23 000 ,15 000 , 38 000,25 000 ,16 000 , 42 000,27 000 ,17 000 , 45 000,29 000 ,18 000 , 49 000,31 000 ,20 000 , 52 000,32 000 ,21 000 , 54 000,34 000 ,22 000 , 55 000,35 000 ,23 000 , 56 000,36 000 ,24 000 , 57 000,37 000 ,25 000 , 57 000,38 000 ,27 000 , 58 000,39 000 ,28 000 , 58 000,40 000 ,29 000 , 60 000,41 000 ,30 000 , 61 000,42 000 ,31 000 , 62 000,44 000 ,33 000 , 64 000,45 000 ,35 000 , 65 000,47 000 ,36 000 , 65 000,48 000 ,37 000 , 67 000,50 000 ,39 000 , 68 000,52 000 ,40 000 , 69 000,53 000 ,42 000 , 69 000,55 000 ,43 000 , 71 000,57 000 ,44 000 , 73 000,58 000 ,45 000 , 76 000
