States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<1000 ,<200 , 2400,<1000 ,<200 , 2800,<1000 ,<500 , 3000,1100 ,<500 , 2900,1300 ,<500 , 3200,1500 ,<1000 , 3700,1700 ,<1000 , 4000,1900 ,<1000 , 4300,2000 ,<1000 , 4600,2200 ,<1000 , 4700,2300 ,<1000 , 4800,2400 ,<1000 , 4900,2500 ,<1000 , 5000,2600 ,1000 , 5000,2700 ,1100 , 5000,2800 ,1100 , 5000,2900 ,1200 , 5100,3100 ,1300 , 5400,3300 ,1400 , 5700,3600 ,1500 , 5900,3800 ,1600 , 6100,4100 ,1700 , 6400,4300 ,1800 , 6700,4600 ,2000 , 7100,4900 ,2100 , 7600,5100 ,2200 , 8100,5300 ,2300 , 8500,5500 ,2500 , 9000,5700 ,2600 , 10 000,6000 ,2800 , 11 000
Adamawa,1400 ,<500 , 3700,1700 ,<1000 , 4400,2000 ,<1000 , 4900,2400 ,<1000 , 5600,2700 ,1200 , 5900,3000 ,1300 , 6100,3000 ,1300 , 5900,3100 ,1200 , 5700,3100 ,1200 , 5600,3000 ,1200 , 5500,2900 ,1200 , 5100,2800 ,1100 , 4900,2700 ,1100 , 4800,2600 ,1100 , 4500,2500 ,1100 , 4300,2500 ,1100 , 4200,2400 ,1100 , 4100,2400 ,1100 , 4100,2400 ,1100 , 4100,2400 ,1100 , 4100,2400 ,1100 , 4200,2400 ,1100 , 4200,2400 ,1100 , 4200,2400 ,1200 , 4100,2400 ,1200 , 4200,2400 ,1300 , 4200,2400 ,1200 , 4300,2300 ,1200 , 4200,2300 ,1200 , 4200,2200 ,1100 , 4100
Akwa Ibom,6200 ,2300 , 15 000,7400 ,2800 , 18 000,8600 ,3400 , 18 000,9700 ,4200 , 20 000,11 000 ,4600 , 21 000,11 000 ,4800 , 21 000,11 000 ,4900 , 20 000,11 000 ,4900 , 20 000,12 000 ,4900 , 20 000,12 000 ,4700 , 20 000,12 000 ,4700 , 20 000,11 000 ,4800 , 19 000,11 000 ,4800 , 19 000,11 000 ,4700 , 18 000,11 000 ,4700 , 18 000,11 000 ,4800 , 18 000,11 000 ,5000 , 18 000,12 000 ,5100 , 18 000,12 000 ,5200 , 19 000,12 000 ,5400 , 19 000,13 000 ,5600 , 20 000,13 000 ,5900 , 20 000,14 000 ,6100 , 21 000,14 000 ,6300 , 21 000,14 000 ,6600 , 22 000,15 000 ,7000 , 23 000,15 000 ,7300 , 24 000,16 000 ,7400 , 24 000,16 000 ,7500 , 25 000,16 000 ,7600 , 25 000
Anambra,<1000 ,<500 , 1800,<1000 ,<500 , 2200,1200 ,<1000 , 2700,1600 ,<1000 , 3300,2000 ,<1000 , 4000,2500 ,1000 , 5000,2900 ,1200 , 5800,3400 ,1500 , 6600,3800 ,1600 , 7500,4200 ,1800 , 8300,4600 ,2000 , 8700,4900 ,2100 , 9300,5100 ,2300 , 9600,5400 ,2400 , 10 000,5600 ,2500 , 10 000,5800 ,2700 , 11 000,6000 ,2800 , 11 000,6300 ,2800 , 11 000,6600 ,2800 , 11 000,6900 ,3000 , 12 000,7300 ,3100 , 12 000,7700 ,3400 , 13 000,8100 ,3800 , 13 000,8500 ,3900 , 14 000,8900 ,4000 , 15 000,9100 ,4100 , 15 000,9400 ,4200 , 16 000,9700 ,4300 , 16 000,10 000 ,4400 , 17 000,10 000 ,4600 , 18 000
Bauchi,1700 ,<500 , 5700,2000 ,<1000 , 6200,2300 ,<1000 , 6700,2500 ,<1000 , 6900,2600 ,1000 , 7000,2700 ,1200 , 6900,2800 ,1200 , 6800,2700 ,1100 , 6300,2500 ,1000 , 5800,2400 ,<1000 , 5400,2200 ,<1000 , 4900,2100 ,<1000 , 4400,1900 ,<1000 , 4100,1800 ,<1000 , 3900,1700 ,<1000 , 3700,1700 ,<1000 , 3500,1600 ,<1000 , 3300,1600 ,<1000 , 3100,1600 ,<1000 , 3100,1600 ,<1000 , 3200,1700 ,<1000 , 3300,1700 ,<1000 , 3400,1700 ,<1000 , 3400,1700 ,<1000 , 3400,1700 ,<1000 , 3400,1700 ,<1000 , 3400,1600 ,<1000 , 3400,1600 ,<1000 , 3300,1500 ,<1000 , 3200,1400 ,<1000 , 3100
Bayelsa,<500 ,<100 , <1000,<500 ,<200 , 1200,<1000 ,<200 , 1400,<1000 ,<500 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 2100,1000 ,<500 , 2200,1100 ,<500 , 2300,1200 ,<500 , 2500,1300 ,<1000 , 2500,1300 ,<1000 , 2500,1400 ,<1000 , 2500,1400 ,<1000 , 2600,1500 ,<1000 , 2600,1500 ,<1000 , 2700,1500 ,<1000 , 2700,1600 ,<1000 , 2700,1600 ,<1000 , 2800,1700 ,<1000 , 2900,1800 ,<1000 , 3000,1800 ,<1000 , 3100,1900 ,<1000 , 3200,2000 ,<1000 , 3200,2000 ,<1000 , 3300,2100 ,<1000 , 3400,2200 ,<1000 , 3400,2200 ,1000 , 3500,2300 ,1000 , 3700,2300 ,1100 , 3700
Benue,2200 ,<1000 , 4500,2900 ,1100 , 5500,3700 ,1500 , 6700,4500 ,1800 , 8400,5500 ,2200 , 10 000,6600 ,2600 , 12 000,7500 ,3000 , 13 000,8400 ,3400 , 15 000,9200 ,3900 , 17 000,10 000 ,4300 , 18 000,11 000 ,4700 , 19 000,11 000 ,5000 , 20 000,11 000 ,5100 , 20 000,11 000 ,5200 , 20 000,12 000 ,5200 , 20 000,13 000 ,5300 , 21 000,13 000 ,5500 , 21 000,14 000 ,5700 , 22 000,14 000 ,5900 , 23 000,15 000 ,6100 , 24 000,15 000 ,6400 , 24 000,15 000 ,6600 , 25 000,16 000 ,6800 , 25 000,16 000 ,6900 , 25 000,16 000 ,6900 , 25 000,15 000 ,6900 , 24 000,15 000 ,6900 , 23 000,15 000 ,7000 , 23 000,15 000 ,7300 , 23 000,15 000 ,7600 , 23 000
Borno,7000 ,2300 , 21 000,8200 ,2900 , 24 000,9200 ,3300 , 25 000,10 000 ,3600 , 27 000,11 000 ,4000 , 29 000,12 000 ,4400 , 30 000,12 000 ,4400 , 29 000,11 000 ,4300 , 30 000,11 000 ,4100 , 28 000,10 000 ,3700 , 26 000,9700 ,3700 , 24 000,9200 ,3500 , 23 000,8800 ,3500 , 22 000,8500 ,3300 , 20 000,8300 ,3300 , 20 000,8000 ,3400 , 19 000,8000 ,3400 , 19 000,8000 ,3400 , 19 000,8100 ,3500 , 18 000,8200 ,3600 , 18 000,8300 ,3700 , 18 000,8400 ,3900 , 19 000,8500 ,4000 , 18 000,8600 ,4000 , 18 000,8400 ,4000 , 18 000,8200 ,3900 , 17 000,8100 ,3800 , 17 000,7900 ,3700 , 17 000,7900 ,3600 , 17 000,7800 ,3600 , 17 000
Cross River,<500 ,<200 , 1000,<1000 ,<200 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1900,1100 ,<1000 , 2300,1400 ,<1000 , 2800,1600 ,<1000 , 3200,1900 ,<1000 , 3700,2200 ,<1000 , 4200,2400 ,1000 , 4600,2500 ,1100 , 4800,2600 ,1200 , 4900,2700 ,1200 , 5000,2700 ,1200 , 5000,2800 ,1200 , 5000,2800 ,1200 , 5000,2800 ,1200 , 4900,2700 ,1200 , 4800,2800 ,1200 , 4800,2900 ,1200 , 4700,2900 ,1300 , 4700,3000 ,1400 , 4900,3200 ,1500 , 5100,3300 ,1600 , 5200,3300 ,1600 , 5300,3300 ,1600 , 5400,3300 ,1600 , 5400,3400 ,1600 , 5500,3400 ,1600 , 5600,3400 ,1600 , 5600
Delta,2900 ,1200 , 6300,3400 ,1400 , 6900,3900 ,1700 , 7600,4400 ,1800 , 8900,4800 ,1900 , 9200,5200 ,2000 , 9700,5400 ,2200 , 10 000,5600 ,2200 , 10 000,5700 ,2200 , 10 000,5800 ,2200 , 11 000,5900 ,2200 , 11 000,5900 ,2300 , 11 000,5900 ,2300 , 11 000,5900 ,2300 , 10 000,5900 ,2300 , 11 000,5900 ,2400 , 11 000,6000 ,2500 , 11 000,6100 ,2600 , 11 000,6200 ,2700 , 11 000,6300 ,2800 , 11 000,6500 ,2900 , 11 000,6700 ,3100 , 11 000,6900 ,3100 , 11 000,7100 ,3200 , 12 000,7200 ,3200 , 12 000,7300 ,3200 , 12 000,7300 ,3200 , 12 000,7300 ,3400 , 12 000,7400 ,3500 , 12 000,7500 ,3600 , 13 000
