States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,1300 ,<500 , 4200,1700 ,<500 , 4800,2100 ,<1000 , 5900,2600 ,<1000 , 6900,3200 ,1100 , 8000,3800 ,1400 , 9000,4400 ,1800 , 10 000,5100 ,2100 , 11 000,5800 ,2400 , 12 000,6400 ,2800 , 13 000,7100 ,3400 , 13 000,7700 ,3900 , 14 000,8300 ,4400 , 15 000,8900 ,4900 , 15 000,9400 ,5200 , 16 000,10 000 ,5700 , 16 000,11 000 ,6200 , 17 000,11 000 ,6800 , 18 000,12 000 ,7400 , 18 000,13 000 ,8100 , 18 000,13 000 ,8900 , 20 000,14 000 ,9900 , 20 000,15 000 ,11 000 , 21 000,16 000 ,12 000 , 22 000,18 000 ,14 000 , 23 000,19 000 ,15 000 , 24 000,20 000 ,16 000 , 25 000,22 000 ,17 000 , 27 000,23 000 ,18 000 , 29 000,24 000 ,19 000 , 31 000
Adamawa,3100 ,1000 , 7000,3900 ,1400 , 8700,4700 ,1900 , 9900,5600 ,2500 , 11 000,6600 ,3100 , 12 000,7400 ,3900 , 13 000,8200 ,4700 , 15 000,8800 ,5400 , 15 000,9400 ,5900 , 16 000,9900 ,6400 , 16 000,10 000 ,6900 , 17 000,11 000 ,7100 , 17 000,11 000 ,7300 , 17 000,11 000 ,7600 , 17 000,11 000 ,7700 , 17 000,11 000 ,8000 , 16 000,11 000 ,8300 , 17 000,11 000 ,8600 , 17 000,12 000 ,8800 , 17 000,12 000 ,9100 , 17 000,12 000 ,9300 , 18 000,12 000 ,9500 , 18 000,13 000 ,9600 , 18 000,13 000 ,9700 , 18 000,13 000 ,9800 , 18 000,13 000 ,9800 , 18 000,13 000 ,9700 , 18 000,13 000 ,9600 , 18 000,13 000 ,9400 , 18 000,13 000 ,9300 , 18 000
Akwa Ibom,12 000 ,4500 , 24 000,15 000 ,6300 , 29 000,18 000 ,8900 , 34 000,22 000 ,12 000 , 39 000,26 000 ,16 000 , 44 000,28 000 ,18 000 , 47 000,31 000 ,20 000 , 51 000,34 000 ,22 000 , 53 000,37 000 ,25 000 , 54 000,39 000 ,28 000 , 57 000,41 000 ,30 000 , 59 000,43 000 ,31 000 , 61 000,44 000 ,33 000 , 61 000,45 000 ,35 000 , 62 000,47 000 ,36 000 , 63 000,48 000 ,37 000 , 64 000,50 000 ,39 000 , 66 000,52 000 ,41 000 , 67 000,54 000 ,43 000 , 69 000,56 000 ,45 000 , 72 000,59 000 ,47 000 , 75 000,61 000 ,50 000 , 77 000,64 000 ,52 000 , 79 000,66 000 ,54 000 , 82 000,69 000 ,56 000 , 85 000,72 000 ,59 000 , 88 000,74 000 ,61 000 , 90 000,76 000 ,63 000 , 91 000,79 000 ,65 000 , 94 000,81 000 ,66 000 , 95 000
Anambra,1100 ,<500 , 2700,1600 ,<1000 , 3400,2100 ,<1000 , 4300,2800 ,1400 , 5500,3600 ,2000 , 6900,4500 ,2600 , 8300,5500 ,3300 , 9700,6700 ,4000 , 11 000,7900 ,4900 , 13 000,9200 ,5700 , 15 000,10 000 ,6600 , 17 000,12 000 ,7600 , 18 000,13 000 ,8500 , 20 000,14 000 ,9300 , 21 000,15 000 ,10 000 , 22 000,16 000 ,11 000 , 24 000,18 000 ,12 000 , 25 000,19 000 ,13 000 , 27 000,20 000 ,14 000 , 29 000,22 000 ,16 000 , 30 000,23 000 ,17 000 , 32 000,25 000 ,19 000 , 35 000,27 000 ,20 000 , 36 000,28 000 ,23 000 , 38 000,30 000 ,24 000 , 41 000,32 000 ,25 000 , 43 000,34 000 ,27 000 , 45 000,36 000 ,28 000 , 48 000,38 000 ,30 000 , 51 000,41 000 ,31 000 , 54 000
Bauchi,3300 ,<1000 , 9800,4100 ,<1000 , 11 000,4900 ,1300 , 12 000,5700 ,1800 , 13 000,6400 ,2500 , 15 000,7000 ,2900 , 15 000,7600 ,3500 , 16 000,7900 ,4000 , 16 000,8200 ,4400 , 17 000,8400 ,4700 , 16 000,8400 ,4700 , 16 000,8400 ,4700 , 16 000,8400 ,4800 , 15 000,8200 ,4800 , 15 000,8100 ,4700 , 15 000,8100 ,4700 , 14 000,8000 ,4600 , 14 000,8000 ,4700 , 14 000,8000 ,4700 , 14 000,8200 ,4800 , 14 000,8300 ,4900 , 14 000,8400 ,4900 , 14 000,8500 ,5000 , 14 000,8600 ,5000 , 14 000,8600 ,5000 , 14 000,8600 ,5000 , 14 000,8500 ,4900 , 14 000,8500 ,4900 , 14 000,8300 ,4800 , 14 000,8200 ,4600 , 13 000
Bayelsa,<1000 ,<200 , 1700,<1000 ,<500 , 2100,1100 ,<500 , 2700,1400 ,<1000 , 3400,1600 ,<1000 , 3900,1900 ,<1000 , 4500,2300 ,1000 , 5100,2600 ,1200 , 5600,3000 ,1400 , 6000,3300 ,1700 , 6400,3700 ,2000 , 6700,4000 ,2300 , 7200,4300 ,2600 , 7400,4600 ,2900 , 7600,4900 ,3200 , 7800,5200 ,3400 , 8100,5500 ,3700 , 8300,5800 ,3900 , 8700,6100 ,4200 , 8900,6500 ,4500 , 9500,6800 ,4900 , 9800,7200 ,5200 , 10 000,7500 ,5600 , 10 000,7900 ,6000 , 10 000,8200 ,6400 , 10 000,8600 ,6600 , 11 000,9000 ,6900 , 11 000,9400 ,7300 , 12 000,9700 ,7500 , 12 000,10 000 ,7700 , 13 000
Benue,4200 ,1800 , 7700,5700 ,2500 , 10 000,7500 ,3400 , 13 000,9700 ,4900 , 16 000,12 000 ,6300 , 20 000,15 000 ,7700 , 24 000,18 000 ,9500 , 28 000,21 000 ,12 000 , 33 000,24 000 ,14 000 , 38 000,28 000 ,16 000 , 42 000,30 000 ,18 000 , 45 000,33 000 ,20 000 , 47 000,36 000 ,23 000 , 50 000,38 000 ,26 000 , 53 000,40 000 ,28 000 , 55 000,43 000 ,32 000 , 59 000,46 000 ,34 000 , 62 000,48 000 ,37 000 , 64 000,50 000 ,39 000 , 66 000,53 000 ,41 000 , 67 000,54 000 ,43 000 , 69 000,56 000 ,45 000 , 70 000,59 000 ,48 000 , 72 000,62 000 ,50 000 , 75 000,65 000 ,53 000 , 79 000,67 000 ,54 000 , 82 000,69 000 ,56 000 , 84 000,72 000 ,57 000 , 87 000,74 000 ,59 000 , 91 000,76 000 ,60 000 , 95 000
Borno,4900 ,1900 , 13 000,6000 ,2500 , 15 000,7200 ,3200 , 17 000,8300 ,3700 , 19 000,9400 ,4100 , 21 000,10 000 ,4500 , 23 000,11 000 ,5000 , 24 000,12 000 ,5300 , 25 000,12 000 ,5700 , 26 000,13 000 ,6100 , 26 000,13 000 ,6600 , 27 000,13 000 ,6900 , 27 000,13 000 ,7000 , 28 000,13 000 ,7000 , 27 000,14 000 ,7200 , 27 000,14 000 ,7200 , 27 000,14 000 ,7500 , 28 000,14 000 ,7800 , 28 000,14 000 ,8100 , 29 000,15 000 ,8400 , 29 000,15 000 ,8900 , 29 000,16 000 ,9400 , 30 000,16 000 ,9600 , 29 000,17 000 ,9800 , 30 000,17 000 ,10 000 , 30 000,17 000 ,9900 , 32 000,18 000 ,10 000 , 33 000,18 000 ,10 000 , 34 000,18 000 ,10 000 , 34 000,19 000 ,11 000 , 35 000
Cross River,<1000 ,<500 , 1800,1000 ,<500 , 2300,1400 ,<1000 , 2900,1900 ,1000 , 3700,2500 ,1500 , 4500,3100 ,1900 , 5500,3900 ,2500 , 6500,4700 ,3000 , 8100,5500 ,3700 , 9700,6400 ,4200 , 11 000,7100 ,4800 , 12 000,7800 ,5500 , 13 000,8400 ,5900 , 14 000,9000 ,6400 , 14 000,9500 ,7000 , 15 000,10 000 ,7600 , 15 000,10 000 ,8000 , 15 000,11 000 ,8500 , 16 000,12 000 ,9100 , 16 000,12 000 ,9600 , 17 000,13 000 ,10 000 , 17 000,13 000 ,11 000 , 18 000,14 000 ,11 000 , 18 000,15 000 ,12 000 , 19 000,15 000 ,12 000 , 19 000,16 000 ,12 000 , 20 000,16 000 ,12 000 , 21 000,16 000 ,12 000 , 21 000,17 000 ,13 000 , 22 000,17 000 ,13 000 , 22 000
Delta,3800 ,2300 , 7300,4900 ,3000 , 8800,5900 ,3700 , 11 000,7000 ,4400 , 12 000,8100 ,5200 , 14 000,9200 ,5900 , 15 000,10 000 ,6500 , 17 000,11 000 ,7100 , 19 000,12 000 ,7500 , 20 000,13 000 ,8200 , 21 000,14 000 ,8800 , 22 000,14 000 ,9300 , 23 000,15 000 ,9700 , 24 000,15 000 ,10 000 , 24 000,16 000 ,11 000 , 24 000,16 000 ,11 000 , 24 000,17 000 ,12 000 , 24 000,17 000 ,12 000 , 25 000,18 000 ,13 000 , 26 000,18 000 ,13 000 , 26 000,19 000 ,14 000 , 27 000,19 000 ,15 000 , 27 000,20 000 ,15 000 , 28 000,21 000 ,16 000 , 29 000,22 000 ,17 000 , 30 000,23 000 ,17 000 , 30 000,23 000 ,18 000 , 31 000,24 000 ,18 000 , 31 000,25 000 ,19 000 , 32 000,26 000 ,19 000 , 33 000
