States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<200 ,<100 , <1000,<500 ,<100 , 1000,<500 ,<100 , 1200,<500 ,<100 , 1300,<500 ,<100 , 1300,<500 ,<100 , 1400,<500 ,<200 , 1500,<1000 ,<200 , 1700,<1000 ,<200 , 1900,<1000 ,<200 , 2000,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2400,<1000 ,<500 , 2500,<1000 ,<500 , 2700,<1000 ,<500 , 2800,1000 ,<500 , 2900,1100 ,<500 , 2900,1200 ,<1000 , 3000,1300 ,<1000 , 3100,1300 ,<1000 , 3300,1400 ,<1000 , 3500,1500 ,<1000 , 3800,1700 ,<1000 , 4300,1900 ,<1000 , 5000,2100 ,1000 , 5600,2400 ,1100 , 6300,2700 ,1300 , 7100,3000 ,1400 , 7600,3300 ,1600 , 8100
Adamawa,<500 ,<100 , 1000,<500 ,<200 , 1200,<500 ,<200 , 1300,<1000 ,<200 , 1500,<1000 ,<500 , 1800,<1000 ,<500 , 2100,<1000 ,<500 , 2300,<1000 ,<500 , 2500,<1000 ,<500 , 2600,<1000 ,<500 , 2700,<1000 ,<500 , 2700,<1000 ,<500 , 2800,1000 ,<500 , 2800,1000 ,<500 , 2800,1100 ,<500 , 2900,1100 ,<500 , 3100,1200 ,<1000 , 3300,1300 ,<1000 , 3600,1400 ,<1000 , 3900,1600 ,<1000 , 4200,1700 ,<1000 , 4500,1900 ,<1000 , 4800,2000 ,<1000 , 5100,2200 ,1100 , 5400,2400 ,1200 , 5700,2600 ,1300 , 6000,2800 ,1500 , 6300,3000 ,1700 , 6700,3300 ,1800 , 7100,3500 ,2100 , 7500
Akwa Ibom,1600 ,<500 , 5300,2000 ,<1000 , 6000,2300 ,<1000 , 7000,2700 ,<1000 , 7900,3100 ,1100 , 8800,3400 ,1300 , 9400,3600 ,1500 , 9900,3900 ,1600 , 10 000,4200 ,1700 , 11 000,4400 ,1800 , 11 000,4600 ,1900 , 11 000,4700 ,2000 , 11 000,4800 ,2100 , 11 000,5000 ,2100 , 11 000,5100 ,2200 , 12 000,5400 ,2400 , 12 000,5700 ,2600 , 13 000,6200 ,2900 , 14 000,6800 ,3200 , 15 000,7400 ,3600 , 17 000,8200 ,4000 , 18 000,9000 ,4400 , 20 000,9900 ,4800 , 22 000,11 000 ,5400 , 24 000,12 000 ,6000 , 26 000,13 000 ,6600 , 27 000,14 000 ,7200 , 29 000,14 000 ,7900 , 30 000,15 000 ,8400 , 31 000,16 000 ,9100 , 31 000
Anambra,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1100,<500 ,<200 , 1200,<500 ,<200 , 1500,<1000 ,<200 , 1700,<1000 ,<500 , 2000,<1000 ,<500 , 2300,<1000 ,<500 , 2600,<1000 ,<500 , 2800,1000 ,<500 , 3000,1200 ,<500 , 3200,1300 ,<500 , 3400,1400 ,<1000 , 3600,1500 ,<1000 , 3900,1600 ,<1000 , 4200,1700 ,<1000 , 4500,1900 ,<1000 , 4900,2100 ,<1000 , 5300,2300 ,<1000 , 5700,2500 ,1000 , 6200,2800 ,1100 , 6800,3000 ,1200 , 7400,3300 ,1300 , 7900,3600 ,1500 , 9000,3900 ,1700 , 10 000,4400 ,1900 , 12 000,4800 ,2100 , 13 000,5300 ,2400 , 14 000,5700 ,2600 , 15 000
Bauchi,<500 ,<100 , 2100,<1000 ,<100 , 2300,<1000 ,<200 , 2300,<1000 ,<200 , 2500,<1000 ,<200 , 2700,<1000 ,<500 , 2800,<1000 ,<500 , 3000,<1000 ,<500 , 3000,<1000 ,<500 , 3000,<1000 ,<500 , 2900,<1000 ,<500 , 2800,<1000 ,<500 , 2700,<1000 ,<500 , 2800,<1000 ,<500 , 2800,<1000 ,<500 , 2800,<1000 ,<500 , 2900,<1000 ,<500 , 2900,<1000 ,<500 , 3000,1000 ,<500 , 3100,1100 ,<500 , 3100,1200 ,<1000 , 3300,1300 ,<1000 , 3500,1400 ,<1000 , 3700,1500 ,<1000 , 3900,1600 ,<1000 , 4100,1700 ,<1000 , 4300,1900 ,<1000 , 4500,2000 ,1000 , 4800,2100 ,1100 , 5000,2200 ,1200 , 5100
Bayelsa,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<500 ,<200 , 1300,<500 ,<200 , 1400,<500 ,<200 , 1500,<500 ,<200 , 1500,<500 ,<200 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2400,1000 ,<500 , 2500,1100 ,<1000 , 2600,1200 ,<1000 , 2700,1200 ,<1000 , 2800,1300 ,<1000 , 2800
Benue,<1000 ,<200 , 1600,<1000 ,<500 , 2000,<1000 ,<500 , 2400,1100 ,<500 , 3000,1400 ,<500 , 3600,1600 ,<1000 , 4200,1900 ,<1000 , 4900,2200 ,<1000 , 5500,2500 ,<1000 , 6000,2700 ,1100 , 6700,3000 ,1200 , 7600,3200 ,1300 , 8300,3500 ,1400 , 9000,3700 ,1600 , 9800,3900 ,1700 , 10 000,4100 ,1800 , 11 000,4400 ,1900 , 11 000,4600 ,2000 , 12 000,4900 ,2100 , 13 000,5100 ,2200 , 14 000,5300 ,2300 , 14 000,5500 ,2400 , 14 000,5800 ,2600 , 15 000,6400 ,2900 , 16 000,7000 ,3300 , 18 000,7700 ,3700 , 20 000,8500 ,4100 , 22 000,9300 ,4700 , 24 000,10 000 ,5200 , 27 000,11 000 ,5600 , 29 000
Borno,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1000,<500 ,<200 , 1200,<500 ,<200 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2200,<1000 ,<500 , 2500,1100 ,<1000 , 2800,1300 ,<1000 , 3100
Cross River,<200 ,<100 , <500,<200 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<500 ,<200 , 1300,<1000 ,<500 , 1600,<1000 ,<500 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2400,<1000 ,<500 , 2500,<1000 ,<500 , 2600,1100 ,<500 , 2700,1200 ,<500 , 3000,1300 ,<1000 , 3400,1400 ,<1000 , 3800,1600 ,<1000 , 4100,1700 ,<1000 , 4500,1900 ,<1000 , 4900,2100 ,<1000 , 5300,2300 ,1100 , 5800,2500 ,1200 , 6200,2700 ,1400 , 6600,2900 ,1500 , 7100,3200 ,1700 , 7500,3400 ,1900 , 7900
Delta,<500 ,<100 , 1000,<500 ,<200 , 1200,<500 ,<200 , 1300,<500 ,<200 , 1400,<1000 ,<200 , 1600,<1000 ,<200 , 1900,<1000 ,<500 , 2100,<1000 ,<500 , 2300,<1000 ,<500 , 2500,<1000 ,<500 , 2700,<1000 ,<500 , 2800,<1000 ,<500 , 2900,<1000 ,<500 , 2900,<1000 ,<500 , 2900,<1000 ,<500 , 2900,1000 ,<500 , 3000,1100 ,<500 , 3000,1100 ,<500 , 3200,1200 ,<500 , 3300,1300 ,<500 , 3500,1400 ,<1000 , 3800,1500 ,<1000 , 4000,1700 ,<1000 , 4300,1800 ,<1000 , 4700,1900 ,<1000 , 5100,2100 ,<1000 , 5600,2400 ,1100 , 6100,2600 ,1200 , 6600,2800 ,1400 , 7100,3000 ,1500 , 7500
