States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<500 ,<100 , 1300,<500 ,<100 , 1200,<500 ,<100 , 1300,<500 ,<100 , 1400,<1000 ,<100 , 1400,<1000 ,<100 , 1600,<1000 ,<100 , 1700,<1000 ,<100 , 1800,<1000 ,<100 , 1900,<1000 ,<200 , 2000,<1000 ,<200 , 2000,<1000 ,<200 , 2000,<1000 ,<200 , 2000,<1000 ,<200 , 2100,<1000 ,<200 , 2000,<1000 ,<200 , 2000,1000 ,<200 , 2100,1100 ,<200 , 2200,1200 ,<200 , 2300,1300 ,<500 , 2500,1400 ,<500 , 2700,1500 ,<500 , 2800,1600 ,<500 , 2800,1700 ,<500 , 2900,1800 ,<500 , 3200,1900 ,<500 , 3300,2000 ,<500 , 3500,2100 ,<1000 , 3600,2200 ,<1000 , 3700,2300 ,<1000 , 4000
Adamawa,<1000 ,<100 , 1400,<1000 ,<100 , 1600,<1000 ,<200 , 1800,<1000 ,<200 , 2100,<1000 ,<200 , 2300,1000 ,<200 , 2300,1100 ,<200 , 2300,1100 ,<200 , 2200,1100 ,<200 , 2300,1000 ,<200 , 2200,1000 ,<200 , 2100,<1000 ,<200 , 2000,<1000 ,<200 , 1900,<1000 ,<200 , 1800,<1000 ,<200 , 1800,<1000 ,<200 , 1800,<1000 ,<200 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<1000 , 1800,<1000 ,<1000 , 1700
Akwa Ibom,2800 ,<500 , 7200,3200 ,<500 , 7700,3600 ,<500 , 8000,3900 ,<500 , 8200,4200 ,<500 , 8500,4200 ,<1000 , 8200,4200 ,<1000 , 8000,4200 ,<1000 , 8100,4200 ,<1000 , 8100,4100 ,<1000 , 8000,4100 ,<1000 , 7700,4000 ,<1000 , 7400,3900 ,<1000 , 7200,3800 ,<1000 , 7000,3800 ,<1000 , 6900,3900 ,<1000 , 7000,4000 ,<1000 , 7100,4100 ,<1000 , 7100,4300 ,<1000 , 7300,4500 ,1000 , 7600,4700 ,1200 , 7700,4800 ,1300 , 7900,5000 ,1500 , 8200,5200 ,1600 , 8300,5400 ,1800 , 8600,5600 ,1900 , 8900,5800 ,2000 , 9000,5900 ,2100 , 9100,6000 ,2100 , 9200,6100 ,2200 , 9300
Anambra,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1100,<1000 ,<100 , 1300,<1000 ,<200 , 1400,<1000 ,<200 , 1600,<1000 ,<200 , 1900,<1000 ,<200 , 2000,1000 ,<200 , 2100,1100 ,<200 , 2200,1100 ,<200 , 2300,1100 ,<200 , 2400,1200 ,<200 , 2400,1200 ,<200 , 2500,1300 ,<200 , 2500,1300 ,<500 , 2600,1400 ,<500 , 2600,1500 ,<500 , 2700,1500 ,<500 , 2800,1600 ,<500 , 3000,1700 ,<500 , 3100,1900 ,<500 , 3300,2000 ,<500 , 3500,2100 ,<500 , 3700,2200 ,<500 , 3800,2200 ,<1000 , 3900,2300 ,<1000 , 4000,2500 ,<1000 , 4200,2600 ,<1000 , 4600
Bauchi,<1000 ,<100 , 2600,<1000 ,<200 , 2800,<1000 ,<200 , 2900,<1000 ,<200 , 2900,1000 ,<200 , 3000,1100 ,<200 , 3100,1000 ,<200 , 3100,<1000 ,<200 , 2800,<1000 ,<200 , 2500,<1000 ,<200 , 2300,<1000 ,<200 , 2100,<1000 ,<200 , 1800,<1000 ,<200 , 1700,<1000 ,<200 , 1600,<1000 ,<200 , 1500,<1000 ,<200 , 1400,<1000 ,<200 , 1400,<1000 ,<200 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1300
Bayelsa,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1000,<500 ,<100 , 1000,<500 ,<100 , 1000,<500 ,<100 , 1000,<500 ,<100 , 1000,<500 ,<100 , 1100,<1000 ,<100 , 1000,<1000 ,<100 , 1000,<1000 ,<100 , 1100,<1000 ,<100 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1200,<1000 ,<200 , 1200,<1000 ,<200 , 1200,<1000 ,<200 , 1300,<1000 ,<200 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1500
Benue,1000 ,<200 , 2200,1300 ,<200 , 2600,1500 ,<200 , 3100,1800 ,<200 , 3600,2200 ,<500 , 4100,2500 ,<500 , 4900,2800 ,<500 , 5600,3100 ,<500 , 6200,3400 ,<500 , 6800,3600 ,<1000 , 7100,3700 ,<1000 , 7300,3800 ,<1000 , 7400,3900 ,<1000 , 7600,4000 ,<1000 , 7700,4100 ,<1000 , 7900,4300 ,<1000 , 8300,4500 ,<1000 , 8600,4800 ,<1000 , 8800,5000 ,<1000 , 9100,5100 ,<1000 , 9200,5300 ,<1000 , 9400,5500 ,1000 , 9500,5600 ,1200 , 9700,5600 ,1300 , 9600,5700 ,1500 , 9600,5700 ,1700 , 9600,5700 ,1900 , 9500,5700 ,2100 , 9300,5800 ,2200 , 9600,5900 ,2400 , 9800
Borno,3500 ,<500 , 13 000,3900 ,<1000 , 13 000,4300 ,<1000 , 14 000,4600 ,<1000 , 14 000,4800 ,<1000 , 13 000,5000 ,<1000 , 13 000,4800 ,<1000 , 12 000,4500 ,<1000 , 12 000,4200 ,<500 , 11 000,3900 ,<500 , 10 000,3700 ,<500 , 9200,3500 ,<1000 , 8500,3300 ,<1000 , 8000,3100 ,<1000 , 7700,3100 ,<1000 , 7600,3000 ,<1000 , 7300,3000 ,<1000 , 7100,3000 ,<1000 , 7100,3100 ,1000 , 7200,3100 ,1100 , 7100,3200 ,1200 , 7100,3300 ,1300 , 7300,3300 ,1400 , 7200,3300 ,1500 , 7200,3300 ,1400 , 7300,3200 ,1400 , 7100,3200 ,1400 , 6900,3200 ,1400 , 6700,3100 ,1500 , 6600,3100 ,1500 , 6600
Cross River,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , 1100,<1000 ,<100 , 1200,<1000 ,<100 , 1400,<1000 ,<100 , 1600,<1000 ,<200 , 1800,<1000 ,<200 , 1900,<1000 ,<200 , 2000,<1000 ,<200 , 2000,<1000 ,<200 , 2100,<1000 ,<200 , 1900,<1000 ,<200 , 1900,<1000 ,<200 , 1900,<1000 ,<200 , 1800,<1000 ,<200 , 1800,<1000 ,<200 , 1800,1000 ,<500 , 1800,1000 ,<500 , 1900,1100 ,<500 , 1900,1200 ,<500 , 2000,1200 ,<500 , 2000,1200 ,<500 , 2100,1300 ,<500 , 2200,1300 ,<500 , 2200,1300 ,<1000 , 2200,1300 ,<1000 , 2300,1400 ,<1000 , 2300
Delta,1400 ,<200 , 3000,1600 ,<200 , 3500,1700 ,<500 , 3800,1900 ,<500 , 4000,1900 ,<500 , 4200,2100 ,<500 , 4500,2100 ,<500 , 4500,2100 ,<500 , 4600,2100 ,<500 , 4700,2100 ,<500 , 4700,2100 ,<500 , 4700,2100 ,<500 , 4500,2100 ,<500 , 4300,2100 ,<500 , 4100,2100 ,<500 , 4100,2100 ,<500 , 4000,2100 ,<500 , 4000,2100 ,<500 , 4000,2200 ,<500 , 4200,2300 ,<1000 , 4200,2300 ,<1000 , 4200,2400 ,<1000 , 4200,2500 ,<1000 , 4300,2600 ,<1000 , 4400,2600 ,<1000 , 4400,2700 ,<1000 , 4400,2700 ,<1000 , 4500,2700 ,<1000 , 4700,2800 ,1000 , 4800,2800 ,1100 , 5000
