States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,3800 ,2400 , 5800,4000 ,2600 , 5800,3800 ,2600 , 5400,4100 ,2800 , 5500,4400 ,3000 , 5600,4700 ,3300 , 6200,4900 ,3500 , 6400,5000 ,3600 , 6900,5300 ,3700 , 7400,5500 ,3800 , 7700
Adamawa,1300 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1800,1200 ,<1000 , 1800,1200 ,<1000 , 1700,1200 ,<1000 , 1800,1200 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1000 ,<1000 , 1700
Akwa Ibom,5300 ,3600 , 7300,5400 ,3600 , 7300,5600 ,3700 , 7400,5700 ,3700 , 7600,5800 ,3900 , 7600,5900 ,3900 , 8100,6000 ,3900 , 7900,6100 ,4100 , 8100,6200 ,4000 , 8200,6200 ,4100 , 8200
Anambra,3100 ,2100 , 4600,3200 ,2200 , 4800,3400 ,2500 , 5000,3600 ,2500 , 5300,3900 ,2700 , 5500,4200 ,2900 , 5900,4400 ,3100 , 6100,4600 ,3200 , 6400,4700 ,3300 , 6600,4900 ,3400 , 7000
Bauchi,<1000 ,<1000 , 1700,<1000 ,<1000 , 1600,<1000 ,<1000 , 1600,<1000 ,<1000 , 1700,<1000 ,<1000 , 1600,<1000 ,<1000 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500
Bayelsa,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,1000 ,<1000 , 1400
Benue,7400 ,4500 , 10 000,7300 ,4500 , 10 000,7500 ,4700 , 10 000,7900 ,5000 , 11 000,8100 ,5200 , 11 000,8400 ,5300 , 11 000,8400 ,5600 , 11 000,8400 ,5600 , 11 000,8400 ,5500 , 11 000,8400 ,5500 , 12 000
Borno,2900 ,1600 , 5600,2900 ,1600 , 5500,2900 ,1700 , 5500,2900 ,1700 , 5300,2900 ,1600 , 5400,2800 ,1600 , 5500,2900 ,1500 , 5400,2900 ,1500 , 5500,2900 ,1500 , 5400,2900 ,1500 , 5600
Cross River,2800 ,1800 , 4000,2900 ,1900 , 4100,3000 ,1900 , 4200,3100 ,2100 , 4400,3200 ,2100 , 4400,3300 ,2200 , 4600,3300 ,2200 , 4600,3300 ,2200 , 4600,3300 ,2100 , 4700,3300 ,2200 , 4700
Delta,2900 ,1900 , 4300,3000 ,1900 , 4400,3100 ,2000 , 4300,3200 ,2100 , 4400,3300 ,2200 , 4500,3400 ,2400 , 4700,3500 ,2400 , 4800,3600 ,2500 , 4900,3700 ,2500 , 5000,3700 ,2500 , 5100
Ebonyi,1700 ,1100 , 2500,1700 ,1100 , 2500,1700 ,1200 , 2400,1700 ,1200 , 2400,1700 ,1300 , 2400,1800 ,1300 , 2500,1800 ,1300 , 2400,1800 ,1200 , 2400,1700 ,1200 , 2500,1700 ,1200 , 2400
Edo,2800 ,1900 , 3900,2900 ,2000 , 3900,3000 ,2100 , 4000,3100 ,2200 , 4100,3100 ,2300 , 4200,3200 ,2400 , 4200,3300 ,2400 , 4400,3400 ,2400 , 4500,3500 ,2500 , 4700,3600 ,2600 , 4800
Ekiti,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Enugu,2000 ,1400 , 2900,2000 ,1400 , 2800,2000 ,1400 , 2700,2000 ,1400 , 2700,2000 ,1400 , 2600,2000 ,1400 , 2700,2100 ,1500 , 2700,2100 ,1400 , 2700,2100 ,1400 , 2700,2200 ,1500 , 2900
FCT Abuja,1800 ,1100 , 2800,1900 ,1100 , 2900,2100 ,1200 , 3200,2200 ,1300 , 3400,2400 ,1500 , 3600,2500 ,1600 , 3800,2600 ,1600 , 3900,2600 ,1600 , 3900,2600 ,1600 , 3900,2600 ,1600 , 4000
Gombe,1100 ,<1000 , 1700,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400
Imo,1700 ,1100 , 2500,1700 ,1200 , 2500,1800 ,1300 , 2600,1900 ,1300 , 2700,2100 ,1500 , 2800,2200 ,1600 , 2900,2300 ,1700 , 3100,2500 ,1700 , 3300,2600 ,1700 , 3400,2700 ,1800 , 3600
Jigawa,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
