States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abia,1 113.2,1 466.6,1456,968,1677,1812,2951,3336,856,1574
Adamawa,516,622,638,646,964,1180,917,1223,812,889
Akwa Ibom,2125,2130,1884,1821,5276,5148,4382,3663,1809,2567
Anambra,847,870,798,1704,2360,2354,1883,1607,1523,1304
Bauchi,200,179,368,400,375,653,603,439,394,394
Bayelsa,139,156,171,221,474,279,352,374,356,285
Benue,2675,4780,9712,6386,9866,7366,8912,8351,6998,7041
Borno,526,677,800,382,237,51,329,506,654,644
Cross River,790,949,554,1350,1657,1969,1265,1102,1125,1025
Delta,625,788,802,3027,984,1222,1683,2584,1673,1692
Ebonyi,669.4,919.2,2290,788,1677,746,593,466,588,477
Edo,765,777,700,1371,1489,1175,951,920,1265,1097
Ekiti,97,137,163,656,281,224,199,162,136,153
Enugu,1495,1850,1635,1309,1400,1337,1135,903,1008,1083
FCT Abuja,2666,2712,2511,3077,2756,2604,2849,2586,2564,2257
Gombe,418,380,437,551,665,817,1102,964,574,857
Imo,55,56,398,796,1624,1428,1207,763,1078,976
Jigawa,0,0,0,231,344,149,394,239,361,314
Kaduna,380,559,817,2970,2578,3420,3729,2008,2737,2647
Kano,1219,1479,1021,828,748,434,3307,1142,1038,694
Katsina,287,369,413,768,560,610,236,457,497,449
Kebbi,88,107,83,292,135,150,143,145,153,173
Kogi,1105,1286,1115,1067,727,446,679,928,1085,1509
Kwara,0,0,555,551,541,582,410,320,295,379
Lagos,1080,1483,1556,3399,3091,2781,1994,2167,1876,1405
Nassarawa,376,485,432,3498,4069,2278,4323,2188,2837,1751
Niger,0,0,1031,1020,1957,1500,980,766,930,826
Ogun,502,590,495,1110,1022,1162,698,886,896,638
Ondo,585,721,659,656,772,854,748,638,581,788
Osun,227,329,427,611,433,421,414,274,355,301
Oyo,959,926,1045,1017,1240,1308,1135,1828,1359,1156
Plateau,0,0,343,2266,2897,1844,827,1162,1176,1014
Rivers,614,798,719,1683,1881,1274,1235,1274,1386,1285
Sokoto,384,483,342,280,315,75,142,204,220,200
Taraba,687,764,753,1740,2578,1916,1998,2473,755,1657
Yobe,12,13,5,500,89,90,284,558,522,478
Zamfara,490,615,447,238,237,138,203,172,181,148
National,24 716.6,30 455.8,37 575,50 178,59 976,51 797,55 192,49 778,42 653,42 127
