States,2019,2019_lower, 2019_upper
Arusha CC,3.0 ,2.0 , 4.5
Arusha DC,2.3 ,1.0 , 4.8
Babati DC,2.1 ,0.7 , 4.6
Babati TC,3.9 ,1.8 , 7.5
Bagamoyo DC,20.0 ,16.9 , 23.7
Bahi DC,2.5 ,1.1 , 4.9
Bariadi DC,1.5 ,0.6 , 3.2
Bariadi TC,2.0 ,1.0 , 5.2
Biharamulo DC,2.3 ,0.9 , 5.4
Buchosa DC,9.0 ,6.0 , 14.1
Buhigwe DC,3.6 ,1.4 , 7.2
Bukoba DC,3.2 ,1.2 , 6.8
Bukoba MC,8.7 ,4.2 , 17.6
Bukombe DC,3.3 ,1.6 , 7.6
Bumbuli DC,3.6 ,1.8 , 6.7
Bunda DC,3.7 ,1.4 , 8.0
Bunda TC,4.3 ,2.8 , 6.3
Busega DC,7.1 ,4.5 , 11.4
Busokelo DC,3.8 ,2.1 , 6.1
Butiama DC,6.0 ,4.5 , 8.2
Chake Chake,21.8 ,19.2 , 24.7
Chalinze DC,4.3 ,3.0 , 6.7
Chamwino DC,1.7 ,0.6 , 4.1
Chato DC,15.0 ,14.3 , 15.8
Chemba DC,3.2 ,2.2 , 4.4
Chunya DC,2.4 ,1.4 , 4.9
Dodoma MC,2.9 ,1.1 , 6.4
Gairo DC,4.4 ,2.2 , 7.7
Geita DC,2.3 ,1.4 , 3.9
Geita TC,7.0 ,3.0 , 13.5
Hai DC,3.5 ,2.3 , 5.2
Hanang DC,5.7 ,4.5 , 7.2
Handeni DC,4.7 ,2.7 , 7.6
Handeni TC,10.2 ,4.6 , 19.9
Ifakara TC,3.8 ,2.3 , 7.4
Igunga DC,1.4 ,0.8 , 2.4
Ikungi DC,4.6 ,2.5 , 7.8
Ilala MC,2.6 ,1.4 , 5.4
Ileje DC,5.4 ,3.0 , 10.3
Ilemela MC,1.8 ,0.7 , 3.9
Iramba DC,3.0 ,1.5 , 5.4
Iringa DC,8.4 ,5.0 , 14.3
Iringa MC,5.5 ,4.3 , 7.1
Itigi DC,22.7 ,14.4 , 32.4
Itilima DC,4.8 ,4.3 , 5.5
Kahama TC,6.0 ,4.6 , 7.8
Kakonko DC,2.4 ,1.5 , 4.0
Kalambo DC,2.1 ,1.2 , 4.4
Kaliua DC,2.2 ,1.3 , 3.7
Karagwe DC,3.3 ,1.5 , 6.4
Karatu DC,3.0 ,1.5 , 5.4
Kaskazini A,7.0 ,5.7 , 9.5
Kaskazini B,3.9 ,3.4 , 4.5
Kasulu DC,1.5 ,0.9 , 2.3
Kasulu TC,3.2 ,1.8 , 5.7
Kati,1.4 ,0.6 , 2.8
Kibaha DC,7.5 ,5.8 , 9.6
Kibaha TC,5.1 ,4.2 , 6.5
Kibiti DC,3.8 ,2.5 , 5.4
Kibondo DC,1.1 ,0.2 , 3.3
Kigamboni MC,8.0 ,5.9 , 10.6
Kigoma DC,1.0 ,0.3 , 2.6
Kigoma Ujiji MC,3.4 ,2.3 , 4.9
Kilindi DC,6.4 ,4.3 , 9.4
Kilolo DC,7.8 ,6.8 , 8.8
Kilombero DC,12.3 ,9.4 , 15.9
Kilosa DC,3.2 ,2.0 , 4.9
Kilwa DC,2.9 ,1.6 , 4.9
Kinondoni MC,3.6 ,2.7 , 4.6
Kisarawe DC,12.7 ,10.0 , 16.1
Kishapu DC,3.1 ,1.7 , 5.4
Kiteto DC,1.7 ,0.6 , 4.0
Kondoa DC,4.3 ,2.6 , 7.3
Kondoa TC,24.8 ,20.3 , 30.0
Kongwa DC,5.6 ,3.6 , 8.3
Korogwe DC,6.0 ,4.7 , 7.5
Korogwe TC,13.2 ,6.4 , 24.5
Kusini,19.4 ,18.4 , 20.4
Kwimba DC,18.5 ,12.5 , 26.6
Kyela DC,7.7 ,5.4 , 10.6
Kyerwa DC,8.3 ,6.3 , 11.0
Lindi DC,4.1 ,2.3 , 6.8
Lindi MC,4.5 ,2.8 , 6.9
Liwale DC,10.2 ,4.4 , 18.2
Longido DC,11.4 ,9.2 , 14.3
Ludewa DC,6.6 ,2.5 , 13.9
Lushoto DC,4.2 ,1.0 , 11.5
Madaba DC,4.9 ,2.8 , 8.2
Mafia DC,6.8 ,4.3 , 10.0
Mafinga TC,7.2 ,4.2 , 13.0
Magharibi A,2.9 ,2.6 , 3.3
Magharibi B,2.6 ,2.1 , 3.0
Magu DC,4.7 ,2.4 , 8.5
Makambako TC,25.7 ,23.3 , 28.5
Makete DC,3.1 ,1.6 , 5.5
Malinyi DC,14.1 ,12.6 , 15.8
Manyoni DC,6.3 ,2.8 , 14.4
Masasi DC,3.4 ,2.5 , 4.6
Masasi TC,14.7 ,7.1 , 27.9
Maswa DC,5.8 ,3.3 , 9.9
Mbarali DC,5.3 ,2.8 , 10.7
Mbeya CC,7.4 ,5.1 , 10.3
Mbeya DC,4.3 ,2.4 , 7.2
Mbinga DC,4.0 ,2.6 , 5.7
Mbinga TC,6.3 ,4.1 , 10.3
Mbogwe DC,14.4 ,12.7 , 16.4
Mbozi DC,2.7 ,2.0 , 3.5
Mbulu DC,1.4 ,0.6 , 2.8
Mbulu TC,2.9 ,0.8 , 7.1
Meatu DC,2.7 ,1.1 , 5.2
Meru DC,11.0 ,8.3 , 16.2
Micheweni,6.2 ,5.0 , 7.7
Missenyi DC,2.5 ,1.3 , 4.4
Misungwi DC,1.6 ,0.7 , 3.2
Mjini,4.4 ,2.9 , 6.4
Mkalama DC,2.1 ,0.6 , 5.0
Mkinga DC,4.8 ,2.5 , 8.1
Mkoani,1.7 ,1.0 , 3.4
Mkuranga DC,1.7 ,1.0 , 3.0
Mlele DC,14.9 ,11.9 , 19.0
Momba DC,10.2 ,8.5 , 12.2
Monduli DC,2.9 ,1.6 , 4.8
Morogoro DC,5.2 ,2.0 , 11.4
Morogoro MC,2.8 ,1.0 , 6.7
Moshi DC,3.8 ,3.0 , 4.9
Moshi MC,7.6 ,4.7 , 12.8
Mpanda DC,9.8 ,9.2 , 10.6
Mpanda TC,8.8 ,8.1 , 9.6
Mpimbwe DC,2.8 ,1.8 , 4.3
Mpwapwa DC,3.8 ,1.8 , 7.7
Msalala DC,6.7 ,4.9 , 9.3
Mtwara DC,7.4 ,5.9 , 9.1
Mtwara Mikindani MC,11.4 ,8.4 , 15.1
Mufindi DC,7.2 ,5.4 , 9.7
Muheza DC,1.4 ,0.8 , 2.3
Muleba DC,2.5 ,1.3 , 4.2
Musoma DC,0.5 ,0.3 , 0.8
Musoma MC,6.4 ,4.0 , 9.3
Mvomero DC,3.2 ,1.6 , 6.2
Mwanga DC,6.2 ,5.0 , 7.7
Nachingwea DC,2.5 ,0.8 , 6.4
Namtumbo DC,3.3 ,2.9 , 3.7
Nanyamba TC,18.3 ,15.8 , 20.9
Nanyumbu DC,4.7 ,2.5 , 10.0
Newala DC,6.5 ,4.1 , 11.7
Newala TC,7.5 ,2.9 , 16.0
Ngara DC,1.4 ,0.5 , 3.5
Ngorongoro DC,8.9 ,5.7 , 13.1
Njombe DC,7.9 ,5.2 , 15.1
Njombe TC,4.8 ,2.9 , 8.2
Nkasi DC,4.3 ,3.0 , 6.1
Nsimbo DC,1.9 ,1.2 , 3.0
Nyamagana MC,4.3 ,2.6 , 6.4
Nyang'hwale DC,8.1 ,6.3 , 10.2
