States,2019,2019_lower, 2019_upper
Arusha CC,3.2 ,2.2 , 4.7
Arusha DC,2.7 ,0.9 , 6.4
Babati DC,1.6 ,0.4 , 3.7
Babati TC,5.5 ,2.4 , 10.2
Bagamoyo DC,27.3 ,24.1 , 31.0
Bahi DC,2.8 ,1.2 , 5.5
Bariadi DC,1.8 ,0.6 , 4.4
Bariadi TC,2.3 ,0.6 , 6.9
Biharamulo DC,2.6 ,1.1 , 5.4
Buchosa DC,14.4 ,10.3 , 19.5
Buhigwe DC,3.4 ,1.2 , 7.7
Bukoba DC,4.5 ,1.6 , 9.9
Bukoba MC,10.8 ,3.1 , 25.4
Bukombe DC,3.6 ,1.1 , 9.6
Bumbuli DC,4.4 ,2.1 , 8.1
Bunda DC,5.2 ,2.1 , 10.2
Bunda TC,4.6 ,2.4 , 8.1
Busega DC,7.8 ,3.4 , 16.7
Busokelo DC,5.6 ,3.0 , 9.7
Butiama DC,6.0 ,3.5 , 9.7
Chake Chake,30.1 ,27.5 , 33.3
Chalinze DC,4.8 ,2.7 , 8.4
Chamwino DC,2.0 ,0.6 , 5.2
Chato DC,29.6 ,28.2 , 31.1
Chemba DC,2.2 ,1.5 , 3.1
Chunya DC,2.4 ,0.9 , 5.9
Dodoma MC,3.9 ,1.5 , 8.1
Gairo DC,3.9 ,2.2 , 6.5
Geita DC,2.9 ,1.5 , 5.0
Geita TC,7.7 ,2.8 , 16.1
Hai DC,3.2 ,1.6 , 5.9
Hanang DC,5.4 ,3.4 , 8.6
Handeni DC,5.9 ,3.1 , 10.5
Handeni TC,13.6 ,6.4 , 25.1
Ifakara TC,3.7 ,1.2 , 9.4
Igunga DC,1.8 ,0.9 , 3.4
Ikungi DC,5.4 ,2.7 , 10.0
Ilala MC,3.7 ,2.2 , 6.2
Ileje DC,6.3 ,2.6 , 13.0
Ilemela MC,2.3 ,0.8 , 5.0
Iramba DC,3.6 ,1.6 , 7.2
Iringa DC,10.1 ,5.3 , 17.6
Iringa MC,7.3 ,5.1 , 10.2
Itigi DC,29.3 ,17.1 , 43.6
Itilima DC,4.2 ,3.2 , 5.8
Kahama TC,9.5 ,7.6 , 11.8
Kakonko DC,3.6 ,2.1 , 5.9
Kalambo DC,3.3 ,2.0 , 5.5
Kaliua DC,2.6 ,1.4 , 4.4
Karagwe DC,4.7 ,2.3 , 8.5
