States,2019,2019_lower, 2019_upper
Arusha CC,2.8 ,1.7 , 4.5
Arusha DC,2.0 ,0.9 , 4.1
Babati DC,2.5 ,0.9 , 5.4
Babati TC,2.5 ,1.0 , 5.1
Bagamoyo DC,13.3 ,10.4 , 16.7
Bahi DC,2.1 ,0.9 , 4.4
Bariadi DC,1.2 ,0.4 , 2.5
Bariadi TC,1.7 ,1.1 , 3.9
Biharamulo DC,2.0 ,0.6 , 5.4
Buchosa DC,4.1 ,1.7 , 9.1
Buhigwe DC,3.8 ,1.5 , 7.6
Bukoba DC,1.8 ,0.7 , 4.2
Bukoba MC,6.8 ,4.0 , 12.8
Bukombe DC,3.0 ,1.8 , 6.3
Bumbuli DC,2.7 ,1.3 , 5.2
Bunda DC,2.2 ,0.7 , 5.4
Bunda TC,3.9 ,2.6 , 5.7
Busega DC,6.4 ,4.8 , 8.3
Busokelo DC,1.9 ,1.0 , 3.4
Butiama DC,6.0 ,4.9 , 7.5
Chake Chake,13.1 ,10.7 , 16.0
Chalinze DC,3.7 ,2.8 , 5.8
Chamwino DC,1.5 ,0.5 , 3.5
Chato DC,0.8 ,0.7 , 1.0
Chemba DC,4.2 ,2.8 , 5.9
Chunya DC,2.3 ,1.5 , 4.3
Dodoma MC,1.9 ,0.6 , 4.7
Gairo DC,4.8 ,2.1 , 9.3
Geita DC,1.7 ,1.0 , 3.0
Geita TC,6.4 ,2.7 , 12.2
Hai DC,3.8 ,2.6 , 5.3
Hanang DC,6.0 ,5.0 , 7.1
Handeni DC,3.5 ,2.0 , 5.8
Handeni TC,7.0 ,2.5 , 14.4
Ifakara TC,3.9 ,2.9 , 6.5
Igunga DC,1.0 ,0.5 , 1.8
Ikungi DC,3.9 ,2.1 , 6.5
Ilala MC,1.6 ,0.5 , 4.0
Ileje DC,4.4 ,2.7 , 8.1
Ilemela MC,1.4 ,0.5 , 3.2
Iramba DC,2.5 ,1.2 , 4.5
Iringa DC,6.8 ,4.3 , 11.3
Iringa MC,3.7 ,3.1 , 4.5
Itigi DC,16.7 ,10.8 , 23.6
Itilima DC,5.5 ,5.1 , 6.0
Kahama TC,2.5 ,1.5 , 4.1
Kakonko DC,1.3 ,0.7 , 2.5
Kalambo DC,1.0 ,0.3 , 2.6
Kaliua DC,1.9 ,1.1 , 3.1
Karagwe DC,2.0 ,0.7 , 4.7
Karatu DC,3.1 ,1.6 , 5.5
Kaskazini A,10.0 ,8.9 , 12.1
Kaskazini B,6.1 ,5.2 , 7.0
Kasulu DC,0.7 ,0.4 , 1.1
Kasulu TC,2.6 ,1.6 , 4.5
Kati,1.5 ,0.6 , 2.8
Kibaha DC,6.6 ,5.1 , 8.5
Kibaha TC,5.9 ,5.1 , 6.9
Kibiti DC,1.8 ,1.1 , 2.8
Kibondo DC,0.7 ,0.1 , 2.4
Kigamboni MC,2.7 ,2.0 , 3.9
Kigoma DC,0.8 ,0.2 , 1.9
Kigoma Ujiji MC,2.7 ,1.9 , 4.0
Kilindi DC,5.4 ,3.8 , 7.9
Kilolo DC,1.5 ,1.3 , 1.8
Kilombero DC,7.4 ,4.8 , 10.7
Kilosa DC,1.6 ,1.0 , 2.7
Kilwa DC,2.0 ,1.0 , 3.7
Kinondoni MC,2.6 ,1.8 , 3.6
Kisarawe DC,8.5 ,6.0 , 11.8
Kishapu DC,2.0 ,1.0 , 3.6
Kiteto DC,1.8 ,0.7 , 4.1
Kondoa DC,3.0 ,1.6 , 5.5
Kondoa TC,17.8 ,14.2 , 22.0
Kongwa DC,4.9 ,3.1 , 7.4
Korogwe DC,3.7 ,2.9 , 4.8
Korogwe TC,11.2 ,5.7 , 19.5
Kusini,30.5 ,29.3 , 31.7
Kwimba DC,13.5 ,8.7 , 19.7
Kyela DC,5.8 ,4.0 , 8.2
Kyerwa DC,10.8 ,9.0 , 13.3
Lindi DC,4.0 ,2.3 , 6.6
Lindi MC,3.4 ,1.9 , 5.5
Liwale DC,7.6 ,3.3 , 13.9
Longido DC,8.0 ,6.3 , 9.9
Ludewa DC,4.7 ,1.6 , 10.3
Lushoto DC,3.8 ,0.9 , 9.8
Madaba DC,4.1 ,2.2 , 7.4
Mafia DC,2.4 ,1.4 , 3.9
Mafinga TC,4.6 ,2.2 , 9.9
Magharibi A,4.5 ,4.1 , 5.0
Magharibi B,2.7 ,2.3 , 3.2
Magu DC,3.3 ,1.4 , 6.8
Makambako TC,21.9 ,20.5 , 23.5
Makete DC,2.0 ,0.7 , 4.4
Malinyi DC,12.6 ,11.3 , 14.0
Manyoni DC,5.2 ,2.3 , 11.3
Masasi DC,1.9 ,1.6 , 2.4
Masasi TC,10.9 ,5.5 , 20.2
Maswa DC,2.9 ,1.2 , 6.1
Mbarali DC,4.6 ,2.1 , 9.8
Mbeya CC,4.6 ,2.8 , 7.1
Mbeya DC,1.9 ,0.8 , 3.9
Mbinga DC,3.6 ,2.5 , 5.0
Mbinga TC,5.5 ,4.0 , 8.7
Mbogwe DC,15.2 ,14.0 , 16.4
Mbozi DC,2.5 ,1.9 , 3.3
Mbulu DC,1.3 ,0.6 , 2.6
Mbulu TC,2.9 ,0.7 , 7.2
Meatu DC,2.4 ,1.0 , 4.7
Meru DC,13.8 ,11.7 , 17.6
Micheweni,6.3 ,5.3 , 7.6
Missenyi DC,1.9 ,0.9 , 3.5
Misungwi DC,1.7 ,0.8 , 3.2
Mjini,3.3 ,1.9 , 4.9
Mkalama DC,1.2 ,0.3 , 3.3
Mkinga DC,3.9 ,1.9 , 6.7
Mkoani,2.0 ,1.3 , 3.3
Mkuranga DC,0.9 ,0.4 , 1.9
Mlele DC,14.2 ,11.8 , 17.4
Momba DC,11.6 ,10.2 , 13.2
Monduli DC,2.9 ,1.6 , 5.0
Morogoro DC,4.1 ,1.5 , 9.5
Morogoro MC,2.2 ,0.6 , 6.1
Moshi DC,3.4 ,2.6 , 4.3
Moshi MC,2.8 ,0.6 , 7.2
Mpanda DC,2.4 ,2.0 , 2.8
Mpanda TC,7.7 ,7.3 , 8.2
Mpimbwe DC,1.9 ,1.1 , 3.3
Mpwapwa DC,3.1 ,1.6 , 6.0
Msalala DC,5.9 ,4.6 , 8.1
Mtwara DC,10.2 ,8.0 , 12.5
Mtwara Mikindani MC,8.2 ,5.7 , 11.3
Mufindi DC,4.8 ,3.4 , 6.8
Muheza DC,2.0 ,1.1 , 3.3
Muleba DC,1.7 ,0.9 , 3.1
Musoma DC,0.2 ,0.2 , 0.3
Musoma MC,4.9 ,3.0 , 7.4
Mvomero DC,2.0 ,0.9 , 4.3
Mwanga DC,9.3 ,7.3 , 11.8
Nachingwea DC,1.8 ,0.6 , 5.0
Namtumbo DC,5.3 ,4.7 , 6.0
Nanyamba TC,14.7 ,12.5 , 17.0
Nanyumbu DC,4.8 ,3.1 , 8.8
Newala DC,7.7 ,5.7 , 11.7
Newala TC,6.7 ,2.6 , 13.9
Ngara DC,1.0 ,0.3 , 2.6
Ngorongoro DC,6.7 ,4.1 , 10.6
Njombe DC,3.9 ,1.6 , 10.1
Njombe TC,3.0 ,1.4 , 5.9
Nkasi DC,3.3 ,2.2 , 5.0
Nsimbo DC,0.8 ,0.4 , 1.6
Nyamagana MC,1.7 ,0.7 , 3.7
Nyang'hwale DC,4.7 ,3.7 , 6.0
Nyasa DC,5.5 ,4.3 , 7.1
Nzega DC,2.5 ,1.7 , 3.5
Nzega TC,9.8 ,5.5 , 15.5
Pangani DC,22.0 ,18.0 , 26.0
Rombo DC,2.0 ,1.7 , 2.5
Rorya DC,2.4 ,0.9 , 5.2
Ruangwa DC,5.5 ,2.7 , 9.4
Rufiji DC,15.1 ,8.9 , 28.2
Rungwe DC,7.2 ,4.2 , 11.2
Same DC,2.8 ,1.4 , 4.9
Sengerema DC,1.2 ,0.5 , 2.5
Serengeti DC,2.3 ,1.8 , 3.4
Shinyanga DC,0.2 ,0.2 , 0.2
Shinyanga MC,3.9 ,2.7 , 5.8
Siha DC,7.3 ,2.6 , 15.4
Sikonge DC,2.1 ,1.3 , 4.3
Simanjiro DC,4.0 ,3.4 , 4.7
Singida DC,2.9 ,1.7 , 4.7
Singida MC,6.9 ,5.1 , 9.5
Songea DC,9.2 ,8.1 , 10.5
Songea MC,6.3 ,5.0 , 7.8
Songwe DC,4.3 ,2.6 , 8.8
Sumbawanga DC,2.8 ,2.2 , 3.5
Sumbawanga MC,2.0 ,0.9 , 4.3
Tabora MC,3.5 ,2.5 , 5.5
Tandahimba DC,4.0 ,2.5 , 7.7
Tanga CC,4.0 ,2.6 , 6.0
Tarime DC,0.6 ,0.1 , 1.5
Tarime TC,2.9 ,1.4 , 4.9
Temeke MC,1.7 ,0.8 , 3.5
Tunduma TC,2.1 ,0.7 , 5.4
Tunduru DC,2.6 ,1.7 , 4.3
Ubungo MC,2.0 ,0.9 , 4.0
Ukerewe DC,1.9 ,0.7 , 4.6
Ulanga DC,6.0 ,3.4 , 10.1
Urambo DC,1.8 ,0.6 , 4.5
Ushetu DC,4.3 ,2.8 , 6.4
Uvinza DC,1.1 ,0.4 , 2.8
Uyui DC,1.2 ,0.6 , 2.4
Wanging'ombe DC,8.5 ,6.5 , 10.9
Wete,3.2 ,2.5 , 4.0
National,3.6 ,2.8,3.9
