States,2019,2019_lower, 2019_upper
Arusha CC,1.9 ,1.3 , 2.9
Arusha DC,1.3 ,0.5 , 3.0
Babati DC,1.2 ,0.3 , 2.9
Babati TC,2.8 ,1.1 , 5.7
Bagamoyo DC,16.3 ,13.3 , 20.0
Bahi DC,1.3 ,0.5 , 3.0
Bariadi DC,1.0 ,0.3 , 2.4
Bariadi TC,1.2 ,0.3 , 4.1
Biharamulo DC,1.3 ,0.4 , 3.4
Buchosa DC,6.0 ,3.7 , 10.0
Buhigwe DC,2.5 ,0.8 , 5.5
Bukoba DC,2.0 ,0.7 , 4.9
Bukoba MC,5.7 ,1.6 , 14.6
Bukombe DC,2.1 ,0.6 , 6.3
Bumbuli DC,2.3 ,0.9 , 5.1
Bunda DC,2.7 ,0.9 , 6.1
Bunda TC,2.5 ,1.4 , 4.1
Busega DC,4.6 ,2.6 , 8.5
Busokelo DC,2.4 ,1.2 , 4.0
Butiama DC,3.8 ,2.3 , 5.9
Chake Chake,19.4 ,17.0 , 21.9
Chalinze DC,2.3 ,1.2 , 4.5
Chamwino DC,1.2 ,0.3 , 3.2
Chato DC,12.7 ,11.0 , 14.6
Chemba DC,2.1 ,1.4 , 2.9
Chunya DC,1.3 ,0.5 , 3.9
Dodoma MC,2.0 ,0.7 , 4.6
Gairo DC,2.2 ,1.2 , 3.8
Geita DC,1.4 ,0.7 , 2.7
Geita TC,4.1 ,1.6 , 8.9
Hai DC,2.1 ,1.1 , 3.9
Hanang DC,3.5 ,2.5 , 5.0
Handeni DC,3.1 ,1.6 , 5.5
Handeni TC,7.4 ,3.0 , 16.0
Ifakara TC,1.9 ,0.6 , 5.7
Igunga DC,0.8 ,0.4 , 1.5
Ikungi DC,3.3 ,1.8 , 5.9
Ilala MC,1.9 ,0.9 , 4.4
Ileje DC,3.3 ,1.3 , 8.0
Ilemela MC,1.0 ,0.3 , 2.5
Iramba DC,2.0 ,0.9 , 3.8
Iringa DC,6.0 ,2.7 , 12.0
Iringa MC,3.2 ,2.1 , 4.5
Itigi DC,19.2 ,11.1 , 29.2
Itilima DC,3.1 ,2.5 , 3.9
Kahama TC,3.7 ,2.7 , 5.2
Kakonko DC,1.4 ,0.7 , 2.6
Kalambo DC,1.4 ,0.7 , 3.1
Kaliua DC,1.5 ,0.7 , 2.8
Karagwe DC,2.0 ,0.8 , 4.2
Karatu DC,1.6 ,0.5 , 4.0
Kaskazini A,3.1 ,1.6 , 6.1
Kaskazini B,1.2 ,0.9 , 1.6
Kasulu DC,0.8 ,0.4 , 1.4
Kasulu TC,2.1 ,0.9 , 4.5
Kati,0.8 ,0.3 , 2.0
Kibaha DC,4.8 ,3.3 , 6.5
