States,2019,2019_lower, 2019_upper
Arusha CC,1.0 ,0.6 , 1.6
Arusha DC,0.6 ,0.2 , 1.4
Babati DC,0.9 ,0.3 , 2.0
Babati TC,1.1 ,0.4 , 2.4
Bagamoyo DC,6.9 ,5.1 , 9.1
Bahi DC,0.7 ,0.2 , 1.6
Bariadi DC,0.4 ,0.1 , 1.0
Bariadi TC,0.6 ,0.3 , 1.9
Biharamulo DC,0.7 ,0.2 , 2.2
Buchosa DC,1.5 ,0.5 , 4.0
Buhigwe DC,1.5 ,0.6 , 3.2
Bukoba DC,0.7 ,0.2 , 1.9
Bukoba MC,2.6 ,1.0 , 6.4
Bukombe DC,1.1 ,0.5 , 3.0
Bumbuli DC,1.0 ,0.4 , 2.4
Bunda DC,1.0 ,0.3 , 2.6
Bunda TC,1.4 ,0.8 , 2.1
Busega DC,2.5 ,1.7 , 3.4
Busokelo DC,0.7 ,0.3 , 1.3
Butiama DC,2.3 ,1.6 , 3.2
Chake Chake,7.8 ,6.2 , 9.7
Chalinze DC,1.2 ,0.7 , 2.4
Chamwino DC,0.6 ,0.2 , 1.6
Chato DC,0.3 ,0.2 , 0.3
Chemba DC,1.5 ,1.0 , 2.2
Chunya DC,0.7 ,0.4 , 1.9
Dodoma MC,0.8 ,0.2 , 2.2
Gairo DC,1.5 ,0.7 , 3.2
Geita DC,0.6 ,0.3 , 1.3
Geita TC,2.2 ,0.8 , 5.1
Hai DC,1.3 ,0.8 , 2.2
Hanang DC,2.2 ,1.7 , 2.7
Handeni DC,1.4 ,0.7 , 2.5
Handeni TC,3.2 ,1.1 , 7.6
Ifakara TC,1.2 ,0.6 , 2.8
Igunga DC,0.3 ,0.1 , 0.7
Ikungi DC,1.7 ,0.9 , 2.9
Ilala MC,0.7 ,0.2 , 2.0
Ileje DC,1.6 ,0.7 , 3.8
Ilemela MC,0.4 ,0.1 , 1.2
Iramba DC,1.0 ,0.5 , 1.8
Iringa DC,3.0 ,1.4 , 6.0
Iringa MC,1.2 ,0.9 , 1.7
Itigi DC,9.4 ,5.5 , 14.3
Itilima DC,2.1 ,1.9 , 2.5
Kahama TC,0.9 ,0.5 , 1.6
Kakonko DC,0.4 ,0.2 , 1.0
Kalambo DC,0.4 ,<0.1 , 1.2
Kaliua DC,0.7 ,0.4 , 1.4
Karagwe DC,0.7 ,0.2 , 1.8
Karatu DC,0.9 ,0.4 , 2.2
Kaskazini A,3.4 ,2.5 , 4.9
Kaskazini B,1.7 ,1.3 , 2.2
Kasulu DC,0.2 ,0.1 , 0.4
Kasulu TC,1.0 ,0.5 , 2.1
Kati,0.5 ,0.2 , 1.1
Kibaha DC,2.5 ,1.8 , 3.4
Kibaha TC,1.8 ,1.4 , 2.4
Kibiti DC,0.7 ,0.4 , 1.0
Kibondo DC,0.3 ,<0.1 , 1.1
Kigamboni MC,0.9 ,0.7 , 1.2
Kigoma DC,0.3 ,<0.1 , 0.8
Kigoma Ujiji MC,1.0 ,0.6 , 1.5
Kilindi DC,2.0 ,1.2 , 3.5
Kilolo DC,0.5 ,0.4 , 0.7
Kilombero DC,3.5 ,2.2 , 5.3
Kilosa DC,0.5 ,0.3 , 0.8
Kilwa DC,0.9 ,0.4 , 1.6
Kinondoni MC,0.9 ,0.7 , 1.3
Kisarawe DC,4.4 ,3.0 , 6.2
Kishapu DC,0.8 ,0.4 , 1.7
Kiteto DC,0.6 ,0.2 , 1.5
Kondoa DC,1.2 ,0.6 , 2.5
Kondoa TC,9.4 ,6.8 , 12.6
Kongwa DC,1.8 ,1.1 , 2.9
Korogwe DC,1.3 ,1.0 , 1.7
Korogwe TC,5.1 ,2.1 , 10.7
Kusini,18.0 ,15.5 , 20.9
Kwimba DC,8.1 ,5.0 , 12.4
Kyela DC,2.3 ,1.4 , 3.5
Kyerwa DC,4.2 ,3.0 , 5.8
Lindi DC,1.4 ,0.8 , 2.5
Lindi MC,1.2 ,0.6 , 2.2
Liwale DC,3.3 ,1.3 , 6.6
Longido DC,3.3 ,2.4 , 4.4
Ludewa DC,2.2 ,0.6 , 5.7
Lushoto DC,1.4 ,0.3 , 4.6
Madaba DC,1.5 ,0.6 , 3.1
Mafia DC,0.7 ,0.4 , 1.2
Mafinga TC,1.8 ,0.6 , 4.7
Magharibi A,1.1 ,0.9 , 1.4
Magharibi B,0.9 ,0.7 , 1.2
Magu DC,1.3 ,0.5 , 3.2
Makambako TC,11.6 ,10.3 , 13.1
Makete DC,0.7 ,0.2 , 1.7
