States,2019,2019_lower, 2019_upper
Arusha CC,0.77 ,0.37 , <0.01
Arusha DC,0.28 ,0.05 , <0.01
Babati DC,0.50 ,0.08 , <0.01
Babati TC,1.14 ,0.20 , <0.01
Bagamoyo DC,9.47 ,5.33 , 0.02
Bahi DC,0.32 ,0.03 , <0.01
Bariadi DC,0.28 ,0.03 , <0.01
Bariadi TC,0.48 ,0.02 , <0.01
Biharamulo DC,0.34 ,0.01 , <0.01
Buchosa DC,0.78 ,0.09 , <0.01
Buhigwe DC,1.17 ,0.19 , <0.01
Bukoba DC,0.56 ,0.07 , <0.01
Bukoba MC,1.80 ,0.14 , <0.01
Bukombe DC,0.86 ,0.06 , <0.01
Bumbuli DC,0.76 ,0.08 , <0.01
Bunda DC,1.10 ,0.17 , <0.01
Bunda TC,0.53 ,0.13 , <0.01
Busega DC,1.34 ,0.64 , <0.01
Busokelo DC,0.28 ,0.09 , <0.01
Butiama DC,1.14 ,0.39 , <0.01
Chake Chake,12.71 ,8.29 , 0.02
Chalinze DC,0.44 ,0.05 , <0.01
Chamwino DC,0.62 ,0.07 , <0.01
Chato DC,0.04 ,0.02 , <0.01
Chemba DC,1.05 ,0.56 , <0.01
Chunya DC,0.37 ,0.03 , <0.01
Dodoma MC,0.81 ,0.12 , <0.01
Gairo DC,0.35 ,0.08 , <0.01
Geita DC,0.31 ,0.06 , <0.01
Geita TC,0.91 ,0.19 , <0.01
Hai DC,0.73 ,0.21 , <0.01
Hanang DC,1.20 ,0.63 , <0.01
Handeni DC,1.06 ,0.34 , <0.01
Handeni TC,2.97 ,0.52 , 0.01
Ifakara TC,0.49 ,0.02 , <0.01
Igunga DC,0.14 ,0.02 , <0.01
Ikungi DC,1.92 ,0.65 , <0.01
Ilala MC,0.70 ,0.06 , <0.01
Ileje DC,0.89 ,0.07 , <0.01
Ilemela MC,0.25 ,0.02 , <0.01
Iramba DC,0.77 ,0.22 , <0.01
Iringa DC,2.52 ,0.42 , <0.01
Iringa MC,0.38 ,0.17 , <0.01
Itigi DC,13.69 ,5.32 , 0.03
Itilima DC,1.17 ,0.80 , <0.01
Kahama TC,0.37 ,0.11 , <0.01
Kakonko DC,0.14 ,0.02 , <0.01
Kalambo DC,0.34 ,0.01 , <0.01
Kaliua DC,0.52 ,0.10 , <0.01
Karagwe DC,0.35 ,0.04 , <0.01
Karatu DC,0.35 ,0.02 , <0.01
Kaskazini A,0.48 ,0.07 , <0.01
Kaskazini B,0.06 ,0.02 , <0.01
Kasulu DC,0.04 ,<0.01 , <0.01
Kasulu TC,0.71 ,0.11 , <0.01
Kati,0.29 ,0.03 , <0.01
Kibaha DC,1.41 ,0.80 , <0.01
Kibaha TC,0.55 ,0.28 , <0.01
Kibiti DC,0.30 ,0.14 , <0.01
Kibondo DC,0.29 ,0.02 , <0.01
Kigamboni MC,0.25 ,0.14 , <0.01
Kigoma DC,0.17 ,<0.01 , <0.01
Kigoma Ujiji MC,0.47 ,0.24 , <0.01
Kilindi DC,1.32 ,0.35 , <0.01
Kilolo DC,0.12 ,0.06 , <0.01
Kilombero DC,4.07 ,1.60 , <0.01
Kilosa DC,0.18 ,0.12 , <0.01
Kilwa DC,1.08 ,0.33 , <0.01
Kinondoni MC,0.48 ,0.30 , <0.01
Kisarawe DC,6.36 ,3.42 , 0.01
Kishapu DC,0.66 ,0.17 , <0.01
Kiteto DC,0.31 ,0.02 , <0.01
Kondoa DC,1.04 ,0.17 , <0.01
Kondoa TC,8.65 ,4.19 , 0.02
Kongwa DC,1.04 ,0.38 , <0.01
Korogwe DC,0.50 ,0.32 , <0.01
Korogwe TC,3.51 ,0.57 , 0.01
Kusini,0.10 ,0.03 , <0.01
Kwimba DC,20.74 ,8.66 , 0.04
Kyela DC,1.20 ,0.52 , <0.01
Kyerwa DC,1.92 ,0.63 , <0.01
Lindi DC,1.06 ,0.36 , <0.01
Lindi MC,0.88 ,0.25 , <0.01
Liwale DC,3.02 ,0.86 , <0.01
Longido DC,1.92 ,1.07 , <0.01
Ludewa DC,2.29 ,0.32 , <0.01
Lushoto DC,0.78 ,0.04 , <0.01
Madaba DC,1.11 ,0.19 , <0.01
Mafia DC,0.13 ,0.03 , <0.01
Mafinga TC,1.05 ,0.10 , <0.01
Magharibi A,0.05 ,0.02 , <0.01
Magharibi B,0.52 ,0.29 , <0.01
Magu DC,1.02 ,0.13 , <0.01
Makambako TC,10.56 ,7.95 , 0.01
Makete DC,0.25 ,0.03 , <0.01
Malinyi DC,3.13 ,2.11 , <0.01
Manyoni DC,1.89 ,0.15 , 0.01
Masasi DC,0.20 ,0.10 , <0.01
Masasi TC,3.68 ,0.45 , 0.01
Maswa DC,1.19 ,0.22 , <0.01
Mbarali DC,1.15 ,0.06 , <0.01
Mbeya CC,2.09 ,0.88 , <0.01
Mbeya DC,0.71 ,0.17 , <0.01
Mbinga DC,1.18 ,0.39 , <0.01
Mbinga TC,1.12 ,0.18 , <0.01
Mbogwe DC,3.88 ,2.64 , <0.01
Mbozi DC,0.38 ,0.14 , <0.01
Mbulu DC,0.25 ,0.02 , <0.01
Mbulu TC,0.80 ,0.11 , <0.01
Meatu DC,0.47 ,0.07 , <0.01
Meru DC,0.89 ,0.10 , <0.01
Micheweni,1.97 ,1.12 , <0.01
Missenyi DC,0.34 ,0.06 , <0.01
Misungwi DC,0.21 ,0.02 , <0.01
Mjini,1.36 ,0.43 , <0.01
Mkalama DC,0.27 ,0.01 , <0.01
Mkinga DC,1.42 ,0.36 , <0.01
Mkoani,0.41 ,0.03 , <0.01
Mkuranga DC,0.17 ,0.02 , <0.01
Mlele DC,2.48 ,0.97 , <0.01
Momba DC,3.26 ,1.74 , <0.01
Monduli DC,0.44 ,0.10 , <0.01
Morogoro DC,1.08 ,0.11 , <0.01
Morogoro MC,0.51 ,0.03 , <0.01
Moshi DC,0.55 ,0.27 , <0.01
Moshi MC,0.25 ,0.03 , <0.01
Mpanda DC,0.16 ,0.08 , <0.01
Mpanda TC,0.96 ,0.73 , <0.01
Mpimbwe DC,0.23 ,0.02 , <0.01
Mpwapwa DC,0.86 ,0.08 , <0.01
Msalala DC,1.23 ,0.31 , <0.01
Mtwara DC,0.29 ,0.16 , <0.01
Mtwara Mikindani MC,6.92 ,2.89 , 0.01
Mufindi DC,1.52 ,0.74 , <0.01
Muheza DC,0.04 ,0.01 , <0.01
Muleba DC,0.32 ,0.07 , <0.01
Musoma DC,<0.01 ,<0.01 , <0.01
Musoma MC,1.59 ,0.68 , <0.01
Mvomero DC,1.01 ,0.15 , <0.01
Mwanga DC,0.11 ,0.04 , <0.01
Nachingwea DC,0.69 ,0.06 , <0.01
Namtumbo DC,0.02 ,<0.01 , <0.01
Nanyamba TC,3.84 ,2.41 , <0.01
Nanyumbu DC,1.05 ,0.08 , <0.01
Newala DC,0.73 ,0.06 , <0.01
Newala TC,1.66 ,0.26 , <0.01
Ngara DC,0.22 ,0.01 , <0.01
Ngorongoro DC,5.05 ,2.20 , 0.01
Njombe DC,1.42 ,0.06 , <0.01
Njombe TC,0.41 ,0.03 , <0.01
Nkasi DC,2.12 ,0.77 , <0.01
Nsimbo DC,0.06 ,<0.01 , <0.01
Nyamagana MC,0.14 ,0.02 , <0.01
Nyang'hwale DC,0.41 ,0.22 , <0.01
Nyasa DC,1.82 ,0.90 , <0.01
Nzega DC,0.58 ,0.21 , <0.01
Nzega TC,3.78 ,1.03 , <0.01
Pangani DC,0.40 ,0.13 , <0.01
Rombo DC,0.12 ,0.03 , <0.01
Rorya DC,0.58 ,0.07 , <0.01
Ruangwa DC,2.96 ,0.99 , <0.01
Rufiji DC,4.81 ,0.46 , 0.02
Rungwe DC,5.87 ,1.75 , 0.02
Same DC,0.78 ,0.26 , <0.01
Sengerema DC,0.26 ,0.04 , <0.01
Serengeti DC,0.20 ,0.02 , <0.01
Shinyanga DC,<0.01 ,<0.01 , <0.01
Shinyanga MC,1.25 ,0.39 , <0.01
Siha DC,2.14 ,0.29 , <0.01
Sikonge DC,0.61 ,0.04 , <0.01
Simanjiro DC,0.49 ,0.23 , <0.01
Singida DC,1.41 ,0.49 , <0.01
Singida MC,2.68 ,0.99 , <0.01
Songea DC,1.02 ,0.62 , <0.01
Songea MC,2.78 ,1.63 , <0.01
Songwe DC,1.12 ,0.08 , <0.01
Sumbawanga DC,0.68 ,0.34 , <0.01
Sumbawanga MC,0.77 ,0.09 , <0.01
Tabora MC,0.78 ,0.15 , <0.01
Tandahimba DC,0.82 ,0.06 , <0.01
Tanga CC,1.91 ,0.86 , <0.01
Tarime DC,0.14 ,<0.01 , <0.01
Tarime TC,0.06 ,0.01 , <0.01
Temeke MC,0.29 ,0.04 , <0.01
Tunduma TC,0.51 ,0.04 , <0.01
Tunduru DC,0.82 ,0.20 , <0.01
Ubungo MC,0.19 ,0.07 , <0.01
Ukerewe DC,0.51 ,0.06 , <0.01
Ulanga DC,1.36 ,0.30 , <0.01
Urambo DC,0.38 ,0.02 , <0.01
Ushetu DC,2.29 ,0.85 , <0.01
Uvinza DC,0.32 ,0.02 , <0.01
Uyui DC,0.22 ,0.02 , <0.01
Wanging'ombe DC,2.83 ,1.27 , <0.01
Wete,0.73 ,0.30 , <0.01
National,1.30 ,0.71,2.34
