States,2019,2019_lower, 2019_upper
Arusha CC,0.94 ,0.44 , <0.01
Arusha DC,0.30 ,0.06 , <0.01
Babati DC,0.49 ,0.07 , <0.01
Babati TC,1.22 ,0.22 , <0.01
Bagamoyo DC,10.44 ,6.13 , 0.02
Bahi DC,0.31 ,0.03 , <0.01
Bariadi DC,0.22 ,0.03 , <0.01
Bariadi TC,0.41 ,0.02 , <0.01
Biharamulo DC,0.29 ,0.01 , <0.01
Buchosa DC,0.65 ,0.08 , <0.01
Buhigwe DC,1.11 ,0.18 , <0.01
Bukoba DC,0.54 ,0.07 , <0.01
Bukoba MC,2.03 ,0.16 , <0.01
Bukombe DC,0.75 ,0.05 , <0.01
Bumbuli DC,0.76 ,0.08 , <0.01
Bunda DC,0.96 ,0.15 , <0.01
Bunda TC,0.50 ,0.13 , <0.01
Busega DC,1.17 ,0.57 , <0.01
Busokelo DC,0.29 ,0.09 , <0.01
Butiama DC,1.02 ,0.35 , <0.01
Chake Chake,10.38 ,7.14 , 0.01
Chalinze DC,0.47 ,0.06 , <0.01
Chamwino DC,0.60 ,0.07 , <0.01
Chato DC,0.03 ,0.01 , <0.01
Chemba DC,0.97 ,0.52 , <0.01
Chunya DC,0.35 ,0.03 , <0.01
Dodoma MC,0.92 ,0.14 , <0.01
Gairo DC,0.33 ,0.08 , <0.01
Geita DC,0.26 ,0.05 , <0.01
Geita TC,0.91 ,0.18 , <0.01
Hai DC,0.86 ,0.25 , <0.01
Hanang DC,1.10 ,0.58 , <0.01
Handeni DC,1.06 ,0.34 , <0.01
Handeni TC,3.11 ,0.58 , 0.01
Ifakara TC,0.57 ,0.03 , <0.01
Igunga DC,0.13 ,0.02 , <0.01
Ikungi DC,1.77 ,0.61 , <0.01
Ilala MC,0.77 ,0.07 , <0.01
Ileje DC,0.92 ,0.07 , <0.01
Ilemela MC,0.26 ,0.03 , <0.01
Iramba DC,0.78 ,0.23 , <0.01
Iringa DC,2.59 ,0.45 , <0.01
Iringa MC,0.49 ,0.21 , <0.01
Itigi DC,11.88 ,5.03 , 0.02
Itilima DC,0.96 ,0.66 , <0.01
Kahama TC,0.39 ,0.12 , <0.01
Kakonko DC,0.13 ,0.01 , <0.01
Kalambo DC,0.32 ,0.01 , <0.01
Kaliua DC,0.46 ,0.09 , <0.01
Karagwe DC,0.34 ,0.04 , <0.01
Karatu DC,0.37 ,0.03 , <0.01
Kaskazini A,0.51 ,0.08 , <0.01
Kaskazini B,0.06 ,0.02 , <0.01
Kasulu DC,0.04 ,<0.01 , <0.01
Kasulu TC,0.71 ,0.11 , <0.01
Kati,0.31 ,0.04 , <0.01
Kibaha DC,1.63 ,0.92 , <0.01
Kibaha TC,0.67 ,0.34 , <0.01
Kibiti DC,0.29 ,0.13 , <0.01
Kibondo DC,0.27 ,0.02 , <0.01
Kigamboni MC,0.27 ,0.14 , <0.01
Kigoma DC,0.16 ,<0.01 , <0.01
Kigoma Ujiji MC,0.48 ,0.25 , <0.01
Kilindi DC,1.31 ,0.36 , <0.01
Kilolo DC,0.13 ,0.06 , <0.01
Kilombero DC,4.06 ,1.64 , <0.01
Kilosa DC,0.19 ,0.12 , <0.01
Kilwa DC,1.09 ,0.34 , <0.01
Kinondoni MC,0.57 ,0.35 , <0.01
Kisarawe DC,6.85 ,3.74 , 0.01
Kishapu DC,0.62 ,0.16 , <0.01
Kiteto DC,0.28 ,0.02 , <0.01
Kondoa DC,0.89 ,0.15 , <0.01
Kondoa TC,8.20 ,4.26 , 0.01
Kongwa DC,1.00 ,0.37 , <0.01
Korogwe DC,0.53 ,0.34 , <0.01
Korogwe TC,4.24 ,0.73 , 0.01
Kusini,0.13 ,0.04 , <0.01
Kwimba DC,15.22 ,6.94 , 0.03
Kyela DC,1.29 ,0.56 , <0.01
Kyerwa DC,1.79 ,0.60 , <0.01
Lindi DC,1.16 ,0.39 , <0.01
Lindi MC,1.01 ,0.29 , <0.01
Liwale DC,3.09 ,0.90 , <0.01
Longido DC,1.73 ,0.94 , <0.01
Ludewa DC,2.41 ,0.35 , <0.01
Lushoto DC,0.80 ,0.04 , <0.01
Madaba DC,1.17 ,0.21 , <0.01
Mafia DC,0.14 ,0.03 , <0.01
Mafinga TC,1.26 ,0.13 , <0.01
Magharibi A,0.05 ,0.02 , <0.01
Magharibi B,0.55 ,0.30 , <0.01
Magu DC,0.87 ,0.11 , <0.01
Makambako TC,12.01 ,9.00 , 0.02
Makete DC,0.30 ,0.03 , <0.01
Malinyi DC,3.19 ,2.15 , <0.01
Manyoni DC,1.85 ,0.15 , <0.01
Masasi DC,0.22 ,0.11 , <0.01
Masasi TC,4.10 ,0.54 , 0.02
Maswa DC,1.04 ,0.19 , <0.01
Mbarali DC,1.12 ,0.06 , <0.01
Mbeya CC,2.34 ,0.99 , <0.01
Mbeya DC,0.71 ,0.18 , <0.01
Mbinga DC,1.24 ,0.42 , <0.01
Mbinga TC,1.20 ,0.19 , <0.01
Mbogwe DC,3.39 ,2.33 , <0.01
Mbozi DC,0.39 ,0.15 , <0.01
Mbulu DC,0.23 ,0.02 , <0.01
Mbulu TC,0.79 ,0.11 , <0.01
Meatu DC,0.41 ,0.06 , <0.01
Meru DC,1.01 ,0.12 , <0.01
Micheweni,1.74 ,0.98 , <0.01
Missenyi DC,0.34 ,0.06 , <0.01
Misungwi DC,0.18 ,0.02 , <0.01
Mjini,1.54 ,0.49 , <0.01
Mkalama DC,0.26 ,0.01 , <0.01
Mkinga DC,1.48 ,0.38 , <0.01
Mkoani,0.37 ,0.03 , <0.01
Mkuranga DC,0.17 ,0.02 , <0.01
Mlele DC,2.24 ,0.91 , <0.01
Momba DC,3.00 ,1.63 , <0.01
Monduli DC,0.43 ,0.10 , <0.01
Morogoro DC,1.11 ,0.12 , <0.01
Morogoro MC,0.61 ,0.04 , <0.01
Moshi DC,0.65 ,0.31 , <0.01
Moshi MC,0.32 ,0.04 , <0.01
Mpanda DC,0.13 ,0.06 , <0.01
Mpanda TC,0.97 ,0.73 , <0.01
Mpimbwe DC,0.19 ,0.02 , <0.01
Mpwapwa DC,0.83 ,0.08 , <0.01
Msalala DC,1.12 ,0.29 , <0.01
Mtwara DC,0.32 ,0.18 , <0.01
Mtwara Mikindani MC,8.32 ,3.56 , 0.02
Mufindi DC,1.61 ,0.79 , <0.01
Muheza DC,0.05 ,0.02 , <0.01
Muleba DC,0.31 ,0.07 , <0.01
Musoma DC,<0.01 ,<0.01 , <0.01
Musoma MC,1.65 ,0.70 , <0.01
Mvomero DC,1.01 ,0.16 , <0.01
Mwanga DC,0.13 ,0.05 , <0.01
Nachingwea DC,0.79 ,0.06 , <0.01
Namtumbo DC,0.02 ,<0.01 , <0.01
Nanyamba TC,3.92 ,2.48 , <0.01
Nanyumbu DC,1.11 ,0.08 , <0.01
Newala DC,0.84 ,0.07 , <0.01
Newala TC,1.92 ,0.30 , <0.01
Ngara DC,0.19 ,0.01 , <0.01
Ngorongoro DC,4.38 ,1.98 , <0.01
Njombe DC,1.52 ,0.07 , 0.01
Njombe TC,0.49 ,0.04 , <0.01
Nkasi DC,2.00 ,0.74 , <0.01
Nsimbo DC,0.05 ,<0.01 , <0.01
Nyamagana MC,0.15 ,0.02 , <0.01
Nyang'hwale DC,0.34 ,0.18 , <0.01
Nyasa DC,1.90 ,0.95 , <0.01
Nzega DC,0.54 ,0.20 , <0.01
Nzega TC,3.76 ,1.07 , <0.01
Pangani DC,0.51 ,0.17 , <0.01
Rombo DC,0.13 ,0.03 , <0.01
Rorya DC,0.52 ,0.07 , <0.01
Ruangwa DC,3.33 ,1.15 , <0.01
Rufiji DC,4.69 ,0.55 , 0.02
Rungwe DC,5.92 ,1.80 , 0.01
Same DC,0.85 ,0.28 , <0.01
Sengerema DC,0.22 ,0.03 , <0.01
Serengeti DC,0.17 ,0.02 , <0.01
Shinyanga DC,<0.01 ,<0.01 , <0.01
Shinyanga MC,1.36 ,0.42 , <0.01
Siha DC,2.27 ,0.31 , <0.01
Sikonge DC,0.55 ,0.04 , <0.01
Simanjiro DC,0.45 ,0.21 , <0.01
Singida DC,1.30 ,0.45 , <0.01
Singida MC,2.91 ,1.08 , <0.01
Songea DC,1.12 ,0.69 , <0.01
Songea MC,3.17 ,1.85 , <0.01
Songwe DC,1.05 ,0.08 , <0.01
Sumbawanga DC,0.66 ,0.33 , <0.01
Sumbawanga MC,0.81 ,0.09 , <0.01
Tabora MC,0.85 ,0.16 , <0.01
Tandahimba DC,0.91 ,0.07 , <0.01
Tanga CC,2.32 ,1.04 , <0.01
Tarime DC,0.12 ,<0.01 , <0.01
Tarime TC,0.06 ,0.01 , <0.01
Temeke MC,0.32 ,0.04 , <0.01
Tunduma TC,0.57 ,0.04 , <0.01
Tunduru DC,0.89 ,0.22 , <0.01
Ubungo MC,0.22 ,0.08 , <0.01
Ukerewe DC,0.46 ,0.06 , <0.01
Ulanga DC,1.36 ,0.30 , <0.01
Urambo DC,0.33 ,0.02 , <0.01
Ushetu DC,1.99 ,0.75 , <0.01
Uvinza DC,0.30 ,0.02 , <0.01
Uyui DC,0.19 ,0.02 , <0.01
Wanging'ombe DC,3.09 ,1.42 , <0.01
Wete,0.67 ,0.28 , <0.01
National,1.46 ,1.28,1.64
