States,2019,2019_lower, 2019_upper
Arusha CC,1.70 ,0.79 , <0.01
Arusha DC,0.64 ,0.12 , <0.01
Babati DC,1.16 ,0.18 , <0.01
Babati TC,2.55 ,0.44 , <0.01
Bagamoyo DC,22.99 ,13.33 , 0.04
Bahi DC,0.77 ,0.06 , <0.01
Bariadi DC,0.64 ,0.07 , <0.01
Bariadi TC,1.11 ,0.04 , <0.01
Biharamulo DC,0.78 ,0.03 , <0.01
Buchosa DC,1.82 ,0.20 , <0.01
Buhigwe DC,2.85 ,0.48 , <0.01
Bukoba DC,1.31 ,0.16 , <0.01
Bukoba MC,4.25 ,0.31 , 0.02
Bukombe DC,1.95 ,0.13 , <0.01
Bumbuli DC,1.74 ,0.19 , <0.01
Bunda DC,2.56 ,0.41 , <0.01
Bunda TC,1.25 ,0.31 , <0.01
Busega DC,3.29 ,1.53 , <0.01
Busokelo DC,0.68 ,0.22 , <0.01
Butiama DC,2.82 ,0.95 , <0.01
Chake Chake,30.82 ,20.94 , 0.04
Chalinze DC,1.05 ,0.12 , <0.01
Chamwino DC,1.43 ,0.16 , <0.01
Chato DC,0.09 ,0.03 , <0.01
Chemba DC,2.46 ,1.37 , <0.01
Chunya DC,0.82 ,0.07 , <0.01
Dodoma MC,1.85 ,0.26 , <0.01
Gairo DC,0.83 ,0.20 , <0.01
Geita DC,0.69 ,0.13 , <0.01
Geita TC,2.22 ,0.42 , <0.01
Hai DC,1.78 ,0.49 , <0.01
Hanang DC,2.84 ,1.42 , <0.01
Handeni DC,2.48 ,0.76 , <0.01
Handeni TC,7.24 ,1.26 , 0.03
Ifakara TC,1.15 ,0.06 , <0.01
Igunga DC,0.33 ,0.06 , <0.01
Ikungi DC,4.37 ,1.54 , 0.01
Ilala MC,1.50 ,0.13 , <0.01
Ileje DC,2.08 ,0.16 , 0.01
Ilemela MC,0.55 ,0.05 , <0.01
Iramba DC,1.84 ,0.54 , <0.01
Iringa DC,6.02 ,1.03 , 0.02
Iringa MC,0.91 ,0.38 , <0.01
Itigi DC,34.48 ,13.28 , 0.08
Itilima DC,2.88 ,1.86 , <0.01
Kahama TC,0.87 ,0.25 , <0.01
Kakonko DC,0.32 ,0.04 , <0.01
Kalambo DC,0.77 ,0.03 , <0.01
Kaliua DC,1.18 ,0.24 , <0.01
Karagwe DC,0.81 ,0.09 , <0.01
Karatu DC,0.81 ,0.06 , <0.01
Kaskazini A,1.20 ,0.17 , <0.01
Kaskazini B,0.14 ,0.05 , <0.01
Kasulu DC,0.10 ,0.02 , <0.01
Kasulu TC,1.72 ,0.26 , <0.01
Kati,0.65 ,0.07 , <0.01
Kibaha DC,3.44 ,1.81 , <0.01
Kibaha TC,1.31 ,0.66 , <0.01
Kibiti DC,0.73 ,0.32 , <0.01
Kibondo DC,0.68 ,0.06 , <0.01
Kigamboni MC,0.55 ,0.29 , <0.01
Kigoma DC,0.40 ,0.02 , <0.01
Kigoma Ujiji MC,1.06 ,0.52 , <0.01
Kilindi DC,3.11 ,0.79 , <0.01
Kilolo DC,0.28 ,0.14 , <0.01
Kilombero DC,9.25 ,3.70 , 0.02
Kilosa DC,0.41 ,0.25 , <0.01
Kilwa DC,2.50 ,0.76 , <0.01
Kinondoni MC,1.04 ,0.61 , <0.01
Kisarawe DC,15.55 ,8.57 , 0.03
Kishapu DC,1.51 ,0.37 , <0.01
Kiteto DC,0.70 ,0.05 , <0.01
Kondoa DC,2.41 ,0.39 , <0.01
Kondoa TC,22.85 ,11.23 , 0.04
Kongwa DC,2.49 ,0.86 , <0.01
Korogwe DC,1.17 ,0.71 , <0.01
Korogwe TC,8.77 ,1.36 , 0.03
Kusini,0.34 ,0.10 , <0.01
Kwimba DC,49.34 ,20.12 , 0.10
Kyela DC,3.04 ,1.24 , <0.01
Kyerwa DC,4.82 ,1.54 , 0.01
Lindi DC,2.51 ,0.82 , <0.01
Lindi MC,2.04 ,0.57 , <0.01
Liwale DC,7.18 ,1.94 , 0.02
Longido DC,4.69 ,2.40 , <0.01
Ludewa DC,5.33 ,0.72 , 0.02
Lushoto DC,1.87 ,0.09 , <0.01
Madaba DC,2.54 ,0.44 , <0.01
Mafia DC,0.30 ,0.07 , <0.01
Mafinga TC,2.50 ,0.25 , 0.01
Magharibi A,0.10 ,0.03 , <0.01
Magharibi B,1.14 ,0.59 , <0.01
Magu DC,2.36 ,0.29 , 0.01
Makambako TC,30.53 ,21.37 , 0.04
Makete DC,0.63 ,0.07 , <0.01
Malinyi DC,8.19 ,5.09 , 0.01
Manyoni DC,4.48 ,0.36 , 0.02
Masasi DC,0.46 ,0.22 , <0.01
Masasi TC,9.17 ,1.06 , 0.04
