States,2019,2019_lower, 2019_upper
Arusha CC,1.77 ,0.82 , <0.01
Arusha DC,0.67 ,0.12 , <0.01
Babati DC,1.22 ,0.19 , <0.01
Babati TC,2.67 ,0.46 , <0.01
Bagamoyo DC,24.60 ,14.27 , 0.04
Bahi DC,0.81 ,0.06 , <0.01
Bariadi DC,0.66 ,0.07 , <0.01
Bariadi TC,1.16 ,0.04 , <0.01
Biharamulo DC,0.81 ,0.03 , <0.01
Buchosa DC,1.92 ,0.21 , <0.01
Buhigwe DC,2.98 ,0.50 , <0.01
Bukoba DC,1.39 ,0.18 , <0.01
Bukoba MC,4.48 ,0.33 , 0.02
Bukombe DC,2.04 ,0.13 , 0.01
Bumbuli DC,1.84 ,0.20 , <0.01
Bunda DC,2.68 ,0.43 , <0.01
Bunda TC,1.30 ,0.32 , <0.01
Busega DC,3.45 ,1.62 , <0.01
Busokelo DC,0.72 ,0.23 , <0.01
Butiama DC,2.95 ,1.00 , <0.01
Chake Chake,32.94 ,22.40 , 0.05
Chalinze DC,1.11 ,0.13 , <0.01
Chamwino DC,1.52 ,0.17 , <0.01
Chato DC,0.10 ,0.04 , <0.01
Chemba DC,2.57 ,1.43 , <0.01
Chunya DC,0.87 ,0.07 , <0.01
Dodoma MC,1.92 ,0.28 , <0.01
Gairo DC,0.87 ,0.21 , <0.01
Geita DC,0.72 ,0.13 , <0.01
Geita TC,2.29 ,0.44 , <0.01
Hai DC,1.90 ,0.53 , <0.01
Hanang DC,2.97 ,1.49 , <0.01
Handeni DC,2.61 ,0.80 , <0.01
Handeni TC,7.70 ,1.34 , 0.03
Ifakara TC,1.22 ,0.06 , <0.01
Igunga DC,0.34 ,0.06 , <0.01
Ikungi DC,4.59 ,1.62 , 0.01
Ilala MC,1.60 ,0.14 , <0.01
Ileje DC,2.22 ,0.17 , 0.01
Ilemela MC,0.57 ,0.05 , <0.01
Iramba DC,1.93 ,0.57 , <0.01
Iringa DC,6.48 ,1.11 , 0.02
Iringa MC,0.94 ,0.39 , <0.01
Itigi DC,36.79 ,14.12 , 0.08
Itilima DC,2.97 ,1.92 , <0.01
Kahama TC,0.90 ,0.26 , <0.01
Kakonko DC,0.34 ,0.04 , <0.01
Kalambo DC,0.80 ,0.03 , <0.01
Kaliua DC,1.22 ,0.25 , <0.01
Karagwe DC,0.85 ,0.09 , <0.01
Karatu DC,0.86 ,0.06 , <0.01
Kaskazini A,1.26 ,0.18 , <0.01
